sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
壁,名詞,17,1,壁,壁,1509290,,False
ミ,接頭辞,15,1,ミ,御,2029670,,False
言う,動詞,10,1,言う,言う,1587040,,False
こと,名詞,10,1,こと,事,1313580,,False
俺,代名詞,9,1,俺,俺,1576870,,False
中,名詞,8,1,中,中,1423310,,False
兵団,名詞,8,1,兵団,兵団,1506610,,False
調査,名詞,8,1,調査,調査,1429120,,False
出る,動詞,8,1,出,出る,1896380,,False
入る,動詞,7,1,入っ,入る,1465590,,False
行く,動詞,7,1,いける,行く,1578850,,False
人類,名詞,7,1,人類,人類,1369530,,False
為る,動詞,6,1,仕,為る,1157170,,False
何,代名詞,6,1,何,何,1577100,,False
この,連体詞,5,1,この,此の,1582920,,False
居る,動詞,5,1,いる,居る,1577980,,False
来る,動詞,5,1,来,来る,1547720,,False
遣る,動詞,5,1,やる,遣る,2083340,,False
巨人,名詞,5,1,巨人,巨人,1232090,,False
逃げる,動詞,5,1,逃げ,逃げる,1450330,,False
見る,動詞,5,1,見,見る,2256270,,False
息子,名詞,4,1,息子,息子,1404390,,False
返る,動詞,4,1,帰ろう,返る,1512150,,False
泣く,動詞,4,1,泣い,泣く,1229840,,False
ダメ,名詞,4,1,ダメ,駄目,1409110,,False
分かる,動詞,4,1,分かっ,分かる,1606560,,False
出来る,動詞,4,1,できる,出来る,1340450,,False
バカ,名詞,4,1,バカ,馬鹿,1601260,,False
壊す,動詞,4,1,壊し,壊す,1199890,,False
ここ,代名詞,3,1,ここ,此処,1288810,,False
先生,名詞,3,1,先生,先生,1387990,,False
外,名詞,3,1,外,外,1203250,,False
奴,名詞,3,1,奴,奴,1445640,,False
思い出す,動詞,3,1,思い出し,思い出す,1309260,,False
世界,名詞,3,1,世界,世界,1373860,,False
イヤ,形状詞,3,1,イヤ,嫌,1587610,,False
もう,副詞,3,1,もう,もう,1012480,,False
手伝う,動詞,3,1,手伝えよ,手伝う,1328190,,False
我々,代名詞,3,1,我々,我々-代名詞,1607050,,False
戦う,動詞,3,1,戦えん,戦う,1596960,,False
死ぬ,動詞,3,1,死な,死ぬ,1310730,,False
無い,形容詞,3,1,無く,無い,2029080,,False
見える,動詞,3,1,見え,見える,1259140,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
貰う,動詞,3,1,もらっ,貰う,1535910,,False
そりゃ,代名詞,3,1,そりゃ,其れ,2134680,,False
家,名詞,3,1,家,家,1191730,,False
止める,動詞,3,1,やめ,止める,1310680,,False
時,名詞,3,1,時,時,1315840,,False
みんな,名詞,2,1,みんな,皆,1202150,,False
神,名詞,2,1,神,神,1364440,,False
街,名詞,2,1,街,街,1603990,,False
聞く,動詞,2,1,聞け,聞く,1591110,,False
ずっと,副詞,2,1,ずっと,ずっと,1006380,,False
さん,接尾辞,2,1,さん,さん,1005340,,False
２人,名詞,2,1,２人,二人,1582670,,False
そろそろ,副詞,2,1,そろそろ,そろそろ,1345605,,False
目標,名詞,2,1,目標,目標,1535650,,False
め,接尾辞,2,1,め,目,1604890,,False
殴る,動詞,2,1,殴る,殴る,1181390,,False
まるで,副詞,2,1,まるで,丸で,1216280,,False
また,副詞,2,1,また,又,1524930,,False
どう,副詞,2,1,どう,どう,1008910,,False
メートル,名詞,2,1,メートル,メートル-metre,1132570,,False
一生,名詞,2,1,一生,一生,1576200,,False
平和,名詞,2,1,平和,平和,1508070,,False
成る,動詞,2,1,なる,成る,2846738,,False
