sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
巨人,名詞,25,1,巨人,巨人,1232090,,False
こと,名詞,20,1,こと,事,1313580,,False
為る,動詞,18,1,さ,為る,1157170,,False
俺,代名詞,16,1,俺,俺,1576870,,False
出来る,動詞,13,1,できる,出来る,1340450,,False
有る,動詞,13,1,ある,有る,1000580,,False
言う,動詞,11,1,言っ,言う,1587040,,False
無い,形容詞,11,1,なく,無い,2029080,,False
僕,代名詞,10,1,僕,僕-代名詞,1521400,,False
お前,代名詞,10,1,お前,御前,1002290,,False
居る,動詞,10,1,いる,居る,1577980,,False
今,名詞,9,1,今,今,1288850,,False
行く,動詞,8,1,行け,行く,1578850,,False
私,代名詞,8,1,私,私-代名詞,1311110,,False
成る,動詞,8,1,なっ,成る,2846738,,False
人類,名詞,8,1,人類,人類,1369530,,False
遣る,動詞,7,1,やっ,遣る,2083340,,False
思う,動詞,7,1,思う,思う,1589350,,False
兵団,名詞,6,1,兵団,兵団,1506610,,False
もう,副詞,6,1,もう,もう,1012480,,False
分かる,動詞,6,1,分かる,分かる,1606560,,False
彼,代名詞,6,1,彼,彼,1483070,,False
者,名詞,6,1,者,者,1322990,,False
考える,動詞,6,1,考え,考える,1281020,,False
そんな,連体詞,6,1,そんな,そんな,1007130,,False
２人,名詞,5,1,２人,二人,1582670,,False
我々,代名詞,5,1,我々,我々-代名詞,1607050,,False
区,名詞,5,1,区,区,1244080,,False
どう,副詞,5,1,どう,どう,1008910,,False
見る,動詞,5,1,見ろ,見る,2256270,,False
まだ,副詞,5,1,まだ,未だ,1527110,,False
考える,名詞,5,1,考え,考え,1281000,,False
お主,代名詞,5,1,お主,お主,1852780,,False
命,名詞,5,1,命,命,1531940,,False
正体,名詞,4,1,正体,正体,1377530,,False
ダメ,名詞,4,1,ダメ,駄目,1409110,,False
人間,名詞,4,1,人間,人間,1366770,,False
この,連体詞,4,1,この,此の,1582920,,False
全て,名詞,4,1,全て,全て,1595730,,False
動く,動詞,4,1,動く,動く,1451210,,False
戦う,動詞,4,1,戦え,戦う,1596960,,False
装填,名詞,4,1,装填,装填,1402390,,False
力,名詞,4,1,力,力,1554820,,False
年,名詞,4,1,年,年,2084840,,False
隊長,名詞,4,1,隊長,隊長,1411530,,False
自分,名詞,4,1,自分,自分,1318610,,False
その,連体詞,4,1,その,其の,1006830,,False
それ,代名詞,4,1,それ,其れ,1006970,,False
こんな,連体詞,4,1,こんな,こんな,1004880,,False
必要,名詞,4,1,必要,必要,1487660,,False
貰う,動詞,3,1,もらっ,貰う,1535910,,False
さっき,名詞,3,1,さっき,さっき,1005180,,False
言葉,名詞,3,1,言葉,言葉,1264540,,False
駐屯,名詞,3,1,駐屯,駐屯,1426940,,False
壁,名詞,3,1,壁,壁,1509290,,False
司令,名詞,3,1,司令,司令,1306710,,False
完了,名詞,3,1,完了,完了,1211630,,False
兵士,名詞,3,1,兵士,兵士,1506420,,False
命乞い,名詞,3,1,命乞い,命乞い,1627870,,False
攻撃,名詞,3,1,攻撃,攻撃,1279170,,False
従う,動詞,3,1,従う,従う,1335210,,False
知る,動詞,3,1,知っ,知る,1420470,,False
ミ,接頭辞,3,1,ミ,御,2029670,,False
煙,名詞,3,1,煙,煙,1177180,,False
理解,名詞,3,1,理解,理解,1549910,,False
ウォール,名詞,3,1,ウォール,ウォール-wall,1920100,,False
ところ,名詞,3,1,ところ,所,1343100,,False
行動,名詞,3,1,行動,行動,1282100,,False
良い,形容詞,3,1,よかっ,良い,1605870,,False
南,名詞,3,1,南,南,1459870,,False
呉れる,動詞,3,1,くれ,呉れる,1269130,,False
食う,動詞,3,1,食わ,食う,1592100,,False
ここ,代名詞,3,1,ここ,此処,1288810,,False
ただ,副詞,2,1,ただ,唯,1538900,,False
訓練,名詞,2,1,訓練,訓練,1247470,,False
託する,動詞,2,1,託す,託する,1596850,,False
証拠,名詞,2,1,証拠,証拠,1351600,,False
話,名詞,2,1,話,話,1600900,,False
説得,名詞,2,1,説得,説得,1386440,,False
認識,名詞,2,1,認識,認識,1467550,,False
調査,名詞,2,1,調査,調査,1429120,,False
越える,動詞,2,1,越え,越える,1593070,,False
そもそも,名詞,2,1,そもそも,抑,1006950,,False
５,名詞,2,1,５,,1268060,,False
あと,名詞,2,1,あと,後,1269320,,False
あんな,連体詞,2,1,あんな,あんな,1000590,,False
防ぐ,動詞,2,1,防ぐ,防ぐ,1520190,,False
送る,動詞,2,1,送る,送る,1402730,,False
たち,接尾辞,2,1,たち,達,1416220,,False
つまり,副詞,2,1,つまり,詰まり,1610430,,False
以内,名詞,2,1,以内,以内,1155180,,False
仲間,名詞,2,1,仲間,仲間,1425790,,False
何,代名詞,2,1,何,何,1577100,,False
様子,名詞,2,1,様子,様子,1545820,,False
機能,名詞,2,1,機能,機能,1221130,,False
次,名詞,2,1,次,次,1316380,,False
気配,名詞,2,1,気配,気配,1222510,,False
現われる,動詞,2,1,現れ,現われる,1263510,,False
中,名詞,2,1,中,中,1620400,,False
マリア,名詞,2,1,マリア,マリア-Maria,2573170,,False
ヴェール,名詞,2,1,ヴェール,ベール-veil,1119330,,False
続ける,動詞,2,1,続ける,続ける,1405800,,False
破壊,名詞,2,1,破壊,破壊,1471250,,False
秒,名詞,2,1,秒,秒,1490430,,False
砲声,名詞,2,1,砲声,砲声,1627480,,False
砲弾,名詞,2,1,砲弾,砲弾,1517620,,False
一心,名詞,2,1,一心,一心,1163580,,False
マン,名詞,2,1,マン,マン-man,1129970,,False
わし,代名詞,2,1,わし,わし,2015370,,False
見える,動詞,2,1,見え,見える,1259140,,False
とき,名詞,2,1,とき,時,1315840,,False
どっち,代名詞,2,1,どっち,何方,1189360,,False
どこ,代名詞,2,1,どこ,何処,1577140,,False
とりあえず,副詞,2,1,とりあえず,取り敢えず,1598980,,False
まま,名詞,2,1,まま,侭,1585410,,False
みんな,名詞,2,1,みんな,皆,1202150,,False
やつ,名詞,2,1,やつ,奴,1445640,,False
ら,接尾辞,2,1,ら,等,2067770,,False
落とす,動詞,2,1,落とし,落とす,1589260,,False
自信,名詞,2,1,自信,自信,1317970,,False
聞く,動詞,2,1,聞き,聞く,1591110,,False
一番,副詞,2,1,一番,一番,1165970,,False
親父,名詞,2,1,親父,親父,1365330,,False
見せる,動詞,2,1,見せ,見せる,1259210,,False
表わす,動詞,2,1,現し,表わす,1263490,,False
街,名詞,2,1,街,街,1603990,,False
助ける,動詞,2,1,助け,助ける,1344410,,False
意志,名詞,2,1,意志,意志,1156560,,False
情報,名詞,2,1,情報,情報,1356370,,False
思い出す,動詞,2,1,思い出し,思い出す,1309260,,False
信ずる,動詞,2,1,信じ,信ずる,1359070,,False
放棄,名詞,2,1,放棄,放棄,1516580,,False
敵,名詞,2,1,敵,敵,1582000,,False
時間,名詞,2,1,時間,時間,1315920,,False
付ける,動詞,2,1,つけよう,付ける,1495770,,False
最も,副詞,2,1,最も,最も,1293700,,False
持つ,動詞,2,1,持つ,持つ,1315720,,False
兵,名詞,2,1,兵,兵,2067560,,False
排除,名詞,2,1,排除,排除,1472370,,False
待つ,動詞,2,1,待て,待つ,1410590,,False
得る,動詞,2,1,得,得る,1588760,,False
待機,名詞,2,1,待機,待機,1410600,,False
感ずる,動詞,2,1,感じ,感ずる,1609650,,False
姿,名詞,2,1,姿,姿,1307710,,False
助かる,動詞,2,1,助かり,助かる,1344380,,False
少し,副詞,2,1,少し,少し,1348870,,False
危険,名詞,2,1,危険,危険,1218560,,False
可能,形状詞,2,1,可能,可能,1191060,,False
合図,名詞,2,1,合図,合図,1284930,,False
奪還,名詞,2,1,奪還,奪還,1416370,,False
領土,名詞,2,1,領土,領土,1554790,,False
食い殺す,動詞,2,1,食い殺さ,食い殺す,1358190,,False
これ,代名詞,2,1,これ,此れ,1628530,,False
離れる,動詞,2,1,離れる,離れる,1550840,,False
いかが,形状詞,1,1,いかが,如何,2845606,,False
いつ,代名詞,1,1,いつ,何時,1188760,,False
いろいろ,副詞,1,1,いろいろ,色々,1587850,,False
部隊,名詞,1,1,部隊,部隊,1499430,,False
過ぎる,動詞,1,1,すぎる,過ぎる,1195970,,False
運ぶ,動詞,1,1,運ん,運ぶ,1172660,,False
追い付く,動詞,1,1,追いつけ,追い付く,1588810,,False
迷惑,名詞,1,1,迷惑,迷惑,1532800,,False
ため,名詞,1,1,ため,為,1157080,,False
そうてん,名詞,1,1,そうてん,蒼天,1402390,,False
そう,副詞,1,1,そう,そう,2137720,,False
せめて,副詞,1,1,せめて,せめて,1006570,,False
すでに,副詞,1,1,すでに,既に,1220310,,False
しゃべり,名詞,1,1,しゃべり,喋り,1005680,,False
さん,接尾辞,1,1,さん,さん,1005340,,False
さっさと,副詞,1,1,さっさと,さっさと,1005190,,False
近付く,動詞,1,1,近づく,近付く,1242170,,False
迎撃,名詞,1,1,迎撃,迎撃,1253230,,False
蹴散らす,動詞,1,1,蹴散らし,蹴散らす,1333420,,False
南側,名詞,1,1,南側,南側,1582610,,False
増援,名詞,1,1,増援,増援,1403150,,False
塞ぐ,動詞,1,1,塞ぐ,塞ぐ,1602590,,False
報告,名詞,1,1,報告,報告,1515670,,False
城塞,名詞,1,1,城塞,城塞,1615100,,False
図体,名詞,1,1,図体,図体,1634640,,False
問題,名詞,1,1,問題,問題,1536010,,False
問う,動詞,1,1,問う,問う,1536000,,False
