sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
為る,動詞,33,1,さ,為る,1157170,,False
巨人,名詞,31,1,巨人,巨人,1232090,,False
人類,名詞,21,1,人類,人類,1369530,,False
作戦,名詞,18,1,作戦,作戦,1297800,,False
有る,動詞,13,1,あり,有る,1000580,,False
俺,代名詞,12,1,俺,俺,1576870,,False
この,連体詞,12,1,この,此の,1582920,,False
言う,動詞,11,1,言っ,言う,1587040,,False
居る,動詞,10,1,いる,居る,1577980,,False
こと,名詞,10,1,こと,事,1313580,,False
思う,動詞,9,1,思っ,思う,1589350,,False
彼,代名詞,9,1,彼,彼,1483070,,False
司令,名詞,8,1,司令,司令,1306710,,False
わし,代名詞,8,1,わし,わし,2015370,,False
者,名詞,8,1,者,者,1322990,,False
お主,代名詞,8,1,お主,お主,1852780,,False
お前,代名詞,8,1,お前,御前,1002290,,False
死ぬ,動詞,8,1,死に,死ぬ,1310730,,False
遣る,動詞,7,1,やり,遣る,2083340,,False
人間,名詞,7,1,人間,人間,1366770,,False
ここ,代名詞,7,1,ここ,此処,1288810,,False
ら,接尾辞,6,1,ら,等,2067770,,False
成る,動詞,6,1,なっ,成る,2846738,,False
分かる,動詞,6,1,分かり,分かる,1606560,,False
私,代名詞,6,1,私,私-代名詞,1311110,,False
岩,名詞,6,1,岩,岩,1217270,,False
今,名詞,6,1,今,今,1288850,,False
行く,動詞,6,1,行く,行く,1578850,,False
その,連体詞,6,1,その,其の,1006830,,False
ウォール,名詞,6,1,ウォール,ウォール-wall,1920100,,False
奪還,名詞,5,1,奪還,奪還,1416370,,False
去る,動詞,5,1,去る,去る,1231650,,False
成功,名詞,5,1,成功,成功,1375690,,False
無い,形容詞,5,1,無い,無い,2029080,,False
精鋭,名詞,5,1,精鋭,精鋭,1379880,,False
そんな,連体詞,5,1,そんな,そんな,1007130,,False
たち,接尾辞,5,1,たち,達,1416220,,False
任務,名詞,5,1,任務,任務,1467260,,False
兵,名詞,5,1,兵,兵,2067560,,False
話,名詞,4,1,話,話,1600900,,False
時,名詞,4,1,時,時,1315840,,False
敵,名詞,4,1,敵,敵,1582000,,False
壁,名詞,4,1,壁,壁,1509290,,False
恐ろしい,形容詞,4,1,恐ろし,恐ろしい,1236690,,False
班,名詞,4,1,班,班,1481640,,False
区,名詞,4,1,区,区,1244080,,False
入る,動詞,4,1,入っ,入る,1465590,,False
守る,動詞,4,1,守る,守る,1327120,,False
扉,名詞,4,1,扉,扉,1483380,,False
持ち上げる,動詞,4,1,持ち上げ,持ち上げる,1315610,,False
穴,名詞,4,1,穴,穴,1254480,,False
兵士,名詞,4,1,兵士,兵士,1506420,,False
勝つ,動詞,4,1,勝ち,勝つ,1346150,,False
我々,代名詞,4,1,我々,我々-代名詞,1607050,,False
