sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
巨人,名詞,31,1,巨人,巨人,1232090,,False
為る,動詞,15,1,する,為る,1157170,,False
班,名詞,12,1,班,班,1481640,,False
こと,名詞,12,1,こと,事,1313580,,False
行く,動詞,10,1,行く,行く,1578850,,False
作戦,名詞,10,1,作戦,作戦,1297800,,False
居る,動詞,9,1,おる,居る,1577985,,False
遣る,動詞,9,1,やれ,遣る,2083340,,False
出来る,動詞,8,1,できる,出来る,1340450,,False
体,名詞,8,1,体,体,1409150,,False
死ぬ,動詞,8,1,死ん,死ぬ,1310730,,False
人類,名詞,8,1,人類,人類,1369530,,False
ｍ,名詞,8,1,ｍ,,2211550,,False
級,接尾辞,7,1,級,級,1919590,,False
成る,動詞,7,1,なっ,成る,2846738,,False
分かる,動詞,7,1,分から,分かる,1606560,,False
ミ,接頭辞,7,1,ミ,御,2029670,,False
私,代名詞,7,1,私,私-代名詞,1311110,,False
兵,名詞,6,1,兵,兵,2067560,,False
人間,名詞,6,1,人間,人間,1366770,,False
出る,動詞,6,1,出,出る,1896380,,False
外,名詞,6,1,外,外,1203250,,False
俺,代名詞,6,1,俺,俺,1576870,,False
精鋭,名詞,6,1,精鋭,精鋭,1379880,,False
今,名詞,6,1,今,今,1288850,,False
何,代名詞,5,1,何,何,1577100,,False
あなた,代名詞,5,1,あなた,貴方,1223615,,False
この,連体詞,5,1,この,此の,1582920,,False
世界,名詞,5,1,世界,世界,1373860,,False
壁,名詞,5,1,壁,壁,1509290,,False
呉れる,動詞,5,1,くれ,呉れる,1269130,,False
扉,名詞,4,1,扉,扉,1483380,,False
思う,動詞,4,1,思え,思う,1589350,,False
ここ,代名詞,4,1,ここ,此処,1288810,,False
置く,動詞,4,1,置い,置く,1001200,,False
街,接尾辞,4,1,街,街,1603990,,False
隅,名詞,4,1,隅,隅,1246440,,False
向かう,動詞,4,1,向かっ,向かう,1604800,,False
僕,代名詞,4,1,僕,僕-代名詞,1521400,,False
早い,形容詞,4,1,早く,早い,1404975,,False
２,名詞,4,1,２,,1461140,,False
失敗,名詞,4,1,失敗,失敗,1320140,,False
大丈夫,形状詞,3,1,大丈夫,大丈夫,1414150,,False
その,連体詞,3,1,その,其の,1006830,,False
避ける,動詞,3,1,避け,避ける,1583260,,False
力,名詞,3,1,力,力,1554820,,False
彼,代名詞,3,1,彼,彼,1483070,,False
成功,名詞,3,1,成功,成功,1375690,,False
我々,代名詞,3,1,我々,我々-代名詞,1607050,,False
後ろ,名詞,3,1,後ろ,後ろ,1269410,,False
失う,動詞,3,1,失い,失う,1319750,,False
勝つ,動詞,3,1,勝つ,勝つ,1346150,,False
動く,動詞,3,1,動く,動く,1451210,,False
中,名詞,3,1,中,中,1423310,,False
どう,副詞,3,1,どう,どう,1008910,,False
許す,動詞,3,1,許し,許す,1232870,,False
お前,代名詞,3,1,お前,御前,1002290,,False
言う,動詞,3,1,言っ,言う,1587040,,False
みんな,名詞,3,1,みんな,皆,1202150,,False
無駄死に,名詞,3,1,無駄死に,無駄死に,1673480,,False
領土,名詞,3,1,領土,領土,1554790,,False
守る,動詞,3,1,守る,守る,1327120,,False
１,名詞,3,1,１,,1149130,,False
離れる,動詞,3,1,離れろ,離れる,1550840,,False
命,名詞,3,1,命,命,1584630,,False
再び,副詞,3,1,再び,再び,1292300,,False
任せる,動詞,2,1,任せ,任せる,1467150,,False
殺す,動詞,2,1,殺し,殺す,1299030,,False
段階,名詞,2,1,段階,段階,1419950,,False
納得,名詞,2,1,納得,納得,1470080,,False
簡単,形状詞,2,1,簡単,簡単,1214330,,False
もう,副詞,2,1,もう,もう,1012480,,False
まま,名詞,2,1,まま,侭,1585410,,False
了解,名詞,2,1,了解,了解,1553310,,False
万が一,名詞,2,1,万が一,万が一,1525770,,False
あいつ,代名詞,2,1,あいつ,彼奴,1483160,,False
集める,動詞,2,1,集める,集める,1333560,,False
まさか,副詞,2,1,まさか,まさか,1363540,,False
足掻く,動詞,2,1,あがき,足掻く,1846280,,False
くたばる,動詞,2,1,くたばっ,くたばる,1003790,,False
とにかく,副詞,2,1,とにかく,兎に角,1443990,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
４,名詞,2,1,４,,1579470,,False
たち,接尾辞,2,1,たち,達,1416220,,False
ため,名詞,2,1,ため,為,1157080,,False
調査,名詞,2,1,調査,調査,1429120,,False
謎,名詞,2,1,謎,謎,1459690,,False
試す,動詞,2,1,試す,試す,1312260,,False
託する,動詞,2,1,託し,託する,1596850,,False
見る,動詞,2,1,見,見る,2256270,,False
ジャン,名詞,2,1,ジャン,ジャン-Jean,1984400,,False
ウォール,名詞,2,1,ウォール,ウォール-wall,1920100,,False
やっと,副詞,2,1,やっと,漸と,1012800,,False
これ,代名詞,2,1,これ,此れ,1628530,,False
仕舞う,動詞,2,1,しまう,仕舞う,1305380,,False
正しい,形容詞,2,1,正しい,正しい,1376600,,False
破壊,名詞,2,1,破壊,破壊,1471250,,False
無駄,名詞,2,1,無駄,無駄,1530510,,False
無い,形容詞,2,1,無かっ,無い,2029080,,False
後方,名詞,2,1,後方,後方,1270100,,False
戻る,動詞,2,1,戻れる,戻る,1535880,,False
接近,名詞,2,1,接近,接近,1385370,,False
損失,名詞,2,1,損失,損失,1406750,,False
撤退,名詞,2,1,撤退,撤退,1437740,,False
放棄,名詞,2,1,放棄,放棄,1516580,,False
故障,名詞,2,1,故障,故障,1267180,,False
戦い,名詞,2,1,戦い,戦い,1596950,,False
戦闘,名詞,2,1,戦闘,戦闘,1390420,,False
来る,動詞,2,1,来,来る,1547720,,False
家族,名詞,2,1,家族,家族,1192150,,False
引き付ける,動詞,2,1,引きつけよ,引き付ける,1601680,,False
年,名詞,2,1,年,年,2084840,,False
待つ,動詞,2,1,待て,待つ,1410590,,False
兵団,名詞,2,1,兵団,兵団,1506610,,False
前方,名詞,2,1,前方,前方,1394010,,False
兵器,名詞,2,1,兵器,兵器,1506320,,False
奴,名詞,2,1,奴,奴,1445640,,False
多分,副詞,2,1,多分,多分,1407980,,False
存在,名詞,2,1,存在,存在,1406150,,False
姿,名詞,2,1,姿,姿,1307710,,False
塞ぐ,動詞,2,1,塞が,塞ぐ,1602590,,False
回収,名詞,2,1,回収,回収,1199470,,False
命令,名詞,2,1,命令,命令,1532160,,False
危険,名詞,2,1,危険,危険,1218560,,False
部分,名詞,2,1,部分,部分,1499490,,False
いずれ,副詞,1,1,いずれ,何れ,1566210,,False
うち,名詞,1,1,うち,内,1457730,,False
うなじ,名詞,1,1,うなじ,項,1282970,,False
集中,名詞,1,1,集中,集中,1333750,,False
雪原,名詞,1,1,雪原,雪原,1842470,,False
領域,名詞,1,1,領域,領域,1554720,,False
頼む,動詞,1,1,頼む,頼む,1548370,,False
飛ぶ,動詞,1,1,跳べ,飛ぶ,1429700,,False
食い止める,動詞,1,1,食い止める,食い止める,1358210,,False
餌食,名詞,1,1,餌食,餌食,1173350,,False
駆逐,名詞,1,1,駆逐,駆逐,1244870,,False
黙る,動詞,1,1,黙っ,黙る,1534930,,False
そう,副詞,1,1,そう,そう,2137720,,False
そこ,代名詞,1,1,そこ,其処,1006670,,False
距離,名詞,1,1,距離,距離,1232920,,False
迷う,動詞,1,1,迷っ,迷う,1532710,,False
通す,動詞,1,1,通す,通す,1432900,,False
進撃,名詞,1,1,進撃,進撃,1366050,,False
運ぶ,動詞,1,1,運び,運ぶ,1172660,,False
違う,動詞,1,1,違っ,違う,1158880,,False
遠く,名詞,1,1,遠く,遠く,1177820,,False
鉛弾,名詞,1,1,鉛弾,鉛弾,2857999,,False
鎧,名詞,1,1,鎧,鎧,1204740,,False
開始,名詞,1,1,開始,開始,1202760,,False
命運,名詞,1,1,命運,命運,1531990,,False
唯一,名詞,1,1,唯一,唯一,1538920,,False
問題,名詞,1,1,問題,問題,1536010,,False
地上,名詞,1,1,地上,地上,1421180,,False
地獄,名詞,1,1,地獄,地獄,1421090,,False
場合,名詞,1,1,場合,場合,1355810,,False
塊,名詞,1,1,塊,固まり,1590410,,False
壁際,名詞,1,1,壁際,壁際,2522780,,False
変える,動詞,1,1,変える,変える,1510650,,False
化,接尾辞,1,1,化,化,2056760,,False
化する,動詞,1,1,化し,化する,1186740,,False
十,名詞,1,1,十,十,1579840,,False
十分,副詞,1,1,十分,十分,1335080,,False
十分,形状詞,1,1,十分,十分,1335080,,False
南側,名詞,1,1,南側,南側,1582610,,False
原因,名詞,1,1,原因,原因,1261190,,False
厭う,動詞,1,1,いとわ,厭う,1175420,,False
反応,名詞,1,1,反応,反応,1480210,,False
反映,名詞,1,1,反映,反映,1601160,,False
取る,動詞,1,1,取れ,取る,1326980,,False
司令,名詞,1,1,司令,司令,1306710,,False
合流,名詞,1,1,合流,合流,1285390,,False
同時,名詞,1,1,同時,同時,1452500,,False
多い,形容詞,1,1,多く,多い,1407460,,False
大きな,連体詞,1,1,大きな,大きな,1412890,,False
大地,名詞,1,1,大地,大地,1414520,,False
奇策,名詞,1,1,奇策,奇策,1219340,,False
奪い返す,動詞,1,1,奪い返す,奪い返す,1416330,,False
委任,名詞,1,1,委任,委任,1156180,,False
存亡,名詞,1,1,存亡,存亡,1648660,,False
宜しい,形容詞,1,1,よろしい,宜しい,1224880,,False
兵士,名詞,1,1,兵士,兵士,1506420,,False
冷やす,動詞,1,1,冷やし,冷やす,1556770,,False
出す,動詞,1,1,出す,出す,1338180,,False
初めて,副詞,1,1,初めて,初めて,1342550,,False
前,名詞,1,1,前,前,1392580,,False
助かる,動詞,1,1,助かる,助かる,1344380,,False
寝る,動詞,1,1,寝よ,寝る,1360010,,False
封鎖,名詞,1,1,封鎖,封鎖,1499650,,False
少ない,形容詞,1,1,少ない,少ない,1348910,,False
尽くす,動詞,1,1,尽くす,尽くす,1370090,,False
岩,名詞,1,1,岩,岩,1217270,,False
希薄,形状詞,1,1,希薄,希薄,1591380,,False
広がる,動詞,1,1,広がっ,広がる,1602360,,False
座る,動詞,1,1,座っ,座る,1291800,,False
引き寄せる,動詞,1,1,引き寄せ,引き寄せる,1168870,,False
引き続く,動詞,1,1,引き続き,引き続く,1601700,,False
引っ張る,動詞,1,1,引っ張っ,引っ張る,1601900,,False
弱点,名詞,1,1,弱点,弱点,1324870,,False
当初,名詞,1,1,当初,当初,1449110,,False
当然,形状詞,1,1,当然,当然,1449190,,False
形態,名詞,1,1,形態,形態,1250390,,False
影響,名詞,1,1,影響,影響,1173660,,False
後退,名詞,1,1,後退,後退,1269880,,False
従う,動詞,1,1,従う,従う,1335210,,False
従える,動詞,1,1,従え,従える,1335220,,False
必ず,副詞,1,1,必ず,必ず,1487400,,False
必死,形状詞,1,1,必死,必死,1601890,,False
必要,名詞,1,1,必要,必要,1487660,,False
忘れる,動詞,1,1,忘れ,忘れる,1519210,,False
思い知る,動詞,1,1,思い知ら,思い知る,1309330,,False
恋人,名詞,1,1,恋人,恋人,1558920,,False
恐らく,副詞,1,1,恐らく,恐らく,1236650,,False
恐ろしい,形容詞,1,1,恐ろし,恐ろしい,1236690,,False
悲惨,名詞,1,1,悲惨,悲惨,1483290,,False
意志,名詞,1,1,意志,意志,1156560,,False
感ずる,動詞,1,1,感じ,感ずる,1609650,,False
憎い,形容詞,1,1,憎い,憎い,1403390,,False
戦う,動詞,1,1,戦っ,戦う,1596960,,False
戻す,動詞,1,1,戻す,戻す,1535850,,False
使う,動詞,1,1,使わ,使う,1305990,,False
価値,名詞,1,1,価値,価値,1189600,,False
侵攻,名詞,1,1,侵攻,侵攻,1595140,,False
保つ,動詞,1,1,保っ,保つ,1513250,,False
保証,名詞,1,1,保証,保証,1603500,,False
修復,名詞,1,1,修復,修復,1332320,,False
倒す,動詞,1,1,倒す,倒す,1445770,,False
倒れる,動詞,1,1,倒れ,倒れる,1445790,,False
元,名詞,1,1,元,元,2219590,,False
入る,動詞,1,1,入っ,入る,1465590,,False
全て,名詞,1,1,全て,全て,1595730,,False
全滅,名詞,1,1,全滅,全滅,1396240,,False
所,名詞,1,1,所,所,1343100,,False
打つ,動詞,1,1,討ち,打つ,1408810,,False
打開,名詞,1,1,打開,打開,1408850,,False
投げ打つ,動詞,1,1,投げ打っ,投げ打つ,1899000,,False
持ち上げる,動詞,1,1,持ち上げ,持ち上げる,1315610,,False
指揮,名詞,1,1,指揮,指揮,1309700,,False
挑戦,名詞,1,1,挑戦,挑戦,1428240,,False
捕らえる,動詞,1,1,捉え,捕らえる,1598960,,False
探検,名詞,1,1,探検,探検,1597250,,False
損傷,名詞,1,1,損傷,損傷,1406760,,False
教える,動詞,1,1,教え,教える,1236900,,False
数,名詞,1,1,数,数,1580820,,False
数百,名詞,1,1,数百,数百,1373250,,False
新た,形状詞,1,1,新た,新た,1361510,,False
方法,名詞,1,1,方法,方法,1517090,,False
日常,名詞,1,1,日常,日常,1464180,,False
早々,名詞,1,1,早々,早々,1596420,,False
早急,形状詞,1,1,早急,早急,1581270,,False
時,名詞,1,1,時,時,1315840,,False
普通,名詞,1,1,普通,普通,1497190,,False
有る,動詞,1,1,ある,有る,1296400,,False
有る,連体詞,1,1,ある,或る,1296400,,False
本気,名詞,1,1,本気,本気,1522370,,False
人口,名詞,1,1,人口,人口,1367300,,False
今,接頭辞,1,1,今,今,1288850,,False
今回,名詞,1,1,今回,今回,1289070,,False
仕方無い,形容詞,1,1,仕方ない,仕方無い,1305440,,False
付ける,動詞,1,1,付け,付ける,1495770,,False
代役,名詞,1,1,代役,代役,1412350,,False
以前,名詞,1,1,以前,以前,1155150,,False
仲間,名詞,1,1,仲間,仲間,1425790,,False
似る,動詞,1,1,似,似る,1314600,,False
根拠,名詞,1,1,根拠,根拠,1290120,,False
極力,副詞,1,1,極力,極力,1240510,,False
様,接尾辞,1,1,様,様,1545790,,False
権限,名詞,1,1,権限,権限,1258130,,False
横,名詞,1,1,横,横,1180570,,False
機動,名詞,1,1,機動,機動,1221060,,False
止す,動詞,1,1,よそう,止す,1310600,,False
殺りく,名詞,1,1,殺りく,殺戮,1579320,,False
水,名詞,1,1,水,水,1371260,,False
氷,名詞,1,1,氷,氷,1488840,,False
決断,名詞,1,1,決断,決断,1254370,,False
注目,名詞,1,1,注目,注目,1426670,,False
活動,名詞,1,1,活動,活動,1208360,,False
深刻,形状詞,1,1,深刻,深刻,1362730,,False
済む,動詞,1,1,すん,済む,1295070,,False
温存,名詞,1,1,温存,温存,1183460,,False
漏れる,動詞,1,1,漏れ,漏れる,1605330,,False
