sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
巨人,名詞,28,1,巨人,巨人,1232090,,False
為る,動詞,18,1,する,為る,1157170,,False
ミ,接頭辞,8,1,ミ,御,2029670,,False
彼,代名詞,8,1,彼,彼,1483070,,False
戦う,動詞,8,1,戦っ,戦う,1596960,,False
俺,代名詞,8,1,俺,俺,1576870,,False
世界,名詞,7,1,世界,世界,1373860,,False
君,代名詞,7,1,君,君-代名詞,1247250,,False
人類,名詞,7,1,人類,人類,1369530,,False
分かる,動詞,7,1,分から,分かる,1606560,,False
こと,名詞,6,1,こと,事,1313580,,False
兵団,名詞,6,1,兵団,兵団,1506610,,False
来る,動詞,6,1,来,来る,1547720,,False
体,名詞,6,1,体,体,1409150,,False
我々,代名詞,5,1,我々,我々-代名詞,1607050,,False
有る,動詞,5,1,ある,有る,1296400,,False
扉,名詞,5,1,扉,扉,1483380,,False
何,代名詞,5,1,何,何,1577100,,False
お前,代名詞,5,1,お前,御前,1002290,,False
こいつ,代名詞,5,1,こいつ,此奴,1579070,,False
壁,名詞,5,1,壁,壁,1509290,,False
作戦,名詞,5,1,作戦,作戦,1297800,,False
成る,動詞,4,1,なる,成る,2846738,,False
班,名詞,4,1,班,班,1481640,,False
ジャン,名詞,4,1,ジャン,ジャン-Jean,1984400,,False
訓練,名詞,4,1,訓練,訓練,1247470,,False
見る,動詞,4,1,見,見る,2256270,,False
調査,名詞,4,1,調査,調査,1429120,,False
言う,動詞,4,1,言っ,言う,1587040,,False
ここ,代名詞,4,1,ここ,此処,1288810,,False
成功,名詞,4,1,成功,成功,1375690,,False
早い,形容詞,4,1,早く,早い,1404975,,False
区,名詞,4,1,区,区,1244080,,False
命,名詞,4,1,命,命,1531940,,False
こっち,代名詞,4,1,こっち,此方,1004500,,False
この,連体詞,4,1,この,此の,1582920,,False
無い,形容詞,3,1,なく,無い,2029080,,False
あれ,代名詞,3,1,あれ,彼れ,1000580,,False
１,名詞,3,1,１,,1149130,,False
鍵,名詞,3,1,鍵,鍵,1260490,,False
その,連体詞,3,1,その,其の,1006830,,False
初めて,副詞,3,1,初めて,初めて,1342550,,False
岩,名詞,3,1,岩,岩,1217270,,False
兵,名詞,3,1,兵,兵,2067560,,False
回収,名詞,3,1,回収,回収,1199470,,False
者,名詞,3,1,者,者,2153760,,False
行く,動詞,3,1,行き,行く,1578850,,False
ｍ,名詞,3,1,ｍ,,2211550,,False
居る,動詞,3,1,いる,居る,1577980,,False
思う,動詞,3,1,思っ,思う,1589350,,False
名前,名詞,3,1,名前,名前,1531710,,False
今,名詞,3,1,今,今,1288850,,False
守る,動詞,3,1,守る,守る,1327120,,False
意志,名詞,3,1,意志,意志,1156560,,False
私,代名詞,3,1,私,私-代名詞,1311110,,False
まだ,副詞,3,1,まだ,未だ,1527110,,False
みんな,名詞,3,1,みんな,皆,1202150,,False
自由,名詞,3,1,自由,自由,1318720,,False
遣る,動詞,3,1,やっ,遣る,2083340,,False
続ける,動詞,3,1,続け,続ける,1405800,,False
答える,動詞,3,1,答え,答える,1449530,,False
惜しい,形容詞,3,1,惜しく,惜しい,1382280,,False
ウォール,名詞,2,1,ウォール,ウォール-wall,1920100,,False
責任,名詞,2,1,責任,責任,1383180,,False
起動,名詞,2,1,起動,起動,1223880,,False
もう,副詞,2,1,もう,もう,1012480,,False
運ぶ,動詞,2,1,運び,運ぶ,1172660,,False
走る,動詞,2,1,走れ,走る,1402540,,False
装置,名詞,2,1,装置,装置,1402360,,False
この世,名詞,2,1,この世,此の世,2002260,,False
級,接尾辞,2,1,級,級,1919590,,False
済む,動詞,2,1,すん,済む,1295070,,False
殺す,動詞,2,1,殺す,殺す,1299030,,False
破壊,名詞,2,1,破壊,破壊,1471250,,False
生家,名詞,2,1,生家,生家,1378830,,False
生まれる,動詞,2,1,生まれ,生まれる,1378690,,False
状況,名詞,2,1,状況,状況,1356700,,False
建物,名詞,2,1,建物,建物,1257540,,False
必要,名詞,2,1,必要,必要,1487660,,False
上る,動詞,2,1,登る,上る,1352570,,False
恐ろしい,形容詞,2,1,恐ろしく,恐ろしい,1236690,,False
時,名詞,2,1,時,時,1315840,,False
上,名詞,2,1,上,上,1352130,,False
掃討,名詞,2,1,掃討,掃討,1399810,,False
所属,名詞,2,1,所属,所属,1343310,,False
引っ張る,動詞,2,1,引っ張っ,引っ張る,1601900,,False
援護,名詞,2,1,援護,援護,1588790,,False
怯える,動詞,2,1,おびえる,怯える,1236630,,False
奪還,名詞,2,1,奪還,奪還,1416370,,False
待つ,動詞,2,1,待つ,待つ,1410590,,False
名,名詞,2,1,名,名,2153790,,False
声,名詞,2,1,声,声,1380440,,False
塞ぐ,動詞,2,1,塞い,塞ぐ,1602590,,False
外,名詞,2,1,外,外,1203250,,False
多い,形容詞,2,1,多く,多い,1407460,,False
吐く,動詞,2,1,吐い,吐く,2646460,,False
そこ,代名詞,2,1,そこ,其処,1006670,,False
出来る,動詞,2,1,できる,出来る,1340450,,False
勝つ,動詞,2,1,勝っ,勝つ,1346150,,False
そんな,形状詞,2,1,そんな,そんな,1007130,,False
それ,代名詞,2,1,それ,其れ,1006970,,False
食い付く,動詞,2,1,食いつか,食い付く,2797990,,False
阻止,名詞,2,1,阻止,阻止,1397820,,False
あいつ,代名詞,1,1,あいつ,彼奴,1483160,,False
うなじ,名詞,1,1,うなじ,項,1282970,,False
おやじ,名詞,1,1,おやじ,親父,1365330,,False
身柄,名詞,1,1,身柄,身柄,1365830,,False
近付く,動詞,1,1,近づける,近付く,1242170,,False
のち,名詞,1,1,のち,後,1269330,,False
ふっ,副詞,1,1,ふっ,ふっ,2862669,,False
ほとんど,名詞,1,1,ほとんど,殆ど,1522050,,False
まさか,副詞,1,1,まさか,まさか,1363540,,False
まず,副詞,1,1,まず,先ず,1387240,,False
まだまだ,副詞,1,1,まだまだ,未だ未だ,1527150,,False
まん延,名詞,1,1,まん延,蔓延,1526950,,False
もの,名詞,1,1,もの,物,1502390,,False
やっぱり,副詞,1,1,やっぱり,矢張り,1012810,,False
部,名詞,1,1,部,部,1499290,,False
部隊,名詞,1,1,部隊,部隊,1499430,,False
野郎,名詞,1,1,野郎,野郎,1537700,,False
鉛弾,名詞,1,1,鉛弾,鉛弾,2857999,,False
返す,動詞,1,1,返す,返す,1512130,,False
刃,名詞,1,1,刃,刃,1369830,,False
切る,動詞,1,1,切る,切る,1384830,,False
前門,名詞,1,1,前門,前門,1394090,,False
力,名詞,1,1,力,力,1554820,,False
勝ち,名詞,1,1,勝ち,勝ち,1609560,,False
化,接尾辞,1,1,化,化,2056760,,False
化する,動詞,1,1,化し,化する,1186740,,False
医師,名詞,1,1,医師,医師,1159930,,False
原理,名詞,1,1,原理,原理,1262460,,False
作業,名詞,1,1,作業,作業,1297540,,False
使う,動詞,1,1,使わ,使う,1305990,,False
例える,動詞,1,1,例えよう,例える,1597130,,False
これ,代名詞,1,1,これ,此れ,1628530,,False
こんな,連体詞,1,1,こんな,こんな,1004880,,False
さっさと,副詞,1,1,さっさと,さっさと,1005190,,False
そう,副詞,1,1,そう,そう,2137720,,False
地獄,名詞,1,1,地獄,地獄,1421090,,False
変える,動詞,1,1,変える,変える,1510650,,False
大きな,連体詞,1,1,大きな,大きな,1412890,,False
取れる,動詞,1,1,取れ,取れる,1326990,,False
受け持つ,動詞,1,1,受け持っ,受け持つ,1329640,,False
同じ,連体詞,1,1,同じ,同じ,1451750,,False
向かう,動詞,1,1,向かえ,向かう,1604800,,False
向く,動詞,1,1,向か,向く,1277080,,False
向け,接尾辞,1,1,向け,向け,1277090,,False
君,接尾辞,1,1,君,君,1247250,,False
吹く,動詞,1,1,噴き,吹く,1370760,,False
呉れる,動詞,1,1,くれ,呉れる,1269130,,False
命令,名詞,1,1,命令,命令,1532160,,False
命運,名詞,1,1,命運,命運,1531990,,False
再び,副詞,1,1,再び,再び,1292300,,False
出る,動詞,1,1,出れ,出る,1896380,,False
団,接尾辞,1,1,団,団,1956650,,False
侵入,名詞,1,1,侵入,侵入,1359850,,False
侵攻,名詞,1,1,侵攻,侵攻,1595140,,False
信用,名詞,1,1,信用,信用,1359620,,False
先ほど,名詞,1,1,先ほど,先程,1388170,,False
入る,動詞,1,1,入っ,入る,1465590,,False
入れる,動詞,1,1,入れ,入れる,1465610,,False
入団,名詞,1,1,入団,入団,1466530,,False
全滅,名詞,1,1,全滅,全滅,1396240,,False
兵長,名詞,1,1,兵長,兵長,1506620,,False
人,名詞,1,1,人,人,1580640,,False
人々,名詞,1,1,人々,人々,1580650,,False
団長,名詞,1,1,団長,団長,1419310,,False
固い,形容詞,1,1,固え,固い,1257110,,False
固定,名詞,1,1,固定,固定,1266650,,False
地上,名詞,1,1,地上,地上,1421180,,False
急きょ,副詞,1,1,急きょ,急遽,1229020,,False
恐らく,副詞,1,1,恐らく,恐らく,1236650,,False
大地,名詞,1,1,大地,大地,1414520,,False
失う,動詞,1,1,失っ,失う,1319750,,False
失敗,名詞,1,1,失敗,失敗,1320140,,False
奪い返す,動詞,1,1,奪い返す,奪い返す,1416330,,False
奪う,動詞,1,1,奪わ,奪う,1416340,,False
奴,名詞,1,1,奴,奴,1445640,,False
実行,名詞,1,1,実行,実行,1321040,,False
家族,名詞,1,1,家族,家族,1192150,,False
寄る,動詞,1,1,寄っ,寄る,1219680,,False
小さな,連体詞,1,1,小さな,小さな,2136180,,False
工兵,名詞,1,1,工兵,工兵,1278240,,False
左右,名詞,1,1,左右,左右,1290810,,False
問う,動詞,1,1,問う,問う,1536000,,False
嘆く,動詞,1,1,嘆く,嘆く,1418090,,False
仕方無い,形容詞,1,1,仕方ない,仕方無い,1305440,,False
仕舞う,動詞,1,1,しまう,仕舞う,1305380,,False
他,名詞,1,1,他,他,1203260,,False
付く,動詞,1,1,つか,付く,1495740,,False
付近,名詞,1,1,付近,付近,1496240,,False
