sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
巨人,名詞,30,1,巨人,巨人,1232090,,False
為る,動詞,28,1,する,為る,1157170,,False
兵団,名詞,17,1,兵団,兵団,1506610,,False
有る,動詞,15,1,あり,有る,1296400,,False
調査,名詞,15,1,調査,調査,1429120,,False
こと,名詞,15,1,こと,事,1313580,,False
俺,代名詞,15,1,俺,俺,1576870,,False
居る,動詞,13,1,いる,居る,1577980,,False
殺す,動詞,11,1,殺す,殺す,1299030,,False
言う,動詞,11,1,言っ,言う,1587040,,False
君,代名詞,11,1,君,君-代名詞,1247250,,False
我々,代名詞,11,1,我々,我々-代名詞,1607050,,False
出来る,動詞,10,1,できる,出来る,1340450,,False
力,名詞,10,1,力,力,1554820,,False
私,代名詞,10,1,私,私-代名詞,1311110,,False
見る,動詞,9,1,みりゃ,見る,2256270,,False
こいつ,代名詞,9,1,こいつ,此奴,1579070,,False
思う,動詞,8,1,思わ,思う,1589350,,False
憲兵,名詞,8,1,憲兵,憲兵,1257580,,False
団,接尾辞,8,1,団,団,1956650,,False
審議,名詞,7,1,審議,審議,1360360,,False
人類,名詞,7,1,人類,人類,1369530,,False
神,名詞,7,1,神,神,1364440,,False
その,連体詞,6,1,その,其の,1006830,,False
壁,名詞,6,1,壁,壁,1509290,,False
ミ,接頭辞,6,1,ミ,御,2029670,,False
成る,動詞,6,1,なっ,成る,2846738,,False
呉れる,動詞,6,1,くれ,呉れる,1269130,,False
事実,名詞,6,1,事実,事実,1313960,,False
ウォール,名詞,6,1,ウォール,ウォール-wall,1920100,,False
待つ,動詞,6,1,待た,待つ,1410590,,False
どこ,代名詞,5,1,どこ,何処,1577140,,False
遣る,動詞,5,1,やる,遣る,2083340,,False
奴,名詞,5,1,奴,奴,1445640,,False
化,接尾辞,5,1,化,化,2056760,,False
この,連体詞,5,1,この,此の,1582920,,False
人間,名詞,5,1,人間,人間,1366770,,False
何,代名詞,4,1,何,何,1577100,,False
扉,名詞,4,1,扉,扉,1483380,,False
怖い,形容詞,4,1,怖い,怖い,1593480,,False
マリア,名詞,4,1,マリア,マリア-Maria,2573170,,False
め,接尾辞,4,1,め,目,2089650,,False
下さる,動詞,4,1,ください,下さる,1184280,,False
やっぱり,副詞,4,1,やっぱり,矢張り,1012810,,False
偉業,名詞,4,1,偉業,偉業,1155840,,False
存在,名詞,4,1,存在,存在,1406150,,False
静粛,名詞,4,1,静粛,静粛,1381920,,False
出る,動詞,4,1,出,出る,1896380,,False
今,名詞,4,1,今,今,1288850,,False
司祭,名詞,4,1,司祭,司祭,1647220,,False
区,名詞,4,1,区,区,1244080,,False
よく,副詞,4,1,よく,良く,1605870,,False
提案,名詞,4,1,提案,提案,1436320,,False
ども,接尾辞,4,1,ども,共,1234250,,False
貰う,動詞,4,1,もらう,貰う,1535910,,False
触れる,動詞,4,1,触れ,触れる,1357990,,False
黙る,動詞,4,1,黙れ,黙る,1534930,,False
彼,代名詞,4,1,彼,彼,1483070,,False
年,名詞,3,1,年,年,2084840,,False
話,名詞,3,1,話,話,1600900,,False
総統,名詞,3,1,総統,総統,1401730,,False
５,名詞,3,1,５,,1268060,,False
相手,名詞,3,1,相手,相手,1401000,,False
違う,動詞,3,1,違わ,違う,1158880,,False
解剖,名詞,3,1,解剖,解剖,1199270,,False
どう,副詞,3,1,どう,どう,1008910,,False
駐屯,名詞,3,1,駐屯,駐屯,1426940,,False
分かる,動詞,3,1,分から,分かる,1606560,,False
味方,名詞,3,1,味方,味方,1527070,,False
願う,動詞,3,1,願い,願う,1217950,,False
