sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
巨人,名詞,28,1,巨人,巨人,1232090,,False
体,名詞,17,1,体,体,1409150,,False
俺,代名詞,13,1,俺,俺,1576870,,False
ソニー,名詞,12,1,ソニー,ソニー,5047047,,False
お前,代名詞,12,1,お前,御前,1002290,,False
私,代名詞,12,1,私,私-代名詞,1311110,,False
調査,名詞,12,1,調査,調査,1429120,,False
こと,名詞,11,1,こと,事,1313580,,False
成る,動詞,10,1,なっ,成る,2846738,,False
思う,動詞,10,1,思う,思う,1589350,,False
兵団,名詞,10,1,兵団,兵団,1506610,,False
実験,名詞,10,1,実験,実験,1320970,,False
為る,動詞,9,1,しろ,為る,1157170,,False
討伐,名詞,9,1,討伐,討伐,1449970,,False
聞く,動詞,8,1,聞い,聞く,1591110,,False
その,連体詞,8,1,その,其の,1006830,,False
兵長,名詞,8,1,兵長,兵長,1506620,,False
居る,動詞,7,1,いる,居る,1577980,,False
必要,名詞,7,1,必要,必要,1487660,,False
新兵,名詞,6,1,新兵,新兵,1720290,,False
今,名詞,6,1,今,今,1288850,,False
ビーン,名詞,6,1,ビーン,ビーン-bean,2242030,,False
知る,動詞,6,1,知ら,知る,1420470,,False
有る,動詞,5,1,ある,有る,1296400,,False
死ぬ,動詞,5,1,死ね,死ぬ,1310730,,False
何,代名詞,5,1,何,何,1577100,,False
殺す,動詞,5,1,殺さ,殺す,1299030,,False
人,名詞,4,1,人,人,1580640,,False
そんな,連体詞,4,1,そんな,そんな,1007130,,False
もう,副詞,4,1,もう,もう,1012480,,False
話,名詞,4,1,話,話,1600900,,False
たち,接尾辞,4,1,たち,達,1416220,,False
無い,形容詞,4,1,なく,無い,2029080,,False
一族,名詞,4,1,一族,一族,1164440,,False
明日,名詞,4,1,明日,明日,1584660,,False
数,名詞,4,1,数,数,1580825,,False
危ない,形容詞,4,1,危な,危ない,1218380,,False
さん,接尾辞,4,1,さん,さん,1005340,,False
補佐,名詞,4,1,補佐,補佐,1603460,,False
日光,名詞,4,1,日光,ニッコウ,1464030,,False
ビーン,副詞,4,1,ビーン,びーん,2242030,,False
今回,名詞,4,1,今回,今回,1289070,,False
人間,名詞,4,1,人間,人間,1366770,,False
来る,動詞,4,1,くる,来る,1547720,,False
名前,名詞,3,1,名前,名前,1531710,,False
顔,名詞,3,1,顔,顔,1217730,,False
頑張る,動詞,3,1,頑張っ,頑張る,1217700,,False
食う,動詞,3,1,食う,食う,1592100,,False
作戦,名詞,3,1,作戦,作戦,1297800,,False
交える,動詞,3,1,交える,交える,1271660,,False
捕らえる,動詞,3,1,捕らえ,捕らえる,1598960,,False
捕獲,名詞,3,1,捕獲,捕獲,1514160,,False
時,名詞,3,1,時,時,1315840,,False
最初,名詞,3,1,最初,最初,1293990,,False
まだ,副詞,3,1,まだ,未だ,1527110,,False
２,名詞,3,1,２,,1461140,,False
貰う,動詞,3,1,もらう,貰う,1535910,,False
だらけ,接尾辞,3,1,だらけ,だらけ,1007480,,False
この,連体詞,3,1,この,此の,1582920,,False
ｍ,名詞,3,1,ｍ,,2211550,,False
そこ,代名詞,3,1,そこ,其処,1006670,,False
出来る,動詞,3,1,でき,出来る,1340450,,False
お,接頭辞,3,1,お,御,2826528,,False
以上,名詞,3,1,以上,以上,1155120,,False
出る,動詞,3,1,出,出る,1896380,,False
入る,動詞,3,1,入る,入る,1465590,,False
痛い,形容詞,3,1,痛く,痛い,1432680,,False
級,接尾辞,3,1,級,級,1919590,,False
肉,名詞,3,1,肉,肉,1463520,,False
よろしく,副詞,3,1,よろしく,宜しく,1224890,,False
班,名詞,3,1,班,班,1481640,,False
良い,形容詞,3,1,よかっ,良い,1605870,,False
見る,動詞,3,1,見,見る,2256270,,False
話す,動詞,3,1,話す,話す,1562350,,False
見える,動詞,3,1,見え,見える,1259140,,False
人類,名詞,3,1,人類,人類,1369530,,False
活動,名詞,3,1,活動,活動,1208360,,False
部屋,名詞,2,1,部屋,部屋,1499320,,False
試す,動詞,2,1,試し,試す,1312260,,False
みんな,名詞,2,1,みんな,皆,1202150,,False
許可,名詞,2,1,許可,許可,1232880,,False
部分,名詞,2,1,部分,部分,1499490,,False
あいつ,代名詞,2,1,あいつ,彼奴,1483160,,False
黙る,動詞,2,1,黙っ,黙る,1534930,,False
ここ,代名詞,2,1,ここ,此処,1288810,,False
あと,名詞,2,1,あと,後,1269320,,False
近い,形容詞,2,1,近い,近い,1242130,,False
言う,動詞,2,1,言う,言う,1587040,,False
まず,副詞,2,1,まず,先ず,1387240,,False
３,名詞,2,1,３,,1579350,,False
７,名詞,2,1,７,,1319210,,False
過ぎる,動詞,2,1,過ぎる,過ぎる,1195970,,False
違う,動詞,2,1,違う,違う,1158880,,False
つもり,名詞,2,1,つもり,積り,1382980,,False
遠征,名詞,2,1,遠征,遠征,1178210,,False
遣る,動詞,2,1,やれ,遣る,2083340,,False
遮断,名詞,2,1,遮断,遮断,1323320,,False
街,接尾辞,2,1,街,街,1603990,,False
日,接尾辞,2,1,日,日,1463770,,False
上,名詞,2,1,上,上,1352130,,False
今期,名詞,2,1,今期,今期,1289080,,False
仕舞う,動詞,2,1,しまっ,仕舞う,1305380,,False
本部,名詞,2,1,本部,本部,1523170,,False
本当,名詞,2,1,本当,本当,1523060,,False
方,接尾辞,2,1,方,方,1516925,,False
施設,名詞,2,1,施設,施設,1310410,,False
ペラペラ,副詞,2,1,ペラペラ,ぺらぺら,1011580,,False
気付く,動詞,2,1,気付い,気付く,1591330,,False
時間,名詞,2,1,時間,時間,1315920,,False
止める,動詞,2,1,やめ,止める,1310680,,False
死刑,名詞,2,1,死刑,死刑,1310810,,False
フッ,副詞,2,1,フッ,ふっ,2558020,,False
被験,名詞,2,1,被験,被験,2860323,,False
行く,動詞,2,1,行っ,行く,1578850,,False
舌,名詞,2,1,舌,舌,1387010,,False
自慢,名詞,2,1,自慢,自慢,1318680,,False
はず,名詞,2,1,はず,筈,1476430,,False
ウソ,名詞,2,1,ウソ,嘘,1172400,,False
わけ,名詞,2,1,わけ,訳,1538330,,False
考える,動詞,2,1,考え,考える,1281020,,False
結論,名詞,2,1,結論,結論,1255020,,False
精鋭,名詞,2,1,精鋭,精鋭,1379880,,False
ルール,名詞,2,1,ルール,ルール-rule,1143920,,False
ミス,名詞,2,1,ミス,ミス-mistake,1130650,,False
耐える,動詞,2,1,耐える,耐える,1211310,,False
もし,副詞,2,1,もし,若し,1012500,,False
もの,名詞,2,1,もの,物,1502390,,False
もっと,副詞,2,1,もっと,もっと,1012620,,False
確認,名詞,2,1,確認,確認,1205900,,False
示す,動詞,2,1,示す,示す,1317110,,False
年,名詞,2,1,年,年,2084840,,False
以前,名詞,2,1,以前,以前,1155150,,False
全然,副詞,2,1,全然,全然,1395620,,False
全部,名詞,2,1,全部,全部,1396130,,False
全く,副詞,2,1,全く,全く,1394800,,False
入れる,動詞,2,1,入れ,入れる,1465610,,False
憲兵,名詞,2,1,憲兵,憲兵,1257580,,False
所,名詞,2,1,所,所,1343100,,False
得る,動詞,2,1,得,得る,1454500,,False
使う,動詞,2,1,使わ,使う,1305990,,False
早急,形状詞,2,1,早急,早急,1581270,,False
担当,名詞,2,1,担当,担当,1418160,,False
惜しい,形容詞,2,1,惜しかっ,惜しい,1382280,,False
憎しみ,名詞,2,1,憎しみ,憎しみ,1403400,,False
感ずる,名詞,2,1,感じ,感じ,1212250,,False
多い,形容詞,2,1,多い,多い,1407460,,False
叫ぶ,動詞,2,1,叫ぶ,叫ぶ,1235910,,False
反応,名詞,2,1,反応,反応,1480210,,False
団長,名詞,2,1,団長,団長,1419310,,False
団,接尾辞,2,1,団,団,1956650,,False
卒業,名詞,2,1,卒業,卒業,1405890,,False
失望,名詞,2,1,失望,失望,1320170,,False
喋る,動詞,2,1,しゃべっ,喋る,1427510,,False
切断,名詞,2,1,切断,切断,1385120,,False
壁,名詞,2,1,壁,壁,1509290,,False
安心,名詞,2,1,安心,安心,1153890,,False
当初,名詞,2,1,当初,当初,1449110,,False
これ,代名詞,2,1,これ,此れ,1628530,,False
ずっと,副詞,2,1,ずっと,ずっと,1006380,,False
驚かす,動詞,2,1,驚かさ,驚かす,1238650,,False
うなじ,名詞,2,1,うなじ,項,1282970,,False
あんた,代名詞,2,1,あんた,貴方,1979920,,False
あたり,名詞,1,1,あたり,辺り,1512080,,False
あんな,連体詞,1,1,あんな,あんな,1000590,,False
あんまり,副詞,1,1,あんまり,余り,1584930,,False
いささか,副詞,1,1,いささか,些か,1610600,,False
いつ,代名詞,1,1,いつ,何時,1188760,,False
頭,名詞,1,1,頭,頭,1582310,,False
預かり,名詞,1,1,預かり,預かり,1544950,,False
頂く,動詞,1,1,いただけ,頂く,1587290,,False
離れる,動詞,1,1,離れ,離れる,1550840,,False
雑草,名詞,1,1,雑草,雑草,1299460,,False
集団,名詞,1,1,集団,集団,1333730,,False
隠す,動詞,1,1,隠し,隠す,1170650,,False
違い,名詞,1,1,違い,違い,1158870,,False
ちょっと,副詞,1,1,ちょっと,一寸,1163940,,False
でかい,形容詞,1,1,デカい,でかい,1008370,,False
とことん,名詞,1,1,とことん,とことん,1984760,,False
ところ,名詞,1,1,ところ,所,1343100,,False
とても,副詞,1,1,とても,迚も,1008630,,False
とにかく,副詞,1,1,とにかく,兎に角,1443990,,False
どおり,名詞,1,1,どおり,通り,1432930,,False
どこ,代名詞,1,1,どこ,何処,1577140,,False
重量,名詞,1,1,重量,重量,1336900,,False
金品,名詞,1,1,金品,金品,1630360,,False
鈍い,形容詞,1,1,鈍く,鈍い,1582430,,False
長い,形容詞,1,1,長く,長い,1429750,,False
陽気,形状詞,1,1,陽気,陽気,1546990,,False
階,名詞,1,1,階,階,1203020,,False
