sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
巨人,名詞,18,1,巨人,巨人,1232090,,False
俺,代名詞,17,1,俺,俺,1576870,,False
調査,名詞,16,1,調査,調査,1429120,,False
兵団,名詞,16,1,兵団,兵団,1506610,,False
死ぬ,動詞,15,1,死ね,死ぬ,1310730,,False
お前,代名詞,15,1,お前,御前,1002290,,False
為る,動詞,14,1,する,為る,1157170,,False
成る,動詞,13,1,なっ,成る,2846738,,False
こと,名詞,13,1,こと,事,1313580,,False
有る,動詞,12,1,ある,有る,1296400,,False
分かる,動詞,11,1,分かる,分かる,1606560,,False
居る,動詞,10,1,いる,居る,1577980,,False
今,名詞,10,1,今,今,1288850,,False
この,連体詞,10,1,この,此の,1582920,,False
言う,動詞,8,1,言っ,言う,1587040,,False
行く,動詞,8,1,いけ,行く,1578850,,False
団長,名詞,8,1,団長,団長,1419310,,False
ジャン,名詞,7,1,ジャン,ジャン-Jean,1984400,,False
決める,動詞,7,1,決め,決める,1254180,,False
自分,名詞,7,1,自分,自分,1318610,,False
みんな,名詞,6,1,みんな,皆,1202150,,False
兵士,名詞,6,1,兵士,兵士,1506420,,False
知る,動詞,6,1,知っ,知る,1420470,,False
兵,名詞,5,1,兵,兵,2067560,,False
人類,名詞,5,1,人類,人類,1369530,,False
新兵,名詞,5,1,新兵,新兵,1720290,,False
憲兵,名詞,5,1,憲兵,憲兵,1257580,,False
区,名詞,5,1,区,区,1244080,,False
見る,動詞,5,1,見る,見る,2256270,,False
もう,副詞,5,1,もう,もう,1012480,,False
呉れる,動詞,5,1,くれ,呉れる,1269130,,False
命,名詞,5,1,命,命,1531940,,False
ミ,接頭辞,5,1,ミ,御,2029670,,False
聞く,動詞,4,1,聞い,聞く,1591110,,False
男女,名詞,4,1,男女,男女,1420110,,False
班,名詞,4,1,班,班,1481640,,False
私,代名詞,4,1,私,私-代名詞,1311110,,False
その,連体詞,4,1,その,其の,1006830,,False
それ,代名詞,4,1,それ,其れ,1006970,,False
所属,名詞,4,1,所属,所属,1343310,,False
入る,動詞,4,1,入っ,入る,1465590,,False
出来る,動詞,4,1,できる,出来る,1340450,,False
これ,代名詞,4,1,これ,此れ,1628530,,False
前,名詞,4,1,前,前,1392580,,False
以上,名詞,4,1,以上,以上,1155120,,False
我々,代名詞,4,1,我々,我々-代名詞,1607050,,False
整列,名詞,4,1,整列,整列,1376300,,False
訓練,名詞,4,1,訓練,訓練,1247470,,False
奴,名詞,4,1,奴,奴,1445640,,False
作戦,名詞,4,1,作戦,作戦,1297800,,False
あんた,代名詞,3,1,あんた,貴方,1979920,,False
ここ,代名詞,3,1,ここ,此処,1288810,,False
思う,動詞,3,1,思っ,思う,1589350,,False
彼,代名詞,3,1,彼,彼,1483070,,False
使う,動詞,3,1,使っ,使う,1305990,,False
つもり,名詞,3,1,つもり,積り,1382980,,False
者,名詞,3,1,者,者,2153760,,False
殺す,動詞,3,1,殺し,殺す,1299030,,False
力,名詞,3,1,力,力,1554820,,False
今日,名詞,3,1,今日,今日,1579110,,False
団,接尾辞,3,1,団,団,1956650,,False
一体,副詞,3,1,一体,一体,1164510,,False
怖い,形容詞,3,1,怖く,怖い,1593480,,False
人,名詞,3,1,人,人,1580640,,False
理由,名詞,3,1,理由,理由,1550140,,False
村,名詞,3,1,村,村,1406820,,False
まさか,副詞,3,1,まさか,まさか,1363540,,False
頼む,動詞,2,1,頼む,頼む,1548370,,False
こいつ,代名詞,2,1,こいつ,此奴,1579070,,False
つまり,副詞,2,1,つまり,詰まり,1610430,,False
違う,動詞,2,1,違う,違う,1158880,,False
バカ,名詞,2,1,バカ,馬鹿,1601260,,False
イヤ,形状詞,2,1,イヤ,嫌,1587610,,False
索敵,名詞,2,1,索敵,索敵,1298370,,False
理解,名詞,2,1,理解,理解,1549910,,False
術,名詞,2,1,術,術,1340780,,False
目標,名詞,2,1,目標,目標,1535650,,False
頭,名詞,2,1,頭,頭,1582310,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
話す,動詞,2,1,話す,話す,1562350,,False
泣く,動詞,2,1,泣く,泣く,1229840,,False
残る,動詞,2,1,残っ,残る,1304510,,False
正体,名詞,2,1,正体,正体,1377530,,False
現状,名詞,2,1,現状,現状,1263770,,False
死に急ぐ,動詞,2,1,死に急ぎ,死に急ぐ,1849060,,False
テメー,代名詞,2,1,テメー,てまえ,2076920,,False
ネス,名詞,2,1,ネス,ネス,1092890,,False
体,名詞,2,1,体,体,1409140,,False
中,名詞,2,1,中,中,1423310,,False
欲しい,形容詞,2,1,ほしい,欲しい,1547330,,False
止す,動詞,2,1,よし,止す,1310600,,False
敬礼,名詞,2,1,敬礼,敬礼,1250790,,False
次,名詞,2,1,次,次,1316380,,False
今回,名詞,2,1,今回,今回,1289070,,False
恐怖,名詞,2,1,恐怖,恐怖,1236750,,False
掛ける,動詞,2,1,賭け,掛ける,1207610,,False
弱い,形容詞,2,1,弱い,弱い,1324520,,False
心臓,名詞,2,1,心臓,心臓,1360770,,False
他,名詞,2,1,他,他,1203260,,False
同期,名詞,2,1,同期,同期,1452030,,False
傷,名詞,2,1,傷,傷,1580260,,False
勧誘,名詞,2,1,勧誘,勧誘,1211120,,False
存在,名詞,2,1,存在,存在,1406150,,False
全て,名詞,2,1,全て,全て,1595730,,False
出る,動詞,2,1,出る,出る,1896380,,False
兵長,名詞,2,1,兵長,兵長,1506620,,False
参加,名詞,2,1,参加,参加,1302090,,False
前進,名詞,2,1,前進,前進,1393350,,False
あいつ,代名詞,2,1,あいつ,彼奴,1483160,,False
開門,名詞,2,1,開門,開門,1202980,,False
陣形,名詞,2,1,陣形,陣形,1370190,,False
いつ,代名詞,2,1,いつ,何時,1188760,,False
うち,名詞,1,1,うち,内,1191740,,False
あらかた,名詞,1,1,あらかた,粗方,1397080,,False
いくら,副詞,1,1,いくら,幾ら,1219980,,False
隅々,名詞,1,1,隅々,隅々,1592280,,False
限界,名詞,1,1,限界,限界,1264650,,False
阻止,名詞,1,1,阻止,阻止,1397820,,False
辛い,形容詞,1,1,カラ,辛い,1365860,,False
辿り着く,動詞,1,1,辿り着き,辿り着く,1416680,,False
ため,名詞,1,1,ため,為,1157080,,False
ちょっと,副詞,1,1,ちょっと,一寸,1163940,,False
とき,名詞,1,1,とき,時,1315840,,False
ところ,名詞,1,1,ところ,所,1343100,,False
どう,副詞,1,1,どう,どう,1008910,,False
どおり,名詞,1,1,どおり,通り,1432930,,False
どれ,代名詞,1,1,どれ,何れ,1009290,,False
どんな,連体詞,1,1,どんな,どんな,1009330,,False
はじめ,名詞,1,1,はじめ,始め,1342540,,False
遠回り,名詞,1,1,遠回り,遠回り,1177930,,False
遠征,名詞,1,1,遠征,遠征,1178210,,False
遣る,動詞,1,1,やる,遣る,2083340,,False
選ぶ,動詞,1,1,選ば,選ぶ,1588730,,False
迎え入れる,動詞,1,1,迎え入れる,迎え入れる,1253220,,False
叩く,動詞,1,1,たたこう,叩く,1416170,,False
味方,名詞,1,1,味方,味方,1527070,,False
命懸け,名詞,1,1,命懸け,命懸け,1532000,,False
哨戒,名詞,1,1,哨戒,哨戒,1742930,,False
喜ぶ,動詞,1,1,喜ぶ,喜ぶ,1218760,,False
兵科,名詞,1,1,兵科,兵科,1506260,,False
処理,名詞,1,1,処理,処理,1342510,,False
