sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
巨人,名詞,24,1,巨人,巨人,1232090,,False
奴,名詞,16,1,奴,奴,1445640,,False
為る,動詞,14,1,する,為る,1157170,,False
居る,動詞,14,1,いる,居る,1577980,,False
あいつ,代名詞,12,1,あいつ,彼奴,1483160,,False
煙弾,名詞,11,1,煙弾,煙弾,1177300,,False
俺,代名詞,9,1,俺,俺,1576870,,False
今,名詞,9,1,今,今,1288850,,False
索敵,名詞,9,1,索敵,索敵,1298370,,False
種,名詞,8,1,種,種,1328810,,False
右翼,名詞,8,1,右翼,右翼,1171270,,False
殺す,動詞,8,1,殺さ,殺す,1299030,,False
陣形,名詞,8,1,陣形,陣形,1370190,,False
遣る,動詞,7,1,やる,遣る,2083340,,False
班,名詞,7,1,班,班,1481640,,False
奇行,名詞,7,1,奇行,奇行,1777860,,False
人間,名詞,6,1,人間,人間,1366770,,False
来る,動詞,6,1,来,来る,1547720,,False
打つ,動詞,6,1,撃ち,打つ,1408810,,False
何,代名詞,6,1,何,何,1577100,,False
ジャン,名詞,6,1,ジャン,ジャン-Jean,1984400,,False
こいつ,代名詞,5,1,こいつ,此奴,1579070,,False
呉れる,動詞,5,1,くれ,呉れる,1269130,,False
成る,動詞,5,1,なり,成る,2846738,,False
有る,動詞,5,1,ある,有る,1000580,,False
シス,名詞,4,1,シス,シス-Sith,5743359,,False
行く,動詞,4,1,行っ,行く,1578850,,False
調査,名詞,4,1,調査,調査,1429120,,False
こっち,代名詞,4,1,こっち,此方,1004500,,False
違う,動詞,4,1,違う,違う,1158880,,False
見る,動詞,4,1,見れ,見る,2256270,,False
うなじ,名詞,4,1,うなじ,項,1282970,,False
あっち,代名詞,4,1,あっち,彼方,1483185,,False
側,名詞,4,1,側,側,1581310,,False
確認,名詞,4,1,確認,確認,1205900,,False
ライナー,名詞,4,1,ライナー,ライナー-liner,1138090,,False
お前,代名詞,4,1,お前,御前,1002290,,False
信,名詞,4,1,信,信,1580550,,False
体,名詞,4,1,体,体,1409140,,False
思う,動詞,3,1,思っ,思う,1589350,,False
気,名詞,3,1,気,気,1221520,,False
野郎,名詞,3,1,野郎,野郎,1537700,,False
作戦,名詞,3,1,作戦,作戦,1297800,,False
前方,名詞,3,1,前方,前方,1394010,,False
出来る,動詞,3,1,でき,出来る,1340450,,False
仕留める,動詞,3,1,仕留める,仕留める,1305630,,False
僕,代名詞,3,1,僕,僕-代名詞,1521400,,False
後方,名詞,3,1,後方,後方,1270100,,False
接近,名詞,3,1,接近,接近,1385370,,False
目的,名詞,3,1,目的,目的,1535560,,False
そいつ,代名詞,3,1,そいつ,其奴,1006600,,False
援護,名詞,3,1,援護,援護,1588790,,False
走る,動詞,3,1,走れ,走る,1402540,,False
纏う,動詞,3,1,まとっ,纏う,1440900,,False
中央,名詞,3,1,中央,中央,1423430,,False
死に急ぐ,動詞,3,1,死に急ぎ,死に急ぐ,1849060,,False
知れる,動詞,3,1,しれ,知れる,1420490,,False
赤,名詞,3,1,赤,赤,2013900,,False
そう,副詞,3,1,そう,そう,2137720,,False
こと,名詞,3,1,こと,事,1313580,,False
その,連体詞,3,1,その,其の,1006830,,False
言う,動詞,3,1,言い,言う,1587040,,False
顔,名詞,3,1,顔,顔,1217730,,False
辺り,名詞,3,1,辺り,辺り,1512080,,False
この,連体詞,3,1,この,此の,1582920,,False
陣営,名詞,3,1,陣営,陣営,1370180,,False
不味い,形容詞,2,1,マズい,不味い,1495000,,False
なぜ,副詞,2,1,なぜ,何故,1577120,,False
予測,名詞,2,1,予測,予測,1543200,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
無視,名詞,2,1,無視,無視,1530020,,False
狙う,動詞,2,1,狙わ,狙う,1396590,,False
ヘタ,名詞,2,1,ヘタ,下手,1185200,,False
知る,動詞,2,1,知ら,知る,1420470,,False
発見,名詞,2,1,発見,発見,1477310,,False
知性,名詞,2,1,知性,知性,1420630,,False
潰す,動詞,2,1,潰さ,潰す,1433820,,False
無い,形容詞,2,1,なく,無い,2029080,,False
ネス,名詞,2,1,ネス,ネス,1092890,,False
フード,名詞,2,1,フード,フード-food,1107380,,False
率いる,動詞,2,1,率いる,率いる,1551210,,False
級,接尾辞,2,1,級,級,1919590,,False
紙,接尾辞,2,1,紙,紙,1311530,,False
足,名詞,2,1,足,足,1404630,,False
進める,動詞,2,1,進め,進める,1365990,,False
ｍ,名詞,2,1,ｍ,,2211550,,False
逃げる,動詞,2,1,逃げろ,逃げる,1450330,,False
たき,名詞,2,1,たき,滝,1415520,,False
ため,名詞,2,1,ため,為,1157080,,False
自分,名詞,2,1,自分,自分,1318610,,False
距離,名詞,2,1,距離,距離,1232920,,False
もし,副詞,2,1,もし,若し,1012500,,False
認識,名詞,2,1,認識,認識,1467550,,False
見える,動詞,2,1,見える,見える,1259140,,False
行動,名詞,2,1,行動,行動,1282100,,False
もう,副詞,2,1,もう,もう,1012480,,False
ブラウス,名詞,2,1,ブラウス,ブラウス-blouse,1113650,,False
兵団,名詞,2,1,兵団,兵団,1506610,,False
兵,名詞,2,1,兵,兵,2067560,,False
全滅,名詞,2,1,全滅,全滅,1396240,,False
全体,名詞,2,1,全体,全体,1395660,,False
女,名詞,2,1,女,女,1344930,,False
所,名詞,2,1,所,所,1343100,,False
待つ,動詞,2,1,待っ,待つ,1410590,,False
急ぐ,動詞,2,1,急げ,急ぐ,1228650,,False
引き付ける,動詞,2,1,引きつける,引き付ける,1601680,,False
時間,名詞,2,1,時間,時間,1315920,,False
死ぬ,動詞,2,1,死ぬ,死ぬ,1310730,,False
他,名詞,2,1,他,他,1203260,,False
伝達,名詞,2,1,伝達,伝達,1442240,,False
企画,名詞,2,1,企画,企画,1218150,,False
任せる,動詞,2,1,任せ,任せる,1467150,,False
撤退,名詞,2,1,撤退,撤退,1437740,,False
方,名詞,2,1,方,方,1516930,,False
探す,動詞,2,1,捜し,探す,1593670,,False
区,名詞,2,1,区,区,1244080,,False
分かる,動詞,2,1,分かる,分かる,1606560,,False
人類,名詞,2,1,人類,人類,1369530,,False
展開,名詞,2,1,展開,展開,1440600,,False
団長,名詞,2,1,団長,団長,1419310,,False
壊滅,名詞,2,1,壊滅,壊滅,1199930,,False
前進,名詞,2,1,前進,前進,1393350,,False
動き,名詞,2,1,動き,動き,1451180,,False
取る,動詞,2,1,取っ,取る,1326980,,False
兵士,名詞,2,1,兵士,兵士,1506420,,False
出会す,動詞,2,1,出くわし,出会す,1337950,,False
これ,代名詞,2,1,これ,此れ,1628530,,False
長い,形容詞,2,1,長く,長い,1429750,,False
鎧,名詞,2,1,鎧,鎧,1204740,,False
あんな,連体詞,1,1,あんな,あんな,1000590,,False
おっかない,形容詞,1,1,おっかねえ,おっかない,1001330,,False
おなか,名詞,1,1,おなか,御腹,1002610,,False
がた,名詞,1,1,がた,方,1250090,,False
きっと,副詞,1,1,きっと,急度,1003430,,False
限り,名詞,1,1,限り,限り,1264610,,False
間,接尾辞,1,1,間,間,2067900,,False
開始,名詞,1,1,開始,開始,1202760,,False
酷い,形容詞,1,1,ひどい,酷い,1602060,,False
配置,名詞,1,1,配置,配置,1473150,,False
避ける,動詞,1,1,避け,避ける,1583260,,False
選ぶ,動詞,1,1,選ん,選ぶ,1588730,,False
辛い,形容詞,1,1,カラ,辛い,1365860,,False
迎え入れる,動詞,1,1,迎え入れる,迎え入れる,1253220,,False
近く,名詞,1,1,近く,近く,1242160,,False
そんな,連体詞,1,1,そんな,そんな,1007130,,False
ただ,副詞,1,1,ただ,唯,1538900,,False
たち,接尾辞,1,1,たち,達,1416220,,False
だいぶ,副詞,1,1,だいぶ,大分,1414920,,False
ちくしょう,名詞,1,1,ちくしょう,畜生,1422200,,False
ちょっと,副詞,1,1,ちょっと,一寸,1163940,,False
つまり,副詞,1,1,つまり,詰まり,1610430,,False
とおり,名詞,1,1,とおり,通り,1432920,,False
とにかく,副詞,1,1,とにかく,兎に角,1443990,,False
遅れる,動詞,1,1,遅れ,遅れる,1589040,,False
運動,名詞,1,1,運動,運動,1172910,,False
過程,名詞,1,1,過程,過程,1196270,,False
迫る,動詞,1,1,迫っ,迫る,1475720,,False
半円,名詞,1,1,半円,半円,1478870,,False
取り零す,動詞,1,1,取りこぼし,取り零す,1326520,,False
出発,名詞,1,1,出発,出発,1340000,,False
初めて,副詞,1,1,初めて,初めて,1342550,,False
別物,名詞,1,1,別物,別物,1510150,,False
前線,名詞,1,1,前線,前線,1393510,,False
力,名詞,1,1,力,力,1554820,,False
勇敢,形状詞,1,1,勇敢,勇敢,1539730,,False
勝つ,動詞,1,1,勝て,勝つ,1346150,,False
何,名詞,1,1,何,何,1577100,,False
叩き付ける,動詞,1,1,たたきつけ,叩き付ける,1416140,,False
叩く,動詞,1,1,はたか,叩く,2829135,,False
司令,名詞,1,1,司令,司令,1306710,,False
同じ,形状詞,1,1,同じ,同じ,1451750,,False
同じ,連体詞,1,1,同じ,同じ,1451750,,False
同期,名詞,1,1,同期,同期,1452030,,False
平地,名詞,1,1,平地,平地,1583890,,False
地,名詞,1,1,地,地,2423320,,False
地形,名詞,1,1,地形,地形,1421030,,False
型,接尾辞,1,1,型,型,1250090,,False
場合,名詞,1,1,場合,場合,1355810,,False
壁,名詞,1,1,壁,壁,1509290,,False
壊す,動詞,1,1,壊さ,壊す,1199890,,False
変,名詞,1,1,変,変,1510640,,False
多大,形状詞,1,1,多大,多大,1407900,,False
大丈夫,形状詞,1,1,大丈夫,大丈夫,1414150,,False
大勢,名詞,1,1,大勢,大勢,1414220,,False
大群,名詞,1,1,大群,大群,1413520,,False
失礼,名詞,1,1,失礼,失礼,1320230,,False
奪還,名詞,1,1,奪還,奪還,1416370,,False
十分,副詞,1,1,十分,十分,1335080,,False
十分,形状詞,1,1,十分,十分,1335080,,False
安全,名詞,1,1,安全,安全,1153930,,False
完全,形状詞,1,1,完全,完全,1211510,,False
優秀,形状詞,1,1,優秀,優秀,1539230,,False
先,名詞,1,1,先,先,1387210,,False
先輩,名詞,1,1,先輩,先輩,1388410,,False
入る,動詞,1,1,入っ,入る,1465590,,False
全く,副詞,1,1,全く,全く,1394800,,False
人食い,名詞,1,1,人食い,人食い,1368240,,False
