sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
為る,動詞,20,1,する,為る,1157170,,False
森,名詞,15,1,森,森,1362490,,False
巨人,名詞,15,1,巨人,巨人,1232090,,False
居る,動詞,11,1,いる,居る,1577980,,False
馬,名詞,10,1,馬,馬,1471560,,False
有る,動詞,9,1,ある,有る,1000580,,False
煙弾,名詞,9,1,煙弾,煙弾,1177300,,False
兵長,名詞,9,1,兵長,兵長,1506620,,False
班,名詞,9,1,班,班,1481640,,False
どう,副詞,9,1,どう,どう,1008910,,False
遣る,動詞,8,1,やる,遣る,2083340,,False
団長,名詞,8,1,団長,団長,1419310,,False
この,連体詞,8,1,この,此の,1582920,,False
奴,名詞,8,1,奴,奴,1445640,,False
来る,動詞,8,1,来,来る,1547720,,False
入る,動詞,7,1,入っ,入る,1465590,,False
お前,代名詞,7,1,お前,御前,1002290,,False
もう,副詞,7,1,もう,もう,1012480,,False
陣形,名詞,7,1,陣形,陣形,1370190,,False
指示,名詞,6,1,指示,指示,1309800,,False
考える,動詞,6,1,考え,考える,1281020,,False
呉れる,動詞,6,1,くれ,呉れる,1269130,,False
ここ,代名詞,6,1,ここ,此処,1288810,,False
俺,代名詞,6,1,俺,俺,1576870,,False
行く,動詞,5,1,いか,行く,1578850,,False
良い,形容詞,5,1,よかっ,良い,1605870,,False
まだ,副詞,5,1,まだ,未だ,1527110,,False
中,名詞,5,1,中,中,1423310,,False
状況,名詞,5,1,状況,状況,1356700,,False
列,名詞,5,1,列,列,1558330,,False
決める,動詞,5,1,決める,決める,1254180,,False
右翼,名詞,5,1,右翼,右翼,1171270,,False
思う,動詞,5,1,思え,思う,1589350,,False
こと,名詞,5,1,こと,事,1313580,,False
伝達,名詞,5,1,伝達,伝達,1442240,,False
中,接頭辞,4,1,中,中,1423310,,False
従う,動詞,4,1,従おう,従う,1335210,,False
作戦,名詞,4,1,作戦,作戦,1297800,,False
無い,形容詞,4,1,無い,無い,2029080,,False
意図,名詞,4,1,意図,意図,1156690,,False
戻る,動詞,4,1,戻っ,戻る,1535880,,False
分かる,動詞,4,1,分から,分かる,1606560,,False
よく,副詞,4,1,よく,良く,1605870,,False
こんな,連体詞,4,1,こんな,こんな,1004880,,False
判断,名詞,4,1,判断,判断,1478620,,False
ジャン,名詞,4,1,ジャン,ジャン-Jean,1984400,,False
なぜ,副詞,4,1,なぜ,何故,1577120,,False
新兵,名詞,4,1,新兵,新兵,1720290,,False
側,名詞,4,1,側,側,1581310,,False
報告,名詞,4,1,報告,報告,1515670,,False
女,名詞,4,1,女,女,1344930,,False
命令,名詞,4,1,命令,命令,1532160,,False
索敵,名詞,4,1,索敵,索敵,1298370,,False
種,名詞,3,1,種,種,1328810,,False
わけ,名詞,3,1,わけ,訳,1538330,,False
近く,名詞,3,1,近く,近く,1242160,,False
進路,名詞,3,1,進路,進路,1366200,,False
頭,名詞,3,1,頭,頭,1582310,,False
１人,名詞,3,1,１人,一人,1576150,,False
こっち,代名詞,3,1,こっち,此方,1004500,,False
奇行,名詞,3,1,奇行,奇行,1777860,,False
ボーっと,副詞,3,1,ボーっと,ぼうっと,1011760,,False
回す,動詞,3,1,回し,回す,1199350,,False
出る,動詞,3,1,出る,出る,1896380,,False
そんな,形状詞,3,1,そんな,そんな,1007130,,False
出来る,動詞,3,1,できる,出来る,1340450,,False
ちょっと,副詞,3,1,ちょっと,一寸,1163940,,False
今,名詞,3,1,今,今,1288850,,False
大丈夫,形状詞,3,1,大丈夫,大丈夫,1414150,,False
型,接尾辞,3,1,型,型,1250090,,False
侵入,名詞,3,1,侵入,侵入,1359850,,False
司令,名詞,3,1,司令,司令,1306710,,False
必要,名詞,3,1,必要,必要,1487660,,False
成る,動詞,3,1,なっ,成る,2846738,,False
打つ,動詞,3,1,撃っ,打つ,1408810,,False
撤退,名詞,3,1,撤退,撤退,1437740,,False
死に急ぐ,動詞,3,1,死に急ぎ,死に急ぐ,1849060,,False
残る,動詞,3,1,残る,残る,1304510,,False
立体,名詞,3,1,立体,立体,1551740,,False
言う,動詞,3,1,いっ,言う,1587040,,False
学ぶ,動詞,2,1,学ぶ,学ぶ,1206530,,False
あいつ,代名詞,2,1,あいつ,彼奴,1483160,,False
僕,代名詞,2,1,僕,僕-代名詞,1521400,,False
守る,動詞,2,1,守り,守る,1327120,,False
避ける,動詞,2,1,よけ,避ける,1583260,,False
最悪,名詞,2,1,最悪,最悪,1293720,,False
右,名詞,2,1,右,右,1171010,,False
どんな,連体詞,2,1,どんな,どんな,1009330,,False
接近,名詞,2,1,接近,接近,1385370,,False
待つ,動詞,2,1,待っ,待つ,1410590,,False
他,名詞,2,1,他,他,1203260,,False
方,名詞,2,1,方,方,1516930,,False
外れる,動詞,2,1,外れ,外れる,1203310,,False
変える,動詞,2,1,変え,変える,1510650,,False
回避,名詞,2,1,回避,回避,1199700,,False
止まる,動詞,2,1,止まっ,止まる,1310620,,False
待機,名詞,2,1,待機,待機,1410600,,False
死ぬ,動詞,2,1,死ぬ,死ぬ,1310730,,False
何,代名詞,2,1,何,何,1577100,,False
でかい,形容詞,2,1,デカい,でかい,1008370,,False
中央,名詞,2,1,中央,中央,1423430,,False
たき,名詞,2,1,たき,滝,1415520,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
そりゃあ,代名詞,2,1,そりゃあ,其れ,2134680,,False
そこ,代名詞,2,1,そこ,其処,1006670,,False
護衛,名詞,2,1,護衛,護衛,1271510,,False
知性,名詞,2,1,知性,知性,1420630,,False
そいつ,代名詞,2,1,そいつ,其奴,1006600,,False
侵攻,名詞,2,1,侵攻,侵攻,1595140,,False
下さる,動詞,2,1,ください,下さる,1184280,,False
続行,名詞,2,1,続行,続行,1405810,,False
緑,名詞,2,1,緑,緑,1555300,,False
左,名詞,2,1,左,左,1290800,,False
聞く,動詞,2,1,聞い,聞く,1591110,,False
背後,名詞,2,1,背後,背後,1472730,,False
一体,副詞,2,1,一体,一体,1164510,,False
ライナー,名詞,2,1,ライナー,ライナー-liner,1138090,,False
装置,名詞,2,1,装置,装置,1402360,,False
見る,動詞,2,1,みよう,見る,2256270,,False
