sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
巨人,名詞,19,1,巨人,巨人,1232090,,False
お前,代名詞,18,1,お前,御前,1002290,,False
俺,代名詞,17,1,俺,俺,1576870,,False
分かる,動詞,13,1,分かり,分かる,1606560,,False
兵長,名詞,13,1,兵長,兵長,1506620,,False
こと,名詞,11,1,こと,事,1313580,,False
為る,動詞,11,1,する,為る,1157170,,False
遣る,動詞,10,1,やり,遣る,2083340,,False
信ずる,動詞,9,1,信じる,信ずる,1359070,,False
その,連体詞,8,1,その,其の,1006830,,False
成る,動詞,8,1,なっ,成る,2846738,,False
ちょっと,副詞,7,1,ちょっと,一寸,1163940,,False
この,連体詞,7,1,この,此の,1582920,,False
早い,形容詞,7,1,早い,早い,1404975,,False
有る,動詞,6,1,あり,有る,1000580,,False
出来る,動詞,6,1,でき,出来る,1340450,,False
良い,形容詞,6,1,いい,良い,1605870,,False
居る,動詞,6,1,いる,居る,1577980,,False
見る,動詞,6,1,みろ,見る,2256270,,False
殺す,動詞,6,1,殺す,殺す,1299030,,False
それ,代名詞,6,1,それ,其れ,1006970,,False
呉れる,動詞,5,1,くれ,呉れる,1269130,,False
班,名詞,5,1,班,班,1481640,,False
答える,動詞,5,1,答えろ,答える,1449530,,False
まだ,副詞,5,1,まだ,未だ,1527110,,False
さん,接尾辞,5,1,さん,さん,1005340,,False
これ,代名詞,5,1,これ,此れ,1628530,,False
思う,動詞,4,1,思っ,思う,1589350,,False
落ち着く,動詞,4,1,落ち着い,落ち着く,1589220,,False
下さる,動詞,4,1,ください,下さる,1184280,,False
選ぶ,動詞,4,1,選べ,選ぶ,1588730,,False
また,副詞,4,1,また,又,1524930,,False
走る,動詞,4,1,走れ,走る,1402540,,False
戦う,動詞,4,1,戦っ,戦う,1596960,,False
化,接尾辞,4,1,化,化,2056760,,False
判断,名詞,4,1,判断,判断,1478620,,False
こいつ,代名詞,4,1,こいつ,此奴,1579070,,False
向ける,動詞,4,1,向け,向ける,1277100,,False
待つ,動詞,4,1,待っ,待つ,1410590,,False
力,名詞,4,1,力,力,1554820,,False
危険,名詞,3,1,危険,危険,1218560,,False
命,名詞,3,1,命,命,1531940,,False
中,名詞,3,1,中,中,1423310,,False
状況,名詞,3,1,状況,状況,1356700,,False
理由,名詞,3,1,理由,理由,1550140,,False
どう,副詞,3,1,どう,どう,1008910,,False
言う,動詞,3,1,いえ,言う,1587040,,False
触る,動詞,3,1,触っ,触る,1357980,,False
前,名詞,3,1,前,前,1392580,,False
自分,名詞,3,1,自分,自分,1318610,,False
なぜ,副詞,3,1,なぜ,何故,1577120,,False
証明,名詞,3,1,証明,証明,1351680,,False
調査,名詞,3,1,調査,調査,1429120,,False
見殺し,名詞,3,1,見殺し,見殺し,1259600,,False
熱い,形容詞,3,1,熱い,熱い,1467720,,False
よく,副詞,3,1,よく,良く,1605870,,False
聞こえる,動詞,3,1,聞こえ,聞こえる,1591150,,False
黙る,動詞,3,1,黙っ,黙る,1534930,,False
馬,名詞,3,1,馬,馬,1471560,,False
合図,名詞,3,1,合図,合図,1284930,,False
頼る,動詞,3,1,頼っ,頼る,1597200,,False
兵団,名詞,3,1,兵団,兵団,1506610,,False
塞ぐ,動詞,3,1,塞げ,塞ぐ,1602590,,False
任せる,動詞,3,1,任せ,任せる,1467150,,False
