sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
巨人,名詞,23,1,巨人,巨人,1232090,,False
為る,動詞,22,1,し,為る,1157170,,False
人類,名詞,9,1,人類,人類,1369530,,False
お前,代名詞,8,1,お前,御前,1002290,,False
来る,動詞,8,1,き,来る,1547720,,False
無い,形容詞,8,1,なき,無い,2029080,,False
壁,名詞,8,1,壁,壁,1509290,,False
こと,名詞,7,1,こと,事,1313580,,False
門,名詞,7,1,門,門,1584800,,False
この,連体詞,6,1,この,此の,1582920,,False
今,名詞,6,1,今,今,1288850,,False
早い,形容詞,6,1,早く,早い,1404975,,False
マリア,名詞,6,1,マリア,マリア-Maria,2573170,,False
ウォール,名詞,6,1,ウォール,ウォール-wall,1920100,,False
貴様,代名詞,6,1,貴様,貴様,1223620,,False
有る,動詞,6,1,ある,有る,2847612,,False
成る,動詞,5,1,なっ,成る,2846738,,False
年,名詞,5,1,年,年,2084840,,False
人,名詞,5,1,人,人,1580640,,False
俺,代名詞,5,1,俺,俺,1576870,,False
言う,動詞,4,1,言っ,言う,1587040,,False
汝,代名詞,4,1,汝,汝,2015140,,False
行く,動詞,4,1,行け,行く,1578850,,False
食う,動詞,4,1,食い,食う,1592100,,False
済む,動詞,4,1,すま,済む,1295070,,False
こんな,連体詞,4,1,こんな,こんな,1004880,,False
居る,動詞,4,1,いる,居る,1577980,,False
乗せる,動詞,4,1,乗せる,乗せる,1600270,,False
力,名詞,4,1,力,力,1554820,,False
ミ,接頭辞,4,1,ミ,御,2029670,,False
人間,名詞,4,1,人間,人間,1366770,,False
もう,副詞,4,1,もう,もう,1012480,,False
その,連体詞,4,1,その,其の,1006830,,False
そんな,連体詞,4,1,そんな,そんな,1007130,,False
貰う,動詞,3,1,もらっ,貰う,1535910,,False
脱出,名詞,3,1,脱出,脱出,1416520,,False
船,名詞,3,1,船,船,1602800,,False
領域,名詞,3,1,領域,領域,1554720,,False
私,代名詞,3,1,私,私-代名詞,1311110,,False
終わり,名詞,3,1,終わり,終わり,1589590,,False
生き残る,動詞,3,1,生き残っ,生き残る,1378560,,False
為さる,動詞,3,1,なさい,為さる,1157090,,False
無理,名詞,3,1,無理,無理,1530970,,False
死ぬ,動詞,3,1,死ん,死ぬ,1310730,,False
急ぐ,動詞,3,1,急げ,急ぐ,1228650,,False
家畜,名詞,3,1,家畜,家畜,1192240,,False
子供,名詞,3,1,子供,子供,1307850,,False
呉れる,動詞,3,1,くれ,呉れる,1269130,,False
もん,名詞,3,1,もん,物,1322990,,False
たち,接尾辞,3,1,たち,達,1416220,,False
僕,代名詞,3,1,僕,僕-代名詞,1521400,,False
まだ,副詞,3,1,まだ,未だ,1527110,,False
何,代名詞,3,1,何,何,1577100,,False
侵入,名詞,3,1,侵入,侵入,1359850,,False
信ずる,動詞,3,1,信じ,信ずる,1359070,,False
中,名詞,3,1,中,中,1423310,,False
食料,名詞,3,1,食料,食料,1358670,,False
飢え死に,名詞,3,1,飢え死に,飢え死に,2714050,,False
