sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
為る,動詞,19,1,し,為る,1157170,,False
こと,名詞,18,1,こと,事,1313580,,False
居る,動詞,14,1,いる,居る,1577980,,False
巨人,名詞,12,1,巨人,巨人,1232090,,False
思う,動詞,12,1,思う,思う,1589350,,False
お前,代名詞,11,1,お前,御前,1002290,,False
俺,代名詞,11,1,俺,俺,1576870,,False
分かる,動詞,11,1,分かっ,分かる,1606560,,False
中,名詞,10,1,中,中,1423310,,False
出来る,動詞,9,1,でき,出来る,1340450,,False
団長,名詞,8,1,団長,団長,1419310,,False
兵団,名詞,8,1,兵団,兵団,1506610,,False
兵長,名詞,8,1,兵長,兵長,1506620,,False
返る,動詞,8,1,帰り,返る,1512150,,False
今,名詞,7,1,今,今,1288850,,False
この,連体詞,7,1,この,此の,1582920,,False
有る,動詞,6,1,ある,有る,1000580,,False
来る,動詞,6,1,これ,来る,1547720,,False
言う,動詞,6,1,言い,言う,1587040,,False
何,代名詞,6,1,何,何,1577100,,False
型,接尾辞,6,1,型,型,1250090,,False
奴,名詞,6,1,奴,奴,1445640,,False
女,名詞,6,1,女,女,1344930,,False
調査,名詞,5,1,調査,調査,1429120,,False
さん,接尾辞,5,1,さん,さん,1005340,,False
成る,動詞,5,1,なっ,成る,2846738,,False
まだ,副詞,5,1,まだ,未だ,1527110,,False
どう,副詞,5,1,どう,どう,1008910,,False
行く,動詞,5,1,行っ,行く,1578850,,False
死ぬ,動詞,5,1,死ん,死ぬ,1310730,,False
撤退,名詞,5,1,撤退,撤退,1437740,,False
森,名詞,5,1,森,森,1362490,,False
漏らす,動詞,4,1,漏らし,漏らす,1605320,,False
見る,動詞,4,1,見,見る,2256270,,False
私,代名詞,4,1,私,私-代名詞,1311110,,False
ここ,代名詞,4,1,ここ,此処,1288810,,False
選ぶ,動詞,4,1,選べ,選ぶ,1588730,,False
時間,名詞,4,1,時間,時間,1315920,,False
中身,名詞,4,1,中身,中身,1599430,,False
信ずる,動詞,4,1,信じる,信ずる,1359070,,False
打つ,動詞,4,1,撃て,打つ,1408810,,False
兵士,名詞,4,1,兵士,兵士,1506420,,False
信用,名詞,4,1,信用,信用,1359620,,False
命,名詞,4,1,命,命,1531940,,False
呉れる,動詞,4,1,くれ,呉れる,1269130,,False
班,名詞,4,1,班,班,1481640,,False
人,名詞,4,1,人,人,1580640,,False
遣る,動詞,3,1,やっ,遣る,2083340,,False
奇行,名詞,3,1,奇行,奇行,1777860,,False
質問,名詞,3,1,質問,質問,1320760,,False
それ,代名詞,3,1,それ,其れ,1006970,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
とき,名詞,3,1,とき,時,1315840,,False
種,名詞,3,1,種,種,1328810,,False
生きる,動詞,3,1,生き,生きる,1378520,,False
理由,名詞,3,1,理由,理由,1550140,,False
最初,名詞,3,1,最初,最初,1293990,,False
作戦,名詞,3,1,作戦,作戦,1297800,,False
注意,名詞,3,1,注意,注意,1426530,,False
人間,名詞,3,1,人間,人間,1366770,,False
もう,副詞,3,1,もう,もう,1012480,,False
聞く,動詞,3,1,聞く,聞く,1591110,,False
テメー,代名詞,3,1,テメー,てまえ,2076920,,False
終わる,動詞,3,1,終わっ,終わる,1589600,,False
仲間,名詞,3,1,仲間,仲間,1425790,,False
出る,動詞,3,1,出る,出る,1896380,,False
待つ,動詞,3,1,待て,待つ,1410590,,False
間違う,動詞,3,1,間違っ,間違う,1611610,,False
そいつ,代名詞,3,1,そいつ,其奴,1006600,,False
考える,動詞,3,1,考える,考える,1281020,,False
煩い,形容詞,3,1,うるせえ,煩い,1481920,,False
もっと,副詞,2,1,もっと,もっと,1012620,,False
話,名詞,2,1,話,話,1600900,,False
きっと,副詞,2,1,きっと,急度,1003430,,False
こいつ,代名詞,2,1,こいつ,此奴,1579070,,False
こっち,代名詞,2,1,こっち,此方,1004500,,False
迫る,動詞,2,1,迫れる,迫る,1475720,,False
選択,名詞,2,1,選択,選択,1392290,,False
５,名詞,2,1,５,,1268060,,False
そう,副詞,2,1,そう,そう,2137720,,False
あれ,代名詞,2,1,あれ,彼れ,1000580,,False
理解,名詞,2,1,理解,理解,1549910,,False
知らす,動詞,2,1,知らさ,知らす,2012190,,False
発破,名詞,2,1,発破,発破,1477800,,False
簡単,形状詞,2,1,簡単,簡単,1214330,,False
捨て去る,動詞,2,1,捨て去る,捨て去る,1322330,,False
数,名詞,2,1,数,数,1580825,,False
下さる,動詞,2,1,ください,下さる,1184280,,False
敵,名詞,2,1,敵,敵,1582000,,False
中,接頭辞,2,1,中,中,1423310,,False
人類,名詞,2,1,人類,人類,1369530,,False
人,接尾辞,2,1,人,人,1580640,,False
了解,名詞,2,1,了解,了解,1553310,,False
殺す,動詞,2,1,殺し,殺す,1299030,,False
バカ,名詞,2,1,バカ,馬鹿,1601260,,False
上,名詞,2,1,上,上,1352130,,False
上る,動詞,2,1,登っ,上る,1352570,,False
楽しい,形容詞,2,1,楽しかっ,楽しい,1207240,,False
機動,名詞,2,1,機動,機動,1221060,,False
正しい,形容詞,2,1,正しい,正しい,1376600,,False
来る,代名詞,2,1,これ,此れ,1547720,,False
無視,名詞,2,1,無視,無視,1530020,,False
結果,名詞,2,1,結果,結果,1254690,,False
結構,副詞,2,1,結構,結構,1254760,,False
総員,名詞,2,1,総員,総員,1637210,,False
討伐,名詞,2,1,討伐,討伐,1449970,,False
また,副詞,2,1,また,又,1524930,,False
見える,動詞,2,1,見え,見える,1259140,,False
立体,名詞,2,1,立体,立体,1551740,,False
知れる,動詞,2,1,しれ,知れる,1420490,,False
ツラ,名詞,2,1,ツラ,面,1584690,,False
確信,名詞,2,1,確信,確信,1205870,,False
答える,動詞,2,1,答え,答える,1449530,,False
