sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
巨人,名詞,17,1,巨人,巨人,1232090,,False
俺,代名詞,11,1,俺,俺,1576870,,False
型,接尾辞,11,1,型,型,1250090,,False
女,名詞,10,1,女,女,1344930,,False
こと,名詞,10,1,こと,事,1313580,,False
遣る,動詞,8,1,やら,遣る,2083340,,False
信ずる,動詞,8,1,信じる,信ずる,1359070,,False
為る,動詞,8,1,する,為る,1157170,,False
出来る,動詞,7,1,でき,出来る,1340450,,False
その,連体詞,6,1,その,其の,1006830,,False
敵,名詞,5,1,敵,敵,1582000,,False
とき,名詞,5,1,とき,時,1315840,,False
お前,代名詞,5,1,お前,御前,1002290,,False
死ぬ,動詞,5,1,死な,死ぬ,1310730,,False
みんな,名詞,4,1,みんな,皆,1202150,,False
中,名詞,4,1,中,中,1423310,,False
見る,動詞,4,1,見,見る,2256270,,False
分かる,動詞,4,1,分かっ,分かる,1606560,,False
力,名詞,4,1,力,力,1554820,,False
戦う,動詞,4,1,戦い,戦う,1596960,,False
居る,動詞,4,1,いる,居る,1577980,,False
奴,名詞,4,1,奴,奴,1445640,,False
思う,動詞,4,1,思わ,思う,1589350,,False
中身,名詞,3,1,中身,中身,1599430,,False
選択,名詞,3,1,選択,選択,1392290,,False
それ,代名詞,3,1,それ,其れ,1006970,,False
腕,名詞,3,1,腕,腕,1562850,,False
調査,名詞,3,1,調査,調査,1429120,,False
さん,接尾辞,3,1,さん,さん,1005340,,False
うなじ,名詞,3,1,うなじ,項,1282970,,False
こいつ,代名詞,3,1,こいつ,此奴,1579070,,False
化,接尾辞,3,1,化,化,2056760,,False
壁,名詞,3,1,壁,壁,1509290,,False
我々,代名詞,3,1,我々,我々-代名詞,1607050,,False
待つ,動詞,3,1,待っ,待つ,1410590,,False
兵団,名詞,3,1,兵団,兵団,1506610,,False
人間,名詞,3,1,人間,人間,1366770,,False
早い,形容詞,3,1,早く,早い,1404975,,False
食う,動詞,3,1,食わ,食う,1592100,,False
生きる,動詞,2,1,生き,生きる,1378520,,False
上げる,動詞,2,1,上げ,上げる,1352320,,False
まさか,副詞,2,1,まさか,まさか,1363540,,False
どこ,代名詞,2,1,どこ,何処,1577140,,False
リスク,名詞,2,1,リスク,リスク-risk,1141440,,False
立体,名詞,2,1,立体,立体,1551740,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
装置,名詞,2,1,装置,装置,1402360,,False
選ぶ,動詞,2,1,選べ,選ぶ,1588730,,False
覚悟,名詞,2,1,覚悟,覚悟,1206080,,False
装備,名詞,2,1,装備,装備,1402400,,False
返す,動詞,2,1,返せ,返す,1512130,,False
そいつ,代名詞,2,1,そいつ,其奴,1006600,,False
行く,動詞,2,1,いっ,行く,1578850,,False
誰,代名詞,2,1,誰,誰,1416830,,False
筋肉,名詞,2,1,筋肉,筋肉,1241810,,False
策,名詞,2,1,策,策,1298260,,False
班,名詞,2,1,班,班,1481640,,False
破る,動詞,2,1,破っ,破る,1471200,,False
自分,名詞,2,1,自分,自分,1318610,,False
言う,動詞,2,1,言っ,言う,1587040,,False
直す,動詞,2,1,治し,直す,1599390,,False
殺す,動詞,2,1,殺す,殺す,1299030,,False
止める,動詞,2,1,止め,止める,1310670,,False
無くなる,動詞,2,1,なくなっ,無くなる,1529550,,False
片目,名詞,2,1,片目,片目,1511830,,False
今,名詞,2,1,今,今,1288850,,False
今回,名詞,2,1,今回,今回,1289070,,False
来る,動詞,2,1,くる,来る,1547720,,False
持つ,動詞,2,1,持っ,持つ,1315720,,False
撤退,名詞,2,1,撤退,撤退,1437740,,False
捕獲,名詞,2,1,捕獲,捕獲,1514160,,False
兵士,名詞,2,1,兵士,兵士,1506420,,False
兵長,名詞,2,1,兵長,兵長,1506620,,False
最初,名詞,2,1,最初,最初,1293990,,False
最善,名詞,2,1,最善,最善,1294160,,False
付ける,動詞,2,1,付け,付ける,1495770,,False
仲間,名詞,2,1,仲間,仲間,1425790,,False
作戦,名詞,2,1,作戦,作戦,1297800,,False
ダメ,名詞,2,1,ダメ,駄目,1409110,,False
有る,動詞,2,1,ある,有る,1000580,,False
本部,名詞,2,1,本部,本部,1523170,,False
向かう,動詞,2,1,向かえ,向かう,1604800,,False
全て,名詞,2,1,全て,全て,1595730,,False
削ぐ,動詞,2,1,削い,削ぐ,1298040,,False
勝つ,動詞,2,1,勝て,勝つ,1346150,,False
同じ,連体詞,2,1,同じ,同じ,1451750,,False
必要,名詞,2,1,必要,必要,1487660,,False
失う,動詞,2,1,失う,失う,1319750,,False
区,名詞,2,1,区,区,1244080,,False
進める,動詞,2,1,進め,進める,1365990,,False
進む,動詞,2,1,進み,進む,1365980,,False
通る,動詞,2,1,通ら,通る,1433030,,False
刃,名詞,2,1,刃,刃,1369830,,False
出る,動詞,2,1,出,出る,1896380,,False
この,連体詞,2,1,この,此の,1582920,,False
首,名詞,2,1,首,首,1592270,,False
あらかじめ,副詞,2,1,あらかじめ,予め,1542860,,False
あいつ,代名詞,1,1,あいつ,彼奴,1483160,,False
あんな,連体詞,1,1,あんな,あんな,1000590,,False
いきなり,副詞,1,1,いきなり,行成,1006970,,False
かぎり,名詞,1,1,かぎり,限り,1264610,,False
ここ,代名詞,1,1,ここ,此処,1288810,,False
飛躍,名詞,1,1,飛躍,飛躍,1485560,,False
顔,名詞,1,1,顔,顔,1217730,,False
離れる,動詞,1,1,離れろ,離れる,1550840,,False
陣形,名詞,1,1,陣形,陣形,1370190,,False
間違える,動詞,1,1,間違え,間違える,1215330,,False
間違う,動詞,1,1,間違っ,間違う,1611610,,False
ずっと,副詞,1,1,ずっと,ずっと,1006380,,False
ごと,接尾辞,1,1,ごと,ごと,1524640,,False
ご,接頭辞,1,1,ご,御,1270190,,False
これ,代名詞,1,1,これ,此れ,1628530,,False
きっと,副詞,1,1,きっと,急度,1003430,,False
連携,名詞,1,1,連携,連携,1559400,,False
速力,名詞,1,1,速力,速力,1405080,,False
途中,名詞,1,1,途中,途中,1582200,,False
逃げる,動詞,1,1,逃げる,逃げる,1450330,,False
１,名詞,1,1,１,,1160790,,False
分間,名詞,1,1,分間,分間,2386360,,False
出発,名詞,1,1,出発,出発,1340000,,False
出現,名詞,1,1,出現,出現,1338820,,False
困難,名詞,1,1,困難,困難,1289620,,False
困る,動詞,1,1,困る,困る,1289590,,False
団長,名詞,1,1,団長,団長,1419310,,False
回復,名詞,1,1,回復,回復,1199720,,False
回,名詞,1,1,回,回,1199330,,False
君,接尾辞,1,1,君,君,1247250,,False
君,代名詞,1,1,君,君-代名詞,1247250,,False
優先,名詞,1,1,優先,優先,1539390,,False
倒れる,動詞,1,1,倒れる,倒れる,1445790,,False
倒す,動詞,1,1,倒す,倒す,1445770,,False
信じ合う,動詞,1,1,信じ合っ,信じ合う,2859466,,False
勝利,名詞,1,1,勝利,勝利,1346240,,False
動く,動詞,1,1,動ける,動く,1451210,,False
前進,名詞,1,1,前進,前進,1393350,,False
制服,名詞,1,1,制服,制服,1374940,,False
到底,副詞,1,1,到底,到底,1449880,,False
切断,名詞,1,1,切断,切断,1385120,,False
同じく,副詞,1,1,同じく,同じく,1451760,,False
可能,形状詞,1,1,可能,可能,1191060,,False
叫び声,名詞,1,1,叫び声,叫び声,1235900,,False
取れる,動詞,1,1,とれる,取れる,1326990,,False
奪う,動詞,1,1,奪っ,奪う,1416340,,False
奇行,名詞,1,1,奇行,奇行,1777860,,False
失敗,名詞,1,1,失敗,失敗,1320140,,False
大丈夫,形状詞,1,1,大丈夫,大丈夫,1414150,,False
大きな,連体詞,1,1,大きな,大きな,1412890,,False
変化,名詞,1,1,変化,変化,1510890,,False
声がけ,名詞,1,1,声がけ,声掛け,2653310,,False
声,名詞,1,1,声,声,1380440,,False
塞ぐ,動詞,1,1,塞ぐ,塞ぐ,1602590,,False
場所,名詞,1,1,場所,場所,1355850,,False
報い,名詞,1,1,報い,報い,1642330,,False
基準,名詞,1,1,基準,基準,1591210,,False
後,名詞,1,1,後,後,1269320,,False
強い,形容詞,1,1,強い,強い,1236070,,False
強,接尾辞,1,1,強,強,2020300,,False
引き寄せる,動詞,1,1,引き寄せる,引き寄せる,1168870,,False
引きちぎる,動詞,1,1,引きちぎっ,引きちぎる,1168810,,False
帰還,名詞,1,1,帰還,帰還,1221300,,False
差し違える,動詞,1,1,差し違え,差し違える,1593770,,False
巨大,形状詞,1,1,巨大,巨大,1232180,,False
展開,名詞,1,1,展開,展開,1440600,,False
対峙,名詞,1,1,対峙,対峙,1410330,,False
守る,動詞,1,1,守れ,守る,1327120,,False
打ち殺す,動詞,1,1,ぶっ殺し,打ち殺す,1113360,,False
