sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
お前,代名詞,9,1,お前,御前,1002290,,False
巨人,名詞,9,1,巨人,巨人,1232090,,False
その,連体詞,7,1,その,其の,1006830,,False
こと,名詞,7,1,こと,事,1313580,,False
有る,動詞,7,1,ある,有る,1000580,,False
生きる,動詞,6,1,生き,生きる,1378520,,False
奴,名詞,6,1,奴,奴,1445640,,False
戦う,動詞,6,1,戦う,戦う,1596960,,False
為る,動詞,6,1,する,為る,1157170,,False
返る,動詞,5,1,帰れ,返る,1512150,,False
調査,名詞,5,1,調査,調査,1429120,,False
自分,名詞,5,1,自分,自分,1318610,,False
女,名詞,5,1,女,女,1344930,,False
死ぬ,動詞,5,1,死ん,死ぬ,1310730,,False
型,接尾辞,5,1,型,型,1250090,,False
兵団,名詞,5,1,兵団,兵団,1506610,,False
成る,動詞,5,1,なる,成る,2846738,,False
殺す,動詞,4,1,殺す,殺す,1299030,,False
早い,形容詞,4,1,早い,早い,1404975,,False
来る,動詞,4,1,来る,来る,1547720,,False
遣る,動詞,4,1,やる,遣る,2083340,,False
遺体,名詞,4,1,遺体,遺体,1159430,,False
兵長,名詞,4,1,兵長,兵長,1506620,,False
今回,名詞,4,1,今回,今回,1289070,,False
俺,代名詞,4,1,俺,俺,1576870,,False
あなた,代名詞,3,1,あなた,貴方,1223615,,False
確認,名詞,3,1,確認,確認,1205900,,False
追い付く,動詞,3,1,追いつか,追い付く,1588810,,False
あいつ,代名詞,3,1,あいつ,彼奴,1483160,,False
行く,動詞,3,1,いき,行く,1578850,,False
良い,形容詞,3,1,よかっ,良い,1605870,,False
見える,動詞,3,1,見える,見える,1259140,,False
考える,動詞,3,1,考えれ,考える,1281020,,False
これ,代名詞,3,1,これ,此れ,1628530,,False
壁,名詞,3,1,壁,壁,1509290,,False
回収,名詞,3,1,回収,回収,1199470,,False
娘,名詞,3,1,娘,娘,1531190,,False
仲間,名詞,3,1,仲間,仲間,1425790,,False
死亡,名詞,3,1,死亡,死亡,1310950,,False
目的,名詞,3,1,目的,目的,1535560,,False
遠征,名詞,3,1,遠征,遠征,1178210,,False
わけ,名詞,3,1,わけ,訳,1538330,,False
もう,副詞,3,1,もう,もう,1012480,,False
まだ,副詞,3,1,まだ,未だ,1527110,,False
硬化,名詞,2,1,硬化,硬化,1280520,,False
