sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
こと,名詞,14,1,こと,事,1313580,,False
あんた,代名詞,12,1,あんた,貴方,1979920,,False
この,連体詞,11,1,この,此の,1582920,,False
言う,動詞,11,1,言っ,言う,1587040,,False
私,代名詞,10,1,私,私-代名詞,1311110,,False
為る,動詞,10,1,する,為る,1157170,,False
団,接尾辞,9,1,団,団,1956650,,False
人,名詞,9,1,人,人,1580640,,False
思う,動詞,9,1,思っ,思う,1589350,,False
お前,代名詞,8,1,お前,御前,1002290,,False
俺,代名詞,7,1,俺,俺,1576870,,False
有る,動詞,7,1,あり,有る,1000580,,False
壁,名詞,7,1,壁,壁,1509290,,False
憲兵,名詞,7,1,憲兵,憲兵,1257580,,False
何,代名詞,6,1,何,何,1577100,,False
居る,動詞,6,1,いる,居る,1577980,,False
良い,形容詞,6,1,いい,良い,1605870,,False
バカ,名詞,6,1,バカ,馬鹿,1601260,,False
奴,名詞,5,1,奴,奴,1445640,,False
遣る,動詞,5,1,やれよ,遣る,2083340,,False
来る,動詞,5,1,来,来る,1547720,,False
行く,動詞,5,1,行く,行く,1578850,,False
ここ,代名詞,5,1,ここ,此処,1288810,,False
分かる,動詞,5,1,分かっ,分かる,1606560,,False
そう,副詞,4,1,そう,そう,2137720,,False
街,名詞,4,1,街,街,1603990,,False
立体,名詞,4,1,立体,立体,1551740,,False
仕事,名詞,4,1,仕事,仕事,1304970,,False
今,名詞,4,1,今,今,1288850,,False
怖い,形容詞,4,1,怖く,怖い,1593480,,False
機動,名詞,4,1,機動,機動,1221060,,False
正しい,形容詞,4,1,正しく,正しい,1376600,,False
そんな,連体詞,4,1,そんな,そんな,1007130,,False
こっち,代名詞,4,1,こっち,此方,1004500,,False
クズ,名詞,4,1,クズ,屑,1246510,,False
見る,動詞,4,1,見,見る,2256270,,False
その,連体詞,4,1,その,其の,1006830,,False
まだ,副詞,4,1,まだ,未だ,1527110,,False
逆らう,動詞,4,1,逆らう,逆らう,1226990,,False
護送,名詞,4,1,護送,護送,1271570,,False
通る,動詞,3,1,通る,通る,1433030,,False
これ,代名詞,3,1,これ,此れ,1628530,,False
時間,名詞,3,1,時間,時間,1315920,,False
殺す,動詞,3,1,殺さ,殺す,1299030,,False
自分,名詞,3,1,自分,自分,1318610,,False
王政,名詞,3,1,王政,王政,1181610,,False
ごめん,名詞,3,1,ごめん,御免,1270670,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
上官,名詞,3,1,上官,上官,1352850,,False
人間,名詞,3,1,人間,人間,1366770,,False
協力,名詞,3,1,協力,協力,1591720,,False
僕,代名詞,3,1,僕,僕-代名詞,1521400,,False
入る,動詞,3,1,入る,入る,1465590,,False
頑張る,動詞,3,1,頑張れ,頑張る,1217700,,False
大きな,連体詞,3,1,大きな,大きな,1412890,,False
巨人,名詞,3,1,巨人,巨人,1232090,,False
悪い,形容詞,3,1,悪い,悪い,1151260,,False
成る,動詞,3,1,なる,成る,2846738,,False
ふざける,動詞,3,1,ふざけ,ふざける,1566450,,False
知る,動詞,3,1,知ら,知る,1420470,,False
クソ,接頭辞,3,1,クソ,糞,1504900,,False
つもり,名詞,3,1,つもり,積り,1382980,,False
ただ,副詞,3,1,ただ,唯,1538900,,False
貰う,動詞,3,1,もらう,貰う,1535910,,False
新兵,名詞,3,1,新兵,新兵,1720290,,False
