sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
巨人,名詞,22,1,巨人,巨人,1232090,,False
女,名詞,16,1,女,女,1344930,,False
型,接尾辞,15,1,型,型,1250090,,False
こと,名詞,11,1,こと,事,1313580,,False
成る,動詞,10,1,なる,成る,2846738,,False
言う,動詞,10,1,言え,言う,1587040,,False
思う,動詞,10,1,思わ,思う,1589350,,False
分かる,動詞,9,1,分から,分かる,1606560,,False
出来る,動詞,9,1,でき,出来る,1340450,,False
来る,動詞,8,1,来,来る,1547720,,False
為る,動詞,8,1,する,為る,1157170,,False
作戦,名詞,8,1,作戦,作戦,1297800,,False
その,連体詞,7,1,その,其の,1006830,,False
俺,代名詞,7,1,俺,俺,1576870,,False
居る,動詞,6,1,いる,居る,1577980,,False
私,代名詞,5,1,私,私-代名詞,1311110,,False
殺す,動詞,5,1,殺し,殺す,1299030,,False
それ,代名詞,5,1,それ,其れ,1006970,,False
班,名詞,5,1,班,班,1481640,,False
ミ,接頭辞,5,1,ミ,御,2029670,,False
掛ける,動詞,5,1,賭け,掛ける,1207610,,False
待つ,動詞,5,1,待た,待つ,1410590,,False
何,代名詞,5,1,何,何,1577100,,False
お前,代名詞,5,1,お前,御前,1002290,,False
遣る,動詞,5,1,やっ,遣る,2083340,,False
ここ,代名詞,5,1,ここ,此処,1288810,,False
考える,動詞,4,1,考え,考える,1281020,,False
目標,名詞,4,1,目標,目標,1535650,,False
出る,動詞,4,1,出,出る,1896380,,False
戦う,動詞,4,1,戦う,戦う,1596960,,False
死ぬ,動詞,4,1,死な,死ぬ,1310730,,False
団長,名詞,3,1,団長,団長,1419310,,False
団,接尾辞,3,1,団,団,1956650,,False
区,名詞,3,1,区,区,1244080,,False
動く,動詞,3,1,動く,動く,1451210,,False
良い,形容詞,3,1,よかっ,良い,1605870,,False
機動,名詞,3,1,機動,機動,1221060,,False
ジャン,名詞,3,1,ジャン,ジャン-Jean,1984400,,False
憲兵,名詞,3,1,憲兵,憲兵,1257580,,False
世界,名詞,3,1,世界,世界,1373860,,False
了解,名詞,3,1,了解,了解,1553310,,False
捕獲,名詞,3,1,捕獲,捕獲,1514160,,False
失敗,名詞,3,1,失敗,失敗,1320140,,False
僕,代名詞,3,1,僕,僕-代名詞,1521400,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
３,名詞,3,1,３,,1579350,,False
この,連体詞,3,1,この,此の,1582920,,False
立体,名詞,3,1,立体,立体,1551740,,False
行く,動詞,3,1,いく,行く,1578850,,False
とき,名詞,3,1,とき,時,1315840,,False
目,名詞,3,1,目,目,1604890,,False
あんた,代名詞,3,1,あんた,貴方,1979920,,False
ダメ,名詞,3,1,ダメ,駄目,1409110,,False
捨てる,動詞,3,1,捨てる,捨てる,1322320,,False
残酷,名詞,2,1,残酷,残酷,1304600,,False
確実,形状詞,2,1,確実,確実,1205830,,False
ガキ,名詞,2,1,ガキ,餓鬼,1197980,,False
王都,名詞,2,1,王都,王都,2684100,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
ちょっと,副詞,2,1,ちょっと,一寸,1163940,,False
とにかく,副詞,2,1,とにかく,兎に角,1443990,,False
どう,副詞,2,1,どう,どう,1008910,,False
はず,名詞,2,1,はず,筈,1476430,,False
者,名詞,2,1,者,者,2153760,,False
自分,名詞,2,1,自分,自分,1318610,,False
もう,副詞,2,1,もう,もう,1012480,,False
装置,名詞,2,1,装置,装置,1402360,,False
見る,動詞,2,1,見,見る,2256270,,False
装備,名詞,2,1,装備,装備,1402400,,False
そう,副詞,2,1,そう,そう,2137720,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
