sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
巨人,名詞,14,1,巨人,巨人,1232090,,False
お前,代名詞,11,1,お前,御前,1002290,,False
出来る,動詞,10,1,でき,出来る,1340450,,False
女,名詞,9,1,女,女,1344930,,False
有る,動詞,9,1,あり,有る,1000580,,False
為る,動詞,9,1,さ,為る,1157170,,False
型,接尾辞,9,1,型,型,1250090,,False
人類,名詞,8,1,人類,人類,1369530,,False
我々,代名詞,7,1,我々,我々-代名詞,1607050,,False
俺,代名詞,7,1,俺,俺,1576870,,False
成る,動詞,7,1,なる,成る,2846738,,False
こと,名詞,6,1,こと,事,1313580,,False
居る,動詞,6,1,いる,居る,1577980,,False
壁,名詞,6,1,壁,壁,1509290,,False
作戦,名詞,6,1,作戦,作戦,1297800,,False
思う,動詞,6,1,思っ,思う,1589350,,False
全て,名詞,6,1,全て,全て,1595730,,False
ため,名詞,5,1,ため,為,1157080,,False
何,代名詞,5,1,何,何,1577100,,False
今,名詞,5,1,今,今,1288850,,False
東,名詞,4,1,東,東,1447440,,False
追い込む,動詞,4,1,追い込む,追い込む,1432330,,False
連携,名詞,4,1,連携,連携,1559400,,False
壁際,名詞,4,1,壁際,壁際,2522780,,False
そんな,連体詞,4,1,そんな,そんな,1007130,,False
なぜ,副詞,4,1,なぜ,何故,1577120,,False
言う,動詞,4,1,言っ,言う,1587040,,False
奴,名詞,4,1,奴,奴,1445640,,False
調査,名詞,3,1,調査,調査,1429120,,False
早い,形容詞,3,1,早く,早い,1404975,,False
被害,名詞,3,1,被害,被害,1484350,,False
兵団,名詞,3,1,兵団,兵団,1506610,,False
その,連体詞,3,1,その,其の,1006830,,False
これ,代名詞,3,1,これ,此れ,1628530,,False
貴様,代名詞,3,1,貴様,貴様,1223620,,False
信ずる,動詞,3,1,信じる,信ずる,1359070,,False
ハ,名詞,3,1,ハ,歯,2029740,,False
とき,名詞,3,1,とき,時,1315840,,False
凌ぐ,動詞,3,1,しのぐ,凌ぐ,1554200,,False
守る,動詞,3,1,守る,守る,1327120,,False
捨てる,動詞,3,1,捨てる,捨てる,1322320,,False
化け物,名詞,3,1,化け物,化け物,1601300,,False
勝つ,動詞,3,1,勝て,勝つ,1346150,,False
戦う,動詞,3,1,戦っ,戦う,1596960,,False
出る,動詞,3,1,出,出る,1896380,,False
人,名詞,2,1,人,人,1580640,,False
止す,動詞,2,1,よせ,止す,1310600,,False
ジャン,名詞,2,1,ジャン,ジャン-Jean,1984400,,False
敵,名詞,2,1,敵,敵,1582000,,False
来る,動詞,2,1,来い,来る,1547720,,False
無垢,名詞,2,1,無垢,無垢,1529950,,False
済む,動詞,2,1,済む,済む,1295070,,False
深い,形容詞,2,1,深く,深い,1362640,,False
殺す,動詞,2,1,殺す,殺す,1299030,,False
ハート,名詞,2,1,ハート,ハート-heart,1094460,,False
どんな,連体詞,2,1,どんな,どんな,1009330,,False
行う,動詞,2,1,行え,行う,1589060,,False
術,名詞,2,1,術,術,1340780,,False
街,名詞,2,1,街,街,1603990,,False
考える,動詞,2,1,考え,考える,1281020,,False
自分,名詞,2,1,自分,自分,1318610,,False
首,名詞,2,1,首,首,1592270,,False
見える,動詞,2,1,見え,見える,1259140,,False
駆逐,名詞,2,1,駆逐,駆逐,1244870,,False
犠牲,名詞,2,1,犠牲,犠牲,1225450,,False
私,代名詞,2,1,私,私-代名詞,1311110,,False
簡単,形状詞,2,1,簡単,簡単,1214330,,False
神,名詞,2,1,神,神,1364440,,False
破壊,名詞,2,1,破壊,破壊,1471250,,False
知る,動詞,2,1,知っ,知る,1420470,,False
待つ,動詞,2,1,待て,待つ,1410590,,False
大きな,連体詞,2,1,大きな,大きな,1412890,,False
以上,名詞,2,1,以上,以上,1155120,,False
仕方無い,形容詞,2,1,しかたない,仕方無い,1305440,,False
住民,名詞,2,1,住民,住民,1334210,,False
体,名詞,2,1,体,体,1409140,,False
嫌い,名詞,2,1,嫌い,嫌い,1257240,,False
平地,名詞,2,1,平地,平地,1583890,,False
捕獲,名詞,2,1,捕獲,捕獲,1514160,,False
捕らわれる,動詞,2,1,とらわれ,捕らわれる,1598970,,False
