sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
貴様,代名詞,23,1,貴様,貴様,1223620,,False
俺,代名詞,21,1,俺,俺,1576870,,False
こと,名詞,20,1,こと,事,1313580,,False
言う,動詞,17,1,言わ,言う,1587040,,False
巨人,名詞,15,1,巨人,巨人,1232090,,False
為る,動詞,14,1,し,為る,1157170,,False
お前,代名詞,12,1,お前,御前,1002290,,False
出身,名詞,12,1,出身,出身,1339260,,False
遣る,動詞,10,1,やっ,遣る,2083340,,False
居る,動詞,9,1,いる,居る,1577980,,False
兵士,名詞,9,1,兵士,兵士,1506420,,False
有る,動詞,9,1,ある,有る,2847612,,False
見る,動詞,9,1,見,見る,2256270,,False
違う,動詞,8,1,違う,違う,1158880,,False
思う,動詞,8,1,思う,思う,1589350,,False
成る,動詞,8,1,なっ,成る,2846738,,False
行く,動詞,7,1,行く,行く,1578850,,False
来る,動詞,7,1,来,来る,1547720,,False
村,名詞,6,1,村,村,1406820,,False
奴,名詞,6,1,奴,奴,1445640,,False
区,名詞,6,1,区,区,1244080,,False
出来る,動詞,6,1,できる,出来る,1340450,,False
何者,名詞,6,1,何者,何者,1188980,,False
何,代名詞,6,1,何,何,1577100,,False
芋,名詞,6,1,芋,芋,1167960,,False
者,名詞,6,1,者,者,2153760,,False
僕,代名詞,6,1,僕,僕-代名詞,1521400,,False
この,連体詞,5,1,この,此の,1582920,,False
私,代名詞,5,1,私,私-代名詞,1311110,,False
ため,名詞,5,1,ため,為,1157080,,False
ウォール,名詞,5,1,ウォール,ウォール-wall,1920100,,False
憲兵,名詞,5,1,憲兵,憲兵,1257580,,False
入る,動詞,5,1,入っ,入る,1465590,,False
団,接尾辞,5,1,団,団,1956650,,False
明日,名詞,4,1,明日,明日,1584660,,False
素質,名詞,4,1,素質,素質,1397240,,False
ベルト,名詞,4,1,ベルト,ベルト-belt,1120070,,False
目指す,動詞,4,1,目指す,目指す,1535440,,False
訓練,名詞,4,1,訓練,訓練,1247470,,False
自分,名詞,4,1,自分,自分,1318610,,False
必要,名詞,4,1,必要,必要,1487660,,False
こいつ,代名詞,4,1,こいつ,此奴,1579070,,False
それ,代名詞,4,1,それ,其れ,1006970,,False
そんな,連体詞,4,1,そんな,そんな,1007130,,False
食べる,動詞,4,1,食べ,食べる,1358280,,False
戻る,動詞,4,1,戻れ,戻る,1535880,,False
聞く,動詞,4,1,聞か,聞く,1591110,,False
なぜ,副詞,4,1,なぜ,何故,1577120,,False
確か,副詞,3,1,確か,確か,1596930,,False
これ,代名詞,3,1,これ,此れ,1628530,,False
判断,名詞,3,1,判断,判断,1478620,,False
君,代名詞,3,1,君,君-代名詞,1247250,,False
人,名詞,3,1,人,人,1580640,,False
良い,形容詞,3,1,いい,良い,1605870,,False
ライナー,名詞,3,1,ライナー,ライナー-liner,1138090,,False
無い,形容詞,3,1,無く,無い,2029080,,False
課程,名詞,3,1,課程,課程,1195850,,False
その,連体詞,3,1,その,其の,1006830,,False
分かる,動詞,3,1,分から,分かる,1606560,,False
内地,名詞,3,1,内地,内地,1458840,,False
凄い,形容詞,3,1,すごい,凄い,1374550,,False
今,名詞,3,1,今,今,1288850,,False
家畜,名詞,3,1,家畜,家畜,1192240,,False
去る,動詞,3,1,去る,去る,1231650,,False
貰う,動詞,3,1,もらおう,貰う,1535910,,False
まあ,副詞,3,1,まあ,まあ,1012050,,False
もう,副詞,3,1,もう,もう,1012480,,False
立体,名詞,3,1,立体,立体,1551740,,False
どう,副詞,3,1,どう,どう,1008910,,False
連絡,名詞,2,1,連絡,連絡,1559900,,False
そう,副詞,2,1,そう,そう,2137720,,False
あなた,代名詞,2,1,あなた,貴方,1223615,,False
あれ,代名詞,2,1,あれ,彼れ,1000580,,False
返る,動詞,2,1,帰れ,返る,1512150,,False
身,名詞,2,1,身,身,1365520,,False
走る,動詞,2,1,走れ,走る,1402540,,False
２人,名詞,2,1,２人,二人,1582670,,False
顔,名詞,2,1,顔,顔,1217730,,False
破損,名詞,2,1,破損,破損,1471380,,False
覚悟,名詞,2,1,覚悟,覚悟,1206080,,False
時,名詞,2,1,時,時,1315840,,False
昨日,名詞,2,1,昨日,昨日,1579260,,False
教える,動詞,2,1,教え,教える,1236900,,False
旨い,形容詞,2,1,うまく,旨い,1310460,,False
マリア,名詞,2,1,マリア,マリア-Maria,2573170,,False
機動,名詞,2,1,機動,機動,1221060,,False
パー,名詞,2,1,パー,パー-par,2397590,,False
ブラウス,名詞,2,1,ブラウス,ブラウス-blouse,1113650,,False
期待,名詞,2,1,期待,期待,1220570,,False
目,接尾辞,2,1,目,目,1604890,,False
コニー,名詞,2,1,コニー,コニー,2854832,,False
コツ,名詞,2,1,コツ,こつ,1288540,,False
ダウ,名詞,2,1,ダウ,ダウ-Dow,1919480,,False
欲しい,形容詞,2,1,欲しく,欲しい,1547330,,False
正気,名詞,2,1,正気,正気,1580850,,False
普通,名詞,2,1,普通,普通,1497190,,False
理屈,名詞,2,1,理屈,理屈,1606240,,False
王,名詞,2,1,王,王,1629200,,False
皆殺し,名詞,2,1,皆殺し,皆殺し,1202230,,False
目,名詞,2,1,目,目,1604890,,False
知る,動詞,2,1,知っ,知る,1420470,,False
つまり,副詞,2,1,つまり,詰まり,1610430,,False
でかい,形容詞,2,1,デカく,でかい,1008370,,False
調査,名詞,2,1,調査,調査,1429120,,False
こんな,連体詞,2,1,こんな,こんな,1004880,,False
やっと,副詞,2,1,やっと,漸と,1012800,,False
みんな,名詞,2,1,みんな,皆,1202150,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
装備,名詞,2,1,装備,装備,1402400,,False
もの,名詞,2,1,もの,物,1502390,,False
考える,動詞,2,1,考え,考える,1281020,,False
心臓,名詞,2,1,心臓,心臓,1360770,,False
命,名詞,2,1,命,命,1531940,,False
呉れる,動詞,2,1,くれ,呉れる,1269130,,False
否定,名詞,2,1,否定,否定,1482990,,False
向ける,動詞,2,1,向け,向ける,1277100,,False
以下,名詞,2,1,以下,以下,1155060,,False
子,名詞,2,1,子,子,1307770,,False
仕方無い,形容詞,2,1,仕方ない,仕方無い,1305440,,False
付ける,動詞,2,1,付け,付ける,1495770,,False
変える,動詞,2,1,変えろ,変える,1510650,,False
大きい,形容詞,2,1,大きい,大きい,1588880,,False
後ろ,名詞,2,1,後ろ,後ろ,1269410,,False
女,名詞,2,1,女,女,1344930,,False
人類,名詞,2,1,人類,人類,1369530,,False
バカ,名詞,2,1,バカ,馬鹿,1601260,,False
悪い,形容詞,2,1,悪かっ,悪い,1151260,,False
山奥,名詞,2,1,山奥,山奥,1302750,,False
捧げる,動詞,2,1,捧げる,捧げる,1516430,,False
戦う,動詞,2,1,戦う,戦う,1596960,,False
出す,動詞,2,1,だし,出す,1338180,,False
半分,名詞,2,1,半分,半分,1479890,,False
壁,名詞,2,1,壁,壁,1509290,,False
全て,名詞,2,1,全て,全て,1595730,,False
兵,名詞,2,1,兵,兵,2067560,,False
兵団,名詞,2,1,兵団,兵団,1506610,,False
あんな,連体詞,2,1,あんな,あんな,1000590,,False
あんた,代名詞,2,1,あんた,貴方,1979920,,False
使う,動詞,2,1,使い,使う,1305990,,False
力,名詞,2,1,力,力,1554820,,False
列,名詞,2,1,列,列,1558330,,False
お,接頭辞,2,1,お,御,2089690,,False
頼む,動詞,2,1,頼ん,頼む,1548370,,False
あいつ,代名詞,2,1,あいつ,彼奴,1483160,,False
あまり,副詞,1,1,あまり,余り,1584930,,False
頭,名詞,1,1,頭,頭,1582310,,False
すぐ,副詞,1,1,すぐ,直ぐ,1430610,,False
すでに,副詞,1,1,すでに,既に,1220310,,False
そう,形状詞,1,1,そう,そう-様態,2137720,,False
そこ,代名詞,1,1,そこ,其処,1006670,,False
そりゃ,代名詞,1,1,そりゃ,其れ,2134680,,False
そんな,形状詞,1,1,そんな,そんな,1007130,,False
たち,接尾辞,1,1,たち,達,1416220,,False
走らす,動詞,1,1,走らさ,走らす,2842791,,False
起こす,動詞,1,1,起こせ,起こす,1223660,,False
起動,名詞,1,1,起動,起動,1223880,,False
足裏,名詞,1,1,足裏,足裏,2115620,,False
足音,名詞,1,1,足音,足音,1404770,,False
跨ぐ,動詞,1,1,またい,跨ぐ,1267830,,False
迎える,動詞,1,1,迎え,迎える,1253190,,False
逆,名詞,1,1,逆,逆,1226960,,False
運ぶ,動詞,1,1,運ぶ,運ぶ,1172660,,False
取る,動詞,1,1,取っ,取る,1326980,,False
取れる,動詞,1,1,取れる,取れる,1326990,,False
口,名詞,1,1,口,口,1275640,,False
右,名詞,1,1,右,右,1171010,,False
右手,名詞,1,1,右手,右手,1171120,,False
冷める,動詞,1,1,冷め,冷める,1556750,,False
切る,動詞,1,1,切ろう,切る,1384830,,False
初っぱな,名詞,1,1,初っぱな,初っ端,2038590,,False
初日,名詞,1,1,初日,初日,1342980,,False
