sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
巨人,名詞,24,1,巨人,巨人,1232090,,False
俺,代名詞,15,1,俺,俺,1576870,,False
お前,代名詞,14,1,お前,御前,1002290,,False
団,接尾辞,13,1,団,団,1956650,,False
憲兵,名詞,13,1,憲兵,憲兵,1257580,,False
行く,動詞,11,1,行く,行く,1578850,,False
この,連体詞,10,1,この,此の,1582920,,False
兵士,名詞,9,1,兵士,兵士,1506420,,False
遣る,動詞,9,1,やる,遣る,2083340,,False
内地,名詞,9,1,内地,内地,1458840,,False
入る,動詞,9,1,入る,入る,1465590,,False
兵団,名詞,9,1,兵団,兵団,1506610,,False
壁,名詞,8,1,壁,壁,1509290,,False
有る,動詞,8,1,あり,有る,2847612,,False
為る,動詞,8,1,する,為る,1157170,,False
人類,名詞,7,1,人類,人類,1369530,,False
私,代名詞,7,1,私,私-代名詞,1311110,,False
調査,名詞,7,1,調査,調査,1429120,,False
思う,動詞,6,1,思う,思う,1589350,,False
こと,名詞,6,1,こと,事,1313580,,False
それ,代名詞,6,1,それ,其れ,1006970,,False
年,名詞,6,1,年,年,2084840,,False
来る,動詞,6,1,来る,来る,1547720,,False
もう,副詞,6,1,もう,もう,1012480,,False
訓練,名詞,6,1,訓練,訓練,1247470,,False
勝つ,動詞,5,1,勝てる,勝つ,1346150,,False
バカ,名詞,5,1,バカ,馬鹿,1601260,,False
成る,動詞,5,1,なれ,成る,2846738,,False
技術,名詞,5,1,技術,技術,1225130,,False
機動,名詞,5,1,機動,機動,1221060,,False
良い,形容詞,5,1,いい,良い,1605870,,False
５,名詞,5,1,５,,1268060,,False
言う,動詞,5,1,言っ,言う,1587040,,False
ここ,代名詞,4,1,ここ,此処,1288810,,False
待つ,動詞,4,1,待てよ,待つ,1410590,,False
こんな,連体詞,4,1,こんな,こんな,1004880,,False
何,代名詞,4,1,何,何,1577100,,False
立体,名詞,4,1,立体,立体,1551740,,False
貴様,代名詞,4,1,貴様,貴様,1223620,,False
食う,動詞,4,1,食い,食う,1592100,,False
一瞬,名詞,3,1,一瞬,一瞬,1163340,,False
まだ,副詞,3,1,まだ,未だ,1527110,,False
これ,代名詞,3,1,これ,此れ,1628530,,False
成績,名詞,3,1,成績,成績,1375760,,False
力,名詞,3,1,力,力,1554820,,False
居る,動詞,3,1,いる,居る,1577980,,False
フッ,副詞,3,1,フッ,ふっ,2558020,,False
教官,名詞,3,1,教官,教官,1237050,,False
次,名詞,3,1,次,次,1316380,,False
吹かす,動詞,3,1,吹かせ,吹かす,1010980,,False
煩い,形容詞,3,1,うるせえ,煩い,1481920,,False
凄い,形容詞,3,1,すげえ,凄い,1374550,,False
ウォール,名詞,3,1,ウォール,ウォール-wall,1920100,,False
肉,名詞,3,1,肉,肉,1463520,,False
強め,形状詞,3,1,強め,強め,2855602,,False
上位,名詞,3,1,上位,上位,1352590,,False
術,名詞,3,1,術,術,1340780,,False
今,名詞,3,1,今,今,1288850,,False
卒業,名詞,3,1,卒業,卒業,1405890,,False
外,名詞,3,1,外,外,1203250,,False
快適,名詞,3,1,快適,快適,1200120,,False
ばれる,動詞,3,1,バレ,ばれる,1010350,,False
失う,動詞,3,1,失い,失う,1319750,,False
さん,接尾辞,3,1,さん,さん,1005340,,False
その,連体詞,3,1,その,其の,1006830,,False
ライナー,名詞,3,1,ライナー,ライナー-liner,1138090,,False
僕,代名詞,2,1,僕,僕-代名詞,1521400,,False
対抗,名詞,2,1,対抗,対抗,1410020,,False
座学,名詞,2,1,座学,座学,2140780,,False
強い,形容詞,2,1,強い,強い,1236070,,False
向く,動詞,2,1,向か,向く,1277080,,False
夫婦,名詞,2,1,夫婦,夫婦,1583640,,False
名,名詞,2,1,名,名,2153790,,False
マリア,名詞,2,1,マリア,マリア-Maria,2573170,,False
ミ,接頭辞,2,1,ミ,御,2029670,,False
お,接頭辞,2,1,お,御,2089690,,False
こいつ,代名詞,2,1,こいつ,此奴,1579070,,False
感情,名詞,2,1,感情,感情,1212410,,False
慣性,名詞,2,1,慣性,慣性,1212710,,False
下,名詞,2,1,下,下,2004390,,False
ため,名詞,2,1,ため,為,1157080,,False
音,名詞,2,1,音,音,1576900,,False
あなた,代名詞,2,1,あなた,貴方,1223615,,False
持つ,動詞,2,1,持つ,持つ,1315720,,False
放棄,名詞,2,1,放棄,放棄,1516580,,False
敗北,名詞,2,1,敗北,敗北,1472610,,False
教える,動詞,2,1,教え,教える,1236900,,False
エサ,名詞,2,1,エサ,餌,1173340,,False
斬撃,名詞,2,1,斬撃,斬撃,2561410,,False
昨日,名詞,2,1,昨日,昨日,1579260,,False
時,名詞,2,1,時,時,1315840,,False
違う,動詞,2,1,違う,違う,1158880,,False
本気,名詞,2,1,本気,本気,1522370,,False
世界,名詞,2,1,世界,世界,1373860,,False
出る,動詞,2,1,出,出る,1896380,,False
離れる,動詞,2,1,離れ,離れる,1550840,,False
止む,動詞,2,1,やめ,止む,1310640,,False
殺し,名詞,2,1,殺し,殺し,1299000,,False
決める,動詞,2,1,決め,決める,1254180,,False
人,名詞,2,1,人,人,1580640,,False
無い,形容詞,2,1,無い,無い,2029080,,False
無知,名詞,2,1,無知,無知,1530630,,False
人,接尾辞,2,1,人,人,1580640,,False
