sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
巨人,名詞,29,1,巨人,巨人,1232090,,False
居る,動詞,11,1,おる,居る,1577985,,False
この,連体詞,11,1,この,此の,1582920,,False
世界,名詞,10,1,世界,世界,1373860,,False
行く,動詞,10,1,いけ,行く,1578850,,False
為る,動詞,9,1,仕,為る,1157170,,False
兵団,名詞,8,1,兵団,兵団,1506610,,False
死ぬ,動詞,8,1,死に,死ぬ,1310730,,False
班,名詞,8,1,班,班,1481640,,False
こと,名詞,8,1,こと,事,1313580,,False
外,名詞,7,1,外,外,1203250,,False
有る,動詞,7,1,ある,有る,2847612,,False
人類,名詞,7,1,人類,人類,1369530,,False
お前,代名詞,7,1,お前,御前,1002290,,False
出来る,動詞,7,1,できる,出来る,1340450,,False
成る,動詞,6,1,なっ,成る,2846738,,False
下さる,動詞,5,1,ください,下さる,1184280,,False
貴様,代名詞,5,1,貴様,貴様,1223620,,False
言う,動詞,5,1,いう,言う,1587040,,False
ここ,代名詞,5,1,ここ,此処,1288810,,False
何,代名詞,5,1,何,何,1577100,,False
年,名詞,5,1,年,年,2084840,,False
大丈夫,形状詞,5,1,大丈夫,大丈夫,1414150,,False
俺,代名詞,5,1,俺,俺,1576870,,False
前衛,名詞,4,1,前衛,前衛,1392620,,False
壁,名詞,4,1,壁,壁,1509290,,False
こいつ,代名詞,4,1,こいつ,此奴,1579070,,False
候,名詞,4,1,候,候,1272680 | 1272690 | 2395790,,True
兵,名詞,4,1,兵,兵,2067560,,False
私,代名詞,4,1,私,私-代名詞,1311110,,False
訓練,名詞,4,1,訓練,訓練,1247470,,False
ウォール,名詞,4,1,ウォール,ウォール-wall,1920100,,False
イヤ,形状詞,4,1,イヤ,嫌,1587610,,False
落ち着く,動詞,4,1,落ち着い,落ち着く,1589220,,False
奴,名詞,4,1,奴,奴,1445640,,False
止める,動詞,4,1,やめ,止める,1310680,,False
来る,動詞,4,1,来る,来る,1547720,,False
調査,名詞,4,1,調査,調査,1429120,,False
狙う,動詞,3,1,狙い,狙う,1396590,,False
きっと,副詞,3,1,きっと,急度,1003430,,False
５,名詞,3,1,５,,1268060,,False
駐屯,名詞,3,1,駐屯,駐屯,1426940,,False
迎撃,名詞,3,1,迎撃,迎撃,1253230,,False
僕,代名詞,3,1,僕,僕-代名詞,1521400,,False
今,名詞,3,1,今,今,1288850,,False
現われる,動詞,3,1,現れ,現われる,1263510,,False
支援,名詞,3,1,支援,支援,1310100,,False
作戦,名詞,3,1,作戦,作戦,1297800,,False
明日,名詞,3,1,明日,明日,1584660,,False
待つ,動詞,3,1,待て,待つ,1410590,,False
今日,名詞,3,1,今日,今日,1579110,,False
取る,動詞,3,1,取っ,取る,1326980,,False
そもそも,名詞,3,1,そもそも,抑,1006950,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
司令,名詞,3,1,司令,司令,1306710,,False
塞ぐ,動詞,3,1,塞が,塞ぐ,1602590,,False
塩,名詞,3,1,塩,塩,1576630,,False
内地,名詞,3,1,内地,内地,1458840,,False
命,名詞,3,1,命,命,1531940,,False
体,名詞,3,1,体,体,1409140,,False
負ける,動詞,3,1,負け,負ける,1497980,,False
バルト,名詞,3,1,バルト,バルト,1099920,,False
破壊,名詞,3,1,破壊,破壊,1471250,,False
海,名詞,3,1,海,海,1201190,,False
人間,名詞,3,1,人間,人間,1366770,,False
生き残る,動詞,3,1,生き残っ,生き残る,1378560,,False
現在,名詞,3,1,現在,現在,1263650,,False
違う,動詞,3,1,違う,違う,1158880,,False
突然,副詞,3,1,突然,突然,1457040,,False
避難,名詞,3,1,避難,避難,1484660,,False
まだ,副詞,3,1,まだ,未だ,1527110,,False
突破,名詞,3,1,突破,突破,1457100,,False
どおり,名詞,3,1,どおり,通り,1432930,,False
３,名詞,2,1,３,,1579350,,False
逃がす,動詞,2,1,逃がす,逃がす,1450320,,False
つまり,副詞,2,1,つまり,詰まり,1610430,,False
伝令,名詞,2,1,伝令,伝令,1442460,,False
本,名詞,2,1,本,本,1522150,,False
本,接頭辞,2,1,本,本,1522150,,False
止す,動詞,2,1,よし,止す,1310600,,False
住民,名詞,2,1,住民,住民,1334210,,False
活躍,名詞,2,1,活躍,活躍,1208450,,False
混乱,名詞,2,1,混乱,混乱,1290560,,False
知性,名詞,2,1,知性,知性,1420630,,False
生物,名詞,2,1,生物,生物,1379430,,False
破る,動詞,2,1,破っ,破る,1471200,,False
もう,副詞,2,1,もう,もう,1012480,,False
消える,動詞,2,1,消え,消える,1350040,,False
状況,名詞,2,1,状況,状況,1356700,,False
テメー,代名詞,2,1,テメー,てまえ,2076920,,False
チャンス,名詞,2,1,チャンス,チャンス-chance,1078040,,False
者,名詞,2,1,者,者,2153760,,False
腕,名詞,2,1,腕,腕,1562850,,False
遣る,動詞,2,1,やっ,遣る,2083340,,False
部隊,名詞,2,1,部隊,部隊,1499430,,False
鎧,名詞,2,1,鎧,鎧,1204740,,False
ほとんど,名詞,2,1,ほとんど,殆ど,1522050,,False
たち,接尾辞,2,1,たち,達,1416220,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
穴,名詞,2,1,穴,穴,1254480,,False
そんな,形状詞,2,1,そんな,そんな,1007130,,False
精鋭,名詞,2,1,精鋭,精鋭,1379880,,False
目的,名詞,2,1,目的,目的,1535560,,False
相手,名詞,2,1,相手,相手,1401000,,False
直ちに,副詞,2,1,直ちに,直ちに,1430670,,False
早い,形容詞,2,1,早く,早い,1404975,,False
余,名詞,2,1,余,余り,1543840,,False
多い,名詞,2,1,多く,多く,1861770,,False
広い,形容詞,2,1,広い,広い,1278410,,False
年間,名詞,2,1,年間,年間,1468380,,False
扉,名詞,2,1,扉,扉,1483380,,False
後衛,名詞,2,1,後衛,後衛,1678990,,False
技術,名詞,2,1,技術,技術,1225130,,False
必要,名詞,2,1,必要,必要,1487660,,False
尽くす,動詞,2,1,尽くし,尽くす,1370090,,False
戻る,動詞,2,1,戻れ,戻る,1535880,,False
方法,名詞,2,1,方法,方法,1517090,,False
不死身,名詞,2,1,不死身,不死身,1492600,,False
不明,名詞,2,1,不明,不明,1495060,,False
戦,名詞,2,1,戦,戦,2080730,,False
我々,代名詞,2,1,我々,我々-代名詞,1607050,,False
放棄,名詞,2,1,放棄,放棄,1516580,,False
先遣,名詞,2,1,先遣,先遣,1387550,,False
場合,名詞,2,1,場合,場合,1355810,,False
区,名詞,2,1,区,区,1244080,,False
動く,動詞,2,1,動け,動く,1451210,,False
守る,動詞,2,1,守る,守る,1327120,,False
存在,名詞,2,1,存在,存在,1406150,,False
再生,名詞,2,1,再生,再生,1292960,,False
出現,名詞,2,1,出現,出現,1338820,,False
倒す,動詞,2,1,倒し,倒す,1445770,,False
すでに,副詞,2,1,すでに,既に,1220310,,False
前,名詞,2,1,前,前,1392580,,False
それ,代名詞,2,1,それ,其れ,1006970,,False
その,連体詞,2,1,その,其の,1006830,,False
領土,名詞,2,1,領土,領土,1554790,,False
頭,名詞,2,1,頭,頭,1582310,,False
開閉,名詞,2,1,開閉,開閉,1202940,,False
防衛,名詞,2,1,防衛,防衛,1520200,,False
８,名詞,1,1,８,,1583090,,False
いっぱい,副詞,1,1,いっぱい,一杯,1165670,,False
いつ,代名詞,1,1,いつ,何時,1188760,,False
うえ,名詞,1,1,うえ,上,1352130,,False
お,接頭辞,1,1,お,御,2826528,,False
頂戴,名詞,1,1,頂戴,頂戴,1430230,,False
静粛,名詞,1,1,静粛,静粛,1381920,,False
雪原,名詞,1,1,雪原,雪原,1842470,,False
難解,名詞,1,1,難解,難解,1460890,,False
離れる,動詞,1,1,離れる,離れる,1550840,,False
隠し持つ,動詞,1,1,隠し持っ,隠し持つ,1864650,,False
関心,名詞,1,1,関心,関心,1215870,,False
開始,名詞,1,1,開始,開始,1202760,,False
門,名詞,1,1,門,門,1584800,,False
でかい,形容詞,1,1,デカい,でかい,1008370,,False
とき,名詞,1,1,とき,時,1315840,,False
とんと,副詞,1,1,とんと,とんと,2097060,,False
どう,副詞,1,1,どう,どう,1008910,,False
どうせ,副詞,1,1,どうせ,どうせ,1008950,,False
のんき,形状詞,1,1,のんき,暢気,1600560,,False
ほれ,代名詞,1,1,ほれ,其れ,1011710,,False
都合,名詞,1,1,都合,都合,1444980,,False
酒,名詞,1,1,酒,酒,1329010,,False
野郎,名詞,1,1,野郎,野郎,1537700,,False
鈍い,形容詞,1,1,のろい,鈍い,2838553,,False
逃げ出す,動詞,1,1,逃げ出し,逃げ出す,1450390,,False
逃す,動詞,1,1,逃し,逃す,1450430,,False
遅れる,動詞,1,1,遅れ,遅れる,1589040,,False
過ごす,動詞,1,1,過ごし,過ごす,1196000,,False
邪魔,名詞,1,1,邪魔,邪魔,1323500,,False
団,接尾辞,1,1,団,団,1956650,,False
固定,名詞,1,1,固定,固定,1266650,,False
報告,名詞,1,1,報告,報告,1515670,,False
塩水,名詞,1,1,塩水,塩水,1576650,,False
壊す,動詞,1,1,壊さ,壊す,1199890,,False
変わる,動詞,1,1,変わら,変わる,1510790,,False
南側,名詞,1,1,南側,南側,1582610,,False
単騎,名詞,1,1,単騎,単騎,1417290,,False
危機,名詞,1,1,危機,危機,1218450,,False
即死,名詞,1,1,即死,即死,1404200,,False
原因,名詞,1,1,原因,原因,1261190,,False
反撃,名詞,1,1,反撃,反撃,1480340,,False
収まる,動詞,1,1,治まる,収まる,1330490,,False
受け持つ,動詞,1,1,受け持つ,受け持つ,1329640,,False
可笑しい,形容詞,1,1,おかしく,可笑しい,1190860,,False
各,接頭辞,1,1,各,各,1204860,,False
唯一,名詞,1,1,唯一,唯一,1538920,,False
商人,名詞,1,1,商人,商人,1580270,,False
前進,名詞,1,1,前進,前進,1393350,,False
前門,名詞,1,1,前門,前門,1394090,,False
努める,動詞,1,1,努める,努める,1240820,,False
勝つ,動詞,1,1,勝つ,勝つ,1346150,,False
勝利,名詞,1,1,勝利,勝利,1346240,,False
勝手,名詞,1,1,勝手,勝手,1346190,,False
勝負,名詞,1,1,勝負,勝負,1346230,,False
卒業,名詞,1,1,卒業,卒業,1405890,,False
全て,名詞,1,1,全て,全て,1595730,,False
全滅,名詞,1,1,全滅,全滅,1396240,,False
全部,名詞,1,1,全部,全部,1396130,,False
公爵,名詞,1,1,公爵,公爵,1273880,,False
共,名詞,1,1,共,共,1578040,,False
因る,動詞,1,1,よる,因る,1168660,,False
内,接頭辞,1,1,内,内,1457730,,False
再び,副詞,1,1,再び,再び,1292300,,False
冷静,名詞,1,1,冷静,冷静,1557050,,False
刃,名詞,1,1,刃,刃,1369830,,False
使う,動詞,1,1,使う,使う,1305990,,False
侵入,名詞,1,1,侵入,侵入,1359850,,False
保持,名詞,1,1,保持,保持,1513700,,False
大きい,形容詞,1,1,大きく,大きい,1588880,,False
大半,名詞,1,1,大半,大半,1414790,,False
大地,名詞,1,1,大地,大地,1414520,,False
大砲,名詞,1,1,大砲,大砲,1415030,,False
失う,動詞,1,1,失い,失う,1319750,,False
奇行,名詞,1,1,奇行,奇行,1777860,,False
威張り散らす,動詞,1,1,威張り散らし,威張り散らす,1156310,,False
吹き飛ばす,動詞,1,1,吹き飛ばさ,吹き飛ばす,1370690,,False
呉れる,動詞,1,1,くれ,呉れる,1269130,,False
惨劇,名詞,1,1,惨劇,惨劇,1303310,,False
慎む,動詞,1,1,慎ん,慎む,1598000,,False
憲兵,名詞,1,1,憲兵,憲兵,1257580,,False
安い,形容詞,1,1,安い,安い,1153670,,False
安心,名詞,1,1,安心,安心,1153890,,False
完了,名詞,1,1,完了,完了,1211630,,False
