sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
お前,代名詞,15,1,お前,御前,1002290,,False
この,連体詞,15,1,この,此の,1582920,,False
見る,動詞,10,1,見りゃ,見る,2256270,,False
死ぬ,動詞,10,1,死ん,死ぬ,1310730,,False
出来る,動詞,10,1,でき,出来る,1340450,,False
ミ,接頭辞,9,1,ミ,御,2029670,,False
遣る,動詞,9,1,やろう,遣る,2083340,,False
戦う,動詞,7,1,戦っ,戦う,1596960,,False
為る,動詞,7,1,する,為る,1157170,,False
世界,名詞,7,1,世界,世界,1373860,,False
分かる,動詞,7,1,分かん,分かる,1606560,,False
居る,動詞,7,1,いる,居る,1577980,,False
僕,代名詞,6,1,僕,僕-代名詞,1521400,,False
もう,副詞,6,1,もう,もう,1012480,,False
私,代名詞,6,1,私,私-代名詞,1311110,,False
そいつ,代名詞,6,1,そいつ,其奴,1006600,,False
こと,名詞,6,1,こと,事,1313580,,False
こいつ,代名詞,5,1,こいつ,此奴,1579070,,False
待つ,動詞,5,1,待て,待つ,1410590,,False
早い,形容詞,5,1,早く,早い,1404975,,False
返る,動詞,5,1,帰れ,返る,1512150,,False
テメー,代名詞,5,1,テメー,てまえ,2076920,,False
ガキ,名詞,5,1,ガキ,餓鬼,1197980,,False
殺す,動詞,4,1,殺す,殺す,1299030,,False
行く,動詞,4,1,いけ,行く,1578850,,False
自分,名詞,4,1,自分,自分,1318610,,False
みんな,名詞,4,1,みんな,皆,1202150,,False
人,名詞,4,1,人,人,1580640,,False
何,代名詞,4,1,何,何,1577100,,False
巨人,名詞,4,1,巨人,巨人,1232090,,False
子供,名詞,4,1,子供,子供,1307850,,False
呉れる,動詞,4,1,くれ,呉れる,1269130,,False
先生,名詞,4,1,先生,先生,1387990,,False
命,名詞,4,1,命,命,1531940,,False
生きる,動詞,3,1,生き,生きる,1378520,,False
ケダモノ,名詞,3,1,ケダモノ,獣,1335590,,False
来る,動詞,3,1,来る,来る,1547720,,False
森,名詞,3,1,森,森,1362490,,False
聞く,動詞,3,1,聞い,聞く,1591110,,False
一体,副詞,3,1,一体,一体,1164510,,False
言う,動詞,3,1,言っ,言う,1587040,,False
たち,接尾辞,3,1,たち,達,1416220,,False
有る,動詞,3,1,あろう,有る,2847612,,False
２人,名詞,3,1,２人,二人,1582670,,False
当然,形状詞,3,1,当然,当然,1449190,,False
よく,副詞,3,1,よく,良く,1605870,,False
大丈夫,形状詞,3,1,大丈夫,大丈夫,1414150,,False
友だち,名詞,3,1,友だち,友達,1540170,,False
勝つ,動詞,3,1,勝て,勝つ,1346150,,False
助かる,動詞,3,1,助かる,助かる,1344380,,False
兵士,名詞,3,1,兵士,兵士,1506420,,False
地獄,名詞,3,1,地獄,地獄,1421090,,False
思う,動詞,3,1,思っ,思う,1589350,,False
強い,形容詞,3,1,強い,強い,1236070,,False
俺,代名詞,3,1,俺,俺,1576870,,False
成る,動詞,3,1,なっ,成る,2846738,,False
１人,名詞,3,1,１人,一人,1576150,,False
家,名詞,3,1,家,家,1191730,,False
ダメ,名詞,2,1,ダメ,駄目,1409110,,False
さすが,副詞,2,1,さすが,流石,1552390,,False
たくさん,副詞,2,1,たくさん,沢山,1415870,,False
一族,名詞,2,1,一族,一族,1164440,,False
止める,動詞,2,1,やめ,止める,1310680,,False
死体,名詞,2,1,死体,死体,1310920,,False
残酷,名詞,2,1,残酷,残酷,1304600,,False
温かい,形容詞,2,1,あったかい,温かい,1586420,,False
班,名詞,2,1,班,班,1481640,,False
考える,動詞,2,1,考え,考える,1281020,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
落ち着く,動詞,2,1,落ち着け,落ち着く,1589220,,False
良い,形容詞,2,1,よかっ,良い,1605870,,False
ふざける,動詞,2,1,ふざけ,ふざける,1566450,,False
その,連体詞,2,1,その,其の,1006830,,False
趣味,名詞,2,1,趣味,趣味,1329000,,False
見える,動詞,2,1,見え,見える,1259140,,False
コニー,名詞,2,1,コニー,コニー,2854832,,False
女の子,名詞,2,1,女の子,女の子,1344970,,False
住民,名詞,2,1,住民,住民,1334210,,False
会う,動詞,2,1,会っ,会う,1198180,,False
体,名詞,2,1,体,体,1409140,,False
寒い,形容詞,2,1,寒い,寒い,1210360,,False
心臓,名詞,2,1,心臓,心臓,1360770,,False
時間,名詞,2,1,時間,時間,1315920,,False
押す,動詞,2,1,押せ,押す,1180470,,False
手伝う,動詞,2,1,手伝え,手伝う,1328190,,False
撤退,名詞,2,1,撤退,撤退,1437740,,False
憲兵,名詞,2,1,憲兵,憲兵,1257580,,False
仕方無い,形容詞,2,1,仕方ない,仕方無い,1305440,,False
思い出す,動詞,2,1,思い出す,思い出す,1309260,,False
今,名詞,2,1,今,今,1288850,,False
下っ端,名詞,2,1,下っ端,下っ端,1184330,,False
掛ける,動詞,2,1,掛け,掛ける,1207610,,False
守る,動詞,2,1,守ら,守る,1327120,,False
大人しい,形容詞,2,1,おとなしく,大人しい,1414190,,False
場所,名詞,2,1,場所,場所,1355850,,False
壁,名詞,2,1,壁,壁,1509290,,False
喋る,動詞,2,1,しゃべれ,喋る,1427510,,False
団,接尾辞,2,1,団,団,1956650,,False
女,名詞,2,1,女,女,1344930,,False
君,代名詞,2,1,君,君-代名詞,1247250,,False
こんな,連体詞,2,1,こんな,こんな,1004880,,False
麓,名詞,2,1,麓,麓,1611440,,False
金,名詞,2,1,金,金,1242600,,False
ここ,代名詞,2,1,ここ,此処,1288810,,False
これ,代名詞,2,1,これ,此れ,1628530,,False
こう,副詞,2,1,こう,こう,1004310,,False
お,接頭辞,2,1,お,御,2826528,,False
あなた,代名詞,1,1,あなた,貴方,1223615,,False
あんた,代名詞,1,1,あんた,貴方,1979920,,False
おいおい,副詞,1,1,おいおい,追い追い,1631660,,False
おやじ,名詞,1,1,おやじ,親父,1365330,,False
きっと,副詞,1,1,きっと,急度,1003430,,False
ころ,名詞,1,1,ころ,頃,1579080,,False
ごめん,名詞,1,1,ごめん,御免,1270670,,False
長い,形容詞,1,1,長い,長い,1429750,,False
間に合う,動詞,1,1,間に合わ,間に合う,1215260,,False
雇い主,名詞,1,1,雇い主,雇い主,1605560,,False
震え,名詞,1,1,震え,震え,1366300,,False
頭,名詞,1,1,頭,頭,1582310,,False
顔,名詞,1,1,顔,顔,1217730,,False
食,名詞,1,1,食,食,1956480,,False
食う,動詞,1,1,食わ,食う,1592100,,False
食らう,動詞,1,1,食らう,食らう,1592410,,False
食わす,動詞,1,1,食わす,食わす,2007890,,False
飯,名詞,1,1,飯,飯,1482010,,False
駆除,名詞,1,1,駆除,駆除,1244860,,False
動転,名詞,1,1,動転,動転,1451460,,False
勘違い,名詞,1,1,勘違い,勘違い,1210620,,False
務め,名詞,1,1,務め,務め,1240810,,False
勝者,名詞,1,1,勝者,勝者,1346180,,False
医者,名詞,1,1,医者,医者,1159980,,False
十分,形状詞,1,1,十分,十分,1335080,,False
協力,名詞,1,1,協力,協力,1591720,,False
危険,名詞,1,1,危険,危険,1218560,,False
取り押さえる,動詞,1,1,取り押さえろ,取り押さえる,2011120,,False
叩き割る,動詞,1,1,たたき割ら,叩き割る,1416070,,False
合流,名詞,1,1,合流,合流,1285390,,False
同い年,名詞,1,1,同い年,同い年,1451740,,False
向かう,動詞,1,1,向かっ,向かう,1604800,,False
値,名詞,1,1,値,値,1581630,,False
僕,名詞,1,1,僕,僕,1521400,,False
先,名詞,1,1,先,先,1387210,,False
光景,名詞,1,1,光景,光景,1272950,,False
入る,動詞,1,1,入っ,入る,1465590,,False
全滅,名詞,1,1,全滅,全滅,1396240,,False
冗談,名詞,1,1,冗談,冗談,1355540,,False
刃,名詞,1,1,刃,刃,1369820,,False
刺繍,名詞,1,1,刺繍,刺繍,1306540,,False
前衛,名詞,1,1,前衛,前衛,1392620,,False
前進,名詞,1,1,前進,前進,1393350,,False
周り,名詞,1,1,周り,周り,1604290,,False
