sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
巨人,名詞,20,1,巨人,巨人,1232090,,False
為る,動詞,11,1,し,為る,1157170,,False
私,代名詞,10,1,私,私-代名詞,1311110,,False
出来る,動詞,10,1,できる,出来る,1340450,,False
ガス,名詞,9,1,ガス,ガス-gas,1040060,,False
ミ,接頭辞,9,1,ミ,御,2029670,,False
こと,名詞,9,1,こと,事,1313580,,False
戦う,動詞,9,1,戦わ,戦う,1596960,,False
みんな,名詞,7,1,みんな,皆,1202150,,False
遣る,動詞,7,1,やる,遣る,2083340,,False
来る,動詞,7,1,くれ,来る,1547720,,False
壁,名詞,7,1,壁,壁,1509290,,False
死ぬ,動詞,6,1,死ぬ,死ぬ,1310730,,False
人類,名詞,6,1,人類,人類,1369530,,False
補給,名詞,6,1,補給,補給,1514510,,False
お前,代名詞,6,1,お前,御前,1002290,,False
僕,代名詞,5,1,僕,僕-代名詞,1521400,,False
有る,動詞,5,1,ある,有る,2847612,,False
本部,名詞,5,1,本部,本部,1523170,,False
ダメ,名詞,5,1,ダメ,駄目,1409110,,False
班,名詞,5,1,班,班,1481640,,False
成る,動詞,5,1,なっ,成る,2846738,,False
止める,動詞,4,1,やめろ,止める,1310680,,False
とにかく,副詞,4,1,とにかく,兎に角,1443990,,False
もう,副詞,4,1,もう,もう,1012480,,False
腰抜け,名詞,4,1,腰抜け,腰抜け,1288450,,False
この,連体詞,4,1,この,此の,1582920,,False
上る,動詞,4,1,登ろう,上る,1352570,,False
何,代名詞,4,1,何,何,1577100,,False
年,名詞,4,1,年,年,2084840,,False
ここ,代名詞,4,1,ここ,此処,1288810,,False
全滅,名詞,4,1,全滅,全滅,1396240,,False
居る,動詞,3,1,いる,居る,1577980,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
殺す,動詞,3,1,殺し,殺す,1299030,,False
勝つ,動詞,3,1,勝て,勝つ,1346150,,False
兵,名詞,3,1,兵,兵,2067560,,False
強い,形容詞,3,1,強い,強い,1236070,,False
分かる,動詞,3,1,分かる,分かる,1606560,,False
失う,動詞,3,1,失い,失う,1319750,,False
今,名詞,3,1,今,今,1288850,,False
放棄,名詞,3,1,放棄,放棄,1516580,,False
俺,代名詞,3,1,俺,俺,1576870,,False
はず,名詞,3,1,はず,筈,1476430,,False
言う,動詞,3,1,言い,言う,1587040,,False
腕,名詞,3,1,腕,腕,1562850,,False
行く,動詞,3,1,行け,行く,1578850,,False
どう,副詞,3,1,どう,どう,1008910,,False
生きる,動詞,3,1,生きる,生きる,1378520,,False
立つ,動詞,3,1,立っ,立つ,1597040,,False
群がる,動詞,3,1,群がっ,群がる,1247500,,False
諦める,動詞,3,1,諦め,諦める,1436730,,False
覚悟,名詞,3,1,覚悟,覚悟,1206080,,False
見る,動詞,3,1,見,見る,2256270,,False
良い,形容詞,2,1,いい,良い,1605870,,False
ほぼ,副詞,2,1,ほぼ,略,1551940,,False
行動,名詞,2,1,行動,行動,1282100,,False
それ,代名詞,2,1,それ,其れ,1006970,,False
これ,代名詞,2,1,これ,此れ,1628530,,False
マリア,名詞,2,1,マリア,マリア-Maria,2573170,,False
メートル,名詞,2,1,メートル,メートル-metre,1132570,,False
無い,形容詞,2,1,無い,無い,2029080,,False
