sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
巨人,名詞,17,1,巨人,巨人,1232090,,False
居る,動詞,15,1,いる,居る,1577980,,False
人類,名詞,15,1,人類,人類,1369530,,False
俺,代名詞,14,1,俺,俺,1576870,,False
お前,代名詞,10,1,お前,御前,1002290,,False
為る,動詞,9,1,さ,為る,1157170,,False
こと,名詞,9,1,こと,事,1313580,,False
貴様,代名詞,8,1,貴様,貴様,1223620,,False
この,連体詞,7,1,この,此の,1582920,,False
ミ,接頭辞,7,1,ミ,御,2029670,,False
殺す,動詞,7,1,殺す,殺す,1299030,,False
無い,形容詞,6,1,なかっ,無い,2029080,,False
訓練,名詞,6,1,訓練,訓練,1247470,,False
言う,動詞,6,1,いい,言う,1587040,,False
年,名詞,5,1,年,年,2084840,,False
見る,動詞,5,1,見ろ,見る,2256270,,False
調査,名詞,5,1,調査,調査,1429120,,False
兵長,名詞,5,1,兵長,兵長,1506620,,False
力,名詞,5,1,力,力,1554820,,False
兵,名詞,5,1,兵,兵,2067560,,False
今,名詞,5,1,今,今,1288850,,False
分かる,動詞,5,1,分かっ,分かる,1606560,,False
遣る,動詞,4,1,やる,遣る,2083340,,False
体,名詞,4,1,体,体,1409150,,False
兵士,名詞,4,1,兵士,兵士,1506420,,False
何,代名詞,4,1,何,何,1577100,,False
正体,名詞,4,1,正体,正体,1377530,,False
もっと,副詞,4,1,もっと,もっと,1012620,,False
必ず,副詞,4,1,必ず,必ず,1487400,,False
有る,動詞,4,1,ある,有る,1000580,,False
みんな,名詞,4,1,みんな,皆,1202150,,False
私,代名詞,4,1,私,私-代名詞,1311110,,False
きっと,副詞,3,1,きっと,急度,1003430,,False
隊長,名詞,3,1,隊長,隊長,1411530,,False
肉,名詞,3,1,肉,肉,1463520,,False
たち,接尾辞,3,1,たち,達,1416220,,False
そりゃ,代名詞,3,1,そりゃ,其れ,2134680,,False
その,連体詞,3,1,その,其の,1006830,,False
気,名詞,3,1,気,気,1221520,,False
知る,動詞,3,1,知れ,知る,1420470,,False
聞く,動詞,3,1,聞い,聞く,1591110,,False
立てる,動詞,3,1,立て,立てる,1551530,,False
問う,動詞,3,1,問わ,問う,1536000,,False
持つ,動詞,3,1,持っ,持つ,1315720,,False
思う,動詞,3,1,思っ,思う,1589350,,False
壁,名詞,3,1,壁,壁,1509290,,False
ウォール,名詞,3,1,ウォール,ウォール-wall,1920100,,False
マリア,名詞,3,1,マリア,マリア-Maria,2573170,,False
出来る,動詞,3,1,でき,出来る,1340450,,False
前,名詞,3,1,前,前,1392580,,False
兵団,名詞,3,1,兵団,兵団,1506610,,False
人間,名詞,3,1,人間,人間,1366770,,False
間,名詞,3,1,間,間,1215230,,False
５,名詞,3,1,５,,1268060,,False
逃げる,動詞,2,1,逃げよう,逃げる,1450330,,False
一部,名詞,2,1,一部,一部,1166180,,False
左,名詞,2,1,左,左,1290800,,False
チッ,副詞,2,1,チッ,ちっ,1077410,,False
打ち込む,動詞,2,1,ぶち込む,打ち込む,2714070,,False
全員,名詞,2,1,全員,全員,1394840,,False
奪う,動詞,2,1,奪わ,奪う,1416340,,False
奇行,名詞,2,1,奇行,奇行,1777860,,False
同じ,形状詞,2,1,同じ,同じ,1451750,,False
体内,名詞,2,1,体内,体内,1409640,,False
命,名詞,2,1,命,命,1531940,,False
右,名詞,2,1,右,右,1171010,,False
時間,名詞,2,1,時間,時間,1315920,,False
会う,動詞,2,1,会える,会う,1198180,,False
任務,名詞,2,1,任務,任務,1467260,,False
動く,動詞,2,1,動く,動く,1451210,,False
我々,代名詞,2,1,我々,我々-代名詞,1607050,,False
役,名詞,2,1,役,役,1537970,,False
必死,形状詞,2,1,必死,必死,1601890,,False
過ぎる,動詞,2,1,すぎる,過ぎる,1195970,,False
前衛,名詞,2,1,前衛,前衛,1392620,,False
存在,名詞,2,1,存在,存在,1406150,,False
区,名詞,2,1,区,区,1244080,,False
夢,名詞,2,1,夢,夢,1529410,,False
人,名詞,2,1,人,人,1580640,,False
化け物,名詞,2,1,化け物,化け物,1601300,,False
ジャン,名詞,2,1,ジャン,ジャン-Jean,1984400,,False
成る,動詞,2,1,なる,成る,2846738,,False
与える,動詞,2,1,与える,与える,1544730,,False
ガス,名詞,2,1,ガス,ガス-gas,1040060,,False
下さる,動詞,2,1,ください,下さる,1184280,,False
ヘタ,名詞,2,1,ヘタ,下手,1185200,,False
フン,名詞,2,1,フン,フン-外国,1632520,,False
差,名詞,2,1,差,差,1291070,,False
死ぬ,動詞,2,1,死ぬ,死ぬ,1310730,,False
特技,名詞,2,1,特技,特技,1454740,,False
熱い,形容詞,2,1,熱い,熱い,1467720,,False
無事,形状詞,2,1,無事,無事,1530030,,False
溜める,名詞,2,1,ため,為,1157080,,False
もう,副詞,2,1,もう,もう,1012480,,False
まるで,副詞,2,1,まるで,丸で,1216280,,False
目,名詞,2,1,目,目,1604890,,False
生き残る,動詞,2,1,生き残っ,生き残る,1378560,,False
精鋭,名詞,2,1,精鋭,精鋭,1379880,,False
種,名詞,2,1,種,種,1328810,,False
破壊,名詞,2,1,破壊,破壊,1471250,,False
相手,名詞,2,1,相手,相手,1401000,,False
行為,名詞,2,1,行為,行為,1281830,,False
聞こえる,動詞,2,1,聞こえ,聞こえる,1591150,,False
者,名詞,2,1,者,者,1322990,,False
考える,動詞,2,1,考え,考える,1281020,,False
絶滅,名詞,2,1,絶滅,絶滅,1386990,,False
記憶,名詞,2,1,記憶,記憶,1223150,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
ずっと,副詞,2,1,ずっと,ずっと,1006380,,False
質問,名詞,2,1,質問,質問,1320760,,False
貰う,動詞,2,1,もらえる,貰う,1535910,,False
退却,名詞,2,1,退却,退却,1411360,,False
辿り着く,動詞,2,1,辿り着く,辿り着く,1416680,,False
