sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
オレ,代名詞,14,1,オレ,俺,1576870,,False
アル,名詞,14,1,アル,アル,2835284,,False
錬成,名詞,11,1,錬成,錬成,1559980,,False
来る,動詞,11,1,くれ,来る,1547720,,False
こと,名詞,11,1,こと,事,1313580,,False
体,名詞,8,1,体,体,1409140,,False
グラム,名詞,7,1,グラム,グラム,1046810,,False
この,連体詞,7,1,この,此の,1582920,,False
有る,動詞,7,1,あり,有る,1000580,,False
行く,動詞,6,1,行っ,行く,1578850,,False
返る,動詞,6,1,帰ろう,返る,1512150,,False
人体,名詞,6,1,人体,人体,1368670,,False
たち,接尾辞,6,1,たち,達,1416220,,False
書く,動詞,6,1,書い,書く,1343950,,False
見る,動詞,6,1,見,見る,2256270,,False
それ,代名詞,6,1,それ,其れ,1006970,,False
為る,動詞,6,1,する,為る,1157170,,False
人,名詞,6,1,人,人,1580640,,False
居る,動詞,6,1,いる,居る,1577980,,False
これ,代名詞,6,1,これ,此れ,1628530,,False
国家,名詞,6,1,国家,国家,1286170,,False
有る,代名詞,5,1,あれ,彼れ,1000580,,False
決める,動詞,5,1,決める,決める,1254180,,False
その,連体詞,5,1,その,其の,1006830,,False
元,名詞,5,1,元,元,2219590,,False
真理,名詞,4,1,真理,真理,1364400,,False
言う,動詞,4,1,言う,言う,1587040,,False
牛乳,名詞,4,1,牛乳,牛乳,1231590,,False
チビ,名詞,4,1,チビ,ちび,1077750,,False
泣く,動詞,4,1,泣く,泣く,1229840,,False
さん,接尾辞,4,1,さん,さん,1005340,,False
名,名詞,4,1,名,名,1531330,,False
何,代名詞,4,1,何,何,1577100,,False
頭,名詞,4,1,頭,頭,1582310,,False
もの,名詞,4,1,もの,物,1502390,,False
こんな,連体詞,4,1,こんな,こんな,1004880,,False
試験,名詞,4,1,試験,試験,1312350,,False
あと,名詞,3,1,あと,後,1269320,,False
地獄,名詞,3,1,地獄,地獄,1421090,,False
煩い,形容詞,3,1,うるせえ,煩い,1481920,,False
秘密,名詞,3,1,秘密,秘密,1484150,,False
聞く,動詞,3,1,聞か,聞く,1591110,,False
街,名詞,3,1,街,街,1603990,,False
見せる,動詞,3,1,見せ,見せる,1259210,,False
遣る,動詞,3,1,やる,遣る,1012980,,False
読む,動詞,3,1,読ん,読む,1456360,,False
オール,名詞,3,1,オール,オール-all,2856153,,False
鋼,名詞,3,1,鋼,鋼,1282680,,False
軍,名詞,3,1,軍,軍,1247660,,False
軍人,名詞,3,1,軍人,軍人,1248540,,False
陣,名詞,3,1,陣,陣,1956490,,False
魂,名詞,3,1,魂,魂,1579170,,False
あんた,代名詞,3,1,あんた,貴方,1979920,,False
お前,代名詞,3,1,お前,御前,1002290,,False
そう,副詞,3,1,そう,そう,2137720,,False
君,代名詞,3,1,君,君-代名詞,1247250,,False
どこ,代名詞,3,1,どこ,何処,1577140,,False
出来る,動詞,3,1,でき,出来る,1340450,,False
あたし,代名詞,3,1,あたし,私,1311125,,False
作る,動詞,3,1,作る,作る,1597890,,False
まだ,副詞,3,1,まだ,未だ,1527110,,False
リ,名詞,3,1,リ,リ-ris,2861583 | 2861596,,True
凄い,形容詞,3,1,すごい,凄い,1374550,,False
子供,名詞,3,1,子供,子供,1307850,,False
もう,副詞,3,1,もう,もう,1012480,,False
思う,動詞,3,1,思う,思う,1589350,,False
戻る,動詞,3,1,戻る,戻る,1535880,,False
機械,名詞,3,1,機械,機械,1220810,,False
止める,動詞,3,1,やめろ,止める,1310680,,False
待つ,動詞,2,1,待て,待つ,1410590,,False
家,名詞,2,1,家,家,1191730,,False
弟,名詞,2,1,弟,弟,1581930,,False
世界,名詞,2,1,世界,世界,1373860,,False
本,名詞,2,1,本,本,1522150,,False
オタ,名詞,2,1,オタ,おた,2136700,,False
キング,名詞,2,1,キング,キング-king,1042700,,False
こんな,形状詞,2,1,こんな,こんな,1004880,,False
人間,名詞,2,1,人間,人間,1366770,,False
サイズ,名詞,2,1,サイズ,サイズ-size,1055780,,False
せんせい,名詞,2,1,せんせい,先生,1387990,,False
キログラム,名詞,2,1,キログラム,キログラム-kilogramme,1042620,,False
どう,副詞,2,1,どう,どう,1008910,,False
割れる,動詞,2,1,割れる,割れる,1208020,,False
よう,形状詞,2,1,よう,様,1605840,,False
死ぬ,動詞,2,1,死ん,死ぬ,1310730,,False
求める,動詞,2,1,求め,求める,1229350,,False
バッチリ,副詞,2,1,バッチリ,ばっちり,1010280,,False
師匠,名詞,2,1,師匠,師匠,1308900,,False
以来,名詞,2,1,以来,以来,1155210,,False
無い,形容詞,2,1,なかれ,無い,1529520,,False
兄弟,名詞,2,1,兄弟,兄弟,1249960,,False
ちゃん,接尾辞,2,1,ちゃん,ちゃん,1007660,,False
理解,名詞,2,1,理解,理解,1549910,,False
発想,名詞,2,1,発想,発想,1477660,,False
目,名詞,2,1,目,目,1604890,,False
ダメ,名詞,2,1,ダメ,駄目,1409110,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
知る,動詞,2,1,知っ,知る,1420470,,False
私,代名詞,2,1,私,私-代名詞,1311110,,False
必要,名詞,2,1,必要,必要,1487660,,False
結構,副詞,2,1,結構,結構,1254760,,False
習う,動詞,2,1,習っ,習う,1333070,,False
リットル,名詞,2,1,リットル,リットル-litre,1141870,,False
背負う,動詞,2,1,背負う,背負う,1472860,,False
腕,名詞,2,1,腕,腕,1562850,,False
落書き,名詞,2,1,落書き,落書き,1548770,,False
呉れる,動詞,2,1,くれる,呉れる,1269130,,False
情報,名詞,2,1,情報,情報,1356370,,False
戻す,動詞,2,1,戻せ,戻す,1535850,,False
変形,名詞,2,1,変形,変形,1510980,,False
子,名詞,2,1,子,子,1307770,,False
みたい,形状詞,2,1,みたい,みたい,2016410,,False
誰,代名詞,2,1,誰,誰,1416830,,False
所,名詞,2,1,所,所,1343100,,False
持つ,動詞,2,1,持っ,持つ,1315720,,False
返す,動詞,2,1,返せ,返す,1512130,,False
閣下,名詞,2,1,閣下,閣下,1206280,,False
掛かる,動詞,2,1,かかっ,掛かる,1207590,,False
シチュー,名詞,2,1,シチュー,シチュー-stew,1060590,,False
飲む,動詞,2,1,飲ん,飲む,1169870,,False
嫌い,名詞,2,1,嫌い,嫌い,1257240,,False
２人,名詞,2,1,２人,二人,1582670,,False
なかなか,副詞,2,1,なかなか,中々,1599420,,False
お,接頭辞,2,1,お,御,2089690,,False
おっ,名詞,2,1,おっ,伯父,2770620,,False
ババア,名詞,2,1,ババア,婆,2855835,,False
セントラル,名詞,1,1,セントラル,セントラル-central,2003220,,False
