sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
私,代名詞,19,1,私,私-代名詞,1311110,,False
神,名詞,15,1,神,神,1364440,,False
為る,動詞,12,1,する,為る,1157170,,False
たち,接尾辞,11,1,たち,達,1416220,,False
ボク,代名詞,11,1,ボク,僕-代名詞,1521400,,False
出来る,動詞,11,1,でき,出来る,1340450,,False
こと,名詞,11,1,こと,事,1313580,,False
この,連体詞,10,1,この,此の,1582920,,False
様,接尾辞,8,1,様,様,1545790,,False
錬成,名詞,8,1,錬成,錬成,1559980,,False
オレ,代名詞,7,1,オレ,俺,1576870,,False
言う,動詞,7,1,言わ,言う,1587040,,False
教主,名詞,7,1,教主,教主,1761410,,False
奇跡,名詞,7,1,奇跡,奇跡,1591250,,False
ロゼ,名詞,7,1,ロゼ,ロゼ,1146490,,False
居る,動詞,7,1,いる,居る,1577980,,False
業,名詞,7,1,業,業,1239330,,False
者,名詞,6,1,者,者,1322990,,False
お,接頭辞,6,1,お,御,2089690,,False
その,連体詞,6,1,その,其の,1006830,,False
貴様,代名詞,6,1,貴様,貴様,1223620,,False
見る,動詞,6,1,見,見る,2256270,,False
呉れる,動詞,6,1,くれる,呉れる,1269130,,False
有る,動詞,6,1,あり,有る,1000580,,False
思う,動詞,6,1,思う,思う,1589350,,False
鎧,名詞,6,1,鎧,鎧,1204740,,False
信ずる,動詞,6,1,信じよ,信ずる,1359070,,False
人体,名詞,5,1,人体,人体,1368670,,False
使う,動詞,5,1,使える,使う,1305990,,False
打つ,動詞,5,1,撃つ,打つ,1408810,,False
来る,動詞,5,1,来,来る,1547720,,False
何,代名詞,5,1,何,何,1577100,,False
体,名詞,5,1,体,体,1409140,,False
行く,動詞,5,1,いき,行く,1578850,,False
良い,形容詞,5,1,よい,良い,1605870,,False
信者,名詞,4,1,信者,信者,1359340,,False
教団,名詞,4,1,教団,教団,1237260,,False
石,名詞,4,1,石,石,1382440,,False
もの,名詞,4,1,もの,物,1502390,,False
これ,代名詞,4,1,これ,此れ,1628530,,False
違う,動詞,4,1,違う,違う,1158880,,False
遣る,動詞,4,1,やる,遣る,1012980,,False
下さる,動詞,4,1,くださっ,下さる,1184280,,False
悪い,形容詞,4,1,わりい,悪い,1151260,,False
救う,動詞,4,1,救わ,救う,1229060,,False
聞く,動詞,4,1,聞い,聞く,1591110,,False
成る,動詞,3,1,なっ,成る,2846738,,False
拳,名詞,3,1,拳,拳,1257740,,False
グラム,名詞,3,1,グラム,グラム,1046810,,False
格,名詞,3,1,格,格,1205270,,False
為さる,動詞,3,1,なさる,為さる,1157090,,False
そう,形状詞,3,1,そう,そう-様態,2137720,,False
どう,副詞,3,1,どう,どう,1008910,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
言葉,名詞,3,1,言葉,言葉,1264540,,False
人,名詞,3,1,人,人,1580640,,False
国家,名詞,3,1,国家,国家,1286170,,False
兄弟,名詞,3,1,兄弟,兄弟,1249960,,False
あんた,代名詞,3,1,あんた,貴方,1979920,,False
三流,名詞,3,1,三流,三流,1301840,,False
子供,名詞,3,1,子供,子供,1307850,,False
戻す,動詞,3,1,戻し,戻す,1535850,,False
元,名詞,3,1,元,元,1260670,,False
復活,名詞,3,1,復活,復活,1500700,,False
人間,名詞,3,1,人間,人間,1366770,,False
アル,名詞,3,1,アル,アル,2835284,,False
自分,名詞,3,1,自分,自分,1318610,,False
物,名詞,3,1,物,物,1502390,,False
生き返る,動詞,3,1,生き返ら,生き返る,1378600,,False
やつ,名詞,3,1,やつ,奴,1445640,,False
見せる,動詞,3,1,見せ,見せる,1259210,,False
蘇る,動詞,3,1,よみがえら,蘇る,1606020,,False
科学,名詞,3,1,科学,科学,1192700,,False
生きる,動詞,3,1,生きる,生きる,1378520,,False
太陽,名詞,3,1,太陽,太陽,1408370,,False
そんな,形状詞,3,1,そんな,そんな,1007130,,False
もう,副詞,3,1,もう,もう,1012480,,False
壊れる,動詞,3,1,壊れ,壊れる,1199900,,False
とんだ,連体詞,2,1,とんだ,とんだ,1008770,,False
こりゃ,代名詞,2,1,こりゃ,此れ,2093510,,False
お前,代名詞,2,1,お前,御前,1002290,,False
１,名詞,2,1,１,,1160790,,False
連中,名詞,2,1,連中,連中,1559700,,False
どこ,代名詞,2,1,どこ,何処,1577140,,False
ところ,名詞,2,1,ところ,所,1343100,,False
軍,名詞,2,1,軍,軍,1247660,,False
ため,名詞,2,1,ため,為,1157080,,False
ちょっと,副詞,2,1,ちょっと,一寸,1163940,,False
覚悟,名詞,2,1,覚悟,覚悟,1206080,,False
近付く,動詞,2,1,近づき,近付く,1242170,,False
騙す,動詞,2,1,だます,騙す,1574550,,False
過ぎる,動詞,2,1,すぎ,過ぎる,1195970,,False
違い,名詞,2,1,違い,違い,1158870,,False
道,名詞,2,1,道,道,1454080,,False
貰う,動詞,2,1,もらえ,貰う,1535910,,False
質量,名詞,2,1,質量,質量,1320790,,False
話,名詞,2,1,話,話,1600900,,False
キログラム,名詞,2,1,キログラム,キログラム-kilogramme,1042620,,False
教える,動詞,2,1,教え,教える,1236900,,False
リットル,名詞,2,1,リットル,リットル-litre,1141870,,False
渡す,動詞,2,1,渡し,渡す,1444610,,False
知る,動詞,2,1,知り,知る,1420470,,False
着る,動詞,2,1,着,着る,1423000,,False
直す,動詞,2,1,直す,直す,1599390,,False
煩い,形容詞,2,1,うっせえ,煩い,1481920,,False
無視,名詞,2,1,無視,無視,1530020,,False
無い,形容詞,2,1,なかれ,無い,1529520,,False
もん,名詞,2,1,もん,物,2780660,,False
やっと,副詞,2,1,やっと,漸と,1012800,,False
犯す,動詞,2,1,犯す,犯す,1481550,,False
死ぬ,動詞,2,1,死ん,死ぬ,1310730,,False
気,名詞,2,1,気,気,1221520,,False
それ,代名詞,2,1,それ,其れ,1006970,,False
もぐ,動詞,2,1,もが,もぐ,1562790,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
め,接尾辞,2,1,め,目,2089650,,False
考える,動詞,2,1,考え,考える,1281020,,False
翼,名詞,2,1,翼,翼,1547530,,False
終わる,動詞,2,1,終わら,終わる,1589600,,False
縋る,動詞,2,1,すがっ,縋る,1610010,,False
英雄,名詞,2,1,英雄,英雄,1174680,,False
祈る,動詞,2,1,祈っ,祈る,1222770,,False
