sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
こと,名詞,11,1,こと,事,1313580,,False
有る,動詞,10,1,あり,有る,2847612,,False
タッカー,名詞,10,1,タッカー,タッカー-外国,2860603,,False
国家,名詞,9,1,国家,国家,1286170,,False
錬成,名詞,9,1,錬成,錬成,1559980,,False
命,名詞,8,1,命,命,1531940,,False
合成,名詞,7,1,合成,合成,1284940,,False
君,代名詞,7,1,君,君-代名詞,1247250,,False
獣,接尾辞,7,1,獣,獣,1335590,,False
人,名詞,7,1,人,人,1580640,,False
遣る,動詞,7,1,やろう,遣る,1012980,,False
遊ぶ,動詞,7,1,遊ん,遊ぶ,1542160,,False
オレ,代名詞,7,1,オレ,俺,1576870,,False
キメラ,名詞,7,1,キメラ,キメラ-chimera,1041310,,False
前,名詞,6,1,前,前,1392580,,False
君,接尾辞,5,1,君,君,1247250,,False
大佐,名詞,5,1,大佐,大佐,1413740,,False
良い,形容詞,5,1,いい,良い,1605870,,False
者,名詞,5,1,者,者,2153760,,False
２,名詞,5,1,２,,1461140,,False
言う,動詞,5,1,いう,言う,1587040,,False
それ,代名詞,5,1,それ,其れ,1006970,,False
人間,名詞,5,1,人間,人間,1366770,,False
この,連体詞,5,1,この,此の,1582920,,False
年,名詞,5,1,年,年,2084840,,False
さん,接尾辞,4,1,さん,さん,1005340,,False
軍,名詞,4,1,軍,軍,1247660,,False
為る,動詞,4,1,する,為る,1157170,,False
私,代名詞,4,1,私,私-代名詞,1311110,,False
神,名詞,4,1,神,神,1364440,,False
見る,動詞,4,1,見る,見る,2256270,,False
悪魔,名詞,4,1,悪魔,悪魔,1152510,,False
居る,動詞,4,1,いる,居る,1577980,,False
待つ,動詞,4,1,待ち,待つ,1410590,,False
たち,接尾辞,4,1,たち,達,1416220,,False
呉れる,動詞,4,1,くれ,呉れる,1269130,,False
これ,代名詞,4,1,これ,此れ,1628530,,False
成る,動詞,4,1,なっ,成る,2846738,,False
査定,名詞,4,1,査定,査定,1291450,,False
使う,動詞,4,1,使い,使う,1305990,,False
何,代名詞,4,1,何,何,1577100,,False
分かる,動詞,4,1,分から,分かる,1606560,,False
違う,動詞,4,1,ちがーう,違う,1158880,,False
道,名詞,3,1,道,道,1454080,,False
サンダー,名詞,3,1,サンダー,サンダー-thunder,1659970,,False
オール,名詞,3,1,オール,オール-all,2856153,,False
ショウ,名詞,3,1,ショウ,ショー-Shaw,1062240,,False
興味,名詞,3,1,興味,興味,1238410,,False
相手,名詞,3,1,相手,相手,1401000,,False
リ,名詞,3,1,リ,リ-ris,2861583 | 2861596,,True
その,連体詞,3,1,その,其の,1006830,,False
持つ,動詞,3,1,持つ,持つ,1315720,,False
戻る,動詞,3,1,戻る,戻る,1535880,,False
生体,名詞,3,1,生体,生体,1379250,,False
死ぬ,動詞,3,1,死に,死ぬ,1310730,,False
犬,名詞,3,1,犬,犬,1258330,,False
ごめん,名詞,3,1,ごめん,御免,1270670,,False
妻,名詞,3,1,妻,妻,1294330,,False
喋る,動詞,3,1,しゃべる,喋る,1427510,,False
取る,動詞,3,1,取っ,取る,1326980,,False
今回,名詞,3,1,今回,今回,1289070,,False
人語,名詞,3,1,人語,人語,1367280,,False
貰う,動詞,3,1,もらわ,貰う,1535910,,False
件,名詞,3,1,件,件,1255940,,False
ど,副詞,3,1,ど,どう,1445160,,False
アル,名詞,2,1,アル,アル,2835284,,False
あんた,代名詞,2,1,あんた,貴方,1979920,,False
襲う,動詞,2,1,襲え,襲う,1333330,,False
どう,副詞,2,1,どう,どう,1008910,,False
雨,名詞,2,1,雨,雨,1171900,,False
２人,名詞,2,1,２人,二人,1582670,,False
運動,名詞,2,1,運動,運動,1172910,,False
狙う,動詞,2,1,狙わ,狙う,1396590,,False
綴,名詞,2,1,綴,綴れ,1598030,,False
ボク,代名詞,2,1,ボク,僕-代名詞,1521400,,False
行く,動詞,2,1,行っ,行く,1578850,,False
ワン,名詞,2,1,ワン,ワン-one,2844785,,False
誰,代名詞,2,1,誰,誰,1416830,,False
言葉,名詞,2,1,言葉,言葉,1264540,,False
解する,動詞,2,1,解する,解する,2006240,,False
資料,名詞,2,1,資料,資料,1312820,,False
資格,名詞,2,1,資格,資格,1312690,,False
迎える,動詞,2,1,迎え,迎える,1253190,,False
背く,動詞,2,1,背き,背く,1472680,,False
返る,動詞,2,1,帰っ,返る,1512150,,False
逃げる,動詞,2,1,逃げ,逃げる,1450330,,False
シティ,名詞,2,1,シティ,シティー-city,1060700,,False
石,名詞,2,1,石,石,1382440,,False
来る,動詞,2,1,来,来る,1547720,,False
楽,名詞,2,1,楽,楽,1207230,,False
欲しい,形容詞,2,1,欲し,欲しい,1547330,,False
無い,形容詞,2,1,なかれ,無い,1529520,,False
教主,名詞,2,1,教主,教主,1761410,,False
日,名詞,2,1,日,日,1463770,,False
手の内,名詞,2,1,手の内,手の内,1659050,,False
犬,接尾辞,2,1,犬,犬,1258330,,False
もう,副詞,2,1,もう,もう,1012480,,False
決断,名詞,2,1,決断,決断,1254370,,False
わあっ,副詞,2,1,わあっ,わあ,2087950,,False
男,名詞,2,1,男,男,1419990,,False
理解,名詞,2,1,理解,理解,1549910,,False
滅ぶ,動詞,2,1,滅ぶ,滅ぶ,2013360,,False
禁忌,名詞,2,1,禁忌,禁忌,1241510,,False
研究,名詞,2,1,研究,研究,1258520,,False
彼,代名詞,2,1,彼,彼,1483070,,False
失う,動詞,2,1,失っ,失う,1319750,,False
得る,動詞,2,1,得よう,得る,1588760,,False
怒る,動詞,2,1,怒っ,怒る,1445690,,False
もん,名詞,2,1,もん,物,2780660,,False
そう,形状詞,2,1,そう,そう-様態,1006610,,False
ダメ,名詞,2,1,ダメ,駄目,1409110,,False
事件,名詞,2,1,事件,事件,1313830,,False
明日,名詞,2,1,明日,明日,1584660,,False
家,名詞,2,1,家,家,1191730,,False
報告,名詞,2,1,報告,報告,1515670,,False
仕舞う,動詞,2,1,しまう,仕舞う,1305380,,False
仕事,名詞,2,1,仕事,仕事,1304970,,False
寂しい,形容詞,2,1,さみしい,寂しい,1579720,,False
ちょっと,副詞,2,1,ちょっと,一寸,1163940,,False
弄ぶ,動詞,2,1,もてあそぶ,弄ぶ,1980760,,False
力,名詞,2,1,力,力,1554820,,False
