sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
為る,動詞,24,1,する,為る,1157170,,False
こと,名詞,14,1,こと,事,1313580,,False
オレ,代名詞,12,1,オレ,俺,1576870,,False
逃げる,動詞,10,1,逃げ,逃げる,1450330,,False
言う,動詞,10,1,言っ,言う,1587040,,False
たち,接尾辞,9,1,たち,達,1416220,,False
アル,名詞,9,1,アル,アル-al,2835284,,False
奴,名詞,9,1,奴,奴,1445640,,False
神,名詞,9,1,神,神,1364440,,False
死ぬ,動詞,9,1,死ん,死ぬ,1310730,,False
遣る,動詞,8,1,やら,遣る,1012980,,False
この,連体詞,8,1,この,此の,1582920,,False
有る,動詞,7,1,あり,有る,2847612,,False
人間,名詞,7,1,人間,人間,1366770,,False
バカ,名詞,6,1,バカ,馬鹿,1601260,,False
殺す,動詞,6,1,殺さ,殺す,1299030,,False
居る,動詞,6,1,いる,居る,1577980,,False
国家,名詞,6,1,国家,国家,1286170,,False
タッカー,名詞,6,1,タッカー,タッカー-外国,2860603,,False
それ,代名詞,6,1,それ,其れ,1006970,,False
錬成,名詞,6,1,錬成,錬成,1559980,,False
体,名詞,6,1,体,体,1409140,,False
貴様,代名詞,5,1,貴様,貴様,1223620,,False
行く,動詞,5,1,行く,行く,1578850,,False
作る,動詞,5,1,作れる,作る,1597890,,False
呉れる,動詞,5,1,くれ,呉れる,1269130,,False
狙う,動詞,5,1,狙わ,狙う,1396590,,False
ボク,代名詞,5,1,ボク,僕-代名詞,1521400,,False
生きる,動詞,5,1,生き,生きる,1378520,,False
邪魔,名詞,5,1,邪魔,邪魔,1323500,,False
やばい,形容詞,5,1,ヤバい,やばい,1012840,,False
者,名詞,5,1,者,者,2153760,,False
分かる,動詞,5,1,分かる,分かる,1606560,,False
これ,代名詞,5,1,これ,此れ,1628530,,False
分解,名詞,4,1,分解,分解,1503210,,False
お前,代名詞,4,1,お前,御前,1002290,,False
元,名詞,4,1,元,元,2219590,,False
人,接尾辞,4,1,人,人,1580640,,False
愚か,形状詞,4,1,愚か,愚か,1245100,,False
傷,名詞,4,1,傷,傷,1580260,,False
弟,名詞,4,1,弟,弟,1581930,,False
流れる,名詞,4,1,流れ,流れ,1552130,,False
止める,動詞,4,1,やめろ,止める,1310680,,False
破壊,名詞,4,1,破壊,破壊,1471250,,False
わけ,名詞,4,1,わけ,訳,1538330,,False
男,名詞,4,1,男,男,1419990,,False
ダメ,名詞,3,1,ダメ,駄目,1409110,,False
食べる,動詞,3,1,食べ,食べる,1358280,,False
裁き,名詞,3,1,裁き,裁き,1295920,,False
遅い,形容詞,3,1,遅かっ,遅い,1421970,,False
貰う,動詞,3,1,もらう,貰う,1535910,,False
壊す,動詞,3,1,壊す,壊す,1199890,,False
