sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
こと,名詞,13,1,こと,事,1313580,,False
来る,動詞,12,1,来れ,来る,1547720,,False
有る,動詞,11,1,あり,有る,2847612,,False
成る,動詞,9,1,なっ,成る,2846738,,False
セントラル,名詞,9,1,セントラル,セントラル-central,2003220,,False
中央,名詞,9,1,中央,中央,1423430,,False
為る,動詞,8,1,する,為る,1157170,,False
この,連体詞,8,1,この,此の,1582920,,False
少佐,名詞,8,1,少佐,少佐,1349000,,False
アル,名詞,8,1,アル,アル,2835284,,False
見る,動詞,7,1,みろ,見る,2256270,,False
呉れる,動詞,7,1,くれる,呉れる,1269130,,False
言う,動詞,7,1,いっ,言う,1587040,,False
ウィン,名詞,7,1,ウィン,ウィン-win,2859577,,False
石,名詞,7,1,石,石,1382440,,False
返る,動詞,6,1,帰る,返る,1512150,,False
真実,名詞,6,1,真実,真実,1363780,,False
内乱,名詞,6,1,内乱,内乱,1459460,,False
その,連体詞,6,1,その,其の,1006830,,False
もう,副詞,5,1,もう,もう,1012480,,False
分かる,動詞,5,1,分かっ,分かる,1606560,,False
居る,動詞,5,1,いる,居る,1577980,,False
資料,名詞,5,1,資料,資料,1312820,,False
知る,動詞,5,1,知っ,知る,1420470,,False
さん,接尾辞,5,1,さん,さん,1005340,,False
研究,名詞,5,1,研究,研究,1258520,,False
私,代名詞,5,1,私,私-代名詞,1311110,,False
体,名詞,5,1,体,体,1409140,,False
これ,代名詞,4,1,これ,此れ,1628530,,False
フウ,名詞,4,1,フウ,フウ,2564680,,False
ドクター,名詞,4,1,ドクター,ドクター-doctor,1088140,,False
君,代名詞,4,1,君,君-代名詞,1247250,,False
男,名詞,4,1,男,男,1419990,,False
ここ,代名詞,4,1,ここ,此処,1288810,,False
錬成,名詞,4,1,錬成,錬成,1559980,,False
家,名詞,4,1,家,家,1191730,,False
待つ,動詞,4,1,待っ,待つ,1410590,,False
徹夜,名詞,4,1,徹夜,徹夜,1437700,,False
こんな,連体詞,4,1,こんな,こんな,1004880,,False
隠す,動詞,3,1,隠し,隠す,1170650,,False
行く,動詞,3,1,行き,行く,1578850,,False
一体,名詞,3,1,一体,一体,1164510,,False
寝る,動詞,3,1,寝,寝る,1360010,,False
子供,名詞,3,1,子供,子供,1307850,,False
魂,名詞,3,1,魂,魂,1579170,,False
ら,接尾辞,3,1,ら,等,2067770,,False
物,名詞,3,1,物,物,1502390,,False
どんな,連体詞,3,1,どんな,どんな,1009330,,False
良い,形容詞,3,1,いい,良い,1605870,,False
スカ,名詞,3,1,スカ,スカ-ska,2115020,,False
戻る,動詞,3,1,戻り,戻る,1535880,,False
オレ,代名詞,3,1,オレ,俺,1576870,,False
悪い,形容詞,3,1,わりい,悪い,1151260,,False
何,代名詞,3,1,何,何,1577100,,False
作る,動詞,3,1,作れる,作る,1597890,,False
あんな,連体詞,3,1,あんな,あんな,1000590,,False
傷,名詞,3,1,傷,傷,1580260,,False
品,接尾辞,3,1,品,品,2648780,,False
遣る,動詞,3,1,やる,遣る,1012980,,False
鎧,名詞,3,1,鎧,鎧,1204740,,False
お,接頭辞,3,1,お,御,2826528,,False
煩い,形容詞,3,1,うるせ,煩い,1481920,,False
ちゃん,接尾辞,3,1,ちゃん,ちゃん,1007660,,False
足,名詞,3,1,足,足,1404630,,False
無理,名詞,3,1,無理,無理,1530970,,False
落ち着く,動詞,3,1,落ち着い,落ち着く,1589220,,False
ちゃんと,副詞,3,1,ちゃんと,ちゃんと,1007720,,False
機械,名詞,3,1,機械,機械,1220810,,False
食べる,動詞,2,1,食べ,食べる,1358280,,False
さらなる,連体詞,2,1,さらなる,更なる,2016870,,False
１人,名詞,2,1,１人,一人,1576150,,False
１日,名詞,2,1,１日,一日,1576260,,False
あたし,代名詞,2,1,あたし,私,1311125,,False
食う,動詞,2,1,食い,食う,1592100,,False
あと,名詞,2,1,あと,後,1269320,,False
禁忌,名詞,2,1,禁忌,禁忌,1241510,,False
生活,名詞,2,1,生活,生活,1378860,,False
手,名詞,2,1,手,手,1327190,,False
探す,動詞,2,1,探す,探す,1593670,,False
掛かる,動詞,2,1,かかる,掛かる,1207590,,False
時,名詞,2,1,時,時,1315840,,False
早い,形容詞,2,1,早く,早い,1404975,,False
日,名詞,2,1,日,日,1463770,,False
旨い,形容詞,2,1,うまい,旨い,1310460,,False
オート,名詞,2,1,オート,オート-auto,1031910,,False
欲しい,形容詞,2,1,欲しかっ,欲しい,1547330,,False
犯す,動詞,2,1,犯す,犯す,1481550,,False
直る,動詞,2,1,治っ,直る,2846390,,False
もの,名詞,2,1,もの,物,1502390,,False
わけ,名詞,2,1,わけ,訳,1538330,,False
殿,接尾辞,2,1,殿,殿,1442500,,False
母親,名詞,2,1,母親,母親,1515120,,False
為さる,動詞,2,1,なさい,為さる,1157090,,False
町,名詞,2,1,町,町,1603990,,False
生きる,動詞,2,1,生き,生きる,1378520,,False
耐える,動詞,2,1,耐え,耐える,1211310,,False
