sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
こと,名詞,16,1,こと,事,1313580,,False
有る,動詞,15,1,あり,有る,2847612,,False
思う,動詞,11,1,思い,思う,1589350,,False
スカ,名詞,10,1,スカ,スカ-ska,2115020,,False
為る,動詞,10,1,する,為る,1157170,,False
成る,動詞,10,1,なっ,成る,2846738,,False
これ,代名詞,9,1,これ,此れ,1628530,,False
ここ,代名詞,9,1,ここ,此処,1288810,,False
この,連体詞,9,1,この,此の,1582920,,False
言う,動詞,8,1,言わ,言う,1587040,,False
オレ,代名詞,8,1,オレ,俺,1576870,,False
私,代名詞,8,1,私,私-代名詞,1311110,,False
居る,動詞,8,1,いる,居る,1577980,,False
覚える,動詞,7,1,覚え,覚える,1206050,,False
真実,名詞,7,1,真実,真実,1363780,,False
聞く,動詞,7,1,聞き,聞く,1591110,,False
持つ,動詞,7,1,持っ,持つ,1315720,,False
さん,接尾辞,6,1,さん,さん,1005340,,False
良い,形容詞,6,1,いい,良い,1605870,,False
たち,接尾辞,6,1,たち,達,1416220,,False
分館,名詞,6,1,分館,分館,1503330,,False
何,代名詞,6,1,何,何,1577100,,False
少尉,名詞,5,1,少尉,少尉,1347800,,False
中央,名詞,5,1,中央,中央,1423430,,False
読む,動詞,5,1,読ん,読む,1456360,,False
見る,動詞,5,1,見,見る,2256270,,False
男,名詞,5,1,男,男,1419990,,False
セントラル,名詞,5,1,セントラル,セントラル-central,2003220,,False
兄弟,名詞,5,1,兄弟,兄弟,1249960,,False
遣る,動詞,5,1,やっ,遣る,1012980,,False
研究,名詞,4,1,研究,研究,1258520,,False
今日,名詞,4,1,今日,今日,1579110,,False
傷,名詞,4,1,傷,傷,1580260,,False
本,名詞,4,1,本,本,1522150,,False
建物,名詞,4,1,建物,建物,1257540,,False
事件,名詞,4,1,事件,事件,1313830,,False
そんな,連体詞,4,1,そんな,そんな,1007130,,False
人,名詞,4,1,人,人,1580640,,False
行く,動詞,4,1,行っ,行く,1578850,,False
中佐,名詞,3,1,中佐,中佐,1424340,,False
死体,名詞,3,1,死体,死体,1310920,,False
仕舞う,動詞,3,1,しまっ,仕舞う,1305380,,False
まだ,副詞,3,1,まだ,未だ,1527110,,False
もの,名詞,3,1,もの,物,1502390,,False
分かる,動詞,3,1,分かっ,分かる,1606560,,False
全部,名詞,3,1,全部,全部,1396130,,False
あそこ,代名詞,3,1,あそこ,彼処,1000320,,False
趣味,名詞,3,1,趣味,趣味,1329000,,False
軍,名詞,3,1,軍,軍,1247660,,False
戻る,動詞,3,1,戻っ,戻る,1535880,,False
人間,名詞,3,1,人間,人間,1366770,,False
呉れる,動詞,3,1,くれる,呉れる,1269130,,False
現在,名詞,3,1,現在,現在,1263650,,False
資料,名詞,3,1,資料,資料,1312820,,False
その,連体詞,3,1,その,其の,1006830,,False
なん,代名詞,3,1,なん,何,2846738,,False
解読,名詞,3,1,解読,解読,1199200,,False
材料,名詞,3,1,材料,材料,1296670,,False
アル,名詞,3,1,アル,アル,2835284,,False
気,名詞,3,1,気,気,1221520,,False
それ,代名詞,3,1,それ,其れ,1006970,,False
君,代名詞,3,1,君,君-代名詞,1247250,,False
凄い,形容詞,3,1,すごい,凄い,1374550,,False
お前,代名詞,3,1,お前,御前,1002290,,False
食べる,動詞,3,1,食べ,食べる,1358280,,False
仕事,名詞,3,1,仕事,仕事,1304970,,False
鎧,名詞,2,1,鎧,鎧,1204740,,False
間違い,名詞,2,1,間違い,間違い,1215320,,False
でかい,形容詞,2,1,でかい,でかい,1008370,,False
通る,動詞,2,1,通れ,通る,1433030,,False
逃げる,動詞,2,1,逃げ,逃げる,1450330,,False
軍曹,名詞,2,1,軍曹,軍曹,1248670,,False
違う,動詞,2,1,違う,違う,1158880,,False
さらなる,連体詞,2,1,さらなる,更なる,2016870,,False
こんな,連体詞,2,1,こんな,こんな,1004880,,False
錬成,名詞,2,1,錬成,錬成,1559980,,False
関連,名詞,2,1,関連,関連,1216060,,False
イースト,名詞,2,1,イースト,イースト-east,1020910,,False
突き込む,動詞,2,1,突っ込ん,突き込む,2827320,,False
種,名詞,2,1,種,種,1328810,,False
者,名詞,2,1,者,者,2153760,,False
禁忌,名詞,2,1,禁忌,禁忌,1241510,,False
記録,名詞,2,1,記録,記録,1223440,,False
複写,名詞,2,1,複写,複写,1501390,,False
ロス,名詞,2,1,ロス,ロス,2858061,,False
書く,動詞,2,1,書い,書く,1343950,,False
来る,動詞,2,1,来,来る,1547720,,False
本人,名詞,2,1,本人,本人,1522750,,False
根気,名詞,2,1,根気,根気,1290110,,False
氏,接尾辞,2,1,氏,氏,2101130,,False
母,名詞,2,1,母,母,1514990,,False
殿,接尾辞,2,1,殿,殿,1442500,,False
シティ,名詞,2,1,シティ,シティー-city,1060700,,False
シカト,名詞,2,1,シカト,しかと,1060120,,False
犯す,動詞,2,1,犯す,犯す,1481550,,False
物,名詞,2,1,物,物,1502390,,False
熱苦しい,形容詞,2,1,暑苦しい,熱苦しい,1343500,,False
爆発,名詞,2,1,爆発,爆発,1475910,,False
焼ける,動詞,2,1,焼け,焼ける,1350610,,False
求める,動詞,2,1,求め,求める,1229350,,False
よく,副詞,2,1,よく,良く,1605870,,False
献立,名詞,2,1,献立,献立,1258500,,False
病院,名詞,2,1,病院,病院,1490220,,False
見える,動詞,2,1,見え,見える,1259140,,False
貰う,動詞,2,1,もらわ,貰う,1535910,,False
そう,副詞,2,1,そう,そう,2137720,,False
護衛,名詞,2,1,護衛,護衛,1271510,,False
解ける,動詞,2,1,解け,解ける,1198910,,False
自信,名詞,2,1,自信,自信,1317970,,False
どこ,代名詞,2,1,どこ,何処,1577140,,False
血,名詞,2,1,血,血,1255060,,False
思い出す,動詞,2,1,思い出さ,思い出す,1309260,,False
フッ,副詞,2,1,フッ,ふっ,2558020,,False
