sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
こと,名詞,20,1,こと,事,1313580,,False
為る,動詞,17,1,する,為る,1157170,,False
居る,動詞,17,1,いる,居る,1577980,,False
オレ,代名詞,14,1,オレ,俺,1576870,,False
言う,動詞,12,1,言えん,言う,1587040,,False
有る,動詞,11,1,あり,有る,2150170,,False
成る,動詞,11,1,なる,成る,2846738,,False
鎧,名詞,11,1,鎧,鎧,1204740,,False
人間,名詞,11,1,人間,人間,1366770,,False
その,連体詞,10,1,その,其の,1006830,,False
私,代名詞,8,1,私,私-代名詞,1311110,,False
人形,名詞,8,1,人形,人形,1367120,,False
作る,動詞,8,1,作っ,作る,1597890,,False
遣る,動詞,8,1,やっ,遣る,1012980,,False
体,名詞,8,1,体,体,1409140,,False
この,連体詞,8,1,この,此の,1582920,,False
チビ,名詞,7,1,チビ,ちび,1077750,,False
早い,形容詞,7,1,早く,早い,1404975,,False
お前,代名詞,7,1,お前,御前,1002290,,False
中央,名詞,6,1,中央,中央,1423430,,False
おめえ,代名詞,6,1,おめえ,御前,2848635,,False
セントラル,名詞,6,1,セントラル,セントラル-central,2003220,,False
兄貴,名詞,6,1,兄貴,兄貴,1249930,,False
死ぬ,動詞,6,1,死ん,死ぬ,1310730,,False
ここ,代名詞,5,1,ここ,此処,1288810,,False
ケンカ,名詞,5,1,ケンカ,喧嘩,1257040,,False
兄者,名詞,5,1,兄者,兄者,2077260,,False
錬成,名詞,5,1,錬成,錬成,1559980,,False
お,接頭辞,5,1,お,御,2826528,,False
ボク,代名詞,5,1,ボク,僕-代名詞,1521400,,False
兄弟,名詞,5,1,兄弟,兄弟,1249960,,False
分かる,動詞,5,1,分かる,分かる,1606560,,False
思う,動詞,5,1,思う,思う,1589350,,False
小僧,名詞,5,1,小僧,小僧,1348480,,False
音,名詞,4,1,音,音,1576900,,False
聞く,動詞,4,1,聞い,聞く,1591110,,False
良い,形容詞,4,1,よかっ,良い,1605870,,False
血,名詞,4,1,血,血,1255060,,False
呉れる,動詞,4,1,くれ,呉れる,1269130,,False
印,名詞,4,1,印,印,1168050,,False
そう,副詞,4,1,そう,そう,2137720,,False
あんた,代名詞,4,1,あんた,貴方,1979920,,False
あなた,代名詞,4,1,あなた,貴方,1223615,,False
魂,名詞,3,1,魂,魂,1579170,,False
認める,動詞,3,1,認め,認める,1467530,,False
護衛,名詞,3,1,護衛,護衛,1271510,,False
ら,接尾辞,3,1,ら,等,2067770,,False
てめえ,代名詞,3,1,てめえ,てまえ,2076920,,False
もの,名詞,3,1,もの,物,1502390,,False
話,名詞,3,1,話,話,1600900,,False
まだ,副詞,3,1,まだ,未だ,1527110,,False
男,名詞,3,1,男,男,1419990,,False
煩い,形容詞,3,1,うるせ,煩い,1481920,,False
イヤ,形状詞,3,1,イヤ,嫌,1587610,,False
知る,動詞,3,1,知ら,知る,1420470,,False
自慢,名詞,3,1,自慢,自慢,1318680,,False
殺す,動詞,3,1,殺す,殺す,1299030,,False
ナンバー,名詞,3,1,ナンバー,ナンバー-number,1090860,,False
これ,代名詞,3,1,これ,此れ,1628530,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
好き,形状詞,3,1,好き,好き,1277450,,False
強い,形容詞,3,1,強い,強い,1236070,,False
悪い,形容詞,3,1,悪く,悪い,1151260,,False
怖い,形容詞,3,1,怖く,怖い,1593480,,False
時,名詞,3,1,時,時,1315840,,False
スカ,名詞,3,1,スカ,スカ-ska,2115020,,False
人,名詞,3,1,人,人,1580640,,False
動く,動詞,3,1,動く,動く,1451210,,False
卑怯,名詞,3,1,卑怯,卑怯,1482710,,False
元,名詞,3,1,元,元,2141870,,False
傷,名詞,3,1,傷,傷,1580260,,False
可愛い,形容詞,3,1,かわいい,可愛い,1577200,,False
今,名詞,3,1,今,今,1288850,,False
壊す,動詞,3,1,壊せ,壊す,1199890,,False
弟,名詞,3,1,弟,弟,1581930,,False
少佐,名詞,3,1,少佐,少佐,1349000,,False
真実,名詞,2,1,真実,真実,1363780,,False
者,名詞,2,1,者,者,2153760,,False
置く,動詞,2,1,おこう,置く,1421850,,False
腕,名詞,2,1,腕,腕,1562850,,False
行く,動詞,2,1,行く,行く,1578850,,False
見る,動詞,2,1,見,見る,2256270,,False
ちゃん,接尾辞,2,1,ちゃん,ちゃん,1007660,,False
ちょっと,副詞,2,1,ちょっと,一寸,1163940,,False
