sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
言う,動詞,18,1,言っ,言う,1587040,,False
こと,名詞,17,1,こと,事,1313580,,False
アル,名詞,11,1,アル,アル,2835284,,False
オレ,代名詞,10,1,オレ,俺,1576870,,False
あんた,代名詞,8,1,あんた,貴方,1979920,,False
体,名詞,8,1,体,体,1409140,,False
ケンカ,名詞,7,1,ケンカ,喧嘩,1257040,,False
ボク,代名詞,7,1,ボク,僕-代名詞,1521400,,False
ウィン,名詞,6,1,ウィン,ウィン-win,2859577,,False
兄弟,名詞,6,1,兄弟,兄弟,1249960,,False
鎧,名詞,6,1,鎧,鎧,1204740,,False
居る,動詞,5,1,いる,居る,1577980,,False
全部,名詞,5,1,全部,全部,1396130,,False
嫌い,名詞,5,1,嫌い,嫌い,1257240,,False
ちゃん,接尾辞,5,1,ちゃん,ちゃん,1007660,,False
有る,動詞,5,1,あり,有る,2150170,,False
整備,名詞,5,1,整備,整備,1376240,,False
為る,動詞,5,1,する,為る,1157170,,False
自分,名詞,5,1,自分,自分,1318610,,False
シア,名詞,4,1,シア,シア,2842419 | 2842659 | 2842663,,True
勝つ,動詞,4,1,勝っ,勝つ,1346150,,False
お前,代名詞,4,1,お前,御前,1002290,,False
怖い,形容詞,4,1,怖く,怖い,1593480,,False
作る,動詞,4,1,造ら,作る,1597890,,False
成る,動詞,4,1,なり,成る,2846738,,False
元,名詞,4,1,元,元,1260670,,False
何,代名詞,4,1,何,何,1577100,,False
牛乳,名詞,4,1,牛乳,牛乳,1231590,,False
気,名詞,4,1,気,気,1221520,,False
もっと,副詞,4,1,もっと,もっと,1012620,,False
時,名詞,4,1,時,時,1315840,,False
行く,動詞,4,1,行か,行く,1578850,,False
聞く,動詞,4,1,聞い,聞く,1591110,,False
飲む,動詞,4,1,飲ん,飲む,1169870,,False
たち,接尾辞,4,1,たち,達,1416220,,False
この,連体詞,3,1,この,此の,1582920,,False
腕,名詞,3,1,腕,腕,1562850,,False
魂,名詞,3,1,魂,魂,1579170,,False
お,接頭辞,3,1,お,御,2826528,,False
バカ,名詞,3,1,バカ,馬鹿,1601260,,False
オート,名詞,3,1,オート,オート-auto,1031910,,False
フェ,名詞,3,1,フェ,フェ,2835861,,False
小さい,形容詞,3,1,小さい,小さい,1347750,,False
メイル,名詞,3,1,メイル,メール-mail,1132620,,False
遊ぶ,動詞,3,1,遊ぼう,遊ぶ,1542160,,False
今日,名詞,3,1,今日,今日,1579110,,False
分かる,動詞,3,1,分かる,分かる,1606560,,False
出張,名詞,3,1,出張,出張,1339660,,False
信ずる,動詞,3,1,信じろ,信ずる,1359070,,False
使う,動詞,3,1,使う,使う,1305990,,False
ヒューズ,名詞,3,1,ヒューズ,ヒューズ-Hughes,1103990,,False
ちょっと,副詞,3,1,ちょっと,一寸,1163940,,False
見る,動詞,3,1,みれ,見る,2256270,,False
良い,形容詞,3,1,いい,良い,1605870,,False
どこ,代名詞,3,1,どこ,何処,1577140,,False
悪い,形容詞,3,1,悪かっ,悪い,1151260,,False
恨む,動詞,3,1,恨ん,恨む,1289780,,False
機械,名詞,3,1,機械,機械,1220810,,False
やっぱり,副詞,3,1,やっぱり,矢張り,1012810,,False
それ,代名詞,3,1,それ,其れ,1006970,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
置く,動詞,3,1,おき,置く,1421850,,False
２人,名詞,2,1,２人,二人,1582670,,False
あたし,代名詞,2,1,あたし,私,1311125,,False
示す,動詞,2,1,示す,示す,1317110,,False
特急,名詞,2,1,特急,特急,1454750,,False
行動,名詞,2,1,行動,行動,1282100,,False
当たり前,形状詞,2,1,当たり前,当たり前,1448800,,False
彼女,代名詞,2,1,彼女,彼女,1483150,,False
心配,名詞,2,1,心配,心配,1360930,,False
悩む,動詞,2,1,悩ん,悩む,1469870,,False
戻す,動詞,2,1,戻し,戻す,1535850,,False
戻る,動詞,2,1,戻れる,戻る,1535880,,False
掛ける,動詞,2,1,かけ,掛ける,1207610,,False
よろい,名詞,2,1,よろい,鎧,1204740,,False
気持ち,名詞,2,1,気持ち,気持ち,1591430,,False
泊まる,動詞,2,1,泊まっ,泊まる,1474850,,False
為さる,動詞,2,1,なさい,為さる,1157090,,False
みんな,名詞,2,1,みんな,皆,1202150,,False
殿,接尾辞,2,1,殿,殿,1442500,,False
民,名詞,2,1,民,民,1528570,,False
早い,形容詞,2,1,早かっ,早い,1404975,,False
料金,名詞,2,1,料金,料金,1554280,,False
煩い,形容詞,2,1,うっせえ,煩い,1481920,,False
親友,名詞,2,1,親友,親友,1365410,,False
記憶,名詞,2,1,記憶,記憶,1223150,,False
言葉,名詞,2,1,言葉,言葉,1264540,,False
護衛,名詞,2,1,護衛,護衛,1271510,,False
話,名詞,2,1,話,話,1600900,,False
せい,名詞,2,1,せい,所為,1610040,,False
さん,接尾辞,2,1,さん,さん,1005340,,False
返る,動詞,2,1,帰っ,返る,1512150,,False
貰う,動詞,2,1,もらっ,貰う,1535910,,False
絶対,名詞,2,1,絶対,絶対,1386840,,False
ちゃんと,副詞,2,1,ちゃんと,ちゃんと,1007720,,False
ただ,名詞,2,1,ただ,只,1538900,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
川,名詞,2,1,川,川,1390020,,False
宿,名詞,2,1,宿,宿,1337190,,False
勝ち,名詞,2,1,勝ち,勝ち,1609560,,False
取る,動詞,2,1,取っ,取る,1326980,,False
口,名詞,2,1,口,口,1275640,,False
右腕,名詞,2,1,右腕,右腕,1171290,,False
ダメ,名詞,2,1,ダメ,駄目,1409110,,False
セントラル,名詞,2,1,セントラル,セントラル-central,2003220,,False
ベル,名詞,2,1,ベル,ベル-bell,1120010,,False
ホント,名詞,2,1,ホント,本当,1523060,,False
国家,名詞,2,1,国家,国家,1286170,,False
呉れる,動詞,2,1,くれ,呉れる,1269130,,False
噛ます,動詞,2,1,かまし,噛ます,2085410,,False
少佐,名詞,2,1,少佐,少佐,1349000,,False
存在,名詞,2,1,存在,存在,1406150,,False
娘,名詞,2,1,娘,娘,1531190,,False
変わる,動詞,2,1,変っ,変わる,1510790,,False
壊れる,動詞,2,1,壊れ,壊れる,1199900,,False
強い,形容詞,2,1,強く,強い,1236070,,False
兄貴,名詞,2,1,兄貴,兄貴,1249930,,False
ロック,名詞,2,1,ロック,ロック-lock,1147600 | 2846322 | 2846323,,True
動く,動詞,2,1,動く,動く,1451210,,False
出来る,動詞,2,1,でき,出来る,1340450,,False
前,名詞,2,1,前,前,1392580,,False
出る,動詞,2,1,出る,出る,1896380,,False
入院,名詞,2,1,入院,入院,1465720,,False
偽物,名詞,2,1,偽物,偽物,1577800,,False
人形,名詞,2,1,人形,人形,1367120,,False
伝わる,動詞,2,1,伝わら,伝わる,1441900,,False
作りもの,名詞,2,1,作りもの,作り物,1297410,,False
中央,名詞,2,1,中央,中央,1423430,,False
あれ,代名詞,2,1,あれ,彼れ,2847612,,False
遣る,動詞,2,1,やる,遣る,1012980,,False
こう,副詞,2,1,こう,こう,1004310,,False
あいつ,代名詞,1,1,あいつ,彼奴,1483160,,False
あんな,形状詞,1,1,あんな,あんな,1000590,,False
いきなり,副詞,1,1,いきなり,行成,1006970,,False
いっぱい,副詞,1,1,いっぱい,一杯,1165670,,False
いな,連体詞,1,1,いな,異な,2857381,,False
うち,名詞,1,1,うち,内,1191740,,False
認める,動詞,1,1,認め,認める,1467530,,False
すっかり,副詞,1,1,すっかり,すっかり,1006110,,False
すぐ,副詞,1,1,すぐ,直ぐ,1430610,,False
すぎ,接尾辞,1,1,すぎ,過ぎ,1195960,,False
しばらく,副詞,1,1,しばらく,暫く,1304420,,False
さっき,名詞,1,1,さっき,さっき,1005180,,False
ごめん,名詞,1,1,ごめん,御免,1270670,,False
こんな,形状詞,1,1,こんな,こんな,1004880,,False
これ,代名詞,1,1,これ,此れ,1628530,,False
この頃,名詞,1,1,この頃,此の頃,1004710,,False
こっち,代名詞,1,1,こっち,此方,1004500,,False
ここ,代名詞,1,1,ここ,此処,1288810,,False
詫びる,動詞,1,1,詫び,詫びる,1606790,,False
許す,動詞,1,1,許し,許す,1232870,,False
訛る,動詞,1,1,なまっ,訛る,1572580,,False
覚悟,名詞,1,1,覚悟,覚悟,1206080,,False
修行,名詞,1,1,修行,修行,2650010,,False
信用,名詞,1,1,信用,信用,1359620,,False
保証,名詞,1,1,保証,保証,1603500,,False
侵入,名詞,1,1,侵入,侵入,1359850,,False
余計,形状詞,1,1,余計,余計,1544090,,False
伸びる,動詞,1,1,伸び,伸びる,1358870,,False
以外,名詞,1,1,以外,以外,1155090,,False
以上,名詞,1,1,以上,以上,1155120,,False
付き,接尾辞,1,1,付き,付き,1583630,,False
仕事,名詞,1,1,仕事,仕事,1304970,,False
今,名詞,1,1,今,今,1288850,,False
人,接尾辞,1,1,人,人,1580640,,False
人,名詞,1,1,人,人,1580640,,False
乗る,動詞,1,1,乗っ,乗る,1355120,,False
食べる,動詞,1,1,食べる,食べる,1358280,,False
頼る,動詞,1,1,頼り,頼る,1597200,,False
世の中,名詞,1,1,世の中,世の中,1373850,,False
下る,動詞,1,1,くっだら,下る,1184450,,False
下りる,動詞,1,1,おりる,下りる,1589500,,False
下さる,動詞,1,1,ください,下さる,1184280,,False
下,名詞,1,1,下,下,1184140,,False
上がる,動詞,1,1,上がら,上がる,1352290,,False
上,名詞,1,1,上,上,1352130,,False
一緒,名詞,1,1,一緒,一緒,1163400,,False
レイン,名詞,1,1,レイン,レイン-外国,2850586,,False
モテモテ,形状詞,1,1,モテモテ,もてもて,1980930,,False
マース,名詞,1,1,マース,マース-Mars,2857788,,False
兄者,名詞,1,1,兄者,兄者,2077260,,False
兄,名詞,1,1,兄,兄,1249900,,False
優しい,形容詞,1,1,やさし,優しい,1539040,,False
傷口,名詞,1,1,傷口,傷口,1345860,,False
傷,名詞,1,1,傷,傷,1580260,,False
可愛い,形容詞,1,1,かわいい,可愛い,1577200,,False
受け止める,動詞,1,1,受け止め,受け止める,1329630,,False
取り合い,名詞,1,1,取り合い,取り合い,1326700,,False
危ない,形容詞,1,1,危ない,危ない,1218380,,False
半殺し,名詞,1,1,半殺し,半殺し,1479330,,False
勝手,名詞,1,1,勝手,勝手,1346190,,False
初めて,副詞,1,1,初めて,初めて,1342550,,False
出す,動詞,1,1,出し,出す,1338180,,False
凄い,形容詞,1,1,すっげえ,凄い,1374550,,False
全て,名詞,1,1,全て,全て,1595730,,False
全く,副詞,1,1,全く,全く,1394800,,False
入れ墨,名詞,1,1,入れ墨,入れ墨,1587810,,False
先,名詞,1,1,先,先,1387210,,False
中,接頭辞,1,1,中,中,1620400,,False
中,接尾辞,1,1,中,中,1620400,,False
世界,名詞,1,1,世界,世界,1373860,,False
喜ぶ,動詞,1,1,喜ぶ,喜ぶ,1218760,,False
呼び出す,動詞,1,1,呼び出さ,呼び出す,1266350,,False
周り,名詞,1,1,周り,周り,1604290,,False
ビンタ,名詞,1,1,ビンタ,びんた,1010810,,False
パー,名詞,1,1,パー,パー-par,2397590,,False
ネジ,名詞,1,1,ネジ,螺子,1585010,,False
ナンバー,名詞,1,1,ナンバー,ナンバー-number,1090860,,False
ドロー,名詞,1,1,ドロー,ドロー-draw,1089390,,False
チッ,副詞,1,1,チッ,ちっ,1077410,,False
スラム,名詞,1,1,スラム,スラム-slum,1982770,,False
スス,副詞,1,1,スス,すす,1473540,,False
君,接尾辞,1,1,君,君,1247260,,False
君,代名詞,1,1,君,君-代名詞,1247260,,False
吐く,動詞,1,1,吐い,吐く,2646460,,False
同じ,連体詞,1,1,同じ,同じ,1451750,,False
可能,形状詞,1,1,可能,可能,1191060,,False
嬉しい,形容詞,1,1,うれしい,嬉しい,1219510,,False
妹,名詞,1,1,妹,妹,1524590,,False
好き,形状詞,1,1,好き,好き,1277450,,False
奴,名詞,1,1,奴,奴,1445640,,False
女房,名詞,1,1,女房,女房,1345420,,False
女,名詞,1,1,女,女,1344930,,False
失敬,名詞,1,1,失敬,失敬,1319920,,False
大切,形状詞,1,1,大切,大切,1414340,,False
大人,名詞,1,1,大人,大人,1414170,,False
大した,連体詞,1,1,大した,大した,1412960,,False
外れ,名詞,1,1,外れ,外れ,1203300,,False
外す,動詞,1,1,外さ,外す,1203270,,False
変,名詞,1,1,変,変,1510640,,False
売る,動詞,1,1,売っ,売る,1473950,,False
場合,名詞,1,1,場合,場合,1355810,,False
地区,名詞,1,1,地区,地区,1421020,,False
スカ,名詞,1,1,スカ,スカ-ska,2115020,,False
シティ,名詞,1,1,シティ,シティー-city,1060700,,False
サンキュー,名詞,1,1,サンキュー,サンキュー-thank you,1058250,,False
サボる,動詞,1,1,サボっ,サボる,1057580,,False
ゲンコツ,名詞,1,1,ゲンコツ,拳骨,1257750,,False
ケガ,名詞,1,1,ケガ,怪我,1200220,,False
クッソ,名詞,1,1,クッソ,クッソ-kousso,2834429,,False
ウフッ,名詞,1,1,ウフッ,,2223020,,False
ウソ,名詞,1,1,ウソ,嘘,1172400,,False
イースト,名詞,1,1,イースト,イースト-east,1020910,,False
イベント,名詞,1,1,イベント,イベント-event,1021680,,False
完璧,名詞,1,1,完璧,完璧,1590970,,False
完了,名詞,1,1,完了,完了,1211630,,False
安心,名詞,1,1,安心,安心,1153890,,False
子供,名詞,1,1,子供,子供,1307850,,False
子,名詞,1,1,子,子,1307770,,False
感ずる,動詞,1,1,感じる,感ずる,1609650,,False
情報,名詞,1,1,情報,情報,1356370,,False
思う,動詞,1,1,思っ,思う,1589350,,False
怒鳴る,動詞,1,1,どなら,怒鳴る,1445740,,False
忘れる,動詞,1,1,忘れ,忘れる,1519210,,False
必要,名詞,1,1,必要,必要,1487660,,False
心,名詞,1,1,心,心,1360480,,False
弱音,名詞,1,1,弱音,弱音,1324670,,False
弟,名詞,1,1,弟,弟,1581930,,False
