sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
鎧,名詞,16,1,鎧,鎧,1204740,,False
オート,名詞,16,1,オート,オート-auto,1031910,,False
機械,名詞,16,1,機械,機械,1220810,,False
メイル,名詞,16,1,メイル,メール-mail,1132620,,False
凄い,形容詞,14,1,すごい,凄い,1374550,,False
さん,接尾辞,9,1,さん,さん,1005340,,False
見る,動詞,9,1,見,見る,2256270,,False
生まれる,動詞,8,1,産まれる,生まれる,1378690,,False
オレ,代名詞,8,1,オレ,俺,1576870,,False
これ,代名詞,8,1,これ,此れ,1628530,,False
こと,名詞,7,1,こと,事,1313580,,False
為る,動詞,7,1,する,為る,1157170,,False
来る,動詞,6,1,来る,来る,1547720,,False
有る,動詞,6,1,あり,有る,2150170,,False
もう,副詞,6,1,もう,もう,1012480,,False
返す,動詞,6,1,返せ,返す,1512130,,False
この,連体詞,6,1,この,此の,1582920,,False
お前,代名詞,6,1,お前,御前,1002290,,False
言う,動詞,5,1,言う,言う,1587040,,False
ちょっと,副詞,5,1,ちょっと,一寸,1163940,,False
呉れる,動詞,5,1,くれる,呉れる,1269130,,False
行く,動詞,5,1,行き,行く,1578850,,False
スリ,名詞,5,1,スリ,掏摸,1567450,,False
みんな,名詞,4,1,みんな,皆,1202150,,False
死ぬ,動詞,4,1,死ん,死ぬ,1310730,,False
止める,動詞,4,1,やめろ,止める,1310680,,False
もっと,副詞,4,1,もっと,もっと,1012620,,False
泣く,動詞,4,1,泣く,泣く,1229840,,False
思う,動詞,4,1,思う,思う,1589350,,False
弟子,名詞,4,1,弟子,弟子,1581960,,False
ミジンコ,名詞,4,1,ミジンコ,,1486060,,False
両足,名詞,4,1,両足,両足,1585150,,False
自分,名詞,4,1,自分,自分,1318610,,False
そんな,連体詞,4,1,そんな,そんな,1007130,,False
住む,動詞,4,1,住む,住む,1334040,,False
医者,名詞,4,1,医者,医者,1159980,,False
たち,接尾辞,4,1,たち,達,1416220,,False
街,名詞,3,1,街,街,1603990,,False
もの,名詞,3,1,もの,物,1502390,,False
アル,名詞,3,1,アル,アル,2835284,,False
私,代名詞,3,1,私,私-代名詞,1311110,,False
見せる,動詞,3,1,見せ,見せる,1259210,,False
やっぱり,副詞,3,1,やっぱり,矢張り,1012810,,False
付ける,動詞,3,1,つけ,付ける,1495770,,False
放す,動詞,3,1,離す,放す,1516460,,False
時,名詞,3,1,時,時,1315840,,False
ダメ,名詞,3,1,ダメ,駄目,1409110,,False
年,名詞,3,1,年,年,2084840,,False
成る,動詞,3,1,なん,成る,2846738,,False
思い出す,動詞,3,1,思い出せ,思い出す,1309260,,False
覚悟,名詞,3,1,覚悟,覚悟,1206080,,False
技師,名詞,3,1,技師,技師,1225110,,False
きっと,副詞,3,1,きっと,急度,1003430,,False
あんた,代名詞,3,1,あんた,貴方,1979920,,False
あと,名詞,3,1,あと,後,1269320,,False
あれ,代名詞,3,1,あれ,彼れ,2847612,,False
何,代名詞,3,1,何,何,1577100,,False
顔,名詞,3,1,顔,顔,1217730,,False
作る,動詞,3,1,作れる,作る,1597890,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
人間,名詞,3,1,人間,人間,1366770,,False
小さい,形容詞,3,1,ちっせえ,小さい,1347750,,False
よく,副詞,2,1,よく,良く,1605870,,False
煩い,形容詞,2,1,うるせえ,煩い,1481920,,False
知識,名詞,2,1,知識,知識,1420590,,False
盗む,動詞,2,1,盗ま,盗む,1448440,,False
痛い,形容詞,2,1,痛い,痛い,1432680,,False
生命,名詞,2,1,生命,生命,1379530,,False
行く,接尾辞,2,1,行き,行き,1578790,,False
ウィン,名詞,2,1,ウィン,ウィン-win,2859577,,False
珍しい,形容詞,2,1,珍しい,珍しい,1431850,,False
赤ちゃん,名詞,2,1,赤ちゃん,赤ちゃん,1383260,,False
身長,名詞,2,1,身長,身長,1365770,,False
話,名詞,2,1,話,話,1600900,,False
ちゃんと,副詞,2,1,ちゃんと,ちゃんと,1007720,,False
ちゃん,接尾辞,2,1,ちゃん,ちゃん,1007660,,False
この世,名詞,2,1,この世,此の世,2002260,,False
てめえ,代名詞,2,1,てめえ,てまえ,2076920,,False
しっかり,副詞,2,1,しっかり,確り,1594400,,False
すぐ,副詞,2,1,すぐ,直ぐ,1430610,,False
違う,動詞,2,1,違う,違う,1158880,,False
開く,動詞,2,1,開か,開く,1586270,,False
そいつ,代名詞,2,1,そいつ,其奴,1006600,,False
さっさと,副詞,2,1,さっさと,さっさと,1005190,,False
誠意,名詞,2,1,誠意,誠意,1381170,,False
良い,形容詞,2,1,いい,良い,1605870,,False
どう,副詞,2,1,どう,どう,1008910,,False
フタ,名詞,2,1,フタ,蓋,1204540,,False
感謝,名詞,2,1,感謝,感謝,1212380,,False
持つ,動詞,2,1,持つ,持つ,1315720,,False
拝む,動詞,2,1,拝める,拝む,1472230,,False
日,名詞,2,1,日,日,1463770,,False
子供,名詞,2,1,子供,子供,1307850,,False
一,名詞,2,1,一,一,1160790,,False
一生,名詞,2,1,一生,一生,1576200,,False
一番,副詞,2,1,一番,一番,1165970,,False
中,名詞,2,1,中,中,1423310,,False
下さる,動詞,2,1,ください,下さる,1184280,,False
形,名詞,2,1,形,形,1250220,,False
師匠,名詞,2,1,師匠,師匠,1308900,,False
必ず,副詞,2,1,必ず,必ず,1487400,,False
待つ,動詞,2,1,待っ,待つ,1410590,,False
掛かる,動詞,2,1,かかる,掛かる,1207590,,False
掛ける,動詞,2,1,かける,掛ける,1207610,,False
ムダ,名詞,2,1,ムダ,無駄,1530510,,False
我慢,名詞,2,1,我慢,我慢,1196970,,False
大丈夫,形状詞,2,1,大丈夫,大丈夫,1414150,,False
取る,動詞,2,1,取ら,取る,1326980,,False
働く,動詞,2,1,働く,働く,1451150,,False
入る,動詞,2,1,入っ,入る,1465590,,False
全,名詞,2,1,全,ゼン,1394770,,False
今,名詞,2,1,今,今,1288850,,False
出来る,動詞,2,1,できる,出来る,1340450,,False
伸びる,動詞,2,1,伸びる,伸びる,1358870,,False
会う,動詞,2,1,会っ,会う,1198180,,False
任せる,動詞,2,1,任せる,任せる,1467150,,False
お腹,名詞,2,1,お腹,御腹,1002610,,False
頑張る,動詞,2,1,頑張れ,頑張る,1217700,,False
頼む,動詞,2,1,頼む,頼む,1548370,,False
馬,名詞,2,1,馬,馬,1471560,,False
お,接頭辞,2,1,お,御,2089690,,False
おやじ,名詞,2,1,おやじ,親父,1365330,,False
あたし,代名詞,2,1,あたし,私,1311125,,False
あいつ,代名詞,2,1,あいつ,彼奴,1483160,,False
開ける,動詞,1,1,開け,開ける,1202450,,False
あんな,形状詞,1,1,あんな,あんな,1000590,,False
うえ,名詞,1,1,うえ,上,1352130,,False
うろ覚え,名詞,1,1,うろ覚え,うろ覚え,1676030,,False
さすが,副詞,1,1,さすが,流石,1552390,,False
ごらん,名詞,1,1,ごらん,御覧,1270760,,False
ごめん,名詞,1,1,ごめん,御免,1270670,,False
返る,動詞,1,1,帰ら,返る,1512150,,False
軽い,形容詞,1,1,軽い,軽い,1252560,,False
軍,名詞,1,1,軍,軍,1247660,,False
身寄り,名詞,1,1,身寄り,身寄り,1365640,,False
起こす,動詞,1,1,起こし,起こす,1223660,,False
貰う,動詞,1,1,もらおう,貰う,1535910,,False
負担,名詞,1,1,負担,負担,1498130,,False
謎,名詞,1,1,謎,謎,1459690,,False
読む,動詞,1,1,読ん,読む,1456360,,False
誕生,名詞,1,1,誕生,誕生,1419080,,False
証,名詞,1,1,証,証し,2859158,,False
つもり,名詞,1,1,つもり,積り,1382980,,False
ったく,副詞,1,1,ったく,全く,2122580,,False
代金,名詞,1,1,代金,代金,1411790,,False
付け根,名詞,1,1,付け根,付け根,1495910,,False
仕業,名詞,1,1,仕業,仕業,1304870,,False
人体,名詞,1,1,人体,人体,1368670,,False
事故,名詞,1,1,事故,事故,1313850,,False
了解,名詞,1,1,了解,了解,1553310,,False
中身,名詞,1,1,中身,中身,1599430,,False
中央,名詞,1,1,中央,中央,1423430,,False
中,接尾辞,1,1,中,中,1423310,,False
其,連体詞,1,1,其,其の,2754880,,False
全体,名詞,1,1,全体,全体,1395660,,False
入れ墨,名詞,1,1,入れ墨,入れ墨,1587810,,False
兄弟,名詞,1,1,兄弟,兄弟,1249960,,False
倉庫,名詞,1,1,倉庫,倉庫,1399120,,False
修行,名詞,1,1,修行,修行,2650010,,False
何者,名詞,1,1,何者,何者,1188980,,False
右手,名詞,1,1,右手,右手,1171120,,False
可愛い,形容詞,1,1,かわいい,可愛い,1577200,,False
受け取る,動詞,1,1,受け取っ,受け取る,1329650,,False
取れる,動詞,1,1,採れる,取れる,1326990,,False
取り上げる,動詞,1,1,取り上げ,取り上げる,1326800,,False
南部,名詞,1,1,南部,南部,1460530,,False
協力,名詞,1,1,協力,協力,1591720,,False
医学,名詞,1,1,医学,医学,1159810,,False
別,名詞,1,1,別,別,1509430,,False
初めて,副詞,1,1,初めて,初めて,1342550,,False
列車,名詞,1,1,列車,列車,1558370,,False
分解,名詞,1,1,分解,分解,1503210,,False
分かる,動詞,1,1,分かっ,分かる,1606560,,False
出産,名詞,1,1,出産,出産,1339010,,False
処置,名詞,1,1,処置,処置,1342470,,False
伝授,名詞,1,1,伝授,伝授,1442020,,False
奴,名詞,1,1,奴,奴,1445640,,False
女々しい,形容詞,1,1,女々しい,女々しい,1605020,,False
天気,名詞,1,1,天気,天気,1438690,,False
大人,名詞,1,1,大人,大人,1414170,,False
大事,形状詞,1,1,大事,大事,1413940,,False
大きい,形容詞,1,1,おっきい,大きい,1588880,,False
壊す,動詞,1,1,壊し,壊す,1199890,,False
基本,名詞,1,1,基本,基本,1219190,,False
地道,形状詞,1,1,地道,地道,1421400,,False
国家,名詞,1,1,国家,国家,1286170,,False
喜ぶ,動詞,1,1,喜ぶ,喜ぶ,1218760,,False
呼ぶ,動詞,1,1,呼ん,呼ぶ,1266440,,False
君,代名詞,1,1,君,君-代名詞,1247250,,False
名,名詞,1,1,名,名,1531330,,False
同等,形状詞,1,1,同等,同等,1453190,,False
合う,動詞,1,1,合っ,合う,1284430,,False
不味い,形容詞,1,1,マズい,不味い,1495000,,False
上がる,動詞,1,1,あがっ,上がる,1352290,,False
万能,名詞,1,1,万能,万能,1584530,,False
一方,名詞,1,1,一方,一方,1166510,,False
リン,名詞,1,1,リン,燐,1555530 | 2844454,,True
リハビリ,名詞,1,1,リハビリ,リハビリ-rehabilitation,1142240,,False
少年,名詞,1,1,少年,少年,1349170,,False
尊敬,名詞,1,1,尊敬,尊敬,1406400,,False
対価,名詞,1,1,対価,対価,1655380,,False
寂しい,形容詞,1,1,寂しい,寂しい,1579720,,False
家系,名詞,1,1,家系,家系,1191900,,False
家,名詞,1,1,家,家,1191730,,False
安心,名詞,1,1,安心,安心,1153890,,False
孫,名詞,1,1,孫,孫,1406230,,False
学ぶ,動詞,1,1,学ん,学ぶ,1206530,,False
嬉しい,形容詞,1,1,うれしかっ,嬉しい,1219510,,False
得る,動詞,1,1,得よう,得る,1588760,,False
後戻り,名詞,1,1,後戻り,後戻り,1270150,,False
後,接尾辞,1,1,後,後,2147630,,False
彼女,代名詞,1,1,彼女,彼女,1483150,,False
度胸,名詞,1,1,度胸,度胸,1445190,,False
幸せ,名詞,1,1,幸せ,幸せ,1594060,,False
巻き込む,動詞,1,1,巻き込ま,巻き込む,1211150,,False
左足,名詞,1,1,左足,左足,1290970,,False
左手,名詞,1,1,左手,左手,1290900,,False
山奥,名詞,1,1,山奥,山奥,1302750,,False
屈辱,名詞,1,1,屈辱,屈辱,1246600,,False
居る,動詞,1,1,い,居る,1577980,,False
両親,名詞,1,1,両親,両親,1602710,,False
世話,名詞,1,1,世話,世話,1374300,,False
不思議,名詞,1,1,不思議,不思議,1492570,,False
不幸,名詞,1,1,不幸,不幸,1492350,,False
ホント,名詞,1,1,ホント,本当,1523060,,False
ヒューズ,名詞,1,1,ヒューズ,ヒューズ-Hughes,1103990,,False
ヒマ,名詞,1,1,ヒマ,暇,1577280,,False
バレー,名詞,1,1,バレー,バレー-volley,1099970,,False
バランス,名詞,1,1,バランス,バランス-balance,1099690,,False
タオル,名詞,1,1,タオル,タオル-towel,1076170,,False
成る,代名詞,1,1,なん,何,2846738,,False
成す,動詞,1,1,成し,成す,1157130,,False
感想,名詞,1,1,感想,感想,1212480,,False
感じ,名詞,1,1,感じ,感じ,1212250,,False
悪い,形容詞,1,1,悪い,悪い,1151260,,False
息,名詞,1,1,息,息,1404320,,False
恥ずかしい,形容詞,1,1,恥ずかしい,恥ずかしい,1421630,,False
急ぐ,動詞,1,1,急げ,急ぐ,1228650,,False
忘れる,動詞,1,1,忘れる,忘れる,1519210,,False
必死,形状詞,1,1,必死,必死,1601890,,False
捕まえる,動詞,1,1,捕まえ,捕まえる,1597780,,False
拝見,名詞,1,1,拝見,拝見,1472270,,False
抱く,動詞,1,1,抱い,抱く,1584090,,False
技術,名詞,1,1,技術,技術,1225130,,False
技,名詞,1,1,技,技,1225090,,False
手術,名詞,1,1,手術,手術,1327790,,False
手放す,動詞,1,1,手離す,手放す,1328370,,False
手伝う,動詞,1,1,手伝っ,手伝う,1328190,,False
所,名詞,1,1,所,所,1343100,,False
戻る,動詞,1,1,戻れ,戻る,1535880,,False
戒め,名詞,1,1,戒め,戒め,1609250,,False
ラッシュ,名詞,1,1,ラッシュ,ラッシュ-rush,1139180,,False
モデル,名詞,1,1,モデル,モデル-model,1135270,,False
