sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
為る,動詞,10,1,する,為る,1157170,,False
せんせい,名詞,9,1,せんせい,先生,1387990,,False
成る,動詞,9,1,なっ,成る,2846738,,False
オレ,代名詞,9,1,オレ,俺,1576870,,False
出来る,動詞,9,1,できる,出来る,1340450,,False
師匠,名詞,9,1,師匠,師匠,1308900,,False
言う,動詞,8,1,言う,言う,1587040,,False
生きる,動詞,7,1,生き,生きる,1378520,,False
一,名詞,7,1,一,一,1160790,,False
食べる,動詞,7,1,食べ,食べる,1358280,,False
こと,名詞,7,1,こと,事,1313580,,False
力,名詞,6,1,力,力,1554820,,False
アル,名詞,6,1,アル,アル-al,2835284,,False
修行,名詞,6,1,修行,修行,2650010,,False
全,名詞,6,1,全,ゼン,1394770,,False
食う,動詞,6,1,食わ,食う,1592100,,False
たち,接尾辞,5,1,たち,達,1416220,,False
構築,名詞,5,1,構築,構築,1279810,,False
それ,代名詞,5,1,それ,其れ,1006970,,False
命,名詞,5,1,命,命,1531940,,False
中,名詞,5,1,中,中,1620400,,False
式,名詞,5,1,式,式,1319060,,False
弟子,名詞,5,1,弟子,弟子,1581960,,False
居る,動詞,4,1,いる,居る,1577980,,False
アリ,名詞,4,1,アリ,有り,1225940,,False
答え,名詞,4,1,答え,答え,1449530,,False
死ぬ,動詞,4,1,死ん,死ぬ,1310730,,False
為さる,動詞,4,1,なさい,為さる,1157090,,False
見る,動詞,4,1,見,見る,2256270,,False
来る,動詞,4,1,来,来る,1547720,,False
自分,名詞,3,1,自分,自分,1318610,,False
持つ,動詞,3,1,持ち,持つ,1315720,,False
流れる,名詞,3,1,流れ,流れ,1552130,,False
体,名詞,3,1,体,体,1409140,,False
全,接頭辞,3,1,全,全,1394770,,False
大きな,連体詞,3,1,大きな,大きな,1412890,,False
循環,名詞,3,1,循環,循環,1341340,,False
円,名詞,3,1,円,円,1175570,,False
大きい,形容詞,3,1,大きく,大きい,1588880,,False
ウサギ,名詞,3,1,ウサギ,兎,1443970,,False
鎧,名詞,3,1,鎧,鎧,1204740,,False
これ,代名詞,3,1,これ,此れ,1628530,,False
錬成,名詞,3,1,錬成,錬成,1559980,,False
この世,名詞,3,1,この世,此の世,2002260,,False
この,連体詞,3,1,この,此の,1582920,,False
お前,代名詞,3,1,お前,御前,1002290,,False
あいつ,代名詞,3,1,あいつ,彼奴,1483160,,False
