sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
オレ,代名詞,22,1,オレ,俺,1576870,,False
お前,代名詞,14,1,お前,御前,1002290,,False
こと,名詞,13,1,こと,事,1313580,,False
体,名詞,12,1,体,体,1409140,,False
為る,動詞,11,1,する,為る,1157170,,False
たち,接尾辞,11,1,たち,達,1416220,,False
せんせい,名詞,10,1,せんせい,先生,1387990,,False
来る,動詞,10,1,来れ,来る,1547720,,False
師匠,名詞,9,1,師匠,師匠,1308900,,False
遣る,動詞,9,1,やっ,遣る,1012980,,False
出来る,動詞,9,1,でき,出来る,1340450,,False
ボク,代名詞,9,1,ボク,僕-代名詞,1521400,,False
居る,動詞,9,1,いる,居る,1577980,,False
魂,名詞,8,1,魂,魂,1579170,,False
秘密,名詞,8,1,秘密,秘密,1484150,,False
成る,動詞,8,1,なり,成る,2846738,,False
ホムンクルス,名詞,8,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
分かる,動詞,8,1,分かっ,分かる,1606560,,False
行く,動詞,7,1,いき,行く,1578850,,False
その,連体詞,7,1,その,其の,1006830,,False
合成,名詞,7,1,合成,合成,1284940,,False
見る,動詞,6,1,見,見る,2256270,,False
記憶,名詞,6,1,記憶,記憶,1223150,,False
アル,名詞,6,1,アル,アル-al,2835284,,False
知る,動詞,6,1,知っ,知る,1420470,,False
奴,名詞,6,1,奴,奴,1445640,,False
錬成,名詞,6,1,錬成,錬成,1559980,,False
私,代名詞,6,1,私,私-代名詞,1311110,,False
教える,動詞,6,1,教え,教える,1236900,,False
聞く,動詞,6,1,聞い,聞く,1591110,,False
キメラ,名詞,5,1,キメラ,キメラ-chimera,1041310,,False
あれ,代名詞,5,1,あれ,彼れ,1000580,,False
呉れる,動詞,5,1,くれ,呉れる,1269130,,False
獣,接尾辞,5,1,獣,獣,1335590,,False
ちょっと,副詞,5,1,ちょっと,一寸,1163940,,False
返る,動詞,5,1,帰っ,返る,1512150,,False
何,代名詞,5,1,何,何,1577100,,False
戻る,動詞,5,1,戻り,戻る,1535880,,False
方法,名詞,4,1,方法,方法,1517090,,False
普通,名詞,4,1,普通,普通,1497190,,False
思う,動詞,4,1,思わ,思う,1589350,,False
人間,名詞,4,1,人間,人間,1366770,,False
言う,動詞,4,1,言う,言う,1587040,,False
まだ,副詞,4,1,まだ,未だ,1527110,,False
考える,動詞,4,1,考え,考える,1281020,,False
この,連体詞,4,1,この,此の,1582920,,False
連中,名詞,3,1,連中,連中,1559700,,False
話,名詞,3,1,話,話,1600900,,False
良い,形容詞,3,1,いい,良い,1605870,,False
作る,動詞,3,1,造ら,作る,1597890,,False
君,接尾辞,3,1,君,君,1247250,,False
命,名詞,3,1,命,命,1531940,,False
勝つ,動詞,3,1,勝て,勝つ,1346150,,False
付ける,動詞,3,1,つけ,付ける,1495770,,False
あんた,代名詞,3,1,あんた,貴方,1979920,,False
取り戻す,動詞,3,1,取り戻す,取り戻す,1326940,,False
弟子,名詞,3,1,弟子,弟子,1581960,,False
殺す,動詞,3,1,殺さ,殺す,1299030,,False
待つ,動詞,3,1,待っ,待つ,1410590,,False
有る,動詞,3,1,ある,有る,2150170,,False
欲しい,形容詞,3,1,欲しい,欲しい,1547330,,False
それ,代名詞,3,1,それ,其れ,1006970,,False
便利,名詞,3,1,便利,便利,1512610,,False
中,名詞,3,1,中,中,1620400,,False
凄い,形容詞,3,1,すごい,凄い,1374550,,False
傷,名詞,3,1,傷,傷,1580260,,False
元,名詞,3,1,元,元,2219590,,False
入る,動詞,3,1,入っ,入る,1465590,,False
再生,名詞,3,1,再生,再生,1292960,,False
伸し上がる,動詞,3,1,のし上がる,伸し上がる,1358830,,False
盾,名詞,3,1,盾,盾,1341840,,False
わけ,名詞,3,1,わけ,訳,1538330,,False
鎧,名詞,3,1,鎧,鎧,1204740,,False
者,名詞,2,1,者,者,2153760,,False
見せる,動詞,2,1,見せ,見せる,1259210,,False
身内,名詞,2,1,身内,身内,1365800,,False
こんな,連体詞,2,1,こんな,こんな,1004880,,False
近く,名詞,2,1,近く,近く,1242160,,False
耐える,動詞,2,1,耐え,耐える,1211310,,False
肉体,名詞,2,1,肉体,肉体,1463650,,False
能力,名詞,2,1,能力,能力,1470370,,False
裏,名詞,2,1,裏,裏,1550190,,False
さん,接尾辞,2,1,さん,さん,1005340,,False
てめえ,代名詞,2,1,てめえ,てまえ,2076920,,False
神,名詞,2,1,神,神,1364440,,False
復しゅう,名詞,2,1,復しゅう,復讐,1500840,,False
必要,名詞,2,1,必要,必要,1487660,,False
悪党,名詞,2,1,悪党,悪党,1152310,,False
悪い,形容詞,2,1,悪う,悪い,1151260,,False
成功,名詞,2,1,成功,成功,1375690,,False
抜かす,動詞,2,1,ぬかし,抜かす,1478120,,False
手がかり,名詞,2,1,手がかり,手掛かり,1598300,,False
戻す,動詞,2,1,戻し,戻す,1535850,,False
やばい,形容詞,2,1,ヤバい,やばい,1012840,,False
持つ,動詞,2,1,持っ,持つ,1315720,,False
永遠,名詞,2,1,永遠,永遠,1174070,,False
気分,名詞,2,1,気分,気分,1222590,,False
ばらす,動詞,2,1,バラす,ばらす,1930050,,False
最高,名詞,2,1,最高,最高,1293850,,False
最強,名詞,2,1,最強,最強,1293770,,False
ウソ,名詞,2,1,ウソ,嘘,1172400,,False
死ぬ,動詞,2,1,死ぬ,死ぬ,1310730,,False
楽,名詞,2,1,楽,楽,1207230,,False
簡単,形状詞,2,1,簡単,簡単,1214330,,False
空く,動詞,2,1,すこ,空く,1586265,,False
結局,名詞,2,1,結局,結局,1254730,,False
さっき,名詞,2,1,さっき,さっき,1005180,,False
すべて,名詞,2,1,すべて,全て,1595730,,False
ちょいと,副詞,2,1,ちょいと,一寸,1163940,,False
生きる,動詞,2,1,生き,生きる,1378520,,False
真理,名詞,2,1,真理,真理,1364400,,False
為さる,動詞,2,1,なさい,為さる,1157090,,False
物,名詞,2,1,物,物,1502390,,False
炭素,名詞,2,1,炭素,炭素,1418570,,False
もの,名詞,2,1,もの,物,1502390,,False
もう,副詞,2,1,もう,もう,1012480,,False
ぼこる,動詞,2,1,ボコる,ぼこる,2118710,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
そんな,形状詞,2,1,そんな,そんな,1007130,,False
人,名詞,2,1,人,人,1580640,,False
人,接尾辞,2,1,人,人,1580640,,False
大人しい,形容詞,2,1,おとなしく,大人しい,1414190,,False
失う,動詞,2,1,失う,失う,1319750,,False
国家,名詞,2,1,国家,国家,1286170,,False
ネスト,名詞,2,1,ネスト,ネスト-nest,1092920,,False
弟,名詞,2,1,弟,弟,1581930,,False
少尉,名詞,2,1,少尉,少尉,1347800,,False
定着,名詞,2,1,定着,定着,1435730,,False
将軍,名詞,2,1,将軍,将軍,1347680,,False
存在,名詞,2,1,存在,存在,1406150,,False
女,名詞,2,1,女,女,1344930,,False
リード,名詞,2,1,リード,リード-lead,1140710,,False
ムダ,名詞,2,1,ムダ,無駄,1530510,,False
バカ,名詞,2,1,バカ,馬鹿,1601260,,False
年,名詞,2,1,年,年,2084840,,False
吐く,動詞,2,1,吐か,吐く,2646460,,False
君,代名詞,2,1,君,君-代名詞,1247250,,False
不死身,名詞,2,1,不死身,不死身,1492600,,False
世界,名詞,2,1,世界,世界,1373860,,False
中央,名詞,2,1,中央,中央,1423430,,False
動き,名詞,2,1,動き,動き,1451180,,False
何者,名詞,2,1,何者,何者,1188980,,False
入れ墨,名詞,2,1,入れ墨,入れ墨,1587810,,False
頭,名詞,2,1,頭,頭,1582310,,False
任せる,動詞,2,1,任せ,任せる,1467150,,False
お,接頭辞,2,1,お,御,2826528,,False
邪魔,名詞,2,1,邪魔,邪魔,1323500,,False
いろいろ,副詞,2,1,いろいろ,色々,1587850,,False
あと,名詞,2,1,あと,後,1269320,,False
５,名詞,1,1,５,,1268060,,False
あいつ,代名詞,1,1,あいつ,彼奴,1483160,,False
あし,代名詞,1,1,あし,私,1151290 | 1152820 | 1404630,,True
あんまり,副詞,1,1,あんまり,余り,1584930,,False
いかれる,動詞,1,1,イカれる,いかれる,2007250,,False
いきなり,副詞,1,1,いきなり,行成,1006970,,False
いわれ,名詞,1,1,いわれ,謂れ,1158860,,False
うち,名詞,1,1,うち,内,1191740,,False
おっ,接頭辞,1,1,おっ,御,2770620,,False
おめえ,代名詞,1,1,おめえ,御前,2848635,,False
がらあき,名詞,1,1,がらあき,がら空き,2101980,,False
部分,名詞,1,1,部分,部分,1499490,,False
酒場,名詞,1,1,酒場,酒場,1329110,,False
金,名詞,1,1,金,金,1242600,,False
ごはん,名詞,1,1,ごはん,御飯,1270590,,False
ご,接頭辞,1,1,ご,御,1270190,,False
こん,代名詞,1,1,こん,此れ,1582920,,False
これ,代名詞,1,1,これ,此れ,1628530,,False
こりゃ,代名詞,1,1,こりゃ,此れ,2093510,,False
この世,名詞,1,1,この世,此の世,2002260,,False
ことし,名詞,1,1,ことし,今年,1579130,,False
ここ,代名詞,1,1,ここ,此処,1288810,,False
こう,副詞,1,1,こう,こう,1004310,,False
こいつ,代名詞,1,1,こいつ,此奴,1579070,,False
けじめ,名詞,1,1,けじめ,けじめ,1004170,,False
くん,接尾辞,1,1,くん,君,1247260,,False
趣味,名詞,1,1,趣味,趣味,1329000,,False
賞金,名詞,1,1,賞金,賞金,1351930,,False
貴重,形状詞,1,1,貴重,貴重,1223520,,False
貴様,代名詞,1,1,貴様,貴様,1223620,,False
別れる,動詞,1,1,別れろ,別れる,1606590,,False
別,名詞,1,1,別,別,1509430,,False
分野,名詞,1,1,分野,分野,1504330,,False
分,名詞,1,1,分,分,1502860,,False
出る,動詞,1,1,出,出る,1896380,,False
准尉,名詞,1,1,准尉,准尉,1341290,,False
冷静,名詞,1,1,冷静,冷静,1557050,,False
冴える,動詞,1,1,冴え,冴える,1297050,,False
再び,副詞,1,1,再び,再び,1292300,,False
全身,名詞,1,1,全身,全身,1395410,,False
全然,副詞,1,1,全然,全然,1395620,,False
入れる,動詞,1,1,入れ,入れる,1465610,,False
兄,名詞,1,1,兄,兄,1249900,,False
元気,名詞,1,1,元気,元気,1260720,,False
傷口,名詞,1,1,傷口,傷口,1345860,,False
傷付く,動詞,1,1,傷つく,傷付く,1591240,,False
勘弁,名詞,1,1,勘弁,勘弁,1210870,,False
