sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
オレ,代名詞,13,1,オレ,俺,1576870,,False
行く,動詞,10,1,行け,行く,1578850,,False
その,連体詞,9,1,その,其の,1006830,,False
言う,動詞,8,1,言っ,言う,1587040,,False
この,連体詞,8,1,この,此の,1582920,,False
来る,動詞,8,1,くる,来る,1547720,,False
知る,動詞,7,1,知り,知る,1420470,,False
セントラル,名詞,7,1,セントラル,セントラル-central,2003220,,False
今,名詞,7,1,今,今,1288850,,False
中央,名詞,7,1,中央,中央,1423430,,False
こと,名詞,7,1,こと,事,1313580,,False
国,名詞,7,1,国,国,1592250,,False
シン,名詞,7,1,シン,しん,1063370,,False
有る,動詞,7,1,あり,有る,1296400,,False
教える,動詞,6,1,教え,教える,1236900,,False
成る,動詞,6,1,なっ,成る,2846738,,False
居る,動詞,6,1,おる,居る,1577985,,False
私,代名詞,5,1,私,私-代名詞,1311110,,False
まあ,副詞,5,1,まあ,まあ,1012050,,False
お,接頭辞,5,1,お,御,2089690,,False
リン,名詞,5,1,リン,燐,1555530 | 2844454,,True
皇子,名詞,5,1,皇子,皇子,1280410,,False
ちょっと,副詞,5,1,ちょっと,一寸,1163940,,False
人,名詞,4,1,人,人,1580640,,False
お前,代名詞,4,1,お前,御前,1002290,,False
あんた,代名詞,4,1,あんた,貴方,1979920,,False
こいつ,代名詞,4,1,こいつ,此奴,1579070,,False
何,代名詞,4,1,何,何,1577100,,False
たち,接尾辞,4,1,たち,達,1416220,,False
こんな,連体詞,4,1,こんな,こんな,1004880,,False
戻る,動詞,4,1,戻り,戻る,1535880,,False
よろしく,副詞,4,1,よろしく,宜しく,1224890,,False
思う,動詞,4,1,思え,思う,1589350,,False
使う,動詞,4,1,使う,使う,1305990,,False
皇帝,名詞,4,1,皇帝,皇帝,1280490,,False
為る,動詞,4,1,すん,為る,1157170,,False
聞く,動詞,4,1,聞く,聞く,1591110,,False
２人,名詞,3,1,２人,二人,1582670,,False
１人,名詞,3,1,１人,一人,1576150,,False
そう,副詞,3,1,そう,そう,2137720,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
者,名詞,3,1,者,者,2153760,,False
そいつ,代名詞,3,1,そいつ,其奴,1006600,,False
民族,名詞,3,1,民族,民族,1604740,,False
ガキ,名詞,3,1,ガキ,餓鬼,1197980,,False
分かる,動詞,3,1,分かん,分かる,1606560,,False
アル,名詞,3,1,アル,アル,2835284,,False
仕事,名詞,3,1,仕事,仕事,1304970,,False
ボク,代名詞,3,1,ボク,僕-代名詞,1521400,,False
人,接尾辞,3,1,人,人,1580640,,False
バカ,名詞,3,1,バカ,馬鹿,1601260,,False
壊す,動詞,3,1,壊し,壊す,1199890,,False
呉れる,動詞,3,1,くれる,呉れる,1269130,,False
小さい,形容詞,3,1,ちっこい,小さい,1347750,,False
主,名詞,3,1,主,主,1324950,,False
ふっ,副詞,3,1,ふっ,ふっ,2862669,,False
気,名詞,3,1,気,気,1221520,,False
鎧,名詞,3,1,鎧,鎧,1204740,,False
部下,名詞,2,1,部下,部下,1499350,,False
あそこ,代名詞,2,1,あそこ,彼処,1000320,,False
酷い,形容詞,2,1,ひどい,酷い,1602060,,False
野郎,名詞,2,1,野郎,野郎,1537700,,False
驚く,動詞,2,1,驚か,驚く,1238680,,False
調べ,名詞,2,1,調べ,調べ,1429050,,False
言う,形容詞,2,1,いい,良い,1605820,,False
貴様,代名詞,2,1,貴様,貴様,1223620,,False
調べ物,名詞,2,1,調べ物,調べ物,1716930,,False
軍,名詞,2,1,軍,軍,1247660,,False
さん,接尾辞,2,1,さん,さん,1005340,,False
遣る,動詞,2,1,やり,遣る,1012980,,False
賜わる,動詞,2,1,賜っ,賜わる,1312860,,False
持つ,動詞,2,1,持っ,持つ,1315720,,False
捨てる,動詞,2,1,捨て,捨てる,1322320,,False
掠る,動詞,2,1,かすっ,掠る,1636530,,False
材料,名詞,2,1,材料,材料,1296670,,False
東,名詞,2,1,東,東,1447440,,False
もの,名詞,2,1,もの,物,1502390,,False
歩く,動詞,2,1,歩い,歩く,1514320,,False
機械,名詞,2,1,機械,機械,1220810,,False
もん,名詞,2,1,もん,物,2780660,,False
もう,副詞,2,1,もう,もう,1012480,,False
どう,副詞,2,1,どう,どう,1008910,,False
異国,名詞,2,1,異国,異国,1157670,,False
