sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
ヒューズ,名詞,13,1,ヒューズ,ヒューズ-Hughes,1103990,,False
オレ,代名詞,11,1,オレ,俺,1576870,,False
大佐,名詞,11,1,大佐,大佐,1413740,,False
こと,名詞,11,1,こと,事,1313580,,False
行く,動詞,9,1,行っ,行く,1578850,,False
中佐,名詞,9,1,中佐,中佐,1424340,,False
私,代名詞,8,1,私,私-代名詞,1311110,,False
来る,動詞,8,1,来,来る,1547720,,False
居る,動詞,8,1,いる,居る,1577980,,False
為る,動詞,8,1,する,為る,1157170,,False
知る,動詞,8,1,知り,知る,1420470,,False
たち,接尾辞,8,1,たち,達,1416220,,False
さん,接尾辞,6,1,さん,さん,1005340,,False
聞く,動詞,6,1,聞か,聞く,1591110,,False
成る,動詞,6,1,なん,成る,2846738,,False
有る,動詞,5,1,ある,有る,1296400,,False
その,連体詞,5,1,その,其の,1006830,,False
この,連体詞,5,1,この,此の,1582920,,False
言う,動詞,5,1,言っ,言う,1587040,,False
お,接頭辞,5,1,お,御,2826528,,False
会う,動詞,5,1,会い,会う,1198180,,False
シア,名詞,5,1,シア,シア,2842419 | 2842659 | 2842663,,True
死,名詞,4,1,死,死,1310720,,False
少尉,名詞,4,1,少尉,少尉,1347800,,False
思う,動詞,4,1,思え,思う,1589350,,False
グレイ,名詞,4,1,グレイ,グレー-Grey,1047480,,False
ロス,名詞,4,1,ロス,ロス-loss,2858061,,False
話,名詞,4,1,話,話,1600900,,False
どこ,代名詞,4,1,どこ,何処,1577140,,False
兄弟,名詞,4,1,兄弟,兄弟,1249960,,False
准将,名詞,4,1,准将,准将,1341330,,False
若い,形容詞,3,1,若,若い,1324300,,False
どう,副詞,3,1,どう,どう,1008910,,False
話す,動詞,3,1,話し,話す,1562350,,False
今,名詞,3,1,今,今,1288850,,False
すぐ,副詞,3,1,すぐ,直ぐ,1430610,,False
もう,副詞,3,1,もう,もう,1012480,,False
セントラル,名詞,3,1,セントラル,セントラル-central,2003220,,False
中央,名詞,3,1,中央,中央,1423430,,False
分かる,動詞,3,1,分かっ,分かる,1606560,,False
呉れる,動詞,3,1,くれ,呉れる,1269130,,False
仕舞う,動詞,3,1,しまわ,仕舞う,1305380,,False
死ぬ,動詞,3,1,死ん,死ぬ,1310730,,False
主人,名詞,3,1,主人,主人,1579780,,False
犯人,名詞,2,1,犯人,犯人,1481630,,False
ウィン,名詞,2,1,ウィン,ウィン-win,2859577,,False
済む,動詞,2,1,済ま,済む,1295070,,False
貰う,動詞,2,1,もらい,貰う,1535910,,False
資料,名詞,2,1,資料,資料,1312820,,False
軍,名詞,2,1,軍,軍,1247660,,False
こんな,連体詞,2,1,こんな,こんな,1004880,,False
ほのお,名詞,2,1,ほのお,炎,1177070,,False
どうせ,副詞,2,1,どうせ,どうせ,1008950,,False
調べる,動詞,2,1,調べ,調べる,1429060,,False
せい,名詞,2,1,せい,所為,1610040,,False
返る,動詞,2,1,帰っ,返る,1512150,,False
特進,名詞,2,1,特進,特進,1789230,,False
田舎,名詞,2,1,田舎,田舎,1442750,,False
ちゃん,接尾辞,2,1,ちゃん,ちゃん,1007660,,False
者,名詞,2,1,者,者,2153760,,False
知れる,動詞,2,1,知れる,知れる,1420490,,False
自分,名詞,2,1,自分,自分,1318610,,False
諦める,動詞,2,1,諦める,諦める,1436730,,False
後悔,名詞,2,1,後悔,後悔,1269510,,False
必要,名詞,2,1,必要,必要,1487660,,False
散らかす,動詞,2,1,散らかし,散らかす,1303420,,False
持つ,動詞,2,1,持っ,持つ,1315720,,False
情報,名詞,2,1,情報,情報,1356370,,False
戻る,動詞,2,1,戻る,戻る,1535880,,False
下さる,動詞,2,1,ください,下さる,1184280,,False
少し,副詞,2,1,少し,少し,1348870,,False
少佐,名詞,2,1,少佐,少佐,1349000,,False
巻き込む,動詞,2,1,巻き込ん,巻き込む,1211150,,False
引っ込む,動詞,2,1,引っ込ん,引っ込む,1169390,,False
スカ,名詞,2,1,スカ,スカ-ska,2115020,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
まったく,副詞,2,1,まったく,全く,1394800,,False
方法,名詞,2,1,方法,方法,1517090,,False
まま,名詞,2,1,まま,侭,1585410,,False
家,名詞,2,1,家,家,1191730,,False
女,名詞,2,1,女,女,1344930,,False
大人しい,形容詞,2,1,おとなしく,大人しい,1414190,,False
マリア,名詞,2,1,マリア,マリア-Maria,2573170,,False
マスタング,名詞,2,1,マスタング,ムスタング-mustang,1132350,,False
ママ,名詞,2,1,ママ,ママ-mama,1129240,,False
取る,動詞,2,1,取る,取る,1326980,,False
大丈夫,形状詞,2,1,大丈夫,大丈夫,1414150,,False
問題,名詞,2,1,問題,問題,1536010,,False
君,代名詞,2,1,君,君-代名詞,1247250,,False
ボク,代名詞,2,1,ボク,僕-代名詞,1521400,,False
二,名詞,2,1,二,二,1461140,,False
中尉,名詞,2,1,中尉,中尉,1423370,,False
人,名詞,2,1,人,人,1580640,,False
全然,副詞,2,1,全然,全然,1395620,,False
切る,動詞,2,1,斬っ,切る,1384830,,False
食う,動詞,2,1,食っ,食う,1592100,,False
体,名詞,2,1,体,体,1409140,,False
階級,名詞,2,1,階級,階級,1203040,,False
関する,動詞,2,1,関する,関する,1215790,,False
いずこ,代名詞,2,1,いずこ,何処,1577140,,False
あと,名詞,2,1,あと,後,1269320,,False
あいさつ,名詞,1,1,あいさつ,挨拶,1151120,,False
あいつ,代名詞,1,1,あいつ,彼奴,1483160,,False
あっち,代名詞,1,1,あっち,彼方,1483185,,False
あなた,代名詞,1,1,あなた,貴方,1223615,,False
ありのまま,名詞,1,1,ありのまま,有りの侭,1541000,,False
いけにえ,名詞,1,1,いけにえ,生け贄,1830690,,False
いっぱい,副詞,1,1,いっぱい,一杯,1165670,,False
いろいろ,副詞,1,1,いろいろ,色々,1587850,,False
お前,代名詞,1,1,お前,御前,1002290,,False
きちっと,副詞,1,1,きちっと,きちんと,1003390,,False
くう,副詞,1,1,くう,くう,1592100 | 2074820 | 2837010,,True
くぎ,名詞,1,1,くぎ,釘,1436840,,False
こいつ,代名詞,1,1,こいつ,此奴,1579070,,False
間際,名詞,1,1,間際,間際,1215450,,False
関わり,名詞,1,1,関わり,関わり,1589870,,False
闇,名詞,1,1,闇,闇,1154910,,False
集め,名詞,1,1,集め,集め,2082280,,False
集める,動詞,1,1,集めろ,集める,1333560,,False
面白い,形容詞,1,1,面白い,面白い,1533580,,False
頂く,動詞,1,1,いただけ,頂く,1587290,,False
頼む,動詞,1,1,頼む,頼む,1548370,,False
願う,動詞,1,1,願い,願う,1217950,,False
食べる,動詞,1,1,食べ,食べる,1358280,,False
食堂,名詞,1,1,食堂,食堂,1358550,,False
餌,名詞,1,1,餌,餌,1173340,,False
首,名詞,1,1,首,首,1592270,,False
伝える,動詞,1,1,伝えよう,伝える,1441870,,False
何,代名詞,1,1,何,何,1577100,,False
使う,動詞,1,1,使っ,使う,1305990,,False
候補,名詞,1,1,候補,候補,1272730,,False
側,名詞,1,1,側,側,1581310,,False
偶然,副詞,1,1,偶然,偶然,1246270,,False
傷付く,動詞,1,1,傷つく,傷付く,1591240,,False
優しい,形容詞,1,1,優しく,優しい,1539040,,False
元,名詞,1,1,元,元,2219590,,False
元気,名詞,1,1,元気,元気,1260720,,False
先月,名詞,1,1,先月,先月,1387500,,False
先行き,名詞,1,1,先行き,先行き,1580990,,False
先走る,動詞,1,1,先走っ,先走る,1388050,,False
入る,動詞,1,1,入っ,入る,1465590,,False
入国,名詞,1,1,入国,入国,1466130,,False
冷徹,名詞,1,1,冷徹,冷徹,1557160,,False
出す,動詞,1,1,出せ,出す,1338180,,False
出来る,動詞,1,1,でき,出来る,1340450,,False
分,名詞,1,1,分,分,1502840,,False
前,名詞,1,1,前,前,1392580,,False
前進,名詞,1,1,前進,前進,1393350,,False
勝つ,動詞,1,1,勝て,勝つ,1346150,,False
勤務,名詞,1,1,勤務,勤務,1241070,,False
包む,動詞,1,1,包ん,包む,1584060,,False
十分,形状詞,1,1,十分,十分,1335080,,False
南,名詞,1,1,南,南,1459870,,False
事件,名詞,1,1,事件,事件,1313830,,False
人助け,名詞,1,1,人助け,人助け,1368120,,False
人柱,名詞,1,1,人柱,人柱,1368810,,False
人間,名詞,1,1,人間,人間,1366770,,False
今日,名詞,1,1,今日,今日,1579110,,False
仕事,名詞,1,1,仕事,仕事,1304970,,False
他,名詞,1,1,他,他,1203260,,False
以外,名詞,1,1,以外,以外,1155090,,False
任務,名詞,1,1,任務,任務,1467260,,False
危険,名詞,1,1,危険,危険,1218560,,False
可笑しい,形容詞,1,1,おかしい,可笑しい,1190860,,False
同然,名詞,1,1,同然,同然,1452950,,False
名,名詞,1,1,名,名,1531330,,False
君,接尾辞,1,1,君,君,1247250,,False
否認,名詞,1,1,否認,否認,1483040,,False
咎める,動詞,1,1,とがめ,咎める,1565100,,False
嗅ぐ,動詞,1,1,嗅ぎ,嗅ぐ,1565480,,False
回る,動詞,1,1,まわっ,回る,1604300,,False
困る,動詞,1,1,困っ,困る,1289590,,False
国,名詞,1,1,国,国,1592250,,False
場合,名詞,1,1,場合,場合,1355810,,False
声,名詞,1,1,声,声,1380440,,False
夜中,名詞,1,1,夜中,夜中,1536930,,False
大事,形状詞,1,1,大事,大事,1413940,,False
大尉,名詞,1,1,大尉,大尉,1413030,,False
天然,名詞,1,1,天然,天然,1439580,,False
夫人,名詞,1,1,夫人,夫人,1496540,,False
子供,名詞,1,1,子供,子供,1307850,,False
家業,名詞,1,1,家業,家業,1191840,,False
宿,名詞,1,1,宿,宿,1337190,,False
寄る,動詞,1,1,寄る,寄る,1219680,,False
寝る,動詞,1,1,寝,寝る,1360010,,False
ホムンクルス,名詞,1,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
マース,名詞,1,1,マース,マース-Mars,2857788,,False
ムダ,名詞,1,1,ムダ,無駄,1530510,,False
ラスト,名詞,1,1,ラスト,ラスト-last,1139050,,False
一息,名詞,1,1,一息,一息,1164390,,False
上がる,動詞,1,1,上がっ,上がる,1352290,,False
上げる,動詞,1,1,あげる,上げる,1352320,,False
与える,動詞,1,1,与え,与える,1544730,,False
少々,名詞,1,1,少々,少々,1594930,,False
少ない,形容詞,1,1,少ない,少ない,1348910,,False
少年,名詞,1,1,少年,少年,1349170,,False
山積み,名詞,1,1,山積み,山積み,1755720,,False
師匠,名詞,1,1,師匠,師匠,1308900,,False
弁解,名詞,1,1,弁解,弁解,1512760,,False
引っ越し,名詞,1,1,引っ越し,引っ越し,1601880,,False
彼女,代名詞,1,1,彼女,彼女,1483150,,False
彼氏,名詞,1,1,彼氏,彼氏,1483140,,False
待ち,名詞,1,1,待ち,待ち,1640770,,False
ゲーム,名詞,1,1,ゲーム,ゲーム-game,1048400,,False
ゴリ押し,名詞,1,1,ゴリ押し,ごり押し,2227520,,False
シン,名詞,1,1,シン,しん,1063370,,False
ソラリス,名詞,1,1,ソラリス,ソラリス-Solaris,5047184,,False
タバコ,名詞,1,1,タバコ,タバコ-tabaco,1597150,,False
ダメ,名詞,1,1,ダメ,駄目,1409110,,False
デート,名詞,1,1,デート,デート-date,1081430,,False
フウ,名詞,1,1,フウ,楓,2564680,,False
フッ,副詞,1,1,フッ,ふっ,2558020,,False
フー,名詞,1,1,フー,フー,2828104,,False
待つ,動詞,1,1,待た,待つ,1410590,,False
心配,名詞,1,1,心配,心配,1360930,,False
急ぐ,動詞,1,1,急げ,急ぐ,1228650,,False
慌てる,動詞,1,1,慌て,慌てる,1278830,,False
憎しみ,名詞,1,1,憎しみ,憎しみ,1403400,,False
憎悪,名詞,1,1,憎悪,憎悪,1403460,,False
我々,代名詞,1,1,我々,我々-代名詞,1607050,,False
所,接尾辞,1,1,所,所,1343100,,False
手,名詞,1,1,手,手,1327190,,False
打つ,動詞,1,1,打っ,打つ,1408810,,False
扱い,名詞,1,1,扱い,扱い,1153430,,False
挨拶,名詞,1,1,挨拶,挨拶,1151120,,False
捕まる,動詞,1,1,捕まっ,捕まる,1514110,,False
掴む,動詞,1,1,つかん,掴む,1433650,,False
損する,動詞,1,1,損し,損する,1610150,,False
旨い,形容詞,1,1,うまく,旨い,1310460,,False
早い,形容詞,1,1,早く,早い,1404975,,False
昇進,名詞,1,1,昇進,昇進,1349780,,False
明るい,形容詞,1,1,明るい,明るい,1532350,,False
昔,名詞,1,1,昔,昔,1382370,,False
時,名詞,1,1,時,時,1315840,,False
時間,名詞,1,1,時間,時間,1315920,,False
暗い,形容詞,1,1,暗い,暗い,1154330,,False
書庫,名詞,1,1,書庫,書庫,1344020,,False
書類,名詞,1,1,書類,書類,1344200,,False
本人,名詞,1,1,本人,本人,1522750,,False
材料,名詞,1,1,材料,材料,1296670,,False
極秘,名詞,1,1,極秘,極秘,1240470,,False
楽しい,形容詞,1,1,楽し,楽しい,1207240,,False
次回,名詞,1,1,次回,次回,1316470,,False
残念,形状詞,1,1,残念,残念,1304680,,False
残酷,名詞,1,1,残酷,残酷,1304600,,False
殺害,名詞,1,1,殺害,殺害,1299050,,False
気,名詞,1,1,気,気,1221520,,False
決める,動詞,1,1,決め,決める,1254180,,False
まず,副詞,1,1,まず,先ず,1387240,,False
むちゃ,名詞,1,1,むちゃ,無茶,1530670,,False
