sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
ロス,名詞,16,1,ロス,ロス,2858061,,False
少尉,名詞,15,1,少尉,少尉,1347800,,False
為る,動詞,13,1,する,為る,1157170,,False
大佐,名詞,9,1,大佐,大佐,1413740,,False
こと,名詞,9,1,こと,事,1313580,,False
君,代名詞,8,1,君,君-代名詞,1247250,,False
ヒューズ,名詞,8,1,ヒューズ,ヒューズ-Hughes,1103990,,False
有る,動詞,8,1,あり,有る,1296400,,False
何,代名詞,7,1,何,何,1577100,,False
私,代名詞,7,1,私,私-代名詞,1311110,,False
逃げる,動詞,7,1,逃げる,逃げる,1450330,,False
少佐,名詞,7,1,少佐,少佐,1349000,,False
来る,動詞,6,1,来,来る,1547720,,False
マリア,名詞,6,1,マリア,マリア-Maria,2573170,,False
居る,動詞,6,1,いる,居る,1577980,,False
使用,名詞,5,1,使用,使用,1306200,,False
これ,代名詞,5,1,これ,此れ,1628530,,False
犯人,名詞,5,1,犯人,犯人,1481630,,False
おめえ,代名詞,5,1,おめえ,御前,2848635,,False
言う,動詞,5,1,言っ,言う,1587040,,False
もう,副詞,4,1,もう,もう,1012480,,False
射殺,名詞,4,1,射殺,射殺,1322240,,False
思う,動詞,4,1,思っ,思う,1589350,,False
欲しい,形容詞,4,1,欲しい,欲しい,1547330,,False
見る,動詞,4,1,み,見る,2256270,,False
銃,名詞,4,1,銃,銃,1337000,,False
どう,副詞,4,1,どう,どう,1008910,,False
怖い,形容詞,4,1,怖かっ,怖い,1593480,,False
この,連体詞,4,1,この,此の,1582920,,False
准将,名詞,4,1,准将,准将,1341330,,False
呉れる,動詞,4,1,くれ,呉れる,1269130,,False
奴,名詞,3,1,奴,奴,1445640,,False
アル,名詞,3,1,アル,アル-al,2835284,,False
命令,名詞,3,1,命令,命令,1532160,,False
下さる,動詞,3,1,ください,下さる,1184280,,False
君,接尾辞,3,1,君,君,1247250,,False
人間,名詞,3,1,人間,人間,1366770,,False
人手,名詞,3,1,人手,人手,2825953,,False
口径,名詞,3,1,口径,口径,1276030,,False
休み,名詞,3,1,休み,休み,1227500,,False
抵抗,名詞,3,1,抵抗,抵抗,1436260,,False
マスタング,名詞,3,1,マスタング,ムスタング-mustang,1132350,,False
危ない,形容詞,3,1,危ない,危ない,1218380,,False
打つ,動詞,3,1,撃っ,打つ,1408810,,False
無人,名詞,3,1,無人,無人,1530220,,False
断定,名詞,3,1,断定,断定,1419740,,False
温い,形容詞,3,1,ぬるい,温い,1183300,,False
良い,形容詞,3,1,いい,良い,1605870,,False
オレ,代名詞,3,1,オレ,俺,1576870,,False
旅,名詞,3,1,旅,旅,1553120,,False
新聞,名詞,3,1,新聞,新聞,1362360,,False
行く,動詞,3,1,行く,行く,1578850,,False
脱獄,名詞,3,1,脱獄,脱獄,1623770,,False
休暇,名詞,3,1,休暇,休暇,1227610,,False
貴様,代名詞,2,1,貴様,貴様,1223620,,False
銃弾,名詞,2,1,銃弾,銃弾,1337080,,False
貰う,動詞,2,1,もらい,貰う,1535910,,False
それ,代名詞,2,1,それ,其れ,1006970,,False
そう,副詞,2,1,そう,そう,2137720,,False
我輩,代名詞,2,1,我輩,我が輩,1606640,,False
ふっ,副詞,2,1,ふっ,ふっ,2862669,,False
のろし,名詞,2,1,のろし,狼煙,1560950,,False
ダメ,名詞,2,1,ダメ,駄目,1409110,,False
シン,名詞,2,1,シン,しん,1063370,,False
掛ける,動詞,2,1,かけ,掛ける,1207610,,False
探す,動詞,2,1,探さ,探す,1593670,,False
敵,名詞,2,1,敵,敵,1577915,,False
書く,動詞,2,1,書い,書く,1343950,,False
時間,名詞,2,1,時間,時間,1315920,,False
早い,形容詞,2,1,早かっ,早い,1404975,,False
もん,名詞,2,1,もん,物,1502390,,False
わけ,名詞,2,1,わけ,訳,1538330,,False
たち,接尾辞,2,1,たち,達,1416220,,False
ため,名詞,2,1,ため,為,1157080,,False
ちゃんと,副詞,2,1,ちゃんと,ちゃんと,1007720,,False
止める,動詞,2,1,やめ,止める,1310680,,False
死,名詞,2,1,死,死,1310720,,False
汽車,名詞,2,1,汽車,汽車,1222700,,False
残す,動詞,2,1,残さ,残す,1600260,,False
殺す,動詞,2,1,殺さ,殺す,1299030,,False
護衛,名詞,2,1,護衛,護衛,1271510,,False
部下,名詞,2,1,部下,部下,1499350,,False
酷い,形容詞,2,1,ひどく,酷い,1602060,,False
説明,名詞,2,1,説明,説明,1386460,,False
聞く,動詞,2,1,聞く,聞く,1591110,,False
親友,名詞,2,1,親友,親友,1365410,,False
証言,名詞,2,1,証言,証言,1351640,,False
どこ,代名詞,2,1,どこ,何処,1577140,,False
相手,名詞,2,1,相手,相手,1401000,,False
さん,接尾辞,2,1,さん,さん,1005340,,False
にい,名詞,2,1,にい,兄,1461340 | 1461350 | 2254970 | 2260200,,True
遣る,動詞,2,1,やる,遣る,1012980,,False
取る,動詞,2,1,取る,取る,1326980,,False
主張,名詞,2,1,主張,主張,1325910,,False
了解,名詞,2,1,了解,了解,1553310,,False
利く,動詞,2,1,効か,利く,1591100,,False
両親,名詞,2,1,両親,両親,1602710,,False
大人しい,形容詞,2,1,おとなしく,大人しい,1414190,,False
中佐,名詞,2,1,中佐,中佐,1424340,,False
国,名詞,2,1,国,国,1592250,,False
