sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
居る,動詞,15,1,おら,居る,1577985,,False
為る,動詞,13,1,せよ,為る,1157170,,False
こと,名詞,12,1,こと,事,1313580,,False
オレ,代名詞,12,1,オレ,俺,1576870,,False
少尉,名詞,12,1,少尉,少尉,1347800,,False
大佐,名詞,12,1,大佐,大佐,1413740,,False
呉れる,動詞,10,1,くれ,呉れる,1269130,,False
成る,動詞,9,1,なっ,成る,2846738,,False
ロス,名詞,9,1,ロス,ロス-loss,2858061,,False
分かる,動詞,9,1,分から,分かる,1606560,,False
体,名詞,9,1,体,体,1409140,,False
人,名詞,7,1,人,人,1580640,,False
思う,動詞,6,1,思う,思う,1589350,,False
言う,動詞,5,1,いっ,言う,1587040,,False
私,代名詞,5,1,私,私-代名詞,1311110,,False
聞く,動詞,5,1,聞い,聞く,1591110,,False
もう,副詞,5,1,もう,もう,1012480,,False
お前,代名詞,5,1,お前,御前,1002290,,False
死ぬ,動詞,5,1,死ん,死ぬ,1310730,,False
国,名詞,5,1,国,国,1592250,,False
有る,動詞,5,1,ある,有る,1296400,,False
持つ,動詞,5,1,持っ,持つ,1315720,,False
来る,動詞,5,1,来,来る,1547720,,False
人,接尾辞,4,1,人,人,1580640,,False
出来る,動詞,4,1,でき,出来る,1340450,,False
伝える,動詞,4,1,伝え,伝える,1441870,,False
さん,接尾辞,4,1,さん,さん,1005340,,False
ベル,名詞,4,1,ベル,ベル-bell,1120010,,False
ロック,名詞,4,1,ロック,ロック-lock,1147600 | 2846322 | 2846323,,True
軍,名詞,4,1,軍,軍,1247660,,False
魂,名詞,4,1,魂,魂,1579170,,False
この,連体詞,4,1,この,此の,1582920,,False
たち,接尾辞,4,1,たち,達,1416220,,False
その,連体詞,4,1,その,其の,1006830,,False
賢者,名詞,4,1,賢者,賢者,1260280,,False
こいつ,代名詞,4,1,こいつ,此奴,1579070,,False
約束,名詞,4,1,約束,約束,1538130,,False
奴,名詞,4,1,奴,奴,1445640,,False
君,接尾辞,4,1,君,君,1247260,,False
殺す,動詞,4,1,殺さ,殺す,1299030,,False
見る,動詞,4,1,見,見る,2256270,,False
行く,動詞,4,1,行く,行く,1578850,,False
少佐,名詞,3,1,少佐,少佐,1349000,,False
ここ,代名詞,3,1,ここ,此処,1288810,,False
お主,代名詞,3,1,お主,お主,1852780,,False
東,名詞,3,1,東,東,1447440,,False
ダメ,名詞,3,1,ダメ,駄目,1409110,,False
技術,名詞,3,1,技術,技術,1225130,,False
打つ,動詞,3,1,撃っ,打つ,1408810,,False
