sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
大佐,名詞,11,1,大佐,大佐,1413740,,False
待つ,動詞,10,1,待っ,待つ,1410590,,False
あなた,代名詞,8,1,あなた,貴方,1223615,,False
殺す,動詞,7,1,殺し,殺す,1299030,,False
為る,動詞,7,1,する,為る,1157170,,False
こと,名詞,7,1,こと,事,1313580,,False
死ぬ,動詞,7,1,死な,死ぬ,1310730,,False
私,代名詞,7,1,私,私-代名詞,1311110,,False
ホムンクルス,名詞,6,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
言う,動詞,6,1,言っ,言う,1587040,,False
さん,接尾辞,6,1,さん,さん,1005340,,False
オレ,代名詞,5,1,オレ,俺,1576870,,False
行く,動詞,5,1,行か,行く,1578850,,False
為さる,動詞,5,1,なさい,為さる,1157090,,False
人柱,名詞,5,1,人柱,人柱,1368810,,False
この,連体詞,5,1,この,此の,1582920,,False
バカ,名詞,5,1,バカ,馬鹿,1601260,,False
体,名詞,5,1,体,体,1409140,,False
有る,動詞,5,1,ある,有る,1296400,,False
分かる,動詞,4,1,分かる,分かる,1606560,,False
お,接頭辞,4,1,お,御,2089690,,False
貴様,代名詞,4,1,貴様,貴様,1223620,,False
貰う,動詞,4,1,もらえ,貰う,1535910,,False
魂,名詞,4,1,魂,魂,1579170,,False
イヤ,形状詞,4,1,イヤ,嫌,1587610,,False
上げる,動詞,3,1,あげる,上げる,1352320,,False
喋る,動詞,3,1,しゃべっ,喋る,1427510,,False
もう,副詞,3,1,もう,もう,1012480,,False
男,名詞,3,1,男,男,1419990,,False
まさか,副詞,3,1,まさか,まさか,1363540,,False
跪く,動詞,3,1,ひざまずけ,跪く,1573270,,False
見せる,動詞,3,1,見せ,見せる,1259210,,False
ヒューズ,名詞,3,1,ヒューズ,ヒューズ-Hughes,1103990,,False
来る,動詞,3,1,来る,来る,1547720,,False
十分,形状詞,3,1,十分,十分,1335080,,False
出来る,動詞,3,1,でき,出来る,1340450,,False
入れ墨,名詞,3,1,入れ墨,入れ墨,1587810,,False
人間,名詞,3,1,人間,人間,1366770,,False
中尉,名詞,3,1,中尉,中尉,1423370,,False
呉れる,動詞,3,1,くれ,呉れる,1269130,,False
残念,形状詞,3,1,残念,残念,1304680,,False
逃げる,動詞,3,1,逃げる,逃げる,1450330,,False
２人,名詞,3,1,２人,二人,1582670,,False
持つ,動詞,3,1,持っ,持つ,1315720,,False
奴,名詞,3,1,奴,奴,1445640,,False
無理,名詞,3,1,無理,無理,1530970,,False
知る,動詞,2,1,知り,知る,1420470,,False
煩い,形容詞,2,1,うるさい,煩い,1481920,,False
よく,副詞,2,1,よく,良く,1605870,,False
終わり,名詞,2,1,終わり,終わり,1589590,,False
秘密,名詞,2,1,秘密,秘密,1484150,,False
自分,名詞,2,1,自分,自分,1318610,,False
能力,名詞,2,1,能力,能力,1470370,,False
ところ,名詞,2,1,ところ,所,1343100,,False
目,名詞,2,1,目,目,1604890,,False
石,名詞,2,1,石,石,1382440,,False
肉,名詞,2,1,肉,肉,1463520,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
なぜ,副詞,2,1,なぜ,何故,1577120,,False
軍,名詞,2,1,軍,軍,1247660,,False
返る,動詞,2,1,帰っ,返る,1512150,,False
そう,副詞,2,1,そう,そう,1006610,,False
話,名詞,2,1,話,話,1600900,,False
遅い,形容詞,2,1,遅い,遅い,1421970,,False
逝く,動詞,2,1,逝き,逝く,2856718,,False
たち,接尾辞,2,1,たち,達,1416220,,False
それ,代名詞,2,1,それ,其れ,1006970,,False
部下,名詞,2,1,部下,部下,1499350,,False
あと,名詞,2,1,あと,後,1269320,,False
酷い,形容詞,2,1,ひどい,酷い,1602060,,False
肉体,名詞,2,1,肉体,肉体,1463650,,False
見る,動詞,2,1,見,見る,2256270,,False
まだまだ,副詞,2,1,まだまだ,未だ未だ,1527150,,False
ウロボロス,名詞,2,1,ウロボロス,ウロボロス-ouroboros,2167960,,False
早い,形容詞,2,1,早く,早い,1404975,,False
ラスト,名詞,2,1,ラスト,ラスト-last,1139050,,False
リード,名詞,2,1,リード,リード-lead,1140710,,False
ワン,名詞,2,1,ワン,ワン-one,2844785,,False
君,接尾辞,2,1,君,君,1247250,,False
多分,副詞,2,1,多分,多分,1407980,,False
居る,動詞,2,1,い,居る,1577980,,False
女,名詞,2,1,女,女,1344930,,False
大丈夫,形状詞,2,1,大丈夫,大丈夫,1414150,,False
守る,動詞,2,1,守っ,守る,1327120,,False
時,名詞,2,1,時,時,1315840,,False
曹長,名詞,2,1,曹長,曹長,1400380,,False
核,名詞,2,1,核,核,1205510,,False
助かる,動詞,2,1,助から,助かる,1344380,,False
化け物,名詞,2,1,化け物,化け物,1601300,,False
医者,名詞,2,1,医者,医者,1159980,,False
ボイン,名詞,2,1,ボイン,母音,2017410,,False
人,名詞,2,1,人,人,1580640,,False
今,名詞,2,1,今,今,1288850,,False
再生,名詞,2,1,再生,再生,1292960,,False
ボク,代名詞,2,1,ボク,僕-代名詞,1521400,,False
フッ,副詞,2,1,フッ,ふっ,2558020,,False
何,代名詞,2,1,何,何,1577100,,False
信ずる,動詞,2,1,信じ,信ずる,1359070,,False
候補,名詞,2,1,候補,候補,1272730,,False
頭,名詞,2,1,頭,頭,1582310,,False
騙す,動詞,2,1,だまし,騙す,1574550,,False
会う,動詞,2,1,会っ,会う,1198180,,False
こんな,連体詞,2,1,こんな,こんな,1004880,,False
関係,名詞,2,1,関係,関係,1215810,,False
こっち,代名詞,2,1,こっち,此方,1004500,,False
おめえ,代名詞,2,1,おめえ,御前,2848635,,False
あれ,代名詞,2,1,あれ,彼れ,1000580,,False
あいつ,代名詞,1,1,あいつ,彼奴,1483160,,False
あんな,形状詞,1,1,あんな,あんな,1000590,,False
いきなり,副詞,1,1,いきなり,行成,1006970,,False
お前,代名詞,1,1,お前,御前,1002290,,False
かなり,副詞,1,1,かなり,可成,1590560,,False
きっかけ,名詞,1,1,きっかけ,切っ掛け,1591290,,False
ここ,代名詞,1,1,ここ,此処,1288810,,False
ご,接頭辞,1,1,ご,御,1270190,,False
ごちゃごちゃ,副詞,1,1,ごちゃごちゃ,ごちゃごちゃ,1004940,,False
さすが,副詞,1,1,さすが,流石,1552390,,False
錬成,名詞,1,1,錬成,錬成,1559980,,False
鎧,名詞,1,1,鎧,鎧,1204740,,False
ちゃんと,副詞,1,1,ちゃんと,ちゃんと,1007720,,False
ちゃん,接尾辞,1,1,ちゃん,ちゃん,1007660,,False
ただいま,名詞,1,1,ただいま,只今,1538960,,False
たくさん,形状詞,1,1,たくさん,沢山,1415870,,False
そんな,連体詞,1,1,そんな,そんな,1007130,,False
そんな,形状詞,1,1,そんな,そんな,1007130,,False
そもそも,名詞,1,1,そもそも,抑,1006950,,False
その,連体詞,1,1,その,其の,1006830,,False
すっぽかす,動詞,1,1,すっぽかし,すっぽかす,1006160,,False
ざわつく,動詞,1,1,ざわつく,ざわつく,2064980,,False
退避,名詞,1,1,退避,退避,1411450,,False
追求,名詞,1,1,追求,追求,1432490,,False
追う,動詞,1,1,追わ,追う,1432410,,False
迷い,名詞,1,1,迷い,迷い,1641170,,False
返事,名詞,1,1,返事,返事,1512220,,False
返す,動詞,1,1,帰す,返す,1512130,,False
件,名詞,1,1,件,件,1255940,,False
付ける,動詞,1,1,つけろ,付ける,1495770,,False
他人,名詞,1,1,他人,他人,1581400,,False
仕舞う,動詞,1,1,しまっ,仕舞う,1305380,,False
仕事,名詞,1,1,仕事,仕事,1304970,,False
乗る,動詞,1,1,乗れ,乗る,1355120,,False
中,接尾辞,1,1,中,中,1620400,,False
中,名詞,1,1,中,中,1620400,,False
不味い,形容詞,1,1,マズい,不味い,1495000,,False
下さる,動詞,1,1,ください,下さる,1184280,,False
上司,名詞,1,1,上司,上司,1353260,,False
元どおり,名詞,1,1,元どおり,元通り,1260990,,False
元,名詞,1,1,元,元,2219590,,False
傷,名詞,1,1,傷,傷,1580260,,False
偶然,名詞,1,1,偶然,偶然,1246270,,False
保証,名詞,1,1,保証,保証,1603500,,False
助け,名詞,1,1,助け,助け,1344390,,False
力,名詞,1,1,力,力,1554820,,False
前,名詞,1,1,前,前,1392580,,False
別々,形状詞,1,1,別々,別々,1603290,,False
切れる,動詞,1,1,切れる,切れる,1384860,,False
切る,動詞,1,1,斬り,切る,1384830,,False
分野,名詞,1,1,分野,分野,1504330,,False
分解,名詞,1,1,分解,分解,1503210,,False
分かれる,動詞,1,1,分かれる,分かれる,1606600,,False
出る,動詞,1,1,出,出る,1896380,,False
出す,動詞,1,1,出せ,出す,1338180,,False
凶悪,形状詞,1,1,凶悪,凶悪,1591510,,False
凄い,形容詞,1,1,すごい,凄い,1374550,,False
冷たい,形容詞,1,1,冷たく,冷たい,1556730,,False
内緒,名詞,1,1,内緒,内緒,1458510,,False
入る,動詞,1,1,へへッ,入る,1465590,,False
上,名詞,1,1,上,上,1352130,,False
万国,名詞,1,1,万国,万国,1525960,,False
ワンワン,副詞,1,1,ワンワン,わんわん,1149310,,False
レディ,名詞,1,1,レディ,レディー-lady,1145590,,False
ムダ,名詞,1,1,ムダ,無駄,1530510,,False
マース,名詞,1,1,マース,マース-Mars,2857788,,False
マッチ,名詞,1,1,マッチ,マッチ-match（合致・試合）,1128430,,False
マスタング,名詞,1,1,マスタング,ムスタング-mustang,1132350,,False
収穫,名詞,1,1,収穫,収穫,1330510,,False
危ない,形容詞,1,1,危ねえ,危ない,1218380,,False
南部,名詞,1,1,南部,南部,1460530,,False
協力,名詞,1,1,協力,協力,1591720,,False
半分,名詞,1,1,半分,半分,1479890,,False
医療,名詞,1,1,医療,医療,1160140,,False
区,名詞,1,1,区,区,1244080,,False
助ける,動詞,1,1,助ける,助ける,1344410,,False
失礼,名詞,1,1,失礼,失礼,1320230,,False
大量,名詞,1,1,大量,大量,1415190,,False
