sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
こと,名詞,23,1,こと,事,1313580,,False
体,名詞,18,1,体,体,1409140,,False
アル,名詞,14,1,アル,アル,2835284,,False
ボク,代名詞,12,1,ボク,僕-代名詞,1521400,,False
オレ,代名詞,11,1,オレ,俺,1576870,,False
戻る,動詞,10,1,戻っ,戻る,1535880,,False
お前,代名詞,10,1,お前,御前,1002290,,False
魂,名詞,9,1,魂,魂,1579170,,False
元,名詞,9,1,元,元,1260670,,False
錬成,名詞,8,1,錬成,錬成,1559980,,False
言う,動詞,8,1,言っ,言う,1587040,,False
為る,動詞,8,1,し,為る,1157170,,False
あれ,代名詞,7,1,あれ,彼れ,1000580,,False
時,名詞,7,1,時,時,1315840,,False
遣る,動詞,6,1,やる,遣る,1012980,,False
せんせい,名詞,5,1,せんせい,先生,1387990,,False
もう,副詞,5,1,もう,もう,1012480,,False
師匠,名詞,5,1,師匠,師匠,1308900,,False
人,名詞,5,1,人,人,1580640,,False
たち,接尾辞,5,1,たち,達,1416220,,False
それ,代名詞,5,1,それ,其れ,1006970,,False
イヤ,形状詞,5,1,イヤ,嫌,1587610,,False
何,代名詞,5,1,何,何,1577100,,False
この,連体詞,5,1,この,此の,1582920,,False
トリ,名詞,4,1,トリ,鳥,1430250,,False
死ぬ,動詞,4,1,死ん,死ぬ,1310730,,False
姿,名詞,4,1,姿,姿,1307710,,False
違う,動詞,4,1,違う,違う,1158880,,False
男,名詞,4,1,男,男,1419990,,False
肉体,名詞,4,1,肉体,肉体,1463650,,False
見る,動詞,4,1,見,見る,2256270,,False
その,連体詞,4,1,その,其の,1006830,,False
私,代名詞,4,1,私,私-代名詞,1311110,,False
分かる,動詞,4,1,分かる,分かる,1606560,,False
ちゃん,接尾辞,3,1,ちゃん,ちゃん,1007660,,False
髪,名詞,3,1,髪,髪,1477950,,False
覚える,動詞,3,1,覚え,覚える,1206050,,False
真理,名詞,3,1,真理,真理,1364400,,False
生きる,動詞,3,1,生き,生きる,1378520,,False
自分,名詞,3,1,自分,自分,1318610,,False
色,名詞,3,1,色,色,1357600,,False
怒る,動詞,3,1,怒る,怒る,1445690,,False
殺す,動詞,3,1,殺し,殺す,1299030,,False
成る,動詞,3,1,なっ,成る,2846738,,False
引っ張る,動詞,3,1,引っ張り,引っ張る,1601900,,False
人間,名詞,3,1,人間,人間,1366770,,False
