sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
スカ,名詞,15,1,スカ,スカ-ska,2115020,,False
為る,動詞,15,1,しろ,為る,1157170,,False
男,名詞,14,1,男,男,1419990,,False
オレ,代名詞,14,1,オレ,俺,1576870,,False
傷,名詞,13,1,傷,傷,1580260,,False
こと,名詞,13,1,こと,事,1313580,,False
居る,動詞,13,1,いろ,居る,1577980,,False
ホムンクルス,名詞,12,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
呉れる,動詞,10,1,くれ,呉れる,1269130,,False
大佐,名詞,9,1,大佐,大佐,1413740,,False
区,名詞,8,1,区,区,1244080,,False
行く,動詞,7,1,行け,行く,1578850,,False
ボク,代名詞,7,1,ボク,僕-代名詞,1521400,,False
国家,名詞,6,1,国家,国家,1286170,,False
言う,動詞,6,1,言っ,言う,1587040,,False
有る,動詞,6,1,ある,有る,1000580,,False
私,代名詞,6,1,私,私-代名詞,1311110,,False
遣る,動詞,6,1,やっ,遣る,1012980,,False
中央,名詞,5,1,中央,中央,1423430,,False
成る,動詞,5,1,なっ,成る,2846738,,False
来る,動詞,5,1,来,来る,1547720,,False
憲兵,名詞,5,1,憲兵,憲兵,1257580,,False
出来る,動詞,5,1,できる,出来る,1340450,,False
人柱,名詞,5,1,人柱,人柱,1368810,,False
その,連体詞,5,1,その,其の,1006830,,False
置く,動詞,4,1,おく,置く,1421850,,False
まだ,副詞,4,1,まだ,未だ,1527110,,False
アル,名詞,4,1,アル,アル,2835284,,False
敵,名詞,4,1,敵,敵,1582000,,False
奴,名詞,4,1,奴,奴,1445640,,False
少尉,名詞,4,1,少尉,少尉,1347800,,False
この,連体詞,4,1,この,此の,1582920,,False
こちら,代名詞,4,1,こちら,此方,1004500,,False
分かる,動詞,4,1,分かっ,分かる,1606560,,False
ドクター,名詞,4,1,ドクター,ドクター-doctor,1088140,,False
セントラル,名詞,4,1,セントラル,セントラル-central,2003220,,False
バカ,名詞,4,1,バカ,馬鹿,1601260,,False
繋がる,動詞,4,1,つながっ,繋がる,1251880,,False
もう,副詞,4,1,もう,もう,1012480,,False
貰う,動詞,4,1,もらう,貰う,1535910,,False
死ぬ,動詞,4,1,死ん,死ぬ,1310730,,False
たち,接尾辞,4,1,たち,達,1416220,,False
良い,形容詞,4,1,よかっ,良い,1605870,,False
どう,副詞,4,1,どう,どう,1008910,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
思う,動詞,3,1,思う,思う,1589350,,False
情報,名詞,3,1,情報,情報,1356370,,False
待つ,動詞,3,1,待て,待つ,1410590,,False
困る,動詞,3,1,困る,困る,1289590,,False
右腕,名詞,3,1,右腕,右腕,1171290,,False
ダメ,名詞,3,1,ダメ,駄目,1409110,,False
気,名詞,3,1,気,気,1221520,,False
退役,名詞,3,1,退役,退役,1619500,,False
鋼,接尾辞,3,1,鋼,鋼,1282680,,False
そこ,代名詞,3,1,そこ,其処,1006670,,False
飲む,動詞,3,1,飲ま,飲む,1169870,,False
あっち,代名詞,3,1,あっち,彼方,1483185,,False
出る,動詞,3,1,出,出る,1896380,,False
地下,名詞,3,1,地下,地下,1420840,,False
壊す,動詞,3,1,壊す,壊す,1199890,,False
中,接尾辞,3,1,中,中,1620400,,False
戻る,動詞,3,1,戻れ,戻る,1535880,,False
扉,名詞,3,1,扉,扉,1483380,,False
持つ,動詞,3,1,持っ,持つ,1315720,,False
打つ,動詞,3,1,撃っ,打つ,1408810,,False
イヤ,形状詞,3,1,イヤ,嫌,1587610,,False
肉体,名詞,3,1,肉体,肉体,1463650,,False
諦める,動詞,3,1,諦める,諦める,1436730,,False
多分,副詞,3,1,多分,多分,1407980,,False
何,代名詞,3,1,何,何,1577100,,False
入れ墨,名詞,3,1,入れ墨,入れ墨,1587810,,False
聞く,動詞,3,1,聞い,聞く,1591110,,False
なぜ,副詞,3,1,なぜ,何故,1577120,,False
背中,名詞,3,1,背中,背中,1472800,,False
貴様,代名詞,3,1,貴様,貴様,1223620,,False
開ける,動詞,2,1,開け,開ける,1202450,,False
あいつ,代名詞,2,1,あいつ,彼奴,1483160,,False
退院,名詞,2,1,退院,退院,1411300,,False
連中,名詞,2,1,連中,連中,1559700,,False
野郎,名詞,2,1,野郎,野郎,1537700,,False
鎧,名詞,2,1,鎧,鎧,1204740,,False
３,名詞,2,1,３,,1579350,,False
戦友,名詞,2,1,戦友,戦友,1801740,,False
為さる,動詞,2,1,なさい,為さる,1157090,,False
オート,名詞,2,1,オート,オート-auto,1031910,,False
機械,名詞,2,1,機械,機械,1220810,,False
曹長,名詞,2,1,曹長,曹長,1400380,,False
捕まえる,動詞,2,1,捕まえる,捕まえる,1597780,,False
有る,代名詞,2,1,あれ,彼れ,1000580,,False
時,名詞,2,1,時,時,1315840,,False
捨てる,動詞,2,1,捨て,捨てる,1322320,,False
焼く,動詞,2,1,焼い,焼く,1350600,,False
無用,名詞,2,1,無用,無用,1530940,,False
やっぱり,副詞,2,1,やっぱり,矢張り,1012810,,False
約束,名詞,2,1,約束,約束,1538130,,False
見付ける,動詞,2,1,見つけ,見付ける,1604570,,False
話,名詞,2,1,話,話,1600900,,False
軍,名詞,2,1,軍,軍,1247660,,False
見る,動詞,2,1,見,見る,2256270,,False
許可,名詞,2,1,許可,許可,1232880,,False
美人,名詞,2,1,美人,美人,1486530,,False
まあ,副詞,2,1,まあ,まあ,1012050,,False
無理,名詞,2,1,無理,無理,1530970,,False
気配,名詞,2,1,気配,気配,1222510,,False
生きる,動詞,2,1,生きる,生きる,1378520,,False
牛乳,名詞,2,1,牛乳,牛乳,1231590,,False
煩い,形容詞,2,1,うるさい,煩い,1481920,,False
