sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
為る,動詞,12,1,する,為る,1157170,,False
待つ,動詞,10,1,待つ,待つ,1410590,,False
居る,動詞,9,1,いる,居る,1577980,,False
私,代名詞,8,1,私,私-代名詞,1311110,,False
ホムンクルス,名詞,8,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
成る,動詞,8,1,なっ,成る,2846738,,False
オレ,代名詞,7,1,オレ,俺,1576870,,False
ちゃん,接尾辞,7,1,ちゃん,ちゃん,1007660,,False
こと,名詞,7,1,こと,事,1313580,,False
有る,動詞,7,1,ある,有る,1000580,,False
ウィン,名詞,6,1,ウィン,ウィン-win,2859577,,False
さん,接尾辞,6,1,さん,さん,1005340,,False
返る,動詞,6,1,帰っ,返る,1512150,,False
出来る,動詞,6,1,でき,出来る,1340450,,False
マスタング,名詞,5,1,マスタング,ムスタング-mustang,1132350,,False
早い,形容詞,5,1,早く,早い,1404975,,False
良い,形容詞,5,1,よかっ,良い,1605870,,False
こっち,代名詞,5,1,こっち,此方,1004500,,False
お前,代名詞,5,1,お前,御前,1002290,,False
この,連体詞,5,1,この,此の,1582920,,False
呉れる,動詞,5,1,くれ,呉れる,1269130,,False
傷,名詞,5,1,傷,傷,1580260,,False
頼む,動詞,5,1,頼む,頼む,1548370,,False
逃げる,動詞,5,1,逃げろ,逃げる,1450330,,False
貰う,動詞,5,1,もらわ,貰う,1535910,,False
アル,名詞,5,1,アル,アル,2835284,,False
スカ,名詞,4,1,スカ,スカ-ska,2115020,,False
見る,動詞,4,1,見,見る,2256270,,False
戻る,動詞,4,1,戻っ,戻る,1535880,,False
拾う,動詞,4,1,拾っ,拾う,1332570,,False
人,名詞,4,1,人,人,1580640,,False
リン,名詞,4,1,リン,燐,1555530,,False
大佐,名詞,4,1,大佐,大佐,1413740,,False
男,名詞,4,1,男,男,1419990,,False
遣る,動詞,4,1,やれ,遣る,1012980,,False
腕,名詞,4,1,腕,腕,1562850,,False
お,接頭辞,4,1,お,御,2826528,,False
体,名詞,4,1,体,体,1409140,,False
出る,動詞,4,1,出,出る,1896380,,False
何,代名詞,4,1,何,何,1577100,,False
保護,名詞,3,1,保護,保護,1513530,,False
信ずる,動詞,3,1,信じる,信ずる,1359070,,False
使う,動詞,3,1,使える,使う,1305990,,False
鎧,名詞,3,1,鎧,鎧,1204740,,False
件,名詞,3,1,件,件,1255940,,False
こいつ,代名詞,3,1,こいつ,此奴,1579070,,False
中,名詞,3,1,中,中,1423310,,False
今,名詞,3,1,今,今,1288850,,False
大丈夫,形状詞,3,1,大丈夫,大丈夫,1414150,,False
今度,名詞,3,1,今度,今度,1289370,,False
子供,名詞,3,1,子供,子供,1307850,,False
あなた,代名詞,3,1,あなた,貴方,1223615,,False
まだ,副詞,3,1,まだ,未だ,1527110,,False
来る,動詞,3,1,来,来る,1547720,,False
捨てる,動詞,3,1,捨てん,捨てる,1322320,,False
ごめん,名詞,3,1,ごめん,御免,1270670,,False
身内,名詞,2,1,身内,身内,1365800,,False
過ぎる,動詞,2,1,すぎる,過ぎる,1195970,,False
８,名詞,2,1,８,,1583090,,False
１人,名詞,2,1,１人,一人,1576150,,False
ボク,代名詞,2,1,ボク,僕-代名詞,1521400,,False
メイル,名詞,2,1,メイル,メール-mail,1132620,,False
探す,動詞,2,1,捜せ,探す,1593670,,False
ヤオ,名詞,2,1,ヤオ,ヤオ,2215710,,False
旦那,名詞,2,1,旦那,旦那,1418410,,False
止める,動詞,2,1,やめろ,止める,1310680,,False
気配,名詞,2,1,気配,気配,1222510,,False
時,名詞,2,1,時,時,1315840,,False
機械,名詞,2,1,機械,機械,1220810,,False
第,接頭辞,2,1,第,第,1415260,,False
聞く,動詞,2,1,聞い,聞く,1591110,,False
シン,名詞,2,1,シン,しん,1063370,,False
オート,名詞,2,1,オート,オート-auto,1031910,,False
サン,接尾辞,2,1,サン,さん,2855208,,False
もの,名詞,2,1,もの,物,1502390,,False
王,名詞,2,1,王,王,1629200,,False
生きる,動詞,2,1,生き,生きる,1378520,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
通り,名詞,2,1,通り,通り,1432920,,False
たち,接尾辞,2,1,たち,達,1416220,,False
話,名詞,2,1,話,話,1600900,,False
言う,動詞,2,1,言っ,言う,1587040,,False
貴様,代名詞,2,1,貴様,貴様,1223620,,False
足,名詞,2,1,足,足,1404630,,False
行く,動詞,2,1,行く,行く,1578850,,False
覚悟,名詞,2,1,覚悟,覚悟,1206080,,False
もう,副詞,2,1,もう,もう,1012480,,False
若い,形容詞,2,1,若,若い,1324300,,False
みんな,名詞,2,1,みんな,皆,1202150,,False
また,副詞,2,1,また,又,1524930,,False
ところ,名詞,2,1,ところ,所,1343100,,False
ちょっと,副詞,2,1,ちょっと,一寸,1163940,,False
否定,名詞,2,1,否定,否定,1482990,,False
哀れ,名詞,2,1,哀れ,哀れ,1150110,,False
国,名詞,2,1,国,国,1592250,,False
少女,名詞,2,1,少女,少女,1580290,,False
子,名詞,2,1,子,子,1307770,,False
奴,名詞,2,1,奴,奴,1445640,,False
女,名詞,2,1,女,女,1344930,,False
失う,動詞,2,1,失い,失う,1319750,,False
思う,動詞,2,1,思い,思う,1589350,,False
憎しみ,名詞,2,1,憎しみ,憎しみ,1403400,,False
憲兵,名詞,2,1,憲兵,憲兵,1257580,,False
必要,名詞,2,1,必要,必要,1487660,,False
下僕,名詞,2,1,下僕,下僕,1186420,,False
不幸,名詞,2,1,不幸,不幸,1492350,,False
ロック,名詞,2,1,ロック,ロック-lock,1147600 | 2846322 | 2846323,,True
一部,名詞,2,1,一部,一部,1166180,,False
ダメ,名詞,2,1,ダメ,駄目,1409110,,False
ベル,名詞,2,1,ベル,ベル-bell,1120010,,False
入る,動詞,2,1,入っ,入る,1465590,,False
医者,名詞,2,1,医者,医者,1159980,,False
化け物,名詞,2,1,化け物,化け物,1601300,,False
区,名詞,2,1,区,区,1244080,,False
全部,名詞,2,1,全部,全部,1396130,,False
入れ墨,名詞,2,1,入れ墨,入れ墨,1587810,,False
君,接尾辞,2,1,君,君,1247250,,False
入れる,動詞,2,1,入れ,入れる,1465610,,False
元,名詞,2,1,元,元,1260670,,False
頑張る,動詞,2,1,頑張る,頑張る,1217700,,False
離れる,動詞,2,1,離れ,離れる,1550840,,False
ここ,代名詞,2,1,ここ,此処,1288810,,False
うれし泣き,名詞,2,1,うれし泣き,嬉し泣き,1981710,,False
あれ,代名詞,2,1,あれ,彼れ,2847612,,False
あんな,連体詞,1,1,あんな,あんな,1000590,,False
うかつ,名詞,1,1,うかつ,迂闊,1171890,,False
おいら,代名詞,1,1,おいら,己等,1576880,,False
くん,接尾辞,1,1,くん,君,1247260,,False
こちら,代名詞,1,1,こちら,此方,1004500,,False
こっそり,副詞,1,1,こっそり,こっそり,1004520,,False
部下,名詞,1,1,部下,部下,1499350,,False
野良ネコ,名詞,1,1,野良ネコ,野良猫,1537690,,False
野郎,名詞,1,1,野郎,野郎,1537700,,False
鋼,接尾辞,1,1,鋼,鋼,1282680,,False
錬成,名詞,1,1,錬成,錬成,1559980,,False
隠れる,動詞,1,1,隠れる,隠れる,1170660,,False
隠れ家,名詞,1,1,隠れ家,隠れ家,1822390,,False
頂く,動詞,1,1,頂こう,頂く,1587290,,False
頑丈,形状詞,1,1,頑丈,頑丈,1217690,,False
顔向け,名詞,1,1,顔向け,顔向け,1756200,,False
飛び込む,動詞,1,1,飛び込め,飛び込む,1598890,,False
飼う,動詞,1,1,飼い,飼う,1312970,,False
以外,名詞,1,1,以外,以外,1155090,,False
仲間,名詞,1,1,仲間,仲間,1425790,,False
会う,動詞,1,1,会い,会う,1198180,,False
余裕,名詞,1,1,余裕,余裕,1544590,,False
信用,名詞,1,1,信用,信用,1359620,,False
倒れる,動詞,1,1,倒れ,倒れる,1445790,,False
先,名詞,1,1,先,先,1387210,,False
内側,名詞,1,1,内側,内側,1458770,,False
再生,名詞,1,1,再生,再生,1292960,,False
出し抜く,動詞,1,1,出し抜い,出し抜く,1338110,,False
出血,名詞,1,1,出血,出血,1338750,,False
分かる,動詞,1,1,分かっ,分かる,1606560,,False
分ける,動詞,1,1,分け,分ける,1503000,,False
別れる,動詞,1,1,別れ,別れる,1606590,,False
利害,名詞,1,1,利害,利害,1549500,,False
力,接尾辞,1,1,力,力,1554820,,False
勘違い,名詞,1,1,勘違い,勘違い,1210620,,False
協力,名詞,1,1,協力,協力,1591720,,False
危ない,形容詞,1,1,危ない,危ない,1218380,,False
取る,動詞,1,1,捕っ,取る,1326980,,False
向こう,名詞,1,1,向こう,向こう,1277140,,False
命,名詞,1,1,命,命,1531940,,False
善意,名詞,1,1,善意,善意,1394310,,False
国,接尾辞,1,1,国,国,1592250,,False
国軍,名詞,1,1,国軍,国軍,1657320,,False
型取り,名詞,1,1,型取り,型取り,2856091,,False
中央,名詞,1,1,中央,中央,1423430,,False
乗せる,動詞,1,1,乗せ,乗せる,1600270,,False
乗る,動詞,1,1,乗り,乗る,1355120,,False
人,接尾辞,1,1,人,人,1580640,,False
人でなし,形状詞,1,1,人でなし,人で無し,1366430,,False
人材,名詞,1,1,人材,人材,1367760,,False
人気,名詞,1,1,人気,人気,1367010,,False
人間,名詞,1,1,人間,人間,1366770,,False
今回,名詞,1,1,今回,今回,1289070,,False
仕切り直し,名詞,1,1,仕切り直し,仕切り直し,2620770,,False
仕舞う,動詞,1,1,しまっ,仕舞う,1305380,,False
付ける,動詞,1,1,つけ,付ける,1495770,,False
代わり,名詞,1,1,代わり,代わり,1590770,,False
場所,名詞,1,1,場所,場所,1355850,,False
外装,名詞,1,1,外装,外装,1806840,,False
大人しい,形容詞,1,1,おとなしい,大人しい,1414190,,False
大切,形状詞,1,1,大切,大切,1414340,,False
大義,名詞,1,1,大義,大義,1786870,,False
夫妻,名詞,1,1,夫妻,夫妻,1496520,,False
失礼,名詞,1,1,失礼,失礼,1320230,,False
好く,動詞,1,1,好か,好く,1277480,,False
好意,名詞,1,1,好意,好意,1277530,,False
妻,名詞,1,1,妻,妻,1294330,,False
始末,名詞,1,1,始末,始末,1307620,,False
安全,名詞,1,1,安全,安全,1153930,,False
客,名詞,1,1,客,客,1226630,,False
