sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
居る,動詞,14,1,いる,居る,1577980,,False
為る,動詞,13,1,さ,為る,1157170,,False
人間,名詞,11,1,人間,人間,1366770,,False
大佐,名詞,10,1,大佐,大佐,1413740,,False
この,連体詞,8,1,この,此の,1582920,,False
呉れる,動詞,8,1,くれ,呉れる,1269130,,False
行く,動詞,8,1,行っ,行く,1578850,,False
マスタング,名詞,8,1,マスタング,ムスタング-mustang,1132350,,False
ホムンクルス,名詞,8,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
こと,名詞,8,1,こと,事,1313580,,False
待つ,動詞,7,1,待て,待つ,1410590,,False
ここ,代名詞,7,1,ここ,此処,1288810,,False
飲む,動詞,7,1,飲ん,飲む,1169870,,False
私,代名詞,7,1,私,私-代名詞,1311110,,False
ボク,代名詞,6,1,ボク,僕-代名詞,1521400,,False
今,名詞,6,1,今,今,1288850,,False
君,代名詞,6,1,君,君-代名詞,1247250,,False
手,名詞,6,1,手,手,1327190,,False
軍,名詞,6,1,軍,軍,1247660,,False
国,名詞,6,1,国,国,1592250,,False
父,名詞,5,1,父,父,1497610,,False
こんな,連体詞,5,1,こんな,こんな,1004880,,False
こっち,代名詞,5,1,こっち,此方,1004500,,False
言う,動詞,5,1,言っ,言う,1587040,,False
遣る,動詞,5,1,やっ,遣る,1012980,,False
その,連体詞,5,1,その,其の,1006830,,False
オレ,代名詞,5,1,オレ,俺,1576870,,False
返る,動詞,4,1,帰れ,返る,1512150,,False
中尉,名詞,4,1,中尉,中尉,1423370,,False
話,名詞,4,1,話,話,1600900,,False
協力,名詞,4,1,協力,協力,1591720,,False
何,代名詞,4,1,何,何,1577100,,False
分かる,動詞,4,1,分かる,分かる,1606560,,False
成る,動詞,4,1,なっ,成る,2846738,,False
どこ,代名詞,4,1,どこ,何処,1577140,,False
来る,動詞,4,1,来,来る,1547720,,False
聞く,動詞,4,1,聞い,聞く,1591110,,False
出来る,動詞,4,1,でき,出来る,1340450,,False
君,接尾辞,4,1,君,君,1247250,,False
たち,接尾辞,4,1,たち,達,1416220,,False
さっき,名詞,4,1,さっき,さっき,1005180,,False
言葉,名詞,3,1,言葉,言葉,1264540,,False
部下,名詞,3,1,部下,部下,1499350,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
お,接頭辞,3,1,お,御,2826528,,False
見る,動詞,3,1,みよう,見る,2256270,,False
若い,形容詞,3,1,若,若い,1324300,,False
良い,形容詞,3,1,いい,良い,1605870,,False
問題,名詞,3,1,問題,問題,1536010,,False
忘れる,動詞,3,1,忘れ,忘れる,1519210,,False
戦う,動詞,3,1,戦う,戦う,1596960,,False
情報,名詞,3,1,情報,情報,1356370,,False
思う,動詞,3,1,思っ,思う,1589350,,False
我々,代名詞,3,1,我々,我々-代名詞,1607050,,False
てめえ,代名詞,3,1,てめえ,てまえ,2076920,,False
どう,副詞,3,1,どう,どう,1008910,,False
見せる,動詞,3,1,見せ,見せる,1259210,,False
男,名詞,3,1,男,男,1419990,,False
死ぬ,動詞,3,1,死ん,死ぬ,1310730,,False
殺す,動詞,3,1,殺し,殺す,1299030,,False
村,名詞,3,1,村,村,1406820,,False
捕まえる,動詞,3,1,捕まえ,捕まえる,1597780,,False
作る,動詞,3,1,作る,作る,1597890,,False
兄弟,名詞,3,1,兄弟,兄弟,1249960,,False
人柱,名詞,3,1,人柱,人柱,1368810,,False
出す,動詞,3,1,出さ,出す,1338180,,False
使う,動詞,3,1,使え,使う,1305990,,False
まあ,副詞,3,1,まあ,まあ,1012050,,False
まだ,副詞,3,1,まだ,未だ,1527110,,False
傷,名詞,3,1,傷,傷,1580260,,False
トップ,名詞,3,1,トップ,トップ-top,1085030,,False
チビ,名詞,3,1,チビ,ちび,1077750,,False
セントラル,名詞,3,1,セントラル,セントラル-central,2003220,,False
人,名詞,3,1,人,人,1580640,,False
中央,名詞,3,1,中央,中央,1423430,,False
リン,名詞,3,1,リン,燐,1555530,,False
ラスト,名詞,3,1,ラスト,ラスト-last,1139050,,False
あいつ,代名詞,3,1,あいつ,彼奴,1483160,,False
鋼,接尾辞,2,1,鋼,鋼,1282680,,False
あんた,代名詞,2,1,あんた,貴方,1979920,,False
食べる,動詞,2,1,食べ,食べる,1358280,,False
読む,動詞,2,1,読ん,読む,1456360,,False
ダメ,名詞,2,1,ダメ,駄目,1409110,,False
道具,名詞,2,1,道具,道具,1454180,,False
逃げる,動詞,2,1,逃げ,逃げる,1450330,,False
行動,名詞,2,1,行動,行動,1282100,,False
貰う,動詞,2,1,もらおう,貰う,1535910,,False
考える,動詞,2,1,考え,考える,1281020,,False
置く,動詞,2,1,おき,置く,1421850,,False
続ける,動詞,2,1,続け,続ける,1405800,,False
第,接頭辞,2,1,第,第,1415260,,False
立つ,動詞,2,1,立っ,立つ,1597040,,False
じじい,名詞,2,1,じじい,爺,1584870,,False
さん,接尾辞,2,1,さん,さん,1005340,,False
ご,接頭辞,2,1,ご,御,1270190,,False
なかなか,副詞,2,1,なかなか,中々,1599420,,False
相手,名詞,2,1,相手,相手,1401000,,False
残す,動詞,2,1,残し,残す,1600260,,False
止まる,動詞,2,1,止まれ,止まる,1310620,,False
ウソ,名詞,2,1,ウソ,嘘,1172400,,False
消す,動詞,2,1,消し,消す,1350110,,False
掴む,動詞,2,1,つかん,掴む,1433650,,False
有る,動詞,2,1,ある,有る,1000580,,False
戦場,名詞,2,1,戦場,戦場,1390320,,False
わけ,名詞,2,1,わけ,訳,1538330,,False
ら,接尾辞,2,1,ら,等,2067770,,False
よし,名詞,2,1,よし,良し,2607690,,False
やばい,形容詞,2,1,ヤバい,やばい,1012840,,False
やつ,名詞,2,1,やつ,奴,1445640,,False
もの,名詞,2,1,もの,物,1502390,,False
忙しい,形容詞,2,1,忙しい,忙しい,1519290,,False
情,名詞,2,1,情,情,1356210,,False
怪物,名詞,2,1,怪物,怪物,1200330,,False
子供,名詞,2,1,子供,子供,1307850,,False
姿,名詞,2,1,姿,姿,1307710,,False
奴,名詞,2,1,奴,奴,1445640,,False
全部,名詞,2,1,全部,全部,1396130,,False
元気,名詞,2,1,元気,元気,1260720,,False
乗る,動詞,2,1,乗れ,乗る,1355120,,False
中将,名詞,2,1,中将,中将,1424510,,False
女房,名詞,2,1,女房,女房,1345420,,False
少し,副詞,2,1,少し,少し,1348870,,False
小僧,名詞,2,1,小僧,小僧,1348480,,False
将軍,名詞,2,1,将軍,将軍,1347680,,False
大胆,形状詞,2,1,大胆,大胆,1414500,,False
取る,動詞,2,1,捕っ,取る,1326980,,False
国民,名詞,2,1,国民,国民,1287070,,False
助かる,動詞,2,1,助かる,助かる,1344380,,False
出る,動詞,2,1,出る,出る,1896380,,False
名,名詞,2,1,名,名,1531330,,False
みんな,名詞,2,1,みんな,皆,1202150,,False
スカ,名詞,2,1,スカ,スカ-ska,2115020,,False
今回,名詞,2,1,今回,今回,1289070,,False
お前,代名詞,2,1,お前,御前,1002290,,False
そっち,代名詞,2,1,そっち,其方,1006780,,False
すべて,名詞,2,1,すべて,全て,1595730,,False
あと,名詞,2,1,あと,後,1269320,,False
闇,名詞,1,1,闇,闇,1154910,,False
あちこち,代名詞,1,1,あちこち,彼方此方,1612620,,False
あなた,代名詞,1,1,あなた,貴方,1223615,,False
非情,名詞,1,1,非情,非情,1485030,,False
電話,名詞,1,1,電話,電話,1443840,,False
陣容,名詞,1,1,陣容,陣容,1370260,,False
近所,名詞,1,1,近所,近所,1242350,,False
返す,動詞,1,1,帰す,返す,1512130,,False
ずいぶん,副詞,1,1,ずいぶん,随分,1372800,,False
せっかく,副詞,1,1,せっかく,折角,1596090,,False
そいつ,代名詞,1,1,そいつ,其奴,1006600,,False
そう,副詞,1,1,そう,そう,2137720,,False
それ,代名詞,1,1,それ,其れ,1006970,,False
諦める,動詞,1,1,諦め,諦める,1436730,,False
訳,名詞,1,1,訳,訳,1538330,,False
許,名詞,1,1,許,キョ,1010240 | 2004390 | 2256550,,True
覚える,動詞,1,1,覚え,覚える,1206050,,False
ベッド,名詞,1,1,ベッド,ベッド-bed,1119650,,False
プライド,名詞,1,1,プライド,プライド-pride,1115390,,False
フッ,副詞,1,1,フッ,ふっ,2558020,,False
ピンポイント,名詞,1,1,ピンポイント,ピンポイント-pinpoint,1107300,,False
ヒューズ,名詞,1,1,ヒューズ,ヒューズ-Hughes,1103990,,False
バカ,名詞,1,1,バカ,馬鹿,1601260,,False
ドクター,名詞,1,1,ドクター,ドクター-doctor,1088140,,False
チクショー,名詞,1,1,チクショー,畜生,1422200,,False
チェック,名詞,1,1,チェック,チェック-check,1077550,,False
追い出す,動詞,1,1,おい出せ,追い出す,1432350,,False
迫る,動詞,1,1,迫っ,迫る,1475720,,False
部屋,名詞,1,1,部屋,部屋,1499320,,False
ジョーク,名詞,1,1,ジョーク,ジョーク-joke,1066230,,False
シン,名詞,1,1,シン,しん,1063370,,False
ゴシップ,名詞,1,1,ゴシップ,ゴシップ-gossip,1054420,,False
クリ,名詞,1,1,クリ,栗,1246880 | 2272110,,True
クラス,名詞,1,1,クラス,クラス-class,1044070,,False
クッソ,名詞,1,1,クッソ,クッソ-kousso,2834429,,False
クソ,名詞,1,1,クソ,糞,1504900,,False
ギャグ,名詞,1,1,ギャグ,ギャグ-gag,1043020,,False
キャラ,名詞,1,1,キャラ,キャラ-character,1923480,,False
候補,名詞,1,1,候補,候補,1272730,,False
