sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
こと,名詞,14,1,こと,事,1313580,,False
ここ,代名詞,11,1,ここ,此処,1288810,,False
どこ,代名詞,10,1,どこ,何処,1577140,,False
この,連体詞,9,1,この,此の,1582920,,False
行く,動詞,9,1,行きゃ,行く,1578850,,False
有る,動詞,9,1,ある,有る,1000580,,False
出口,名詞,8,1,出口,出口,1338850,,False
作る,動詞,8,1,作る,作る,1597890,,False
オレ,代名詞,8,1,オレ,俺,1576870,,False
良い,形容詞,7,1,よかっ,良い,1605870,,False
居る,動詞,7,1,いる,居る,1577980,,False
食う,動詞,6,1,食わ,食う,1592100,,False
私,代名詞,6,1,私,私-代名詞,1311110,,False
アル,名詞,6,1,アル,アル,2835284,,False
扉,名詞,6,1,扉,扉,1483380,,False
ホムンクルス,名詞,6,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
遣る,動詞,6,1,やろう,遣る,1012980,,False
リン,名詞,5,1,リン,燐,1555530,,False
一族,名詞,5,1,一族,一族,1164440,,False
成る,動詞,5,1,なれ,成る,2846738,,False
知る,動詞,5,1,知ら,知る,1420470,,False
言う,動詞,5,1,言っ,言う,1587040,,False
来る,動詞,5,1,くる,来る,1547720,,False
本物,名詞,4,1,本物,本物,1523180,,False
奴,名詞,4,1,奴,奴,1445640,,False
為る,動詞,4,1,しろ,為る,1157170,,False
有る,代名詞,4,1,あれ,彼れ,1000580,,False
子供,名詞,4,1,子供,子供,1307850,,False
分かる,動詞,4,1,分かん,分かる,1606560,,False
愉快,名詞,4,1,愉快,愉快,1538560,,False
探す,動詞,4,1,探そう,探す,1593670,,False
待つ,動詞,4,1,待っ,待つ,1410590,,False
お前,代名詞,4,1,お前,御前,1002290,,False
人柱,名詞,4,1,人柱,人柱,1368810,,False
人事,名詞,4,1,人事,人事,1367870,,False
真理,名詞,4,1,真理,真理,1364400,,False
飲む,動詞,4,1,飲ま,飲む,1169870,,False
あいつ,代名詞,4,1,あいつ,彼奴,1483160,,False
中尉,名詞,4,1,中尉,中尉,1423370,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
父親,名詞,3,1,父親,父親,1497680,,False
死ぬ,動詞,3,1,死ぬ,死ぬ,1310730,,False
そもそも,名詞,3,1,そもそも,抑,1006950,,False
こっち,代名詞,3,1,こっち,此方,1004500,,False
見る,動詞,3,1,見ろ,見る,2256270,,False
人,名詞,3,1,人,人,1580640,,False
２人,名詞,3,1,２人,二人,1582670,,False
人間,名詞,3,1,人間,人間,1366770,,False
バカ,名詞,3,1,バカ,馬鹿,1601260,,False
君,代名詞,3,1,君,君-代名詞,1247250,,False
これ,代名詞,3,1,これ,此れ,1628530,,False
さっき,名詞,3,1,さっき,さっき,1005180,,False
内乱,名詞,3,1,内乱,内乱,1459460,,False
出る,動詞,3,1,出,出る,1896380,,False
ボク,代名詞,3,1,ボク,僕-代名詞,1521400,,False
時,名詞,3,1,時,時,1315840,,False
よし,名詞,3,1,よし,良し,1394280,,False
呉れる,動詞,3,1,くれ,呉れる,1269130,,False
局,名詞,3,1,局,局,1239560,,False
火,名詞,2,1,火,火,1193610,,False
そろそろ,副詞,2,1,そろそろ,そろそろ,1345605,,False
補佐,名詞,2,1,補佐,補佐,1603460,,False
諦める,動詞,2,1,諦め,諦める,1436730,,False
さん,接尾辞,2,1,さん,さん,1005340,,False
足元,名詞,2,1,足元,足元,1586390,,False
軍,名詞,2,1,軍,軍,1247660,,False
はざま,名詞,2,1,はざま,狭間,1630250,,False
立場,名詞,2,1,立場,立場,1551710,,False
皇子,名詞,2,1,皇子,皇子,1280410,,False
どう,副詞,2,1,どう,どう,1008910,,False
ところ,名詞,2,1,ところ,所,1343100,,False
たち,接尾辞,2,1,たち,達,1416220,,False
葬儀,名詞,2,1,葬儀,葬儀,1402140,,False
自分,名詞,2,1,自分,自分,1318610,,False
空間,名詞,2,1,空間,空間,1245450,,False
見付かる,動詞,2,1,見つかる,見付かる,1604550,,False
考える,動詞,2,1,考えろ,考える,1281020,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
滅びる,動詞,2,1,滅び,滅びる,1603610,,False
その,連体詞,2,1,その,其の,1006830,,False
もう,副詞,2,1,もう,もう,1012480,,False
ヒューズ,名詞,2,1,ヒューズ,ヒューズ-Hughes,1103990,,False
テレパシー,名詞,2,1,テレパシー,テレパシー-telepathy,1080500,,False
子,名詞,2,1,子,子,1307770,,False
将校,名詞,2,1,将校,将校,1347690,,False
弱点,名詞,2,1,弱点,弱点,1324870,,False
大佐,名詞,2,1,大佐,大佐,1413740,,False
やはり,副詞,2,1,やはり,矢張り,2772770,,False
戦,接尾辞,2,1,戦,戦,1587140,,False
打ち殺す,動詞,2,1,撃ち殺し,打ち殺す,1113360,,False
手,名詞,2,1,手,手,1327190,,False
得る,動詞,2,1,得ん,得る,1454500,,False
尽きる,動詞,2,1,尽き,尽きる,1370070,,False
場所,名詞,2,1,場所,場所,1355850,,False
国,接尾辞,2,1,国,国,1592250,,False
国,名詞,2,1,国,国,1592250,,False
化ける,動詞,2,1,化け,化ける,1186710,,False
力,名詞,2,1,力,力,1554820,,False
マスタング,名詞,2,1,マスタング,ムスタング-mustang,1132350,,False
壁,名詞,2,1,壁,壁,1509290,,False
先,名詞,2,1,先,先,1387210,,False
中央,名詞,2,1,中央,中央,1423430,,False
准将,名詞,2,1,准将,准将,1341330,,False
付き,接尾辞,2,1,付き,付き,1583630,,False
乗り越える,動詞,2,1,乗り越え,乗り越える,1354770,,False
違う,動詞,2,1,違う,違う,1158880,,False
こいつ,代名詞,2,1,こいつ,此奴,1579070,,False
おめえ,代名詞,2,1,おめえ,御前,2848635,,False
あなた,代名詞,2,1,あなた,貴方,1223615,,False
あんな,形状詞,1,1,あんな,あんな,1000590,,False
あがき,名詞,1,1,あがき,足掻き,2015800,,False
あそこ,代名詞,1,1,あそこ,彼処,1000320,,False
鋼,接尾辞,1,1,鋼,鋼,1282680,,False
鉄拳,名詞,1,1,鉄拳,鉄拳,5538907,,False
鉄分,名詞,1,1,鉄分,鉄分,1438000,,False
野良犬,名詞,1,1,野良犬,野良犬,1537670,,False
野良,名詞,1,1,野良,野良,1537660,,False
豆粒,名詞,1,1,豆粒,豆粒,1692230,,False
貴様,代名詞,1,1,貴様,貴様,1223620,,False
こんな,形状詞,1,1,こんな,こんな,1004880,,False
ごめん,名詞,1,1,ごめん,御免,1270670,,False
じつ,名詞,1,1,じつ,実,1320800,,False
ずっと,副詞,1,1,ずっと,ずっと,1006380,,False
せめて,副詞,1,1,せめて,せめて,1006570,,False
そいつ,代名詞,1,1,そいつ,其奴,1006600,,False
そう,副詞,1,1,そう,そう,1006610,,False
そっち,代名詞,1,1,そっち,其方,1006780,,False
軽蔑,名詞,1,1,軽蔑,軽蔑,1252860,,False
辿り着く,動詞,1,1,たどり着く,辿り着く,1416680,,False
返事,名詞,1,1,返事,返事,1512220,,False
追い遣る,動詞,1,1,追いやっ,追い遣る,1432310,,False
過ぎる,動詞,1,1,すぎる,過ぎる,1195970,,False
質量,名詞,1,1,質量,質量,1320790,,False
信ずる,動詞,1,1,信じ,信ずる,1359070,,False
信用,名詞,1,1,信用,信用,1359620,,False
修行,名詞,1,1,修行,修行,2650010,,False
候補,名詞,1,1,候補,候補,1272730,,False
不足,名詞,1,1,不足,不足,1493700,,False
両親,名詞,1,1,両親,両親,1602710,,False
中,名詞,1,1,中,中,1423310,,False
人,接尾辞,1,1,人,人,1580640,,False
