sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
人間,名詞,14,1,人間,人間,1366770,,False
この,連体詞,12,1,この,此の,1582920,,False
オレ,代名詞,10,1,オレ,俺,1576870,,False
錬成,名詞,9,1,錬成,錬成,1559980,,False
居る,動詞,9,1,いる,居る,1577980,,False
為る,動詞,8,1,する,為る,1157170,,False
有る,動詞,8,1,ある,有る,1000580,,False
扉,名詞,8,1,扉,扉,1483380,,False
魂,名詞,8,1,魂,魂,1579170,,False
国,名詞,7,1,国,国,1592250,,False
成る,動詞,6,1,なっ,成る,2846738,,False
君,代名詞,6,1,君,君-代名詞,1247250,,False
肉体,名詞,5,1,肉体,肉体,1463650,,False
体,名詞,5,1,体,体,1409150,,False
来る,動詞,5,1,こー,来る,1547720,,False
存在,名詞,5,1,存在,存在,1406150,,False
出る,動詞,5,1,出,出る,1896380,,False
こと,名詞,5,1,こと,事,1313580,,False
ホムンクルス,名詞,5,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
神,名詞,4,1,神,神,1364440,,False
使う,動詞,4,1,使っ,使う,1305990,,False
精神,名詞,4,1,精神,精神,1379950,,False
これ,代名詞,4,1,これ,此れ,1628530,,False
こんな,連体詞,4,1,こんな,こんな,1004880,,False
生きる,動詞,4,1,生き,生きる,1378520,,False
待つ,動詞,4,1,待て,待つ,1410590,,False
壁画,名詞,4,1,壁画,壁画,1509310,,False
石,名詞,3,1,石,石,1382440,,False
こっち,代名詞,3,1,こっち,此方,1004500,,False
開ける,動詞,3,1,開け,開ける,1202450,,False
自分,名詞,3,1,自分,自分,1318610,,False
行く,動詞,3,1,いく,行く,1578850,,False
ため,名詞,3,1,ため,為,1157080,,False
どう,副詞,3,1,どう,どう,1008910,,False
表わす,動詞,3,1,表す,表わす,1263490,,False
鎧,名詞,3,1,鎧,鎧,1204740,,False
知る,動詞,3,1,知っ,知る,1420470,,False
感情,名詞,3,1,感情,感情,1212410,,False
国民,名詞,3,1,国民,国民,1287070,,False
持つ,動詞,3,1,持っ,持つ,1315720,,False
止める,動詞,3,1,やめろ,止める,1310680,,False
殺す,動詞,3,1,殺し,殺す,1299030,,False
みんな,名詞,3,1,みんな,皆,1202150,,False
人体,名詞,3,1,人体,人体,1368670,,False
人,名詞,3,1,人,人,1580640,,False
一部,名詞,3,1,一部,一部,1166180,,False
リン,名詞,3,1,リン,燐,1555530,,False
違う,動詞,3,1,違う,違う,1158880,,False
その,連体詞,3,1,その,其の,1006830,,False
すべて,名詞,3,1,すべて,全て,1595730,,False
陣,名詞,3,1,陣,陣,1956490,,False
お前,代名詞,3,1,お前,御前,1002290,,False
遺跡,名詞,2,1,遺跡,遺跡,1159380,,False
思う,動詞,2,1,思っ,思う,1589350,,False
プライド,名詞,2,1,プライド,プライド-pride,1115390,,False
フッ,副詞,2,1,フッ,ふっ,2558020,,False
キメラ,名詞,2,1,キメラ,キメラ-chimera,1041310,,False
オーライ,名詞,2,1,オーライ,オーライ-all right,1033390,,False
エネルギー,名詞,2,1,エネルギー,エネルギー-energy,1029430,,False
デ,名詞,2,1,デ,デ-des,2854413,,False
遣る,動詞,2,1,やろう,遣る,1012980,,False
