sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
この,連体詞,11,1,この,此の,1582920,,False
オレ,代名詞,11,1,オレ,俺,1576870,,False
奴,名詞,11,1,奴,奴,1445640,,False
お前,代名詞,10,1,お前,御前,1002290,,False
リン,名詞,10,1,リン,燐,1555530,,False
人間,名詞,9,1,人間,人間,1366770,,False
為る,動詞,9,1,さ,為る,1157170,,False
リード,名詞,9,1,リード,リード-lead,1140710,,False
こと,名詞,9,1,こと,事,1313580,,False
言う,動詞,8,1,言っ,言う,1587040,,False
男,名詞,8,1,男,男,1419990,,False
どこ,代名詞,7,1,どこ,何処,1577140,,False
居る,動詞,7,1,いる,居る,1577980,,False
遣る,動詞,7,1,やる,遣る,1012980,,False
有る,代名詞,6,1,あれ,彼れ,1000580,,False
使う,動詞,6,1,使え,使う,1305990,,False
体,名詞,6,1,体,体,1409140,,False
呉れる,動詞,6,1,くれ,呉れる,1269130,,False
逃げる,動詞,5,1,逃げる,逃げる,1450330,,False
発動,名詞,5,1,発動,発動,1477780,,False
行く,動詞,5,1,いけ,行く,1578850,,False
何,代名詞,5,1,何,何,1577100,,False
思う,動詞,5,1,思う,思う,1589350,,False
あいつ,代名詞,4,1,あいつ,彼奴,1483160,,False
貰う,動詞,4,1,もらっ,貰う,1535910,,False
術,名詞,4,1,術,術,1340780,,False
アル,名詞,4,1,アル,アル,2835284,,False
てめえ,代名詞,4,1,てめえ,てまえ,2076920,,False
言う,形容詞,4,1,いい,良い,1605820,,False
スカ,名詞,4,1,スカ,スカ-ska,2115020,,False
傷,名詞,4,1,傷,傷,1580260,,False
力,名詞,4,1,力,力,1554820,,False
たち,接尾辞,4,1,たち,達,1416220,,False
お,接頭辞,4,1,お,御,2826528,,False
ホムンクルス,名詞,4,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
その,連体詞,4,1,その,其の,1006830,,False
今,名詞,4,1,今,今,1288850,,False
ここ,代名詞,4,1,ここ,此処,1288810,,False
様,接尾辞,4,1,様,様,1545790,,False
なぜ,副詞,4,1,なぜ,何故,1577120,,False
話,名詞,3,1,話,話,1600900,,False
メイ,名詞,3,1,メイ,メイ-May,2188120,,False
待つ,動詞,3,1,待て,待つ,1410590,,False
イヤ,形状詞,3,1,イヤ,嫌,1587610,,False
良い,形容詞,3,1,よかっ,良い,1605870,,False
人,名詞,3,1,人,人,1580640,,False
気,名詞,3,1,気,気,1221520,,False
死ぬ,動詞,3,1,死ぬ,死ぬ,1310730,,False
