sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
こと,名詞,19,1,こと,事,1313580,,False
居る,動詞,18,1,いる,居る,1577980,,False
為る,動詞,16,1,しろ,為る,1157170,,False
オレ,代名詞,14,1,オレ,俺,1576870,,False
私,代名詞,12,1,私,私-代名詞,1311110,,False
たち,接尾辞,10,1,たち,達,1416220,,False
有る,動詞,10,1,ある,有る,1000580,,False
この,連体詞,9,1,この,此の,1582920,,False
若,名詞,9,1,若,ワカ,2193250,,False
軍,名詞,9,1,軍,軍,1247660,,False
来る,動詞,8,1,来,来る,1547720,,False
成る,動詞,8,1,なっ,成る,2846738,,False
大佐,名詞,8,1,大佐,大佐,1413740,,False
国,名詞,7,1,国,国,1592250,,False
体,名詞,7,1,体,体,1409140,,False
呉れる,動詞,7,1,くれ,呉れる,1269130,,False
中尉,名詞,7,1,中尉,中尉,1423370,,False
言う,動詞,7,1,言わ,言う,1587040,,False
使う,動詞,6,1,使え,使う,1305990,,False
今,名詞,6,1,今,今,1288850,,False
君,代名詞,6,1,君,君-代名詞,1247250,,False
逃げる,動詞,5,1,逃げ,逃げる,1450330,,False
どこ,代名詞,5,1,どこ,何処,1577140,,False
まだ,副詞,5,1,まだ,未だ,1527110,,False
大丈夫,形状詞,5,1,大丈夫,大丈夫,1414150,,False
女,名詞,5,1,女,女,1344930,,False
すべて,名詞,5,1,すべて,全て,1595730,,False
人,名詞,5,1,人,人,1580640,,False
止める,動詞,5,1,辞める,止める,1310680,,False
お前,代名詞,5,1,お前,御前,1002290,,False
戦う,動詞,5,1,戦う,戦う,1596960,,False
思う,動詞,4,1,思え,思う,1589350,,False
国家,名詞,4,1,国家,国家,1286170,,False
これ,代名詞,4,1,これ,此れ,1628530,,False
話,名詞,4,1,話,話,1600900,,False
もの,名詞,4,1,もの,物,1502390,,False
頼む,動詞,4,1,頼ま,頼む,1548370,,False
宜しい,形容詞,4,1,よろしい,宜しい,1224880,,False
リード,名詞,4,1,リード,リード-lead,1140710,,False
時,名詞,4,1,時,時,1315840,,False
ホムンクルス,名詞,4,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
ボク,代名詞,4,1,ボク,僕-代名詞,1521400,,False
知る,動詞,4,1,知ら,知る,1420470,,False
良い,形容詞,4,1,いい,良い,1605870,,False
そう,副詞,4,1,そう,そう,2137720,,False
機械,名詞,3,1,機械,機械,1220810,,False
貴様,代名詞,3,1,貴様,貴様,1223620,,False
ここ,代名詞,3,1,ここ,此処,1288810,,False
殺す,動詞,3,1,殺し,殺す,1299030,,False
メイル,名詞,3,1,メイル,メール-mail,1132620,,False
我輩,代名詞,3,1,我輩,我が輩,1606640,,False
化け物,名詞,3,1,化け物,化け物,1601300,,False
あんた,代名詞,3,1,あんた,貴方,1979920,,False
人間,名詞,3,1,人間,人間,1366770,,False
鎧,名詞,3,1,鎧,鎧,1204740,,False
間違う,動詞,3,1,間違っ,間違う,1611610,,False
寝る,動詞,3,1,寝りゃ,寝る,1360010,,False
出来る,動詞,3,1,でき,出来る,1340450,,False
傷,名詞,3,1,傷,傷,1580260,,False
多く,名詞,3,1,多く,多く,1861770,,False
なぜ,副詞,3,1,なぜ,何故,1577120,,False
もう,副詞,3,1,もう,もう,1012480,,False
余計,形状詞,3,1,余計,余計,1544090,,False
メイ,名詞,3,1,メイ,メイ-May,2188120,,False
病人,名詞,3,1,病人,病人,1490360,,False
男,名詞,3,1,男,男,1419990,,False
戻る,動詞,3,1,戻る,戻る,1535880,,False
事情,名詞,3,1,事情,事情,1314010,,False
手,名詞,3,1,手,手,1327190,,False
チャン,名詞,3,1,チャン,チャン-channel,1585770 | 2249290,,True
神,名詞,3,1,神,神,1364440,,False
ケガ,名詞,3,1,ケガ,怪我,1200220,,False
聞く,動詞,3,1,聞い,聞く,1591110,,False
自分,名詞,3,1,自分,自分,1318610,,False
どう,副詞,3,1,どう,どう,1008910,,False
オート,名詞,3,1,オート,オート-auto,1031910,,False
奴,名詞,3,1,奴,奴,1445640,,False
何,代名詞,3,1,何,何,1577100,,False
待つ,動詞,3,1,待ち,待つ,1410590,,False
術師,名詞,3,1,術師,術師,2141120,,False
自ら,名詞,3,1,自ら,自ら,1317340,,False
術,名詞,2,1,術,術,1340780,,False
違う,動詞,2,1,違い,違う,1158880,,False
調子,名詞,2,1,調子,調子,1429170,,False
豆,名詞,2,1,豆,豆,1450030,,False
遣る,動詞,2,1,やっ,遣る,1012980,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
こいつ,代名詞,2,1,こいつ,此奴,1579070,,False
あと,名詞,2,1,あと,後,1269320,,False
あれ,代名詞,2,1,あれ,彼れ,1000580,,False
ったく,副詞,2,1,ったく,全く,2122580,,False
ちょっと,副詞,2,1,ちょっと,一寸,1163940,,False
貰う,動詞,2,1,もらっ,貰う,1535910,,False
てめえ,代名詞,2,1,てめえ,てまえ,2076920,,False
血,名詞,2,1,血,血,1255060,,False
日,名詞,2,1,日,日,1463770,,False
早い,形容詞,2,1,早く,早い,1404975,,False
必要,名詞,2,1,必要,必要,1487660,,False
下さる,動詞,2,1,ください,下さる,1184280,,False
技師,名詞,2,1,技師,技師,1225110,,False
捨てる,動詞,2,1,捨てる,捨てる,1322320,,False
旅,名詞,2,1,旅,旅,1553120,,False
王,名詞,2,1,王,王,1629200,,False
犬,名詞,2,1,犬,犬,1258330,,False
片付ける,動詞,2,1,片づけ,片付ける,1511790,,False
アル,名詞,2,1,アル,アル,2835284,,False
戦う,名詞,2,1,戦い,戦い,1596950,,False
わけ,名詞,2,1,わけ,訳,1538330,,False
フッ,副詞,2,1,フッ,ふっ,2558020,,False
民,名詞,2,1,民,民,1528570,,False
皆,名詞,2,1,皆,皆,1202150,,False
置く,動詞,2,1,置い,置く,1421850,,False
スカ,名詞,2,1,スカ,スカ-ska,2115020,,False
紹介,名詞,2,1,紹介,紹介,1351430,,False
第,接頭辞,2,1,第,第,1415260,,False
立つ,動詞,2,1,立っ,立つ,1597040,,False
見える,動詞,2,1,見える,見える,1259140,,False
自体,名詞,2,1,自体,自体,1318250,,False
シン,名詞,2,1,シン,しん,1063370,,False
皇子,名詞,2,1,皇子,御子,1280410,,False
渡す,動詞,2,1,渡し,渡す,1444610,,False
無事,形状詞,2,1,無事,無事,1530030,,False
ら,接尾辞,2,1,ら,等,2067770,,False
人,接尾辞,2,1,人,人,1580640,,False
悪い,形容詞,2,1,悪い,悪い,1151260,,False
今日,名詞,2,1,今日,今日,1579110,,False
信ずる,動詞,2,1,信じ,信ずる,1359070,,False
何者,名詞,2,1,何者,何者,1188980,,False
大人しい,形容詞,2,1,おとなしく,大人しい,1414190,,False
協力,名詞,2,1,協力,協力,1591720,,False
嘗める,動詞,2,1,ナメる,嘗める,1571320,,False
付ける,動詞,2,1,つけ,付ける,1495770,,False
地下,名詞,2,1,地下,地下,1420840,,False
他,名詞,2,1,他,他,1203260,,False
少佐,名詞,2,1,少佐,少佐,1349000,,False
家族,名詞,2,1,家族,家族,1192150,,False
医者,名詞,2,1,医者,医者,1159980,,False
元,名詞,2,1,元,元,2219590,,False
剣,名詞,2,1,剣,剣,1256750,,False
分かる,動詞,2,1,分かり,分かる,1606560,,False
受け入れる,動詞,2,1,受け入れ,受け入れる,1329670,,False
人柱,名詞,2,1,人柱,人柱,1368810,,False
出す,動詞,2,1,出さ,出す,1338180,,False
入れる,動詞,2,1,入れ,入れる,1465610,,False
入る,動詞,2,1,入ん,入る,1465590,,False
先生,名詞,2,1,先生,先生,1387990,,False
ごめん,名詞,2,1,ごめん,御免,1270670,,False
さらに,副詞,2,1,さらに,更に,1279310,,False
こんな,連体詞,2,1,こんな,こんな,1004880,,False
ご,接頭辞,2,1,ご,御,1270190,,False
電話,名詞,2,1,電話,電話,1443840,,False
しばらく,副詞,2,1,しばらく,暫く,1304420,,False
野望,名詞,2,1,野望,野望,1537650,,False
選ぶ,動詞,2,1,選ん,選ぶ,1588730,,False
野郎,名詞,2,1,野郎,野郎,1537700,,False
閣下,名詞,2,1,閣下,閣下,1206280,,False
隙,名詞,2,1,隙,隙,1253780,,False
いろいろ,副詞,2,1,いろいろ,色々,1587850,,False
１人,名詞,1,1,１人,一人,1576150,,False
いかが,形状詞,1,1,いかが,如何,2845606,,False
いきなり,副詞,1,1,いきなり,行成,1006970,,False
うち,名詞,1,1,うち,内,1191740,,False
降る,動詞,1,1,降る,降る,1282790,,False
関係,名詞,1,1,関係,関係,1215810,,False
間,名詞,1,1,間,間,1215230,,False
金,名詞,1,1,金,金,1242600,,False
部屋,名詞,1,1,部屋,部屋,1499320,,False
