sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
こと,名詞,16,1,こと,事,1313580,,False
この,連体詞,15,1,この,此の,1582920,,False
私,代名詞,14,1,私,私-代名詞,1311110,,False
成る,動詞,12,1,なっ,成る,2846738,,False
為る,動詞,10,1,する,為る,1157170,,False
居る,動詞,10,1,いる,居る,1577980,,False
守る,動詞,10,1,守る,守る,1327120,,False
その,連体詞,8,1,その,其の,1006830,,False
殺す,動詞,8,1,殺し,殺す,1299030,,False
それ,代名詞,6,1,それ,其れ,1006970,,False
死ぬ,動詞,6,1,死ぬ,死ぬ,1310730,,False
国民,名詞,5,1,国民,国民,1287070,,False
良い,形容詞,5,1,いい,良い,1605870,,False
思う,動詞,5,1,思っ,思う,1589350,,False
師匠,名詞,5,1,師匠,師匠,1308900,,False
国,名詞,5,1,国,国,1592250,,False
命,名詞,5,1,命,命,1531940,,False
人,名詞,5,1,人,人,1580640,,False
オレ,代名詞,5,1,オレ,俺,1576870,,False
行く,動詞,5,1,行く,行く,1578850,,False
お前,代名詞,5,1,お前,御前,1002290,,False
せんせい,名詞,5,1,せんせい,先生,1387990,,False
軍人,名詞,5,1,軍人,軍人,1248540,,False
１人,名詞,4,1,１人,一人,1576150,,False
未来,名詞,4,1,未来,未来,1528060,,False
目,名詞,4,1,目,目,1604890,,False
人,接尾辞,4,1,人,人,1580640,,False
打つ,動詞,4,1,撃っ,打つ,1408810,,False
出来る,動詞,4,1,でき,出来る,1340450,,False
君,代名詞,4,1,君,君-代名詞,1247250,,False
道,名詞,4,1,道,道,1454080,,False
呉れる,動詞,4,1,くれ,呉れる,1269130,,False
忘れる,動詞,4,1,忘れる,忘れる,1519210,,False
なぜ,副詞,4,1,なぜ,何故,1577120,,False
ダメ,名詞,4,1,ダメ,駄目,1409110,,False
理由,名詞,4,1,理由,理由,1550140,,False
来る,動詞,4,1,くる,来る,1547720,,False
男,名詞,4,1,男,男,1419990,,False
血,名詞,4,1,血,血,1255060,,False
結局,名詞,4,1,結局,結局,1254730,,False
者,名詞,4,1,者,者,2153760,,False
そんな,連体詞,4,1,そんな,そんな,1007130,,False
国家,名詞,4,1,国家,国家,1286170,,False
人間,名詞,4,1,人間,人間,1366770,,False
仕事,名詞,4,1,仕事,仕事,1304970,,False
すべて,名詞,3,1,すべて,全て,1595730,,False
あなた,代名詞,3,1,あなた,貴方,1223615,,False
戦場,名詞,3,1,戦場,戦場,1390320,,False
戻る,動詞,3,1,戻る,戻る,1535880,,False
戦い,名詞,3,1,戦い,戦い,1596950,,False
兵士,名詞,3,1,兵士,兵士,1506420,,False
音,名詞,3,1,音,音,1576900,,False
内乱,名詞,3,1,内乱,内乱,1459460,,False
夢,名詞,3,1,夢,夢,1529410,,False
体,名詞,3,1,体,体,1409140,,False
教える,動詞,3,1,教え,教える,1236900,,False
軍,名詞,3,1,軍,軍,1247660,,False
貴様,代名詞,3,1,貴様,貴様,1223620,,False
敵,名詞,3,1,敵,敵,1577915,,False
人々,名詞,3,1,人々,人々,1580650,,False
生きる,動詞,3,1,生き,生きる,1378520,,False
下さる,動詞,3,1,ください,下さる,1184280,,False
死,名詞,3,1,死,死,1310720,,False
時,名詞,3,1,時,時,1315840,,False
有る,動詞,3,1,ある,有る,1000580,,False
殲滅,名詞,3,1,殲滅,殲滅,1568490,,False
もの,名詞,3,1,もの,物,1502390,,False
神,名詞,3,1,神,神,1364440,,False
砂,名詞,3,1,砂,砂,1291500,,False
みんな,名詞,3,1,みんな,皆,1202150,,False
見る,動詞,3,1,見,見る,2256270,,False
話,名詞,3,1,話,話,1600900,,False
人殺し,名詞,3,1,人殺し,人殺し,1367790,,False
少佐,名詞,3,1,少佐,少佐,1349000,,False
研究,名詞,3,1,研究,研究,1258520,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
まさに,副詞,2,1,まさに,正に,1376640,,False
貰う,動詞,2,1,もらおう,貰う,1535910,,False
資格,名詞,2,1,資格,資格,1312690,,False
軍事,名詞,2,1,軍事,軍事,1248080,,False
話す,動詞,2,1,話し,話す,1562350,,False
あれ,代名詞,2,1,あれ,彼れ,1000580,,False
お,接頭辞,2,1,お,御,2826528,,False
鎧,名詞,2,1,鎧,鎧,1204740,,False
うみ,名詞,2,1,うみ,海,1201190,,False
長い,形容詞,2,1,長,長い,1429750,,False
過ぎる,動詞,2,1,すぎる,過ぎる,1195970,,False
返る,動詞,2,1,帰っ,返る,1512150,,False
ずっと,副詞,2,1,ずっと,ずっと,1006380,,False
ゴミ,名詞,2,1,ゴミ,塵,1369900,,False
新しい,形容詞,2,1,新しく,新しい,1361490,,False
早い,形容詞,2,1,早い,早い,1404975,,False
明日,名詞,2,1,明日,明日,1584660,,False
昔,名詞,2,1,昔,昔,1382370,,False
残り,名詞,2,1,残り,残り,1304480,,False
ヒューズ,名詞,2,1,ヒューズ,ヒューズ-Hughes,1103990,,False
止める,動詞,2,1,やめ,止める,1310680,,False
グレイ,名詞,2,1,グレイ,グレー-Grey,1047480,,False
無い,形容詞,2,1,なく,無い,1529520,,False
ウィン,名詞,2,1,ウィン,ウィン-win,2859577,,False
泣く,動詞,2,1,泣い,泣く,1229840,,False
渡る,動詞,2,1,わたっ,渡る,1444680,,False
下る,動詞,2,1,下る,下る,1184450,,False
下,名詞,2,1,下,下,1184140,,False
マスタング,名詞,2,1,マスタング,ムスタング-mustang,1132350,,False
ホムンクルス,名詞,2,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
イヤ,形状詞,2,1,イヤ,嫌,1587610,,False
