sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
こと,名詞,11,1,こと,事,1313580,,False
オレ,代名詞,11,1,オレ,俺,1576870,,False
成る,動詞,9,1,なり,成る,2846738,,False
大佐,名詞,8,1,大佐,大佐,1413740,,False
まだ,副詞,8,1,まだ,未だ,1527110,,False
男,名詞,8,1,男,男,1419990,,False
下さる,動詞,7,1,ください,下さる,1184280,,False
傷,名詞,7,1,傷,傷,1580260,,False
居る,動詞,7,1,いる,居る,1577980,,False
呉れる,動詞,7,1,くれ,呉れる,1269130,,False
スカ,名詞,7,1,スカ,スカ-ska,2115020,,False
返す,動詞,7,1,返し,返す,1512130,,False
この,連体詞,6,1,この,此の,1582920,,False
ブリー,名詞,6,1,ブリー,ブリー-bully,2445150,,False
為る,動詞,6,1,する,為る,1157170,,False
遣る,動詞,6,1,やる,遣る,1012980,,False
止める,動詞,5,1,やめろ,止める,1310680,,False
置く,動詞,5,1,おく,置く,1421850,,False
分かる,動詞,5,1,分かっ,分かる,1606560,,False
何,代名詞,5,1,何,何,1577100,,False
中尉,名詞,5,1,中尉,中尉,1423370,,False
知る,動詞,5,1,知っ,知る,1420470,,False
セントラル,名詞,5,1,セントラル,セントラル-central,2003220,,False
医者,名詞,5,1,医者,医者,1159980,,False
中央,名詞,5,1,中央,中央,1423430,,False
使う,動詞,5,1,使え,使う,1305990,,False
聞く,動詞,4,1,聞い,聞く,1591110,,False
もう,副詞,4,1,もう,もう,1012480,,False
来る,動詞,4,1,来,来る,1547720,,False
有る,動詞,4,1,ある,有る,1000580,,False
私,代名詞,4,1,私,私-代名詞,1311110,,False
お,接頭辞,4,1,お,御,2826528,,False
出る,動詞,4,1,出,出る,1896380,,False
借りる,動詞,4,1,借り,借りる,1323560,,False
元気,名詞,4,1,元気,元気,1260720,,False
教える,動詞,4,1,教える,教える,1236900,,False
仕事,名詞,4,1,仕事,仕事,1304970,,False
戻る,動詞,4,1,戻れ,戻る,1535880,,False
曹長,名詞,3,1,曹長,曹長,1400380,,False
コーヒー,名詞,3,1,コーヒー,コーヒー-coffee,1049180,,False
殲滅,名詞,3,1,殲滅,殲滅,1568490,,False
みんな,名詞,3,1,みんな,皆,1202150,,False
目的,名詞,3,1,目的,目的,1535560,,False
石,名詞,3,1,石,石,1382440,,False
たち,接尾辞,3,1,たち,達,1416220,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
お前,代名詞,3,1,お前,御前,1002290,,False
貴様,代名詞,3,1,貴様,貴様,1223620,,False
約束,名詞,3,1,約束,約束,1538130,,False
飲む,動詞,3,1,飲む,飲む,1169870,,False
