sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
行く,動詞,11,1,行く,行く,1578850,,False
言う,動詞,10,1,いえ,言う,1587040,,False
北,名詞,10,1,北,北,1520670,,False
為る,動詞,8,1,する,為る,1157170,,False
こと,名詞,8,1,こと,事,1313580,,False
中央,名詞,7,1,中央,中央,1423430,,False
お,接頭辞,7,1,お,御,2826528,,False
良い,形容詞,6,1,いい,良い,1605870,,False
さん,接尾辞,6,1,さん,さん,1005340,,False
セントラル,名詞,6,1,セントラル,セントラル-central,2003220,,False
シティ,名詞,6,1,シティ,シティー-city,1060700,,False
居る,動詞,6,1,いる,居る,1577980,,False
子,名詞,6,1,子,子,1307770,,False
成る,動詞,6,1,なる,成る,2846738,,False
男,名詞,5,1,男,男,1419990,,False
シン,名詞,5,1,シン,しん,1063370,,False
人,名詞,5,1,人,人,1580640,,False
どこ,代名詞,5,1,どこ,何処,1577140,,False
わし,代名詞,5,1,わし,わし,2015370,,False
もう,副詞,5,1,もう,もう,1012480,,False
見る,動詞,5,1,見る,見る,2256270,,False
軍,名詞,5,1,軍,軍,1247660,,False
聞く,動詞,4,1,聞か,聞く,1591110,,False
まあ,副詞,4,1,まあ,まあ,1012050,,False
私,代名詞,4,1,私,私-代名詞,1311110,,False
この,連体詞,4,1,この,此の,1582920,,False
スカ,名詞,4,1,スカ,スカ-ska,2115020,,False
出来る,動詞,4,1,でき,出来る,1340450,,False
逃げる,動詞,4,1,逃げ,逃げる,1450330,,False
分かる,動詞,4,1,分かっ,分かる,1606560,,False
傷,名詞,4,1,傷,傷,1580260,,False
イースト,名詞,4,1,イースト,イースト-east,1020910,,False
東方,名詞,4,1,東方,東方,1448120,,False
オレ,代名詞,3,1,オレ,俺,1576870,,False
使う,動詞,3,1,使っ,使う,1305990,,False
兄弟,名詞,3,1,兄弟,兄弟,1249960,,False
呉れる,動詞,3,1,くれ,呉れる,1269130,,False
仕事,名詞,3,1,仕事,仕事,1304970,,False
不死,名詞,3,1,不死,不死,1492590,,False
国家,名詞,3,1,国家,国家,1286170,,False
君,接尾辞,3,1,君,君,1247260,,False
オール,名詞,3,1,オール,オール-all,2856153,,False
まだ,副詞,3,1,まだ,未だ,1527110,,False
