sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
こと,名詞,18,1,こと,事,1313580,,False
居る,動詞,18,1,いる,居る,1577980,,False
私,代名詞,12,1,私,私-代名詞,1311110,,False
この,連体詞,10,1,この,此の,1582920,,False
貴様,代名詞,10,1,貴様,貴様,1223620,,False
聞く,動詞,10,1,聞か,聞く,1591110,,False
遣る,動詞,8,1,やっ,遣る,1012980,,False
来る,動詞,8,1,来る,来る,1547720,,False
たち,接尾辞,8,1,たち,達,1416220,,False
有る,動詞,8,1,ある,有る,1000580,,False
言う,動詞,8,1,いう,言う,1587040,,False
鎧,名詞,8,1,鎧,鎧,1204740,,False
ここ,代名詞,7,1,ここ,此処,1288810,,False
なぜ,副詞,7,1,なぜ,何故,1577120,,False
オレ,代名詞,7,1,オレ,俺,1576870,,False
人,接尾辞,7,1,人,人,1366410,,False
メイル,名詞,7,1,メイル,メール-mail,1132620,,False
オート,名詞,7,1,オート,オート-auto,1031910,,False
機械,名詞,7,1,機械,機械,1220810,,False
少将,名詞,6,1,少将,少将,1349040,,False
呉れる,動詞,6,1,くれる,呉れる,1269130,,False
為る,動詞,6,1,する,為る,1157170,,False
知る,動詞,6,1,知ら,知る,1420470,,False
者,名詞,6,1,者,者,1322990,,False
話,名詞,6,1,話,話,1600900,,False
話す,動詞,5,1,話し,話す,1562350,,False
答える,動詞,5,1,答え,答える,1449540,,False
技術,名詞,5,1,技術,技術,1225130,,False
持つ,動詞,5,1,持っ,持つ,1315720,,False
成る,動詞,5,1,なる,成る,2846738,,False
奴,名詞,5,1,奴,奴,1445640,,False
人,名詞,5,1,人,人,1366410,,False
ドラクマ,名詞,5,1,ドラクマ,ドラクマ-drakhma,2483700,,False
開発,名詞,5,1,開発,開発,1202880,,False
違う,動詞,5,1,違う,違う,1158880,,False
こんな,連体詞,4,1,こんな,こんな,1004880,,False
血,名詞,4,1,血,血,1255060,,False
要塞,名詞,4,1,要塞,要塞,1546760,,False
軍,名詞,4,1,軍,軍,1247660,,False
ら,接尾辞,4,1,ら,等,2067770,,False
民族,名詞,4,1,民族,民族,1604740,,False
ホムンクルス,名詞,4,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
国,名詞,4,1,国,国,1592250,,False
北,名詞,4,1,北,北,1520670,,False
あれ,代名詞,4,1,あれ,彼れ,1000580,,False
地,名詞,4,1,地,地,1420730,,False
分かる,動詞,4,1,分かっ,分かる,1606560,,False
何,代名詞,4,1,何,何,1577100,,False
仕事,名詞,4,1,仕事,仕事,1304970,,False
体,名詞,4,1,体,体,1409140,,False
掘る,動詞,4,1,掘っ,掘る,1246690,,False
中,名詞,4,1,中,中,1423310,,False
目,名詞,3,1,目,目,1604890,,False
もの,名詞,3,1,もの,物,1502390,,False
行く,動詞,3,1,いこう,行く,1578850,,False
親しい,形容詞,3,1,親しく,親しい,1365050,,False
ちょっと,副詞,3,1,ちょっと,一寸,1163940,,False
打つ,動詞,3,1,撃て,打つ,1408810,,False
我々,代名詞,3,1,我々,我々-代名詞,1607050,,False
ところ,名詞,3,1,ところ,所,1343100,,False
層,名詞,3,1,層,層,1399540,,False
地下,名詞,3,1,地下,地下,1420840,,False
思う,動詞,3,1,思っ,思う,1589350,,False
強い,形容詞,3,1,強い,強い,1236070,,False
君,代名詞,3,1,君,君-代名詞,1247250,,False
さっさと,副詞,3,1,さっさと,さっさと,1005190,,False
出る,動詞,3,1,出,出る,1896380,,False
力,名詞,3,1,力,力,1554820,,False
多い,形容詞,3,1,多い,多い,1407460,,False
娘,名詞,3,1,娘,娘,1531190,,False
少佐,名詞,3,1,少佐,少佐,1349000,,False
多分,副詞,3,1,多分,多分,1407980,,False
ボス,名詞,3,1,ボス,ボス-boss,1123840,,False
ボク,代名詞,3,1,ボク,僕-代名詞,1521400,,False
気,名詞,3,1,気,気,1221520,,False
まあ,副詞,3,1,まあ,まあ,1012050,,False
その,連体詞,3,1,その,其の,1006830,,False
密偵,名詞,3,1,密偵,密偵,1641760,,False
良い,形容詞,3,1,いい,良い,1605870,,False
殺す,動詞,3,1,殺し,殺す,1299030,,False
死ぬ,動詞,3,1,死に,死ぬ,1310730,,False
これ,代名詞,3,1,これ,此れ,1628530,,False
落とし,名詞,2,1,落とし,落とし,2512880,,False
装填,名詞,2,1,装填,装填,1402390,,False
見る,動詞,2,1,見る,見る,2256270,,False
補佐,名詞,2,1,補佐,補佐,1603460,,False
赤,名詞,2,1,赤,赤,2013900,,False
どこ,代名詞,2,1,どこ,何処,1577140,,False
フッ,副詞,2,1,フッ,ふっ,2558020,,False
温かい,形容詞,2,1,あったけえ,温かい,1586420,,False
歩く,動詞,2,1,歩い,歩く,1514320,,False
攻撃,名詞,2,1,攻撃,攻撃,1279170,,False
無知,名詞,2,1,無知,無知,1530630,,False
チッ,副詞,2,1,チッ,ちっ,1077410,,False
毛,名詞,2,1,毛,毛,1533820,,False
流れる,動詞,2,1,流れ,流れる,1552140,,False
穴,名詞,2,1,穴,穴,1254480,,False
粛清,名詞,2,1,粛清,粛清,1337740,,False
生き残る,動詞,2,1,生き残る,生き残る,1378560,,False
理由,名詞,2,1,理由,理由,1550140,,False
生活,名詞,2,1,生活,生活,1378860,,False
用,接尾辞,2,1,用,用,1546200,,False
濃い,形容詞,2,1,濃く,濃い,1469890,,False
ダメ,名詞,2,1,ダメ,駄目,1409110,,False
置く,動詞,2,1,置き,置く,1421850,,False
秘密,名詞,2,1,秘密,秘密,1484150,,False
祖父,名詞,2,1,祖父,祖父,1396840,,False
砲弾,名詞,2,1,砲弾,砲弾,1517620,,False
よく,副詞,2,1,よく,良く,1605870,,False
頭,名詞,2,1,頭,頭,1582310,,False
質問,名詞,2,1,質問,質問,1320760,,False
追う,動詞,2,1,追え,追う,1432410,,False
誰,代名詞,2,1,誰,誰,1416830,,False
訳あり,名詞,2,1,訳あり,訳有り,2419930,,False
許す,動詞,2,1,許し,許す,1232870,,False
こっち,代名詞,2,1,こっち,此方,1004500,,False
中央,名詞,2,1,中央,中央,1423430,,False
不味い,形容詞,2,1,まずい,不味い,1495000,,False
下っ端,名詞,2,1,下っ端,下っ端,1184330,,False
方法,名詞,2,1,方法,方法,1517090,,False
国家,名詞,2,1,国家,国家,1286170,,False
国軍,名詞,2,1,国軍,国軍,1657320,,False
悪い,形容詞,2,1,悪い,悪い,1151260,,False
戻る,動詞,2,1,戻る,戻る,1535880,,False
そう,副詞,2,1,そう,そう,2137720,,False
性,接尾辞,2,1,性,性,1375260,,False
将軍,名詞,2,1,将軍,将軍,1347680,,False
ウソ,名詞,2,1,ウソ,嘘,1172400,,False
つらら,名詞,2,1,つらら,氷柱,1583430,,False
つもり,名詞,2,1,つもり,積り,1382980,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
それ,代名詞,2,1,それ,其れ,1006970,,False
憎む,動詞,2,1,憎ん,憎む,1403440,,False
同じ,形状詞,2,1,同じ,同じ,1451750,,False
外れる,動詞,2,1,外れ,外れる,1203310,,False
付け替える,動詞,2,1,付け替え,付け替える,1597930,,False
人間,名詞,2,1,人間,人間,1366770,,False
兵,名詞,2,1,兵,兵,2067560,,False
先生,名詞,2,1,先生,先生,1387990,,False
元,名詞,2,1,元,元,1260670,,False
動く,動詞,2,1,動く,動く,1451210,,False
命令,名詞,2,1,命令,命令,1532160,,False
多様,形状詞,2,1,多様,多様,1408100,,False
北方,名詞,2,1,北方,北方,1521310,,False
利く,動詞,2,1,効か,利く,1591100,,False
凍傷,名詞,2,1,凍傷,凍傷,1446360,,False
お,接頭辞,2,1,お,御,2826528,,False
何事,名詞,2,1,何事,何事,1188740,,False
銃,名詞,2,1,銃,銃,1337000,,False
邪魔,名詞,2,1,邪魔,邪魔,1323500,,False
通す,動詞,2,1,通さ,通す,1432900,,False
いくら,副詞,2,1,いくら,幾ら,1219980,,False
赤い,形容詞,1,1,赤い,赤い,1383240,,False
赴任,名詞,1,1,赴任,赴任,1498200,,False
超,接頭辞,1,1,超,超,1429340,,False
類い,名詞,1,1,類い,類い,1596870,,False
飛ばす,動詞,1,1,飛ばさ,飛ばす,1485230,,False
とろくさい,形容詞,1,1,トロくさい,とろくさい,2218150,,False
