sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
居る,動詞,28,1,いろ,居る,1577980,,False
この,連体詞,17,1,この,此の,1582920,,False
私,代名詞,13,1,私,私-代名詞,1311110,,False
為る,動詞,12,1,しろ,為る,1157170,,False
力,名詞,12,1,力,力,1554820,,False
年,名詞,10,1,年,年,2084840,,False
国,名詞,9,1,国,国,1592250,,False
使う,動詞,8,1,使える,使う,1305990,,False
こと,名詞,7,1,こと,事,1313580,,False
言う,動詞,7,1,いっ,言う,1587040,,False
軍,名詞,7,1,軍,軍,1247660,,False
呉れる,動詞,7,1,くれ,呉れる,1269130,,False
男,名詞,7,1,男,男,1419990,,False
その,連体詞,7,1,その,其の,1006830,,False
体,名詞,6,1,体,体,1409140,,False
仲間,名詞,6,1,仲間,仲間,1425790,,False
真実,名詞,6,1,真実,真実,1363780,,False
有る,動詞,6,1,ある,有る,1000580,,False
事件,名詞,6,1,事件,事件,1313830,,False
お,接頭辞,6,1,お,御,2089690,,False
中央,名詞,5,1,中央,中央,1423430,,False
スカ,名詞,5,1,スカ,スカ-ska,2115020,,False
見る,動詞,5,1,見る,見る,2256270,,False
貴様,代名詞,5,1,貴様,貴様,1223620,,False
錬成,名詞,5,1,錬成,錬成,1559980,,False
傷,名詞,5,1,傷,傷,1580260,,False
それ,代名詞,5,1,それ,其れ,1006970,,False
知る,動詞,5,1,知っ,知る,1420470,,False
たち,接尾辞,5,1,たち,達,1416220,,False
分かる,動詞,5,1,分かる,分かる,1606560,,False
君,代名詞,5,1,君,君-代名詞,1247250,,False
行く,動詞,4,1,いける,行く,1578850,,False
これ,代名詞,4,1,これ,此れ,1628530,,False
遣る,動詞,4,1,やる,遣る,1012980,,False
成る,動詞,4,1,なっ,成る,2846738,,False
待つ,動詞,4,1,待っ,待つ,1410590,,False
心配,名詞,4,1,心配,心配,1360930,,False
入る,動詞,4,1,入り,入る,1465590,,False
中将,名詞,4,1,中将,中将,1424510,,False
ドラクマ,名詞,4,1,ドラクマ,ドラクマ-drakhma,2483700,,False
リ,名詞,4,1,リ,リ-ris,2861583 | 2861596,,True
オール,名詞,4,1,オール,オール-all,2856153,,False
あと,名詞,4,1,あと,後,1269320,,False
お前,代名詞,3,1,お前,御前,1002290,,False
もの,名詞,3,1,もの,物,1502390,,False
エア,名詞,3,1,エア,エアー-air,1027090,,False
可笑しい,形容詞,3,1,おかしく,可笑しい,1190860,,False
押す,動詞,3,1,押せ,押す,1180470,,False
戻る,動詞,3,1,戻り,戻る,1535880,,False
東方,名詞,3,1,東方,東方,1448120,,False
化け物,名詞,3,1,化け物,化け物,1601300,,False
気付く,動詞,3,1,気づか,気付く,1591330,,False
気,名詞,3,1,気,気,1221520,,False
出来る,動詞,3,1,でき,出来る,1340450,,False
人,名詞,3,1,人,人,1580640,,False
大きな,連体詞,3,1,大きな,大きな,1412890,,False
陣,名詞,3,1,陣,陣,1956490,,False
閣下,名詞,3,1,閣下,閣下,1206280,,False
奴,名詞,3,1,奴,奴,1445640,,False
地下,名詞,3,1,地下,地下,1420840,,False
聞く,動詞,3,1,聞い,聞く,1591110,,False
少将,名詞,3,1,少将,少将,1349040,,False
円,名詞,3,1,円,円,1175570,,False
ここ,代名詞,3,1,ここ,此処,1288810,,False
セントラル,名詞,3,1,セントラル,セントラル-central,2003220,,False
言葉,名詞,3,1,言葉,言葉,1264540,,False
少佐,名詞,3,1,少佐,少佐,1349000,,False
大地,名詞,3,1,大地,大地,1414520,,False
子供,名詞,3,1,子供,子供,1307850,,False
兵,名詞,3,1,兵,兵,2067560,,False
オレ,代名詞,3,1,オレ,俺,1576870,,False
こいつ,代名詞,3,1,こいつ,此奴,1579070,,False
エネルギー,名詞,3,1,エネルギー,エネルギー-energy,1029430,,False
女,名詞,2,1,女,女,1344930,,False
でかい,形容詞,2,1,でかい,でかい,1008370,,False
今,名詞,2,1,今,今,1288850,,False
奪う,動詞,2,1,奪う,奪う,1416340,,False
あなた,代名詞,2,1,あなた,貴方,1223615,,False
あれ,代名詞,2,1,あれ,彼れ,1000580,,False
人質,名詞,2,1,人質,人質,1367960,,False
地殻,名詞,2,1,地殻,地殻,1420940,,False
作る,動詞,2,1,作っ,作る,1597890,,False
人,接尾辞,2,1,人,人,1580640,,False
龍脈,名詞,2,1,龍脈,竜脈,2834738,,False
奥,名詞,2,1,奥,奥,1179320,,False
夢,名詞,2,1,夢,夢,1529410,,False
中,名詞,2,1,中,中,1620400,,False
国家,名詞,2,1,国家,国家,1286170,,False
南部,名詞,2,1,南部,南部,1460530,,False
国境,名詞,2,1,国境,国境,1286320,,False
よし,副詞,2,1,よし,縦し,2607690,,False
よく,副詞,2,1,よく,良く,1605870,,False
よう,形状詞,2,1,よう,様,1605840,,False
やはり,副詞,2,1,やはり,矢張り,2772770,,False
もう,副詞,2,1,もう,もう,1012480,,False
察する,動詞,2,1,察し,察する,1298740,,False
下さる,動詞,2,1,ください,下さる,1184280,,False
まったく,副詞,2,1,まったく,全く,1394800,,False
万物,名詞,2,1,万物,万物,1584560,,False
守る,動詞,2,1,守っ,守る,1327120,,False
ゲート,名詞,2,1,ゲート,ゲート-gate,1048330,,False
マスタング,名詞,2,1,マスタング,ムスタング-mustang,1132350,,False
内乱,名詞,2,1,内乱,内乱,1459460,,False
全部,名詞,2,1,全部,全部,1396130,,False
