sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
居る,動詞,15,1,いる,居る,1577980,,False
この,連体詞,13,1,この,此の,1582920,,False
私,代名詞,12,1,私,私-代名詞,1311125,,False
為る,動詞,12,1,し,為る,1157170,,False
少将,名詞,10,1,少将,少将,1349040,,False
成る,動詞,9,1,なっ,成る,2846738,,False
こと,名詞,9,1,こと,事,1313580,,False
中将,名詞,8,1,中将,中将,1424510,,False
オレ,代名詞,8,1,オレ,俺,1576870,,False
体,名詞,7,1,体,体,1409140,,False
良い,形容詞,7,1,いい,良い,1605870,,False
有る,動詞,7,1,ある,有る,1000580,,False
呉れる,動詞,7,1,くれ,呉れる,1269130,,False
あなた,代名詞,6,1,あなた,貴方,1223615,,False
来る,動詞,6,1,来,来る,1547720,,False
取る,動詞,6,1,取ら,取る,1326980,,False
閣下,名詞,6,1,閣下,閣下,1206280,,False
行く,動詞,6,1,いく,行く,1578850,,False
ブリー,名詞,6,1,ブリー,ブリー-bully,2445150,,False
まだ,副詞,6,1,まだ,未だ,1527110,,False
遣る,動詞,5,1,やっ,遣る,1012980,,False
話,名詞,5,1,話,話,1600900,,False
言う,動詞,5,1,言う,言う,1587040,,False
穴,名詞,5,1,穴,穴,1254480,,False
黙る,動詞,5,1,黙れ,黙る,1534930,,False
さん,接尾辞,5,1,さん,さん,1005340,,False
心配,名詞,5,1,心配,心配,1360930,,False
連絡,名詞,4,1,連絡,連絡,1559900,,False
国,名詞,4,1,国,国,1592250,,False
貰う,動詞,4,1,もらう,貰う,1535910,,False
どう,副詞,4,1,どう,どう,1008910,,False
塞ぐ,動詞,4,1,ふさげ,塞ぐ,1602590,,False
トンネル,名詞,4,1,トンネル,トンネル-tunnel,1087630,,False
聞く,動詞,4,1,聞い,聞く,1591110,,False
出来る,動詞,4,1,できる,出来る,1340450,,False
その,連体詞,4,1,その,其の,1006830,,False
移る,動詞,4,1,うつっ,移る,1158210,,False
牢,名詞,4,1,牢,牢,2253720,,False
そんな,連体詞,4,1,そんな,そんな,1007130,,False
化け物,名詞,4,1,化け物,化け物,1601300,,False
トリ,名詞,3,1,トリ,鳥,1430250,,False
思う,動詞,3,1,思え,思う,1589350,,False
君,代名詞,3,1,君,君-代名詞,1247250,,False
地下,名詞,3,1,地下,地下,1420840,,False
たち,接尾辞,3,1,たち,達,1416220,,False
見る,動詞,3,1,見,見る,2256270,,False
興味,名詞,3,1,興味,興味,1238410,,False
腕,名詞,3,1,腕,腕,1562850,,False
傷,名詞,3,1,傷,傷,1580260,,False
椅子,名詞,3,1,椅子,椅子,1157070,,False
出す,動詞,3,1,出す,出す,1338180,,False
どんな,連体詞,3,1,どんな,どんな,1009330,,False
者,名詞,3,1,者,者,2153760,,False
ずっと,副詞,3,1,ずっと,ずっと,1006380,,False
置く,動詞,3,1,置い,置く,1421850,,False
姿,名詞,3,1,姿,姿,1307710,,False
従える,動詞,3,1,従え,従える,1335220,,False
受け入れる,動詞,3,1,受け入れ,受け入れる,1329670,,False
選ぶ,動詞,3,1,選ば,選ぶ,1588730,,False
貴様,代名詞,3,1,貴様,貴様,1223620,,False
軍,名詞,3,1,軍,軍,1247660,,False
そちら,代名詞,3,1,そちら,其方,1006780,,False
みんな,名詞,3,1,みんな,皆,1202150,,False
男,名詞,3,1,男,男,1419990,,False
もの,名詞,3,1,もの,物,1502390,,False
スカ,名詞,3,1,スカ,スカ-ska,2115020,,False
お,接頭辞,3,1,お,御,2826528,,False
今,名詞,3,1,今,今,1288850,,False
あれ,代名詞,3,1,あれ,彼れ,1000580,,False
計画,名詞,3,1,計画,計画,1252090,,False
兄弟,名詞,2,1,兄弟,兄弟,1249960,,False
ホムンクルス,名詞,2,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
過ぎる,動詞,2,1,すぎ,過ぎる,1195970,,False
殿,接尾辞,2,1,殿,殿,1442500,,False
入る,動詞,2,1,入っ,入る,1465590,,False
済む,動詞,2,1,済ん,済む,1295070,,False
現われる,動詞,2,1,現れ,現われる,1263510,,False
部隊,名詞,2,1,部隊,部隊,1499430,,False
一部,名詞,2,1,一部,一部,1166180,,False
上,名詞,2,1,上,上,1352130,,False
知る,動詞,2,1,知っ,知る,1420470,,False
鎖,名詞,2,1,鎖,鎖,1291730,,False
こっち,代名詞,2,1,こっち,此方,1004500,,False
兵,名詞,2,1,兵,兵,2067560,,False
写真,名詞,2,1,写真,写真,1321900,,False
こんな,連体詞,2,1,こんな,こんな,1004880,,False
礎,名詞,2,1,礎,礎,1396770,,False
出会う,動詞,2,1,出会う,出会う,1598530,,False
笑う,動詞,2,1,笑っ,笑う,1351360,,False
不死,名詞,2,1,不死,不死,1492590,,False
答える,動詞,2,1,答え,答える,1449530,,False
分かる,動詞,2,1,分かっ,分かる,1606560,,False
ずいぶん,副詞,2,1,ずいぶん,随分,1372800,,False
約束,名詞,2,1,約束,約束,1538130,,False
世界,名詞,2,1,世界,世界,1373860,,False
自分,名詞,2,1,自分,自分,1318610,,False
そもそも,名詞,2,1,そもそも,抑,1006950,,False
それ,代名詞,2,1,それ,其れ,1006970,,False
中,接尾辞,2,1,中,中,1620400,,False
中央,名詞,2,1,中央,中央,1423430,,False
花,名詞,2,1,花,花,1194500,,False
力,名詞,2,1,力,力,1554820,,False
乗る,動詞,2,1,のれ,乗る,1355120,,False
行動,名詞,2,1,行動,行動,1282100,,False
動く,動詞,2,1,動か,動く,1451210,,False
言葉,名詞,2,1,言葉,言葉,1264540,,False
読む,動詞,2,1,読め,読む,1456360,,False
どこ,代名詞,2,1,どこ,何処,1577140,,False
人間,名詞,2,1,人間,人間,1366770,,False
なに,代名詞,2,1,なに,何,1577100,,False
買う,動詞,2,1,買っ,買う,1473740,,False
仕事,名詞,2,1,仕事,仕事,1304970,,False
ふもと,名詞,2,1,ふもと,麓,1611440,,False
起こす,動詞,2,1,起こさ,起こす,1223660,,False
馬,名詞,2,1,馬,馬,1471560,,False
いつ,代名詞,2,1,いつ,何時,1188760,,False
こいつ,代名詞,2,1,こいつ,此奴,1579070,,False
国家,名詞,2,1,国家,国家,1286170,,False
女,名詞,2,1,女,女,1344930,,False
完全,形状詞,2,1,完全,完全,1211510,,False
客,名詞,2,1,客,客,1226630,,False
少佐,名詞,2,1,少佐,少佐,1349000,,False
伝言,名詞,2,1,伝言,伝言,1582180,,False
何,代名詞,2,1,何,何,1577100,,False
ここ,代名詞,2,1,ここ,此処,1288810,,False
アル,名詞,2,1,アル,アル,2835284,,False
幼少,名詞,2,1,幼少,幼少,1545220,,False
作戦,名詞,2,1,作戦,作戦,1297800,,False
待つ,動詞,2,1,待っ,待つ,1410590,,False
使う,動詞,2,1,使わ,使う,1305990,,False
恐ろしい,形容詞,2,1,恐ろしく,恐ろしい,1236690,,False
戻す,動詞,2,1,戻し,戻す,1535850,,False
捜索,名詞,2,1,捜索,捜索,1399690,,False
止す,名詞,2,1,よし,良し,2607690,,False
歳,名詞,2,1,歳,年,1294940,,False
フッ,副詞,2,1,フッ,ふっ,2558020,,False
