sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
こと,名詞,17,1,こと,事,1313580,,False
私,代名詞,17,1,私,私-代名詞,1311110,,False
この,連体詞,12,1,この,此の,1582920,,False
分かる,動詞,12,1,分かっ,分かる,1606560,,False
傷,名詞,10,1,傷,傷,1580260,,False
男,名詞,10,1,男,男,1419990,,False
居る,動詞,10,1,おら,居る,1577985,,False
仕事,名詞,10,1,仕事,仕事,1304970,,False
あなた,代名詞,9,1,あなた,貴方,1223615,,False
スカ,名詞,9,1,スカ,スカ-ska,2115020,,False
言う,動詞,8,1,言い,言う,1587040,,False
見る,動詞,8,1,見,見る,2256270,,False
有る,動詞,7,1,ある,有る,1000580,,False
人間,名詞,7,1,人間,人間,1366770,,False
ウィン,名詞,7,1,ウィン,ウィン-win,2859577,,False
ホムンクルス,名詞,7,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
さん,接尾辞,7,1,さん,さん,1005340,,False
為る,動詞,6,1,する,為る,1157170,,False
話,名詞,6,1,話,話,1600900,,False
花,名詞,6,1,花,花,1194500,,False
行く,動詞,6,1,行く,行く,1578850,,False
ブリー,名詞,6,1,ブリー,ブリー-bully,2445150,,False
オレ,代名詞,6,1,オレ,俺,1576870,,False
あんた,代名詞,5,1,あんた,貴方,1979920,,False
呉れる,動詞,5,1,くれる,呉れる,1269130,,False
出来る,動詞,5,1,でき,出来る,1340450,,False
中尉,名詞,5,1,中尉,中尉,1423370,,False
覚悟,名詞,5,1,覚悟,覚悟,1206080,,False
殺す,動詞,5,1,殺し,殺す,1299030,,False
何,代名詞,5,1,何,何,1577100,,False
良い,形容詞,5,1,よい,良い,1605870,,False
たち,接尾辞,5,1,たち,達,1416220,,False
影,名詞,4,1,影,影,1590145,,False
これ,代名詞,4,1,これ,此れ,1628530,,False
ロック,名詞,4,1,ロック,ロック-lock,1147600 | 2846322 | 2846323,,True
命,名詞,4,1,命,命,1531940,,False
お前,代名詞,4,1,お前,御前,1002290,,False
成る,動詞,4,1,なっ,成る,2846738,,False
アル,名詞,4,1,アル,アル,2835284,,False
機械,名詞,4,1,機械,機械,1220810,,False
様,接尾辞,4,1,様,様,1545790,,False
お,接頭辞,4,1,お,御,2826528,,False
軍,名詞,4,1,軍,軍,1247660,,False
ベル,名詞,4,1,ベル,ベル-bell,1120010,,False
あいつ,代名詞,3,1,あいつ,彼奴,1483160,,False
メイル,名詞,3,1,メイル,メール-mail,1132620,,False
出る,動詞,3,1,出,出る,1896380,,False
まず,副詞,3,1,まず,先ず,1387240,,False
大丈夫,形状詞,3,1,大丈夫,大丈夫,1414150,,False
今,名詞,3,1,今,今,1288850,,False
光栄,名詞,3,1,光栄,光栄,1272870,,False
もう,副詞,3,1,もう,もう,1012480,,False
もの,名詞,3,1,もの,物,1502390,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
世界,名詞,3,1,世界,世界,1373860,,False
刻む,動詞,3,1,刻む,刻む,1285890,,False
人,名詞,3,1,人,人,1580640,,False
持つ,動詞,3,1,持っ,持つ,1315720,,False
オート,名詞,3,1,オート,オート-auto,1031910,,False
待つ,動詞,3,1,待つ,待つ,1410590,,False
急ぎ,名詞,3,1,急ぎ,急ぎ,1228630,,False
戻る,動詞,3,1,戻ら,戻る,1535880,,False
そう,副詞,3,1,そう,そう,2137720,,False
捜索,名詞,3,1,捜索,捜索,1399690,,False
明日,名詞,3,1,明日,明日,1584660,,False
用,接尾辞,3,1,用,用,1546200,,False
聞く,動詞,3,1,聞か,聞く,1591110,,False
選ぶ,動詞,3,1,選ん,選ぶ,1588730,,False
鎧,名詞,3,1,鎧,鎧,1204740,,False
閣下,名詞,3,1,閣下,閣下,1206280,,False
ボク,代名詞,3,1,ボク,僕-代名詞,1521400,,False
体,名詞,3,1,体,体,1409140,,False
同じ,連体詞,2,1,同じ,同じ,1451750,,False
あんまり,副詞,2,1,あんまり,余り,1584930,,False
先手,名詞,2,1,先手,先手,1387830,,False
人質,名詞,2,1,人質,人質,1367960,,False
北,名詞,2,1,北,北,1520670,,False
こっち,代名詞,2,1,こっち,此方,1004500,,False
命令,名詞,2,1,命令,命令,1532160,,False
ダメ,名詞,2,1,ダメ,駄目,1409110,,False
さっき,名詞,2,1,さっき,さっき,1005180,,False
仕舞う,動詞,2,1,しまっ,仕舞う,1305380,,False
ドクター,名詞,2,1,ドクター,ドクター-doctor,1088140,,False
