sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
為る,動詞,15,1,さ,為る,1157170,,False
私,代名詞,14,1,私,私-代名詞,1311110,,False
男,名詞,14,1,男,男,1419990,,False
この,連体詞,12,1,この,此の,1582920,,False
スカ,名詞,12,1,スカ,スカ-ska,2115020,,False
居る,動詞,12,1,いる,居る,1577980,,False
来る,動詞,11,1,来,来る,1547720,,False
様,接尾辞,10,1,様,様,1545790,,False
傷,名詞,10,1,傷,傷,1580260,,False
こと,名詞,8,1,こと,事,1313580,,False
兄弟,名詞,7,1,兄弟,兄弟,1249960,,False
我々,代名詞,6,1,我々,我々-代名詞,1607050,,False
たち,接尾辞,6,1,たち,達,1416220,,False
見る,動詞,6,1,見,見る,2256270,,False
さん,接尾辞,5,1,さん,さん,1005340,,False
その,連体詞,5,1,その,其の,1006830,,False
アル,名詞,5,1,アル,アル,2835284,,False
オレ,代名詞,5,1,オレ,俺,1576870,,False
言う,動詞,5,1,いっ,言う,1587040,,False
有る,動詞,5,1,あり,有る,1000580,,False
味方,名詞,5,1,味方,味方,1527070,,False
ブリー,名詞,4,1,ブリー,ブリー-bully,2445150,,False
今,名詞,4,1,今,今,1288850,,False
何,代名詞,4,1,何,何,1577100,,False
炭鉱,名詞,4,1,炭鉱,炭鉱,1597260,,False
会う,動詞,4,1,会え,会う,1198180,,False
こんな,連体詞,4,1,こんな,こんな,1004880,,False
話,名詞,4,1,話,話,1600900,,False
良い,形容詞,4,1,よかっ,良い,1605870,,False
お前,代名詞,4,1,お前,御前,1002290,,False
２人,名詞,4,1,２人,二人,1582670,,False
知る,動詞,4,1,知ら,知る,1420470,,False
待つ,動詞,4,1,待て,待つ,1410590,,False
お,接頭辞,3,1,お,御,2089690,,False
ちょっと,副詞,3,1,ちょっと,一寸,1163940,,False
そこ,代名詞,3,1,そこ,其処,1006670,,False
こっち,代名詞,3,1,こっち,此方,1004500,,False
酷い,形容詞,3,1,ひどい,酷い,1602060,,False
ここ,代名詞,3,1,ここ,此処,1288810,,False
軽い,形容詞,3,1,軽い,軽い,1252560,,False
貰う,動詞,3,1,もらおう,貰う,1535910,,False
町,名詞,3,1,町,町,1603990,,False
呉れる,動詞,3,1,くれる,呉れる,1269130,,False
忘れる,動詞,3,1,忘れ,忘れる,1519210,,False
早い,形容詞,3,1,早く,早い,1404975,,False
大人しい,形容詞,3,1,おとなしく,大人しい,1414190,,False
ダメ,名詞,3,1,ダメ,駄目,1409110,,False
ボク,代名詞,3,1,ボク,僕-代名詞,1521400,,False
出る,動詞,3,1,出,出る,1896380,,False
掛ける,動詞,3,1,かけ,掛ける,1207610,,False
成る,動詞,3,1,なっ,成る,2846738,,False
時間,名詞,3,1,時間,時間,1315920,,False
探す,動詞,3,1,捜す,探す,1593670,,False
ウィン,名詞,3,1,ウィン,ウィン-win,2859577,,False
連絡,名詞,3,1,連絡,連絡,1559900,,False
遣る,動詞,3,1,やっ,遣る,1012980,,False
止める,動詞,2,1,やめろ,止める,1310680,,False
殺す,動詞,2,1,殺し,殺す,1299030,,False
求める,動詞,2,1,求め,求める,1229350,,False
もう,副詞,2,1,もう,もう,1012480,,False
わけ,名詞,2,1,わけ,訳,1538330,,False
もの,名詞,2,1,もの,物,1502390,,False
花,名詞,2,1,花,花,1194500,,False
者,名詞,2,1,者,者,1322990,,False
食らう,動詞,2,1,くらえ,食らう,1592410,,False
誰,代名詞,2,1,誰,誰,1416830,,False
ちゃんと,副詞,2,1,ちゃんと,ちゃんと,1007720,,False
うわっ,副詞,2,1,うわっ,うわ,2061250,,False
すべて,名詞,2,1,すべて,全て,1595730,,False
鋼,名詞,2,1,鋼,鋼,1282680,,False
目,名詞,2,1,目,目,1604890,,False
為さる,動詞,2,1,なさい,為さる,1157090,,False
経つ,動詞,2,1,たっ,経つ,1251100,,False
どこ,代名詞,2,1,どこ,何処,1577140,,False
貴様,代名詞,2,1,貴様,貴様,1223620,,False
言い訳,名詞,2,1,言い訳,言い訳,1587030,,False
見付ける,動詞,2,1,見つけ,見付ける,1604570,,False
行く,動詞,2,1,行っ,行く,1578850,,False
復しゅう,名詞,2,1,復しゅう,復讐,1500840,,False
スウェル,名詞,2,1,スウェル,スウェル-swell,2498260,,False
セントラル,名詞,2,1,セントラル,セントラル-central,2003220,,False
タイミング,名詞,2,1,タイミング,タイミング-timing,1076000,,False
国,名詞,2,1,国,国,1592250,,False
デブ,名詞,2,1,デブ,でぶ,1083820,,False
失敗,名詞,2,1,失敗,失敗,1320140,,False
大丈夫,形状詞,2,1,大丈夫,大丈夫,1414150,,False
夢,名詞,2,1,夢,夢,1529410,,False
声,名詞,2,1,声,声,1380440,,False
子,名詞,2,1,子,子,1307770,,False
奴,名詞,2,1,奴,奴,1445640,,False
少佐,名詞,2,1,少佐,少佐,1349000,,False
ユー,名詞,2,1,ユー,ユー-you,1136490 | 2594170,,True
同族,名詞,2,1,同族,同族,1453020,,False
中央,名詞,2,1,中央,中央,1423430,,False
唾液,名詞,2,1,唾液,唾液,1408420,,False
君,代名詞,2,1,君,君-代名詞,1247250,,False
傷,接尾辞,2,1,傷,傷,1580260,,False
出来る,動詞,2,1,できる,出来る,1340450,,False
収める,動詞,2,1,治める,収める,1589090,,False
分かる,動詞,2,1,分かる,分かる,1606560,,False
可笑しい,形容詞,2,1,おかしい,可笑しい,1190860,,False
