sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
居る,動詞,19,1,いる,居る,1577980,,False
こと,名詞,16,1,こと,事,1313580,,False
男,名詞,15,1,男,男,1419990,,False
為る,動詞,15,1,し,為る,1157170,,False
スカ,名詞,14,1,スカ,スカ-ska,2115020,,False
傷,名詞,14,1,傷,傷,1580260,,False
オレ,代名詞,13,1,オレ,俺,1576870,,False
この,連体詞,11,1,この,此の,1582920,,False
たち,接尾辞,11,1,たち,達,1416220,,False
ブリー,名詞,10,1,ブリー,ブリー-bully,2445150,,False
砦,名詞,10,1,砦,砦,1295240,,False
有る,動詞,9,1,ある,有る,1000580,,False
待つ,動詞,9,1,待ち,待つ,1410590,,False
呉れる,動詞,9,1,くれ,呉れる,1269130,,False
体,名詞,8,1,体,体,1409140,,False
会う,動詞,8,1,会っ,会う,1198180,,False
殺す,動詞,7,1,殺し,殺す,1299030,,False
私,代名詞,7,1,私,私-代名詞,1311110,,False
言う,動詞,7,1,言っ,言う,1587040,,False
吹雪,名詞,7,1,吹雪,吹雪,1370780,,False
それ,代名詞,6,1,それ,其れ,1006970,,False
ウィン,名詞,6,1,ウィン,ウィン-win,2859577,,False
行く,動詞,6,1,行か,行く,1578850,,False
戻る,動詞,6,1,戻り,戻る,1535880,,False
出来る,動詞,6,1,できる,出来る,1340450,,False
思う,動詞,6,1,思う,思う,1589350,,False
許す,動詞,6,1,許す,許す,1232870,,False
時,名詞,5,1,時,時,1315840,,False
早い,形容詞,5,1,早い,早い,1404975,,False
分かる,動詞,5,1,分かっ,分かる,1606560,,False
ここ,代名詞,5,1,ここ,此処,1288810,,False
さん,接尾辞,5,1,さん,さん,1005340,,False
こんな,連体詞,5,1,こんな,こんな,1004880,,False
ロック,名詞,4,1,ロック,ロック-rock（音楽）,1147600 | 2846322 | 2846323,,True
わけ,名詞,4,1,わけ,訳,1538330,,False
その,連体詞,4,1,その,其の,1006830,,False
国,名詞,4,1,国,国,1592250,,False
ベル,名詞,4,1,ベル,ベル-bell,1120010,,False
元,名詞,4,1,元,元,2219590,,False
匿う,動詞,4,1,かくまう,匿う,1454460,,False
坑道,名詞,4,1,坑道,坑道,1277390,,False
お前,代名詞,4,1,お前,御前,1002290,,False
貴様,代名詞,3,1,貴様,貴様,1223620,,False
