sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
居る,動詞,13,1,いる,居る,1577980,,False
君,代名詞,13,1,君,君-代名詞,1247250,,False
呉れる,動詞,10,1,くれ,呉れる,1269130,,False
私,代名詞,10,1,私,私-代名詞,1311110,,False
こと,名詞,10,1,こと,事,1313580,,False
人間,名詞,8,1,人間,人間,1366770,,False
血,名詞,8,1,血,血,1255060,,False
成る,動詞,7,1,なり,成る,2846738,,False
出来る,動詞,7,1,でき,出来る,1340450,,False
閣下,名詞,7,1,閣下,閣下,1206280,,False
中,名詞,7,1,中,中,1423310,,False
見る,動詞,6,1,見,見る,2256270,,False
お前,代名詞,6,1,お前,御前,1002290,,False
フラスコ,名詞,6,1,フラスコ,フラスコ-frasco,1111290,,False
与える,動詞,6,1,与えよう,与える,1544730,,False
言う,動詞,6,1,言う,言う,1587040,,False
北,名詞,6,1,北,北,1520670,,False
良い,形容詞,6,1,いい,良い,1605870,,False
この,連体詞,5,1,この,此の,1582920,,False
１,名詞,5,1,１,,1160790,,False
為る,動詞,5,1,する,為る,1157170,,False
有る,動詞,5,1,あろう,有る,1000580,,False
ヴァン,名詞,5,1,ヴァン,バン-vin,2156750,,False
大丈夫,形状詞,5,1,大丈夫,大丈夫,1414150,,False
遣る,動詞,5,1,やる,遣る,1012980,,False
知識,名詞,4,1,知識,知識,1420590,,False
行く,動詞,4,1,行っ,行く,1578850,,False
貰う,動詞,4,1,もらおう,貰う,1535910,,False
少将,名詞,4,1,少将,少将,1349040,,False
何,代名詞,4,1,何,何,1577100,,False
名前,名詞,4,1,名前,名前,1531710,,False
奴隷,名詞,4,1,奴隷,奴隷,1445650,,False
権利,名詞,4,1,権利,権利,1258200,,False
教える,動詞,4,1,教え,教える,1236900,,False
持つ,動詞,4,1,持っ,持つ,1315720,,False
それ,代名詞,4,1,それ,其れ,1006970,,False
今,名詞,4,1,今,今,1288850,,False
仕事,名詞,4,1,仕事,仕事,1304970,,False
入る,動詞,4,1,入り,入る,1465590,,False
中央,名詞,4,1,中央,中央,1423430,,False
セントラル,名詞,4,1,セントラル,セントラル-central,2003220,,False
ホムンクルス,名詞,4,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
さん,接尾辞,4,1,さん,さん,1005340,,False
すべて,名詞,4,1,すべて,全て,1595730,,False
あなた,代名詞,4,1,あなた,貴方,1223615,,False
中将,名詞,3,1,中将,中将,1424510,,False
中心,名詞,3,1,中心,中心,1424550,,False
全,名詞,3,1,全,アキラ,1394770,,False
呼ぶ,動詞,3,1,呼ば,呼ぶ,1266440,,False
幸せ,名詞,3,1,幸せ,幸せ,1594060,,False
小人,名詞,3,1,小人,小人,2860036,,False
使う,動詞,3,1,使う,使う,1305990,,False
たち,接尾辞,3,1,たち,達,1416220,,False
陛下,名詞,3,1,陛下,陛下,1508740,,False
早い,形容詞,3,1,早い,早い,1404975,,False
気,名詞,3,1,気,気,1221520,,False
砦,名詞,3,1,砦,砦,1295240,,False
聞く,動詞,3,1,聞こう,聞く,1591110,,False
置く,動詞,3,1,置い,置く,1421850,,False
覚える,動詞,3,1,覚える,覚える,1206050,,False
話,名詞,3,1,話,話,1600900,,False
長い,形容詞,3,1,長え,長い,1429750,,False
食事,名詞,3,1,食事,食事,1358490,,False
ユニ,名詞,2,1,ユニ,ユニ,2771060,,False
ここ,代名詞,2,1,ここ,此処,1288810,,False
俺,代名詞,2,1,俺,俺,1576870,,False
体,名詞,2,1,体,体,1409140,,False
出る,動詞,2,1,出,出る,1896380,,False
号,名詞,2,1,号,号,1284220,,False
何者,名詞,2,1,何者,何者,1188980,,False
トラ,名詞,2,1,トラ,虎,1267610,,False
人,名詞,2,1,人,人,1580640,,False
始末,名詞,2,1,始末,始末,1307620,,False
声,名詞,2,1,声,声,1380440,,False
驚く,動詞,2,1,驚く,驚く,1238680,,False
国王,名詞,2,1,国王,国王,1286160,,False
戻る,動詞,2,1,戻れん,戻る,1535880,,False
その,連体詞,2,1,その,其の,1006830,,False
そっち,代名詞,2,1,そっち,其方,1006780,,False
上げる,動詞,2,1,あげよう,上げる,1352320,,False
もと,名詞,2,1,もと,下,2004390,,False
我々,代名詞,2,1,我々,我々-代名詞,1607050,,False
感謝,名詞,2,1,感謝,感謝,1212380,,False
国,名詞,2,1,国,国,1592250,,False
掛ける,動詞,2,1,かけ,掛ける,1207610,,False
死ぬ,動詞,2,1,死ん,死ぬ,1310730,,False
村,名詞,2,1,村,村,1406820,,False
朽ちる,動詞,2,1,朽ち,朽ちる,1229310,,False
家庭,名詞,2,1,家庭,家庭,1192280,,False
男,名詞,2,1,男,男,1419990,,False
王,名詞,2,1,王,王,1629200,,False
立派,形状詞,2,1,立派,立派,1551790,,False
席,名詞,2,1,席,席,1382250,,False
石,名詞,2,1,石,石,1382440,,False
自由,名詞,2,1,自由,自由,1318720,,False
自分,名詞,2,1,自分,自分,1318610,,False
多い,形容詞,2,1,多い,多い,1407460,,False
傷,名詞,2,1,傷,傷,1580260,,False
繁殖,名詞,2,1,繁殖,繁殖,1481700,,False
こっち,代名詞,2,1,こっち,此方,1004500,,False
貴様,代名詞,2,1,貴様,貴様,1223620,,False
ご,接頭辞,2,1,ご,御,1270190,,False
どうぞ,副詞,2,1,どうぞ,どうぞ,1189130,,False
どう,副詞,2,1,どう,どう,1008910,,False
ちょっと,副詞,2,1,ちょっと,一寸,1163940,,False
そこ,代名詞,2,1,そこ,其処,1006670,,False
分かる,動詞,2,1,分から,分かる,1606560,,False
いろいろ,副詞,2,1,いろいろ,色々,1587850,,False
やっぱり,副詞,2,1,やっぱり,矢張り,1012810,,False
錬成,名詞,2,1,錬成,錬成,1559980,,False
一体,副詞,2,1,一体,一体,1164510,,False
面白い,形容詞,2,1,面白い,面白い,1533580,,False
陣,名詞,2,1,陣,陣,1956490,,False
譲渡,名詞,2,1,譲渡,譲渡,1357040,,False
スターリング,名詞,1,1,スターリング,スターリング-sterling,2474130,,False
スカ,名詞,1,1,スカ,スカ-ska,2115020,,False
シュガー,名詞,1,1,シュガー,シュガー-sugar,1062040,,False
シグ,名詞,1,1,シグ,シグ,2300260,,False
世話,名詞,1,1,世話,世話,1374300,,False
世紀,名詞,1,1,世紀,世紀,1373990,,False
世,名詞,1,1,世,世,1605810,,False
不死身,名詞,1,1,不死身,不死身,1492600,,False
不死,名詞,1,1,不死,不死,1492590,,False
不在,名詞,1,1,不在,不在,1492460,,False
不便,名詞,1,1,不便,不便,1494860,,False
下さる,動詞,1,1,ください,下さる,1184280,,False
下々,名詞,1,1,下々,下々,1576920,,False
ライン,名詞,1,1,ライン,ライン-line,2839119,,False
ヨーク,名詞,1,1,ヨーク,ヨーク-yoke,1137500,,False
件,名詞,1,1,件,件,1255940,,False
仲間,名詞,1,1,仲間,仲間,1425790,,False
代価,名詞,1,1,代価,代価,1411660,,False
付ける,動詞,1,1,つけ,付ける,1495770,,False
もっと,副詞,1,1,もっと,もっと,1012620,,False
めでたい,形容詞,1,1,めでたい,めでたい,1608630,,False
めい,名詞,1,1,めい,姪,1584630,,False
まま,名詞,1,1,まま,侭,1585410,,False
まだまだ,副詞,1,1,まだまだ,未だ未だ,1527150,,False
まだ,副詞,1,1,まだ,未だ,1527110,,False
まさか,副詞,1,1,まさか,まさか,1363540,,False
まあ,副詞,1,1,まあ,まあ,1012050,,False
はな,名詞,1,1,はな,端,1486720,,False
なぜ,副詞,1,1,なぜ,何故,1577120,,False
どんな,連体詞,1,1,どんな,どんな,1009330,,False
サボる,動詞,1,1,サボり,サボる,1057580,,False
サイズ,名詞,1,1,サイズ,サイズ-size,1055780,,False
コミュニティ,名詞,1,1,コミュニティ,コミュニティー-community,1051040,,False
コネ,名詞,1,1,コネ,コネ-connection,1050450,,False
クマ,名詞,1,1,クマ,クマ,1246850,,False
他人,名詞,1,1,他人,他人,1581400,,False
仕業,名詞,1,1,仕業,仕業,1304870,,False
主,名詞,1,1,主,主,1324950,,False
しばらく,副詞,1,1,しばらく,暫く,1304420,,False
中,接尾辞,1,1,中,中,1423310,,False
兵,名詞,1,1,兵,兵,2067560,,False
全,接頭辞,1,1,全,全,1394770,,False
入れ物,名詞,1,1,入れ物,入れ物,1587840,,False
入れる,動詞,1,1,入れ,入れる,1465610,,False
兄弟,名詞,1,1,兄弟,兄弟,1249960,,False
働く,動詞,1,1,働け,働く,1451150,,False
倒れる,動詞,1,1,倒れ,倒れる,1445790,,False
作る,動詞,1,1,作ら,作る,1597890,,False
作り出す,動詞,1,1,作り出さ,作り出す,1297300,,False
半,名詞,1,1,半,半,1478750,,False
医術,名詞,1,1,医術,医術,1160000,,False
勤務,名詞,1,1,勤務,勤務,1241070,,False
動く,動詞,1,1,動く,動く,1451210,,False
助手,名詞,1,1,助手,助手,1344650,,False
助かる,動詞,1,1,助かり,助かる,1344380,,False
刻む,動詞,1,1,刻む,刻む,1285890,,False
切る,動詞,1,1,きれ,切る,1384830,,False
分ける,動詞,1,1,分け,分ける,1503000,,False
凄い,形容詞,1,1,すごい,凄い,1374550,,False
再度,名詞,1,1,再度,再度,1293240,,False
具合,名詞,1,1,具合,具合,1592500,,False
含む,動詞,1,1,含ま,含む,1216880,,False
名,名詞,1,1,名,名,1531330,,False
同等,形状詞,1,1,同等,同等,1453190,,False
同期,名詞,1,1,同期,同期,1452030,,False
同じ,形状詞,1,1,同じ,同じ,1451750,,False
合格,名詞,1,1,合格,合格,1284600,,False
合同,名詞,1,1,合同,合同,1285140,,False
叩き割る,動詞,1,1,たたき割る,叩き割る,1416070,,False
口,名詞,1,1,口,口,1275640,,False
収める,動詞,1,1,治める,収める,1589090,,False
協力,名詞,1,1,協力,協力,1591720,,False
半分,名詞,1,1,半分,半分,1479890,,False
大きな,連体詞,1,1,大きな,大きな,1412890,,False
大,接頭辞,1,1,大,大,2082450,,False
夢,名詞,1,1,夢,夢,1529410,,False
売買,名詞,1,1,売買,売買,1474050,,False
壊す,動詞,1,1,壊す,壊す,1199890,,False
域,名詞,1,1,域,域,1955810,,False
囲む,動詞,1,1,囲ま,囲む,1155980,,False
命,名詞,1,1,命,命,1584630,,False
呼吸,名詞,1,1,呼吸,呼吸,1266470,,False
呼び出す,動詞,1,1,呼び出し,呼び出す,1266350,,False
実験,名詞,1,1,実験,実験,1320970,,False
実力,名詞,1,1,実力,実力,1321530,,False
宜しい,形容詞,1,1,よろしい,宜しい,1224880,,False
完成,名詞,1,1,完成,完成,1211490,,False
存続,名詞,1,1,存続,存続,1406190,,False
子供,名詞,1,1,子供,子供,1307850,,False
奴,名詞,1,1,奴,奴,1445640,,False
奈落,名詞,1,1,奈落,奈落-naraka,1457690,,False
失踪,名詞,1,1,失踪,失踪,1320260,,False
失礼,名詞,1,1,失礼,失礼,1320230,,False
天上,名詞,1,1,天上,天上,1439400,,False
大尉,名詞,1,1,大尉,大尉,1413030,,False
大変,形状詞,1,1,大変,大変,1415000,,False
大変,副詞,1,1,大変,大変,1415000,,False
師匠,名詞,1,1,師匠,師匠,1308900,,False
巨大,形状詞,1,1,巨大,巨大,1232180,,False
工事,名詞,1,1,工事,工事,1278130,,False
屈強,名詞,1,1,屈強,屈強,1592230,,False
少年,名詞,1,1,少年,少年,1349170,,False
少佐,名詞,1,1,少佐,少佐,1349000,,False
少し,副詞,1,1,少し,少し,1348870,,False
小石,名詞,1,1,小石,小石,1348400,,False
小さい,形容詞,1,1,小さい,小さい,1347750,,False
家族,名詞,1,1,家族,家族,1192150,,False
害,名詞,1,1,害,害,1204330,,False
息苦しい,形容詞,1,1,息苦しい,息苦しい,1627790,,False
息子,名詞,1,1,息子,息子,1404390,,False
恐らく,副詞,1,1,恐らく,恐らく,1236650,,False
急ぐ,動詞,1,1,急げ,急ぐ,1228650,,False
思う,動詞,1,1,思っ,思う,1589350,,False
念願,名詞,1,1,念願,念願,1469390,,False
応ずる,動詞,1,1,応じ,応ずる,1609380,,False
忙しい,形容詞,1,1,忙しい,忙しい,1519290,,False
必要,名詞,1,1,必要,必要,1487660,,False
御前,名詞,1,1,御前,御前,1625330,,False
得る,動詞,1,1,得る,得る,1454500,,False
形状,名詞,1,1,形状,形状,1250340,,False
形,名詞,1,1,形,形,1250220,,False
引き換え,名詞,1,1,引き換え,引き換え,1601550,,False
座る,動詞,1,1,座っ,座る,1291800,,False
したたか,形状詞,1,1,したたか,強か,1256100,,False
手塩,名詞,1,1,手塩,手塩,1699260,,False
手の者,名詞,1,1,手の者,手の者,1854510,,False
手,名詞,1,1,手,手,1327190,,False
扉,名詞,1,1,扉,扉,1483380,,False
さっぱり,副詞,1,1,さっぱり,さっぱり,1005210,,False
ちょいと,副詞,1,1,ちょいと,一寸,1163940,,False
ため,名詞,1,1,ため,為,1157080,,False
酷い,形容詞,1,1,ひどい,酷い,1602060,,False
道理,名詞,1,1,道理,道理,1454260,,False
連中,名詞,1,1,連中,連中,1559700,,False
そちら,代名詞,1,1,そちら,其方,1006780,,False
アル,名詞,1,1,アル,アル,2835284,,False
ぜひ,副詞,1,1,ぜひ,是非,1374530,,False
ぜいたく,名詞,1,1,ぜいたく,贅沢,1573150,,False
せんせい,名詞,1,1,せんせい,先生,1387990,,False
やから,名詞,1,1,やから,輩,1472970,,False
もはや,副詞,1,1,もはや,最早,1294170,,False
もの,名詞,1,1,もの,物,1502390,,False
証,名詞,1,1,証,証し,1351580,,False
もっとも,副詞,1,1,もっとも,最も,1293700,,False
戻す,動詞,1,1,戻せ,戻す,1535850,,False
証拠,名詞,1,1,証拠,証拠,1351600,,False
成り立ち,名詞,1,1,成り立ち,成り立ち,1599690,,False
慎む,動詞,1,1,慎め,慎む,1598000,,False
追い付く,動詞,1,1,追いつか,追い付く,1588810,,False
愚,名詞,1,1,愚,愚,1615350,,False
意識,名詞,1,1,意識,意識,1156640,,False
意志,名詞,1,1,意志,意志,1156560,,False
情報,名詞,1,1,情報,情報,1356370,,False
悲しい,形容詞,1,1,悲しい,悲しい,1483190,,False
最後,名詞,1,1,最後,最後,1293810,,False
暮らし,名詞,1,1,暮らし,暮らし,1514930,,False
春,名詞,1,1,春,春,1341000,,False
関係,名詞,1,1,関係,関係,1215810,,False
方法,名詞,1,1,方法,方法,1517090,,False
文字,名詞,1,1,文字,文字,1505390,,False
整理,名詞,1,1,整理,整理,1376250,,False
数,名詞,1,1,数,数,1580820,,False
放る,動詞,1,1,ほっ,放る,1516530,,False
あれ,代名詞,1,1,あれ,彼れ,1000580,,False
掛かる,動詞,1,1,かかり,掛かる,1207590,,False
掌握,名詞,1,1,掌握,掌握,1349660,,False
拾う,動詞,1,1,拾っ,拾う,1332570,,False
抜く,動詞,1,1,抜か,抜く,1478190,,False
あんた,代名詞,1,1,あんた,貴方,1979920,,False
歩く,動詞,1,1,歩ける,歩く,1514320,,False
正体,名詞,1,1,正体,正体,1377530,,False
欲しい,形容詞,1,1,欲しく,欲しい,1547330,,False
次回,名詞,1,1,次回,次回,1316470,,False
権力,名詞,1,1,権力,権力,1258220,,False
楽,名詞,1,1,楽,楽,1207230,,False
極める,動詞,1,1,極め,極める,1591970,,False
栄華,名詞,1,1,栄華,栄華,1173880,,False
東,名詞,1,1,東,東,1447440,,False
来る,動詞,1,1,来,来る,1547720,,False
おいおい,副詞,1,1,おいおい,おいおい,1631660,,False
材料,名詞,1,1,材料,材料,1296670,,False
返事,名詞,1,1,返事,返事,1512220,,False
物凄い,形容詞,1,1,ものすごい,物凄い,1502630,,False
物,名詞,1,1,物,物,1502390,,False
焦り,名詞,1,1,焦り,焦り,1350770,,False
無礼,名詞,1,1,無礼,無礼,1531060,,False
無理,名詞,1,1,無理,無理,1530970,,False
無事,形状詞,1,1,無事,無事,1530030,,False
無くなる,動詞,1,1,無なり,無くなる,1529550,,False
演習,名詞,1,1,演習,演習,1176930,,False
源,名詞,1,1,源,源,1263360,,False
液体,名詞,1,1,液体,液体,1175030,,False
流れ,名詞,1,1,流れ,流れ,1552130,,False
水路,名詞,1,1,水路,水路,1372290,,False
返る,動詞,1,1,返っ,返る,1512150,,False
殺す,動詞,1,1,殺さ,殺す,1299030,,False
残す,動詞,1,1,残す,残す,1600260,,False
知る,動詞,1,1,知り,知る,1420470,,False
瞬間,名詞,1,1,瞬間,瞬間,1341210,,False
真理,名詞,1,1,真理,真理,1364400,,False
皆,名詞,1,1,皆,皆,1202150,,False
番号,名詞,1,1,番号,番号,1482290,,False
軍団,名詞,1,1,軍団,軍団,1248770,,False
用事,名詞,1,1,用事,用事,1546300,,False
生まれ出る,動詞,1,1,生まれ出,生まれ出る,2695440,,False
生まれる,動詞,1,1,生まれ,生まれる,1378690,,False
甘い,形容詞,1,1,甘,甘い,1213400,,False
理,名詞,1,1,理,理,1957060,,False
車,名詞,1,1,車,車,1323080,,False
状,接尾辞,1,1,状,状,1356690,,False
犯す,動詞,1,1,犯す,犯す,1481550,,False
犠牲,名詞,1,1,犠牲,犠牲,1225450,,False
物怖じ,名詞,1,1,物怖じ,物怖じ,1642070,,False
結婚,名詞,1,1,結婚,結婚,1254790,,False
紋,名詞,1,1,紋,紋,1957010,,False
等,接尾辞,1,1,等,等,1582300,,False
第,接頭辞,1,1,第,第,1415260,,False
身,名詞,1,1,身,身,1365520,,False
