sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
アル,名詞,14,1,アル,アル-al,2835284,,False
たち,接尾辞,13,1,たち,達,1416220,,False
為る,動詞,12,1,する,為る,1157170,,False
オレ,代名詞,12,1,オレ,俺,1576870,,False
こと,名詞,11,1,こと,事,1313580,,False
ブリー,名詞,10,1,ブリー,ブリー-bully,2445150,,False
この,連体詞,10,1,この,此の,1582920,,False
行く,動詞,9,1,行く,行く,1578850,,False
来る,動詞,8,1,来る,来る,1547720,,False
殺す,動詞,8,1,殺す,殺す,1299030,,False
有る,動詞,7,1,あり,有る,1000580,,False
金,名詞,7,1,金,金,1242600,,False
居る,動詞,6,1,いる,居る,1577980,,False
成る,動詞,5,1,なっ,成る,2846738,,False
抜く,動詞,5,1,抜い,抜く,1478190,,False
人,名詞,5,1,人,人,1580640,,False
大丈夫,形状詞,5,1,大丈夫,大丈夫,1414150,,False
お前,代名詞,5,1,お前,御前,1002290,,False
完全,形状詞,5,1,完全,完全,1211510,,False
呉れる,動詞,5,1,くれ,呉れる,1269130,,False
これ,代名詞,5,1,これ,此れ,1628530,,False
どこ,代名詞,5,1,どこ,何処,1577140,,False
その,連体詞,5,1,その,其の,1006830,,False
さん,接尾辞,5,1,さん,さん,1005340,,False
中,名詞,4,1,中,中,1423310,,False
甘い,形容詞,4,1,甘,甘い,1213400,,False
名,名詞,4,1,名,名,2153790,,False
中央,名詞,4,1,中央,中央,1423430,,False
気付く,動詞,4,1,気づい,気付く,1591330,,False
キメラ,名詞,3,1,キメラ,キメラ-chimera,1041310,,False
抗,接頭辞,3,1,抗,抗,2062440,,False
ヒマ,名詞,3,1,ヒマ,暇,1577280,,False
奴,名詞,3,1,奴,奴,1445640,,False
場所,名詞,3,1,場所,場所,1355850,,False
坑道,名詞,3,1,坑道,坑道,1277390,,False
吐く,動詞,3,1,吐か,吐く,2646460,,False
命,名詞,3,1,命,命,1531940,,False
入る,動詞,3,1,入っ,入る,1465590,,False
兵,名詞,3,1,兵,兵,2067560,,False
出来る,動詞,3,1,でき,出来る,1340450,,False
分かる,動詞,3,1,分かる,分かる,1606560,,False
何,代名詞,3,1,何,何,1577100,,False
合成,名詞,3,1,合成,合成,1284940,,False
使う,動詞,3,1,使わ,使う,1305990,,False
君,接尾辞,3,1,君,君,1247260,,False
引っ張る,動詞,3,1,引っ張ら,引っ張る,1601900,,False
男,名詞,3,1,男,男,1419990,,False
アンモニア,名詞,3,1,アンモニア,アンモニア-ammonia,1020730,,False
獣,接尾辞,3,1,獣,獣,1335590,,False
私,代名詞,3,1,私,私-代名詞,1311110,,False
竪,名詞,3,1,竪,縦,1335640,,False
ダイナマイト,名詞,3,1,ダイナマイト,ダイナマイト-dynamite,1076790,,False
様,接尾辞,3,1,様,様,1545790,,False
わけ,名詞,3,1,わけ,訳,1538330,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
部下,名詞,3,1,部下,部下,1499350,,False
魂,名詞,3,1,魂,魂,1579170,,False
貰う,動詞,3,1,もらう,貰う,1535910,,False
そこ,代名詞,3,1,そこ,其処,1006670,,False
あなた,代名詞,3,1,あなた,貴方,1223615,,False
セントラル,名詞,3,1,セントラル,セントラル-central,2003220,,False
今,名詞,3,1,今,今,1288850,,False
スカ,名詞,2,1,スカ,スカ-ska,2115020,,False
みんな,名詞,2,1,みんな,皆,1202150,,False
シン,名詞,2,1,シン,しん,1063370,,False
湿気る,動詞,2,1,しけっ,湿気る,1320420,,False
みたい,形状詞,2,1,みたい,みたい,2016410,,False
ウソ,名詞,2,1,ウソ,嘘,1172400,,False
死ぬ,動詞,2,1,死ん,死ぬ,1310730,,False
生かす,動詞,2,1,生かし,生かす,1587070,,False
真人,名詞,2,1,真人,真人,1364000 | 2248710,,True
瞳,名詞,2,1,瞳,瞳,1453900,,False
知る,動詞,2,1,知っ,知る,1420470,,False
砦,名詞,2,1,砦,砦,1295240,,False
班,名詞,2,1,班,班,1481640,,False
緊急,名詞,2,1,緊急,緊急,1241850,,False
め,接尾辞,2,1,め,目,2089650,,False
野郎,名詞,2,1,野郎,野郎,1537700,,False
連絡,名詞,2,1,連絡,連絡,1559900,,False
髪,名詞,2,1,髪,髪,1477950,,False
金,接尾辞,2,1,金,金,1242600,,False
迷う,動詞,2,1,迷っ,迷う,1532710,,False
調べる,動詞,2,1,調べる,調べる,1429060,,False
こんな,連体詞,2,1,こんな,こんな,1004880,,False
そう,副詞,2,1,そう,そう,2137720,,False
見る,動詞,2,1,見,見る,2256270,,False
視界,名詞,2,1,視界,視界,1312000,,False
見える,動詞,2,1,見え,見える,1259140,,False
ひと,名詞,2,1,ひと,人,1580640,,False
自分,名詞,2,1,自分,自分,1318610,,False
縮む,動詞,2,1,縮む,縮む,1337560,,False
経験,名詞,2,1,経験,経験,1251270,,False
３,名詞,2,1,３,,1579350,,False
他,名詞,2,1,他,他,1203260,,False
仕留める,動詞,2,1,仕留める,仕留める,1305630,,False
変える,動詞,2,1,変え,変える,1510650,,False
少佐,名詞,2,1,少佐,少佐,1349000,,False
山越え,名詞,2,1,山越え,山越え,1755550,,False
思う,動詞,2,1,思う,思う,1589350,,False
悪い,形容詞,2,1,悪い,悪い,1151260,,False
早い,形容詞,2,1,早く,早い,1404975,,False
戦い,名詞,2,1,戦い,戦い,1596950,,False
探す,動詞,2,1,探し,探す,1593670,,False
捜索,名詞,2,1,捜索,捜索,1399690,,False
