sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
成る,動詞,11,1,なる,成る,2846738,,False
この,連体詞,10,1,この,此の,1582920,,False
こと,名詞,10,1,こと,事,1313580,,False
居る,動詞,8,1,いる,居る,1577980,,False
私,代名詞,8,1,私,私-代名詞,1311110,,False
為る,動詞,8,1,する,為る,1157170,,False
ここ,代名詞,7,1,ここ,此処,1288810,,False
その,連体詞,7,1,その,其の,1006830,,False
有る,動詞,7,1,あり,有る,2150170,,False
言う,動詞,6,1,言っ,言う,1587040,,False
人,名詞,6,1,人,人,1580640,,False
待つ,動詞,6,1,待ち,待つ,1410590,,False
バラバラ,形状詞,5,1,バラバラ,ばらばら,1010320,,False
お前,代名詞,5,1,お前,御前,1002290,,False
ブリー,名詞,5,1,ブリー,ブリー-bully,2445150,,False
プライド,名詞,5,1,プライド,プライド-pride,1115390,,False
入る,動詞,4,1,入っ,入る,1465590,,False
ドラクマ,名詞,4,1,ドラクマ,ドラクマ-drakhma,2483700,,False
出来る,動詞,4,1,でき,出来る,1340450,,False
何,代名詞,4,1,何,何,1577100,,False
どう,副詞,4,1,どう,どう,1008910,,False
遣る,動詞,4,1,やっ,遣る,1012980,,False
オレ,代名詞,4,1,オレ,俺,1576870,,False
金,名詞,4,1,金,金,1242600,,False
それ,代名詞,3,1,それ,其れ,1006970,,False
仕舞う,動詞,3,1,しまっ,仕舞う,1305380,,False
呉れる,動詞,3,1,くれる,呉れる,1269130,,False
分かる,動詞,3,1,分かり,分かる,1606560,,False
名,名詞,3,1,名,名,2153790,,False
姿,名詞,3,1,姿,姿,1307710,,False
錬成,名詞,3,1,錬成,錬成,1559980,,False
トンネル,名詞,3,1,トンネル,トンネル-tunnel,1087630,,False
下さる,動詞,3,1,ください,下さる,1184280,,False
ちゃん,接尾辞,3,1,ちゃん,ちゃん,1007660,,False
ちょっと,副詞,3,1,ちょっと,一寸,1163940,,False
傲慢,名詞,3,1,傲慢,傲慢,1563960,,False
北,名詞,3,1,北,北,1520670,,False
戦闘,名詞,3,1,戦闘,戦闘,1390420,,False
有る,名詞,3,1,あり,有り,2150170,,False
死ぬ,動詞,3,1,死ん,死ぬ,1310730,,False
中,名詞,3,1,中,中,1423310,,False
あいつ,代名詞,3,1,あいつ,彼奴,1483160,,False
砦,名詞,3,1,砦,砦,1295240,,False
みんな,名詞,3,1,みんな,皆,1202150,,False
組み合わせ,名詞,3,1,組み合わせ,組み合わせ,1592290,,False
血,名詞,3,1,血,血,1255060,,False
行く,動詞,3,1,いき,行く,1578850,,False
見る,動詞,3,1,みよう,見る,2256270,,False
陣,名詞,3,1,陣,陣,1956490,,False
変える,動詞,3,1,変え,変える,1510650,,False
作る,動詞,2,1,つくる,作る,1597890,,False
使う,動詞,2,1,使わ,使う,1305990,,False
メイ,名詞,2,1,メイ,メイ-May,2188120,,False
そう,副詞,2,1,そう,そう,2137720,,False
そっち,代名詞,2,1,そっち,其方,1006780,,False
出る,動詞,2,1,出,出る,1896380,,False
ロゼ,名詞,2,1,ロゼ,ロゼ,1146490,,False
ヴァン,名詞,2,1,ヴァン,バン-vin,2156750,,False
たち,接尾辞,2,1,たち,達,1416220,,False
元,名詞,2,1,元,元,2219590,,False
ったく,副詞,2,1,ったく,全く,2122580,,False
兄者,名詞,2,1,兄者,兄者,2077260,,False
切り離す,動詞,2,1,切り離し,切り離す,1384760,,False
語句,名詞,2,1,語句,語句,1271060,,False
どこ,代名詞,2,1,どこ,何処,1577140,,False
刻む,動詞,2,1,刻む,刻む,1285890,,False
国,名詞,2,1,国,国,1592250,,False
今,名詞,2,1,今,今,1288850,,False
わけ,名詞,2,1,わけ,訳,1538330,,False
今さら,副詞,2,1,今さら,今更,1289150,,False
国土,名詞,2,1,国土,国土,1286890,,False
アル,名詞,2,1,アル,アル,2835284,,False
兵,名詞,2,1,兵,兵,2067560,,False
引っ繰り返す,動詞,2,1,ひっくり返し,引っ繰り返す,1601870,,False
もの,名詞,2,1,もの,物,1502390,,False
怒り,名詞,2,1,怒り,怒り,1445670,,False
思う,動詞,2,1,思っ,思う,1589350,,False
意味,名詞,2,1,意味,意味,1156800,,False
中央,名詞,2,1,中央,中央,1423430,,False
他,名詞,2,1,他,他,1203260,,False
戻る,動詞,2,1,戻ら,戻る,1535880,,False
掘る,動詞,2,1,掘っ,掘る,1246690,,False
掛ける,動詞,2,1,かけ,掛ける,1207610,,False
教会,名詞,2,1,教会,教会,1237030,,False
方,接尾辞,2,1,方,方,1516925,,False
暗号,名詞,2,1,暗号,暗号,1154430,,False
暴動,名詞,2,1,暴動,暴動,1519520,,False
中,接尾辞,2,1,中,中,1423310,,False
付ける,動詞,2,1,つけ,付ける,1495770,,False
来る,動詞,2,1,来る,来る,1547720,,False
セントラル,名詞,2,1,セントラル,セントラル-central,2003220,,False
派手,名詞,2,1,派手,派手,1471140,,False
温かい,形容詞,2,1,温かい,温かい,1586420,,False
宣言,名詞,2,1,宣言,宣言,1389680,,False
状況,名詞,2,1,状況,状況,1356700,,False
生き残る,動詞,2,1,生き残っ,生き残る,1378560,,False
出す,動詞,2,1,出す,出す,1338180,,False
連絡,名詞,2,1,連絡,連絡,1559900,,False
進める,動詞,2,1,進め,進める,1365990,,False
簡単,形状詞,2,1,簡単,簡単,1214330,,False
紋,名詞,2,1,紋,紋,1957010,,False
伝える,動詞,2,1,伝え,伝える,1441870,,False
総員,名詞,2,1,総員,総員,1637210,,False
繋がる,動詞,2,1,つながり,繋がる,1251880,,False
良い,形容詞,2,1,よかっ,良い,1605870,,False
部下,名詞,2,1,部下,部下,1499350,,False
奥,名詞,2,1,奥,奥,1179320,,False
表,名詞,2,1,表,表,1489340,,False
裏,名詞,2,1,裏,裏,1550190,,False
配備,名詞,2,1,配備,配備,1473180,,False
まま,名詞,2,1,まま,侭,1585410,,False
調べる,動詞,2,1,調べ,調べる,1429060,,False
貰う,動詞,2,1,もらっ,貰う,1535910,,False
越える,動詞,2,1,超える,越える,1593070,,False
身,名詞,2,1,身,身,1365520,,False
軍,名詞,2,1,軍,軍,1247660,,False
返る,動詞,2,1,返っ,返る,1512150,,False
逆転,名詞,2,1,逆転,逆転,1227170,,False
間違える,動詞,2,1,間違え,間違える,1215330,,False
フラスコ,名詞,2,1,フラスコ,フラスコ-frasco,1111290,,False
隠す,動詞,2,1,隠さ,隠す,1170650,,False
頂く,動詞,2,1,いただける,頂く,1587290,,False
食事,名詞,2,1,食事,食事,1358490,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
こっち,代名詞,2,1,こっち,此方,1004500,,False
開戦,名詞,2,1,開戦,開戦,1202810,,False
大変,形状詞,2,1,大変,大変,1415000,,False
これ,代名詞,2,1,これ,此れ,1628530,,False
こんな,連体詞,2,1,こんな,こんな,1004880,,False
ご覧,名詞,2,1,ご覧,御覧,1270760,,False
ボク,代名詞,1,1,ボク,僕-代名詞,1521400,,False
マスタング,名詞,1,1,マスタング,ムスタング-mustang,1132350,,False
メッセンジャー,名詞,1,1,メッセンジャー,メッセンジャー-messenger,1133600,,False
ライン,名詞,1,1,ライン,ライン-line,1138390,,False
一定,名詞,1,1,一定,一定,1164950,,False
一見,副詞,1,1,一見,一見,1162170,,False
下りる,動詞,1,1,降りる,下りる,1589500,,False
不便,名詞,1,1,不便,不便,1494860,,False
不味い,形容詞,1,1,まずい,不味い,1495000,,False
不在,名詞,1,1,不在,不在,1492460,,False
不死,名詞,1,1,不死,不死,1492590,,False
世話,名詞,1,1,世話,世話,1374300,,False
交代,名詞,1,1,交代,交代,1592990,,False
人間,名詞,1,1,人間,人間,1366770,,False
今度,名詞,1,1,今度,今度,1289370,,False
今日,名詞,1,1,今日,今日,1579110,,False
仕事,名詞,1,1,仕事,仕事,1304970,,False
件,名詞,1,1,件,件,1255940,,False
休む,動詞,1,1,休む,休む,1227560,,False
会う,動詞,1,1,会い,会う,1198180,,False
似せる,動詞,1,1,似せ,似せる,1314560,,False
保証,名詞,1,1,保証,保証,1603500,,False
傷,名詞,1,1,傷,傷,1580260,,False
働く,動詞,1,1,働い,働く,1451150,,False
先,名詞,1,1,先,先,1387210,,False
入れる,動詞,1,1,いれ,入れる,1465610,,False
入れ物,名詞,1,1,入れ物,入れ物,1587840,,False
