sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
こと,名詞,18,1,こと,事,1313580,,False
居る,動詞,15,1,いる,居る,1577980,,False
この,連体詞,11,1,この,此の,1582920,,False
国,名詞,11,1,国,国,1592250,,False
行く,動詞,9,1,行き,行く,1578850,,False
為る,動詞,9,1,する,為る,1157170,,False
私,代名詞,9,1,私,私-代名詞,1311110,,False
ドクター,名詞,8,1,ドクター,ドクター-doctor,1088140,,False
作る,動詞,8,1,作ら,作る,1597890,,False
有る,動詞,7,1,ある,有る,2150170,,False
人,名詞,7,1,人,人,1580640,,False
そんな,連体詞,6,1,そんな,そんな,1007130,,False
こんな,連体詞,6,1,こんな,こんな,1004880,,False
お前,代名詞,6,1,お前,御前,1002290,,False
言う,動詞,6,1,いっ,言う,1587040,,False
来る,動詞,5,1,来る,来る,1547720,,False
まだ,副詞,5,1,まだ,未だ,1527110,,False
貰う,動詞,5,1,もらっ,貰う,1535910,,False
見る,動詞,5,1,診,見る,2256270,,False
さん,接尾辞,5,1,さん,さん,1005340,,False
我々,代名詞,5,1,我々,我々-代名詞,1607050,,False
痛い,形容詞,5,1,痛い,痛い,1432680,,False
知る,動詞,5,1,知っ,知る,1420470,,False
貴様,代名詞,5,1,貴様,貴様,1223620,,False
ゴミ,名詞,4,1,ゴミ,塵,1369900,,False
アル,名詞,4,1,アル,アル,2835284,,False
ら,接尾辞,4,1,ら,等,2067770,,False
何,代名詞,4,1,何,何,1577100,,False
人間,名詞,4,1,人間,人間,1366770,,False
どこ,代名詞,4,1,どこ,何処,1577140,,False
遣る,動詞,4,1,やる,遣る,1012980,,False
部下,名詞,4,1,部下,部下,1499350,,False
聞く,動詞,4,1,聞い,聞く,1591110,,False
旦那,名詞,4,1,旦那,旦那,1418410,,False
思う,動詞,4,1,思い,思う,1589350,,False
構う,動詞,4,1,構っ,構う,1279680,,False
たち,接尾辞,4,1,たち,達,1416220,,False
メイ,名詞,4,1,メイ,メイ-May,2188120,,False
戻る,動詞,3,1,戻る,戻る,1535880,,False
ため,名詞,3,1,ため,為,1157080,,False
止める,動詞,3,1,やめろ,止める,1310680,,False
その,連体詞,3,1,その,其の,1006830,,False
ちょっと,副詞,3,1,ちょっと,一寸,1163940,,False
