sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
オレ,代名詞,16,1,オレ,俺,1576870,,False
居る,動詞,15,1,いる,居る,1577980,,False
この,連体詞,12,1,この,此の,1582920,,False
為る,動詞,12,1,さ,為る,1157170,,False
リード,名詞,10,1,リード,リード-Read,1140710,,False
魂,名詞,10,1,魂,魂,1579170,,False
たち,接尾辞,9,1,たち,達,1416220,,False
その,連体詞,8,1,その,其の,1006830,,False
良い,形容詞,8,1,いい,良い,1605870,,False
有る,動詞,8,1,ある,有る,2150170,,False
さん,接尾辞,8,1,さん,さん,1005340,,False
地下,名詞,7,1,地下,地下,1420840,,False
お前,代名詞,7,1,お前,御前,1002290,,False
こと,名詞,7,1,こと,事,1313580,,False
行く,動詞,6,1,行く,行く,1578850,,False
呉れる,動詞,6,1,くれ,呉れる,1269130,,False
アル,名詞,6,1,アル,アル-al,2835284,,False
町,名詞,5,1,町,町,1603990,,False
あいつ,代名詞,5,1,あいつ,彼奴,1483160,,False
見る,動詞,5,1,見,見る,2256270,,False
言う,動詞,5,1,いう,言う,1587040,,False
何,代名詞,5,1,何,何,1577100,,False
すべて,名詞,5,1,すべて,全て,1595730,,False
成る,動詞,5,1,なっ,成る,2846738,,False
体,名詞,5,1,体,体,1409140,,False
私,代名詞,5,1,私,私-代名詞,1311110,,False
ボク,代名詞,5,1,ボク,僕-代名詞,1521400,,False
錬成,名詞,4,1,錬成,錬成,1559980,,False
頭,名詞,4,1,頭,頭,1582310,,False
欲しい,形容詞,4,1,欲しい,欲しい,1547330,,False
来る,動詞,4,1,来い,来る,1547720,,False
どこ,代名詞,4,1,どこ,何処,1577140,,False
悪い,形容詞,4,1,悪かっ,悪い,1151260,,False
聞く,動詞,4,1,聞い,聞く,1591110,,False
足,名詞,4,1,足,足,1404630,,False
者,名詞,4,1,者,者,2153760,,False
男,名詞,4,1,男,男,1419990,,False
人,名詞,4,1,人,人,1580640,,False
どう,副詞,4,1,どう,どう,1008910,,False
こんな,連体詞,4,1,こんな,こんな,1004880,,False
仲間,名詞,4,1,仲間,仲間,1425790,,False
入る,動詞,4,1,入ら,入る,1465590,,False
奴,名詞,4,1,奴,奴,1445640,,False
もの,名詞,4,1,もの,物,1502390,,False
それ,代名詞,3,1,それ,其れ,1006970,,False
記憶,名詞,3,1,記憶,記憶,1223150,,False
早い,形容詞,3,1,早く,早い,1404975,,False
止める,動詞,3,1,止め,止める,1310670,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
話す,動詞,3,1,話せ,話す,1562350,,False
考える,動詞,3,1,考え,考える,1281020,,False
知る,動詞,3,1,知っ,知る,1420470,,False
捨てる,動詞,3,1,捨て,捨てる,1322320,,False
手,名詞,3,1,手,手,1327190,,False
出来る,動詞,3,1,でき,出来る,1340450,,False
前,名詞,3,1,前,前,1392580,,False
合流,名詞,3,1,合流,合流,1285390,,False
忘れる,動詞,3,1,忘れ,忘れる,1519210,,False
動く,動詞,3,1,動く,動く,1451210,,False
優しい,形容詞,3,1,優しく,優しい,1539040,,False
信ずる,動詞,3,1,信じ,信ずる,1359070,,False
中央,名詞,3,1,中央,中央,1423430,,False
ウィン,名詞,3,1,ウィン,ウィン-win,2859577,,False
人間,名詞,3,1,人間,人間,1366770,,False
陣,名詞,3,1,陣,陣,1956490,,False
革袋,名詞,3,1,革袋,皮袋,1760380,,False
セントラル,名詞,3,1,セントラル,セントラル-central,2003220,,False
あなた,代名詞,3,1,あなた,貴方,1223615,,False
そこ,代名詞,2,1,そこ,其処,1006670,,False
これ,代名詞,2,1,これ,此れ,1628530,,False
この世,名詞,2,1,この世,此の世,2002260,,False
あれ,代名詞,2,1,あれ,彼れ,1000580,,False
軍,名詞,2,1,軍,軍,1247660,,False
踏み躙る,動詞,2,1,踏みにじっ,踏み躙る,1450260,,False
トンネル,名詞,2,1,トンネル,トンネル-tunnel,1087630,,False
チッ,副詞,2,1,チッ,ちっ,1077410,,False
銀行,名詞,2,1,銀行,銀行,1243490,,False
金,名詞,2,1,金,金,1242600,,False
遣る,動詞,2,1,やっ,遣る,1012980,,False
誰,代名詞,2,1,誰,誰,1416830,,False
見える,動詞,2,1,見え,見える,1259140,,False
自分,名詞,2,1,自分,自分,1318610,,False
置く,動詞,2,1,置い,置く,1421850,,False
立ち上がる,動詞,2,1,立ち上がる,立ち上がる,1551370,,False
ところ,名詞,2,1,ところ,所,1343100,,False
ちょっと,副詞,2,1,ちょっと,一寸,1163940,,False
ため,名詞,2,1,ため,為,1157080,,False
直す,動詞,2,1,直し,直す,1599390,,False
病院,名詞,2,1,病院,病院,1490220,,False
特徴,名詞,2,1,特徴,特徴,1455170,,False
物,名詞,2,1,物,物,1502390,,False
父親,名詞,2,1,父親,父親,1497680,,False
ロゼ,名詞,2,1,ロゼ,ロゼ,1146490,,False
バリン,名詞,2,1,バリン,バリン-valine,2429720,,False
ハリス,名詞,2,1,ハリス,ハリス-Harris,2060830,,False
為る,接尾辞,2,1,さ,さ,1157170,,False
死ぬ,動詞,2,1,死ん,死ぬ,1310730,,False
最高,名詞,2,1,最高,最高,1293850,,False
旨い,形容詞,2,1,うまい,旨い,1310460,,False
日,名詞,2,1,日,日,1463770,,False
