sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
オレ,代名詞,15,1,オレ,俺,1576870,,False
お前,代名詞,11,1,お前,御前,1002290,,False
良い,形容詞,11,1,よい,良い,1605870,,False
成る,動詞,11,1,なる,成る,2846738,,False
行く,動詞,10,1,行け,行く,1578850,,False
居る,動詞,8,1,おる,居る,1577985,,False
こと,名詞,8,1,こと,事,1313580,,False
来る,動詞,8,1,来い,来る,1547720,,False
私,代名詞,8,1,私,私-代名詞,1311110,,False
待つ,動詞,7,1,待た,待つ,1410590,,False
セントラル,名詞,7,1,セントラル,セントラル-central,2003220,,False
中央,名詞,7,1,中央,中央,1423430,,False
この,連体詞,7,1,この,此の,1582920,,False
伝言,名詞,6,1,伝言,伝言,1582180,,False
聞く,動詞,6,1,聞い,聞く,1591110,,False
仲間,名詞,6,1,仲間,仲間,1425790,,False
リン,名詞,6,1,リン,燐,1555530,,False
何者,名詞,5,1,何者,何者,1188980,,False
返る,動詞,5,1,帰っ,返る,1512150,,False
リード,名詞,5,1,リード,リード-lead,1140710,,False
分かる,動詞,5,1,分かる,分かる,1606560,,False
軍,名詞,5,1,軍,軍,1247660,,False
遣る,動詞,5,1,やれ,遣る,1012980,,False
シン,名詞,4,1,シン,しん,1063370,,False
思う,動詞,4,1,思え,思う,1589350,,False
扉,名詞,4,1,扉,扉,1483380,,False
たち,接尾辞,4,1,たち,達,1416220,,False
手下,名詞,4,1,手下,手下,1653500,,False
アル,名詞,4,1,アル,アル,2835284,,False
日,名詞,4,1,日,日,1463770,,False
約束,名詞,4,1,約束,約束,1538130,,False
言う,動詞,4,1,言っ,言う,1587040,,False
ちゃん,接尾辞,4,1,ちゃん,ちゃん,1007660,,False
体,名詞,4,1,体,体,1409140,,False
呉れる,動詞,4,1,くれれ,呉れる,1269130,,False
お,接頭辞,4,1,お,御,2089690,,False
開ける,動詞,4,1,開ける,開ける,1202450,,False
大佐,名詞,4,1,大佐,大佐,1413740,,False
ホムンクルス,名詞,4,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
空く,動詞,3,1,すい,空く,1586265,,False
見る,動詞,3,1,見,見る,2256270,,False
ここ,代名詞,3,1,ここ,此処,1288810,,False
こっち,代名詞,3,1,こっち,此方,1004500,,False
