sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
為る,動詞,13,1,し,為る,1157170,,False
居る,動詞,12,1,いる,居る,1577980,,False
日,名詞,10,1,日,日,1463770,,False
中央,名詞,10,1,中央,中央,1423430,,False
こと,名詞,10,1,こと,事,1313580,,False
遣る,動詞,9,1,やっ,遣る,1012980,,False
約束,名詞,9,1,約束,約束,1538130,,False
セントラル,名詞,9,1,セントラル,セントラル-central,2003220,,False
この,連体詞,8,1,この,此の,1582920,,False
オレ,代名詞,8,1,オレ,俺,1576870,,False
成る,動詞,7,1,なっ,成る,2846738,,False
国,名詞,7,1,国,国,1592250,,False
閣下,名詞,7,1,閣下,閣下,1206280,,False
たち,接尾辞,6,1,たち,達,1416220,,False
何,代名詞,5,1,何,何,1577100,,False
待つ,動詞,5,1,待て,待つ,1410590,,False
止める,動詞,5,1,止め,止める,1310670,,False
こんな,連体詞,5,1,こんな,こんな,1004880,,False
元,名詞,5,1,元,元,2219590,,False
アル,名詞,5,1,アル,アル,2835284,,False
まだ,副詞,5,1,まだ,未だ,1527110,,False
私,代名詞,5,1,私,私-代名詞,1311110,,False
戻る,動詞,5,1,戻っ,戻る,1535880,,False
見る,動詞,4,1,見,見る,2256270,,False
オート,名詞,4,1,オート,オート-auto,1031910,,False
演習,名詞,4,1,演習,演習,1176930,,False
これ,代名詞,4,1,これ,此れ,1628530,,False
お前,代名詞,4,1,お前,御前,1002290,,False
メイル,名詞,4,1,メイル,メール-mail,1132620,,False
会う,動詞,4,1,会っ,会う,1198180,,False
動く,動詞,4,1,動い,動く,1451210,,False
人,接尾辞,4,1,人,人,1366410,,False
鎧,名詞,4,1,鎧,鎧,1204740,,False
少将,名詞,4,1,少将,少将,1349040,,False
機械,名詞,4,1,機械,機械,1220810,,False
羊,名詞,4,1,羊,羊,1546490,,False
欲しい,形容詞,3,1,欲しい,欲しい,1547330,,False
下す,動詞,3,1,下せ,下す,1184320,,False
ロ,名詞,3,1,ロ,露,1147330 | 2029730,,True
分かる,動詞,3,1,分かっ,分かる,1606560,,False
全部,名詞,3,1,全部,全部,1396130,,False
出す,動詞,3,1,出す,出す,1338180,,False
今,名詞,3,1,今,今,1288850,,False
出発,名詞,3,1,出発,出発,1340000,,False
救う,動詞,3,1,救う,救う,1229060,,False
行く,動詞,3,1,行か,行く,1578850,,False
死ぬ,動詞,3,1,死ん,死ぬ,1310730,,False
体,名詞,3,1,体,体,1409140,,False
屋敷,名詞,3,1,屋敷,屋敷,1605460,,False
女,名詞,3,1,女,女,1344930,,False
大佐,名詞,3,1,大佐,大佐,1413740,,False
ワン,名詞,3,1,ワン,ワン-one,2844785,,False
人間,名詞,3,1,人間,人間,1366770,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
良い,形容詞,3,1,よかっ,良い,1605870,,False
言う,動詞,3,1,言わ,言う,1587040,,False
祭り,名詞,3,1,祭り,祭り,1604130,,False
貴様,代名詞,3,1,貴様,貴様,1223620,,False
逃げる,動詞,3,1,逃げ,逃げる,1450330,,False
少佐,名詞,2,1,少佐,少佐,1349000,,False
急ぐ,動詞,2,1,急げ,急ぐ,1228650,,False
守る,動詞,2,1,守っ,守る,1327120,,False
家,接尾辞,2,1,家,家,1191730,,False
心配,名詞,2,1,心配,心配,1360930,,False
明日,名詞,2,1,明日,明日,1584660,,False
捜索,名詞,2,1,捜索,捜索,1399690,,False
弟,名詞,2,1,弟,弟,1581930,,False
ちょっと,副詞,2,1,ちょっと,一寸,1163940,,False
春,名詞,2,1,春,春,1341000,,False
来る,動詞,2,1,来,来る,1547720,,False
無い,形容詞,2,1,ねえ,無い,2029080,,False
準備,名詞,2,1,準備,準備,1341670,,False
欲する,動詞,2,1,欲し,欲する,1547340,,False
ちゃんと,副詞,2,1,ちゃんと,ちゃんと,1007720,,False
ちょ,副詞,2,1,ちょ,一寸,2845172,,False
東,名詞,2,1,東,東,1447440,,False
欲しい,名詞,2,1,欲,欲,1547320,,False
返る,動詞,2,1,帰っ,返る,1512150,,False
終わる,動詞,2,1,終わら,終わる,1589600,,False
聞く,動詞,2,1,聞い,聞く,1591110,,False
煩い,形容詞,2,1,うるせえ,煩い,1481920,,False
あたし,代名詞,2,1,あたし,私,1311125,,False
こいつ,代名詞,2,1,こいつ,此奴,1579070,,False
貰う,動詞,2,1,もらい,貰う,1535910,,False
話,名詞,2,1,話,話,1600900,,False
男,名詞,2,1,男,男,1419990,,False
気,名詞,2,1,気,気,1221520,,False
マスタング,名詞,2,1,マスタング,ムスタング-mustang,1132350,,False
フン,名詞,2,1,フン,フン-外国,1632520,,False
ヒヤシンス,名詞,2,1,ヒヤシンス,ヒヤシンス-hyacinth,2074040,,False
北,名詞,2,1,北,北,1520670,,False
使う,動詞,2,1,使っ,使う,1305990,,False
伝える,動詞,2,1,伝える,伝える,1441870,,False
入る,動詞,2,1,入り,入る,1465590,,False
ウィン,名詞,2,1,ウィン,ウィン-win,2859577,,False
向かう,動詞,2,1,向かおう,向かう,1604800,,False
合同,名詞,2,1,合同,合同,1285140,,False
出来る,動詞,2,1,でき,出来る,1340450,,False
また,副詞,2,1,また,又,1524930,,False
少尉,名詞,2,1,少尉,少尉,1347800,,False
どこ,代名詞,2,1,どこ,何処,1577140,,False
ほっつき歩く,動詞,2,1,ほっつき歩い,ほっつき歩く,2207520,,False
変える,動詞,2,1,変える,変える,1510650,,False
スカ,名詞,2,1,スカ,スカ-ska,2115020,,False
中将,名詞,2,1,中将,中将,1424510,,False
不味い,形容詞,2,1,マズい,不味い,1495000,,False
下さる,動詞,2,1,ください,下さる,1184280,,False
